racedate,tvgtrackcode,race,bettinginterestnumber,horsename,morninglineodds,currentodds,winpayout
2020-05-22,cd,1,1,cowan,7/2,3/5,3.4
2020-05-22,cd,2,6,runnin' ray,7/2,3,8
2020-05-22,cd,3,10,lionite,4,4,10.4
2020-05-22,cd,4,12,rivers of lite,7/2,8/5,5.2
2020-05-22,cd,5,1,princess trina,6,10,22.2
2020-05-22,cd,5,1,have no fear,6,10,22.2
2020-05-22,cd,6,3,revenio,15,13,28.4
2020-05-22,cd,7,6,telekinesis,4,7,16.8
2020-05-22,cd,8,6,casual,2,9/5,5.8
2020-05-22,cd,9,9,malakeh (gb),5/2,5/2,7
2020-05-22,cd,10,8,duplicitous,7/2,7,17.6
2020-05-17,cd,1,1,common courtesy,2,1,4.2
2020-05-17,cd,2,14,hetty g.,7/2,3,8.8
2020-05-17,cd,3,11,p r radio star,8,9/2,11
2020-05-17,cd,4,10,cat's pajamas,12,25,57
2020-05-17,cd,5,7,dean martini,2,4/5,3.8
2020-05-17,cd,6,7,mississippi,4,6,14.6
2020-05-17,cd,7,5,temple city terror,8,7,17.4
2020-05-17,cd,8,6,compelling smile,5,8,18.6
2020-05-17,cd,9,10,art collector,6,6,15.2
2020-05-17,cd,10,11,chimney rock,5,5,13.8
2020-05-17,cd,11,6,prince jersey town,15,23,49.2
2020-05-21,cd,5,4,feeling it,9/2,4,10.4
2020-05-21,cd,6,3,frost or frippery,5/2,1/2,3
2020-05-21,cd,7,3,dalika (ger),5/2,9/5,5.8
2020-05-21,cd,8,4,spun eazy,7/2,2,6.4
2020-05-21,cd,9,9,mr dumas,9/2,3,8.8
2020-05-21,cd,10,10,hashtag winner,20,21,45.4
2020-05-21,cd,1,3,hopeful princess,6,5/2,7.8
2020-05-21,cd,2,7,ruler of the nile,3,7/5,4.8
2020-05-21,cd,3,11,beauty day,8,5,12.8
2020-05-21,cd,4,9,summer revolution,5/2,3/2,5
2020-05-25,cd,3,3,c z rocket,3,2,6.6
2020-05-25,cd,4,7,road game,7/2,3,8.2
2020-05-25,cd,5,2,croatian,12,15,33
2020-05-25,cd,6,4,evil lyn,8/5,4/5,3.8
2020-05-25,cd,7,11,ocean breeze,6,9/5,5.6
2020-05-25,cd,8,3,echo town,9/5,4/5,3.8
2020-05-25,cd,9,12,ramsey solution,6,7/2,9.6
2020-05-25,cd,10,10,girlolamo'glory,20,40,83.2
2020-05-25,cd,1,3,highest mandate,4,9/2,11.6
2020-05-25,cd,1,3,the beat,4,9/2,11.6
2020-05-25,cd,2,4,frank's rockette,6/5,2/5,2.8
2020-05-29,cd,1,1,jungle warfare,5/2,2,6.6
2020-05-29,cd,1,1,shivermetimbers,5/2,2,6.6
2020-05-29,cd,2,4,cazadero,4,5,12.6
2020-05-29,cd,3,4,homeview,15,14,30.6
2020-05-29,cd,4,4,paddy o'dini,10,7/2,9.8
2020-05-29,cd,5,10,shackleford's joy,8,13,28.2
2020-05-29,cd,6,8,envoutante,4,7/5,4.8
2020-05-29,cd,7,7,lexitonian,20,11,25.8
2020-05-29,cd,8,10,extravagant kid,7/2,6,15.8
2020-05-29,cd,9,10,heros reward,10,2,6.2
2020-05-23,cd,1,9,golden notion,8/5,2/5,2.8
2020-05-23,cd,2,4,charlie'sarchangel,5,3,8.4
2020-05-23,cd,3,10,verb,7/2,2,6.8
2020-05-23,cd,4,9,altaf,5/2,5/2,7.6
2020-05-23,cd,5,1,spooky channel,12,8,18
2020-05-23,cd,6,10,smart time,12,9/2,11.2
2020-05-23,cd,7,4,dunbar road,4/5,3/5,3.4
2020-05-23,cd,8,9,sharing,3,2,6.6
2020-05-23,cd,9,8,owendale,3,7/2,9
2020-05-23,cd,10,10,maxfield,5/2,6/5,4.6
2020-05-23,cd,11,9,smooth like strait,5,5,12.2
2020-06-12,cd,1,2,drop dead gorgeous,1,1/2,3
2020-06-12,cd,2,9,hulen,2,7/5,4.8
2020-06-12,cd,3,5,fast boat,7/2,5/2,7.8
2020-06-12,cd,4,1,admire,5/2,4/5,3.6
2020-06-12,cd,5,12,ronamo,5/2,6/5,4.4
2020-06-12,cd,6,7,set piece (gb),9/5,9/5,5.8
2020-06-12,cd,7,4,heros reward,5/2,7/2,9
2020-06-12,cd,8,10,man in the can,5,5/2,7.2
2020-06-12,cd,9,4,greyes creek,5/2,8/5,5.4
2020-05-31,cd,6,10,whoville,10,5,12.2
2020-05-31,cd,7,7,coltonator,8,5,12
2020-05-31,cd,8,1,crystal cliffs (fr),6,2,6.4
2020-05-31,cd,9,2,royal flag,6/5,3/5,3.2
2020-05-31,cd,10,5,cavalry charge,12,8,18.4
2020-05-31,cd,1,5,shesomajestic,7/2,9/5,5.8
2020-05-31,cd,2,8,dark arden,10,20,43.8
2020-05-31,cd,3,6,zanesville,9/2,7/2,9.4
2020-05-31,cd,4,6,his glory,10,7,16.8
2020-05-31,cd,5,3,paris lights,3,9/5,5.6
2020-06-13,cd,1,3,chicks for free,7/5,1,4
2020-06-13,cd,2,5,rahway,4,8/5,5.2
2020-06-13,cd,3,2,blunt force,2,5/2,7.4
2020-06-13,cd,4,5,millennium force,5/2,3/2,5
2020-06-13,cd,5,4,art collector,3,7/5,4.8
2020-06-13,cd,6,2,ebben,3,3,8
2020-06-13,cd,7,5,croatian,9/2,7,17.6
2020-06-13,cd,8,2,dance rhythms,8,10,23
2020-06-13,cd,9,10,sir alfred james,12,8,18.8
2020-06-13,cd,10,6,sconsin,12,19,41
2020-06-13,cd,11,12,admission office,3,7/2,9.2
2020-06-18,cd,1,11,jamin's jet,12,9,20.6
2020-06-18,cd,2,6,cashanova,5/2,5/2,7
2020-06-18,cd,3,9,formula,3,7/2,9
2020-06-18,cd,4,4,big time,20,35,79.6
2020-06-18,cd,5,6,china cat,3,2,6.8
2020-06-18,cd,6,2,angelus warrior,6,9/5,5.8
2020-06-18,cd,7,10,i'm busy,4,9/5,5.6
2020-06-18,cd,8,3,tank commander,4,5/2,7.6
2020-06-18,cd,9,3,ivar (brz),15,14,30.8
2020-05-16,cd,1,10,arch ability,3,5,12.4
2020-05-16,cd,2,6,diamondcoat,4,9/5,5.8
2020-05-16,cd,3,3,louie's kingdom,5/2,7/5,4.8
2020-05-16,cd,4,2,monomoy girl,4/5,1/2,3
2020-05-16,cd,5,7,oxide,8,2,6.6
2020-05-16,cd,6,8,strong yen,6,7,16.2
2020-05-16,cd,7,5,say moi,5/2,3/5,3.4
2020-05-16,cd,8,17,dinar,3,5/2,7.2
2020-05-16,cd,9,6,sacred oath,12,9/2,11.4
2020-05-16,cd,10,8,four graces,9/2,7/2,9.4
2020-05-16,cd,11,2,reagan's edge,30,12,27
2020-05-24,cd,1,7,molly's game,4,7/2,9
2020-05-24,cd,2,11,proudly fought,20,8,18.6
2020-05-24,cd,3,11,spanned,4,2,6.2
2020-05-24,cd,4,2,miss is zippy,4,6,15.4
2020-05-24,cd,5,1,carina,3,3,8.2
2020-05-24,cd,6,2,sister hanan,3,4/5,3.8
2020-05-24,cd,7,12,per capita,7/2,2,6.4
2020-05-24,cd,8,9,dos vinos,6,7/2,9.4
2020-05-24,cd,9,6,lessons from avery,30,70,149.2
2020-05-24,cd,10,3,almithmaar,5,7,16.4
2020-05-30,cd,7,4,bell's the one,15,13,28.2
2020-05-30,cd,8,6,what a country,10,17,36.8
2020-05-30,cd,9,10,whimsical muse,10,25,52
2020-05-30,cd,10,7,fearless,2,1,4.2
2020-05-30,cd,11,7,secret message,8,25,53.4
2020-05-30,cd,1,5,brittle and yoo,5/2,3/2,5
2020-05-30,cd,2,4,lady cleopatra,3,8/5,5.4
2020-05-30,cd,3,4,elle m'a souri (fr),5/2,9/5,5.6
2020-05-30,cd,4,4,johnny cab,7/2,4,10.2
2020-05-30,cd,5,14,natural history,12,16,35.4
2020-05-30,cd,6,8,spanish kingdom,20,25,55
2020-06-19,cd,1,5,irritator,5/2,6/5,4.4
2020-06-19,cd,2,4,laddie boy,6,9/5,5.6
2020-06-19,cd,3,2,jackie's warrior,5/2,2,6.2
2020-06-19,cd,4,8,change of control,7/2,8,18.4
2020-06-19,cd,5,5,light up night,12,21,44.6
2020-06-19,cd,6,7,hierarchy,4,11,24.6
2020-06-19,cd,7,5,i'mthekatsmeow,8,7,16.2
2020-06-19,cd,8,3,club car,5/2,2,6.8
2020-06-19,cd,9,10,summer in saratoga,4,6,14.6
2020-06-05,cd,1,5,knight's cross,8,14,30.8
2020-06-05,cd,2,4,cafe mischief,15,35,78.4
2020-06-05,cd,3,5,nomo ron,3,5/2,7.8
2020-06-05,cd,4,3,county final,10,9,20.4
2020-06-05,cd,5,7,new eagle,5,5,13.8
2020-06-05,cd,6,5,orb's soul,3,7/2,9.6
2020-06-05,cd,7,4,shedaresthedevil,3,7/5,4.8
2020-06-05,cd,8,9,seranitsa,7/2,7,17
2020-06-05,cd,9,6,wild union,4,2,6.2
2020-06-21,cd,7,8,atmos,8,18,39
2020-06-21,cd,8,8,c z rocket,5/2,6/5,4.6
2020-06-21,cd,9,7,lady kate,12,9/5,5.6
2020-06-21,cd,10,8,coastal defense,6,6,14.2
2020-06-21,cd,1,5,cool bobby,3,7/2,9.2
2020-06-21,cd,2,3,blues power,2,8/5,5.4
2020-06-21,cd,3,8,knights key,10,6,14.8
2020-06-21,cd,4,5,seeds of time,5/2,9/5,5.8
2020-06-21,cd,5,7,lizzie b,8,10,22.2
2020-06-21,cd,6,8,dreamalildreamofu,5,2/5,2.8
2020-06-07,cd,1,1,have no fear,3,3/5,3.2
2020-06-07,cd,2,5,high risk strategy,5,8,18.4
2020-06-07,cd,3,3,petrov,9/2,7/2,9.8
2020-06-07,cd,4,6,quiet company,3,7/5,4.8
2020-06-07,cd,5,5,river echo (gb),5,7/2,9.6
2020-06-07,cd,6,3,nifty,8,5/2,7.4
2020-06-07,cd,7,9,lead guitar,3,4/5,3.8
2020-06-07,cd,8,6,trident hit,12,40,84.8
