"RCTrack","RCDate","RCRace","Horse","FD","Foreign","Date","Track","Race","Surface","TimeformCode","Inner","Distance","Class","LongClass","ClaimPrice","Purse","TrkCond","RaceSex","RaceAge","StateBred","Starters","FirstFraction","SecondFraction","ThirdFraction","FourthFraction","FifthFraction","SixthFraction","FinalTime","FirstHorse","SecondHorse","ThirdHorse","FirstWeight","SecondWeight","ThirdWeight","FirstLenAdj","SecondLenAdj","ThirdLenAdj","GradedRace","GradedRaceDesc","ForeignCourse","PostPosition","FirstCall","FirstCallLenAdj","SecondCall","SecondCallLenAdj","ThirdCall","ThirdCallLenAdj","FourthCall","FourthCallLenAdj","StrCall","StrCallLenAdj","FinalCall","FinalCallLenAdj","DQ","DH","DQPlace","Beyer","Weight","Apprentice","Comment","LongComment","Odds","OddsPosition","Claimed","Lasix","Bute","Blinker","Bandage","AltEquipment","Jockey","Trainer","Entries","TrackVariant","SpeedRating","Breed","Owner","DistUnit","TimeUnit","LoPrice","TrainYear","TrainStarts","TrainWins","TrainPlaces","TrainShows","TrainWinPct","SealedTrack","PrevTrainYear","PrevTrainStarts","PrevTrainWins","PrevTrainPlaces","PrevTrainShows","PrevTrainWinPct","FirstFracHdths","SecondFracHdths","ThirdFracHdths","FourthFracHdths","FifthFracHdths","SixthFracHdths","FinalTimeHdths"
"OP",05/02/2020,1,"Timely Tradition","D",,03/15/2020,"Aqu",4,"D","","",6.00,"CLM","Clm 25000",25.00,49.163,"fst","M","41","S",7,22.80,46.00,58.40,-1.00,-1.00,-1.00,111.60,"Timely Tradition","Letmetakethiscall","Bustin to Please",120,123,123,3.25,5.75,0.25,0,"","A",1,5,0.00,5,2.60,2,3.50,0,0.00,2,1.50,1,3.25,"","",0,86,120,0,"2-3w upper, edged clr","",4.70,4,"","L","","B","F","","Davis D","Handal Raymond","",24,85,"","","","H",25.00,"",0,0,0,0,0.00,"","",,,,,,22.84,46.15,58.56,-1.00,-1.00,-1.00,111.65
"OP",05/02/2020,1,"Timely Tradition","D",,01/26/2020,"Aqu",2,"D","","",6.50,"CLM","Clm c-25000 25",25.00,48.657,"my","M","41","S",7,22.40,45.60,110.80,-1.00,-1.00,-1.00,118.00,"Letmetakethiscall","Might Be","Timely Tradition",123,120,120,2.25,0.10,8.75,0,"","B",2,3,0.00,3,5.00,3,5.00,0,0.00,3,5.00,3,2.35,"","",0,77,120,0,"Ins,ask 1/4,miss place","",0.65,1,"C","L","","B","","","Carmouche K","Atras Rob","",16,87,"","Drawing Away Stable","","H",25.00,"2019",198,39,44,30,0.20,"","",,,,,,22.58,45.72,110.96,-1.00,-1.00,-1.00,118.02
"OP",05/02/2020,1,"Timely Tradition","D",,12/15/2019,"Aqu",7,"D","","",6.50,"AOC","OC 40k/N2X -N",40.00,72.226,"my","M","31","S",6,22.80,46.00,111.60,-1.00,-1.00,-1.00,118.60,"Hay Field","Puffery","Archumybaby",122,120,120,0.75,3.25,2.25,0,"","B",2,2,0.00,4,2.10,4,2.00,0,0.00,4,4.60,5,6.30,"","",0,58,120,0,"3w turn, ask into lane","",7.80,5,"","L","","B","","","Carmouche K","Atras Rob","",19,80,"","","","H",40.00,"",0,0,0,0,0.00,"Y","",,,,,,22.80,46.13,111.69,-1.00,-1.00,-1.00,118.72
"OP",05/02/2020,1,"Timely Tradition","D",,10/05/2019,"Bel",1,"D","","",6.00,"STR","Alw 25000s",25.00,51.700,"fst","M","31","",6,22.40,45.20,57.00,-1.00,-1.00,-1.00,109.60,"My Roxy Girl","Jump for Joy","Daria's Angel",123,123,123,2.00,2.00,0.25,0,"","B",2,2,0.00,2,0.50,2,0.10,0,0.00,3,1.60,4,4.25,"","",0,75,123,0,"4w upper, wknd late","",1.45,3,"","L","","B","","","Santana R Jr","Atras Rob","E",9,87,"","","","H",0.00,"",0,0,0,0,0.00,"","",,,,,,22.45,45.27,57.17,-1.00,-1.00,-1.00,109.66
"OP",05/02/2020,1,"Timely Tradition","D",,07/18/2019,"Sar",10,"O","","",5.50,"AOC","OC 40k/N2X -N",40.00,83.000,"fst","M","31","S",9,22.00,44.80,56.80,-1.00,-1.00,-1.00,103.00,"Kept True","Hay Field","Timely Tradition",119,122,122,0.25,2.25,2.25,0,"","G",7,1,0.00,6,3.70,5,3.10,0,0.00,3,4.00,3,2.50,"","",0,74,122,0,"2p btwn turn,willingly","",2.90,3,"","L","","B","","","Santana R Jr","Atras Rob","E",6,98,"","","","H",40.00,"",0,0,0,0,0.00,"","",,,,,,22.17,44.95,56.82,-1.00,-1.00,-1.00,103.15
"OP",05/02/2020,1,"Timely Tradition","D",,07/03/2019,"Bel",2,"D","","",6.00,"STR","Alw 40000s",40.00,55.500,"fst","M","31","",6,22.80,46.00,57.80,-1.00,-1.00,-1.00,110.20,"Honey Graeme","Timely Tradition","Aunt Babe",125,125,123,1.50,0.25,1.50,0,"","A",1,3,0.00,3,1.00,4,1.50,0,0.00,2,1.00,2,1.50,"","",0,73,125,0,"Steadied, altered 70yd","",0.55,1,"","L","","B","","","Ortiz I Jr","Atras Rob","E",12,86,"","","","H",0.00,"",0,0,0,0,0.00,"","",,,,,,22.85,46.08,57.84,-1.00,-1.00,-1.00,110.24
"OP",05/02/2020,1,"Timely Tradition","D",,06/15/2019,"Bel",2,"D","","",6.00,"AOC","OC 40k/N2X -N",40.00,70.000,"fst","M","31","S",6,23.20,46.40,58.20,-1.00,-1.00,-1.00,110.40,"Fair Regis","Timely Tradition","Our Super Nova",123,121,121,3.00,0.50,0.05,0,"","A",1,4,0.00,6,3.70,4,3.00,0,0.00,3,2.50,2,3.00,"","",0,73,121,0,"Out brk,2w turn,3w upr","",1.05,1,"","L","","B","","","Franco M","Atras Rob","E",11,84,"","","","H",40.00,"",0,0,0,0,0.00,"","",,,,,,23.20,46.50,58.23,-1.00,-1.00,-1.00,110.49
"OP",05/02/2020,1,"Timely Tradition","D",,05/30/2019,"Bel",6,"D","","",6.00,"CLM","Clm c-32000 32",32.00,55.000,"gd","M","31","",8,22.80,46.40,58.80,-1.00,-1.00,-1.00,111.60,"Timely Tradition","Honey Graeme","Clairvoyant Lady",123,125,123,0.10,1.75,2.25,0,"","E",5,6,0.00,5,3.00,3,0.60,0,0.00,2,0.10,1,0.10,"","",0,70,123,0,"4w upper, gamely","",6.00,6,"C","L","","B","F","","Carmouche K","Arriaga Antonio","",17,81,"","The Players Group","","H",32.00,"2019",22,3,3,2,0.14,"","",,,,,,22.88,46.51,58.84,-1.00,-1.00,-1.00,111.78
"OP",05/02/2020,1,"Timely Tradition","D",,05/02/2019,"Bel",7,"D","","",6.50,"CLM","Clm c-25000 25",25.00,50.000,"fst","M","31","S",8,23.40,46.60,110.80,-1.00,-1.00,-1.00,117.20,"Archumybaby","Bertranda","Timely Tradition",125,125,123,0.50,3.00,0.75,0,"","C",3,4,0.00,5,2.60,5,2.50,0,0.00,4,2.50,3,3.50,"","",0,63,123,0,"Range 2w,5w into upper","",1.70,2,"C","L","","B","","","Davis D","Atras Rob","",6,83,"","Our Blue Streaks Stable","","H",25.00,"2019",41,14,10,5,0.34,"","",,,,,,23.44,46.76,110.96,-1.00,-1.00,-1.00,117.28
"OP",05/02/2020,1,"Timely Tradition","D",,04/13/2019,"Aqu",5,"D","","",6.50,"CLM","Clm 25000",25.00,48.000,"my","M","41","",6,22.60,46.60,112.60,-1.00,-1.00,-1.00,119.80,"Nisha","Timely Tradition","My Girl Annie",122,122,122,2.75,1.25,4.75,0,"","C",3,6,0.00,6,2.70,4,2.60,0,0.00,3,3.10,2,2.75,"","",0,60,122,0,"5w upper, mild kick","",9.10,4,"","L","","B","","","Davis D","D'Alessandro Ralph","",17,77,"","","","H",20.00,"",0,0,0,0,0.00,"","2019",24,2,3,4,0.08,22.74,46.71,112.73,-1.00,-1.00,-1.00,119.86
"OP",05/02/2020,1,"Timely Tradition","D",,03/30/2019,"Aqu",2,"D","","",6.00,"SST","Videogenic60k",12.50,60.528,"fst","M","41","",6,23.00,46.60,59.20,-1.00,-1.00,-1.00,112.60,"Archumybaby","Summer Punch","Bow Town Cat",122,124,124,0.10,7.00,0.10,0,"","A",1,2,0.00,4,3.10,5,7.10,0,0.00,5,7.50,5,7.95,"","",0,62,124,0,"Ins to 3/8,4w into upr","",9.00,5,"","L","","B","","","Reyes L R","D'Alessandro Ralph","",18,74,"","","","H",0.00,"",0,0,0,0,0.00,"","",,,,,,23.11,46.61,59.30,-1.00,-1.00,-1.00,112.61
"OP",05/02/2020,1,"Timely Tradition","D",,01/25/2019,"Aqu",7,"D","","",8.00,"AOC","OC 40k/N2X -N",40.00,72.947,"gd","M","41","S",7,23.40,46.60,112.80,-1.00,-1.00,-1.00,140.00,"No Hayne No Gayne","Out of Orbit","Starlite Mission",116,123,123,7.75,3.50,2.50,0,"","E",5,7,5.10,6,7.00,6,11.60,0,0.00,5,16.50,5,25.75,"","",0,46,123,0,"3-4w on turn,no impact","",7.00,4,"","L","","B","","","Hernandez R M","D'Alessandro Ralph","",37,47,"","","","H",40.00,"",0,0,0,0,0.00,"","",,,,,,23.46,46.64,112.98,-1.00,-1.00,-1.00,140.05
"OP",05/02/2020,1,"Timely Tradition","D",,01/01/2019,"Aqu",7,"D","","",6.50,"AOC","OC 40k/N2X",40.00,69.178,"gd","M","41","S",7,24.00,48.60,114.20,-1.00,-1.00,-1.00,120.80,"Flat Calm","Timely Tradition","My Roxy Girl",121,123,121,1.00,0.75,0.05,0,"","B",2,7,0.00,7,6.10,6,6.00,0,0.00,5,5.00,2,1.00,"","",0,67,123,0,"Ins to 1/4,5p,belated","",5.90,4,"","L","","B","","","Pennington F","D'Alessandro Ralph","",24,74,"","","","H",40.00,"",0,0,0,0,0.00,"","",,,,,,24.09,48.67,114.33,-1.00,-1.00,-1.00,120.88
"OP",05/02/2020,1,"Timely Tradition","D",,11/18/2018,"Aqu",8,"T","","O",6.00,"AOC","OC 40k/N2X -N",40.00,73.045,"gd","M","31","S",9,22.80,46.20,58.00,-1.00,-1.00,-1.00,110.20,"Miss Mystique","Mentality","Hannah's Smile",120,120,122,1.25,0.75,1.00,0,"","C",3,3,0.00,5,2.60,6,4.00,0,0.00,5,4.10,8,4.40,"","",0,70,124,0,"Broke out st, wknd lte","",23.70,8,"","L","","B","","","Davis D","D'Alessandro Ralph","",13,83,"","","","H",40.00,"",0,0,0,0,0.00,"","",,,,,,22.86,46.31,58.02,-1.00,-1.00,-1.00,110.30
"OP",05/02/2020,1,"Timely Tradition","D",,10/17/2018,"FL",4,"D","","",6.00,"AOC","OC 15k/N3R -N",15.00,20.400,"fst","M","31","S",7,22.00,45.80,58.40,-1.00,-1.00,-1.00,111.80,"Timely Tradition","Sing for Beauty","Crashing Connie",120,120,119,2.00,2.25,0.75,0,"","B",2,4,0.00,4,2.10,3,2.00,0,0.00,2,0.50,1,2.00,"","",0,73,120,0,"Inside,drew off late","",1.60,1,"","L","","B","","","Perez L E","D'Alessandro Ralph","",15,87,"","","","H",15.00,"",0,0,0,0,0.00,"","",,,,,,22.05,45.90,58.58,-1.00,-1.00,-1.00,111.95
"OP",05/02/2020,1,"Timely Tradition","D",,10/01/2018,"FL",7,"D","","",6.00,"STK","ArtcQueenB50k",0.00,50.000,"gd","M","31","S",8,22.20,45.60,58.40,-1.00,-1.00,-1.00,112.00,"I Still Miss You","Timely Tradition","Royal Inheritance",118,120,119,0.10,1.00,1.25,0,"","D",4,5,0.00,6,4.50,6,4.10,0,0.00,4,2.10,2,0.10,"","",0,73,120,0,"2p3/8,4w1/4,rallied","",8.40,6,"","L","","B","","","Perez L E","D'Alessandro Ralph","",16,86,"","","","H",0.00,"",0,0,0,0,0.00,"","",,,,,,22.22,45.72,58.59,-1.00,-1.00,-1.00,112.16
"OP",05/02/2020,1,"Timely Tradition","D",,08/30/2018,"Sar",1,"D","","",6.50,"CLM","Clm 25000",25.00,50.000,"fst","M","31","S",6,22.60,46.20,111.80,-1.00,-1.00,-1.00,118.00,"Timely Tradition","Satin Sheets","Cats Halo",124,124,122,0.25,5.50,0.50,0,"","A",1,1,0.00,5,3.50,5,4.10,0,0.00,2,1.00,1,0.25,"","",0,71,124,0,"2path turn,swung 6p1/4","",2.30,1,"","L","","B","","","Ortiz J L","D'Alessandro Ralph","",16,85,"","","","H",25.00,"",0,0,0,0,0.00,"","",,,,,,22.72,46.36,111.81,-1.00,-1.00,-1.00,118.08
"OP",05/02/2020,1,"Timely Tradition","D",,08/01/2018,"FL",7,"D","","",8.00,"ALW","Alw 19500N2R",0.00,19.500,"fst","M","31","S",8,24.60,48.60,113.60,-1.00,-1.00,-1.00,140.00,"Timely Tradition","Saigon Times","Kim",120,120,122,0.10,3.25,8.75,0,"","C",3,3,1.10,2,1.50,2,0.10,0,0.00,1,0.10,1,0.10,"","",0,72,120,0,"Dueled,edged,held","",2.65,1,"","L","","B","","","Perez L E","D'Alessandro Ralph","",16,89,"","","","H",0.00,"",0,0,0,0,0.00,"","",,,,,,24.73,48.70,113.61,-1.00,-1.00,-1.00,140.04
"OP",05/02/2020,1,"Timely Tradition","D",,07/15/2018,"Bel",1,"D","","",8.00,"CLM","Clm c-12500 12",12.50,24.500,"sly","M","31","",5,23.20,46.80,113.00,-1.00,-1.00,-1.00,140.80,"Majestic Kindness","Midnight Bounty","Patriotic Endeavor",122,120,120,1.50,2.25,4.50,0,"","B",2,2,0.50,2,1.00,4,1.60,0,0.00,5,4.50,5,10.25,"","",0,49,122,0,"Vied 2w, gave way","",1.25,1,"C","L","","B","","","Davis D","Clement Christophe","",41,49,"","Firestone, Mr. and Mrs. Bertram R.","","H",12.50,"2018",235,41,41,35,0.17,"Y","",,,,,,23.32,46.94,113.03,-1.00,-1.00,-1.00,140.83
"OP",05/02/2020,1,"Timely Tradition","D",,06/16/2018,"Bel",1,"D","","",8.00,"CLM","Clm 12500",12.50,25.000,"fst","M","31","",7,22.80,46.20,111.80,-1.00,-1.00,-1.00,138.00,"Timely Tradition","Patriotic Endeavor","Arewehavingfunyet",120,120,122,4.50,0.05,2.50,0,"","C",3,4,2.60,4,2.10,2,0.50,0,0.00,1,2.00,1,4.50,"","",0,74,120,0,"4w upper, edged clear","",4.20,4,"","L","","B","","","Davis D","Clement Christophe","",27,73,"","","","H",12.50,"",0,0,0,0,0.00,"","",,,,,,22.94,46.34,111.88,-1.00,-1.00,-1.00,138.00
"OP",05/02/2020,1,"Timely Tradition","D",,05/16/2018,"Bel",7,"O","","",8.50,"AOC","OC 40k/N2X -N",40.00,70.000,"sly","M","31","S",6,23.20,46.20,110.80,137.60,-1.00,-1.00,144.60,"Frostie Anne","No Hayne No Gayne","Timely Tradition",120,120,120,5.00,4.25,3.75,0,"","B",2,5,4.00,5,4.00,4,4.10,0,0.00,4,7.50,3,9.25,"","",0,67,120,0,"2w,4w into str,got shw","",6.10,5,"","L","","","","","Franco M","Clement Christophe","",24,67,"","","","H",40.00,"",0,0,0,0,0.00,"Y","",,,,,,23.21,46.39,110.95,137.67,-1.00,-1.00,144.78
"OP",05/02/2020,1,"Timely Tradition","D",,12/15/2017,"Aqu",7,"D","","",6.50,"AOC","OC 40k/N2X -N",40.00,59.000,"fst","M","31","S",6,23.00,46.80,112.60,-1.00,-1.00,-1.00,119.40,"Palladian Bridge","Zealous Scholar","Unrepented",122,122,120,2.75,6.25,1.75,0,"","F",6,3,0.00,3,2.00,3,2.50,0,0.00,3,7.00,4,10.75,"","",0,58,120,0,"Chased 4-5w, tired","",3.65,2,"","L","","B","","","Davis D","Clement Christophe","",20,71,"","","","H",40.00,"",0,0,0,0,0.00,"","",,,,,,23.03,46.83,112.66,-1.00,-1.00,-1.00,119.53
"OP",05/02/2020,1,"Timely Tradition","D",,05/29/2017,"Bel",10,"D","","",7.00,"STK","BouwerieB125k",0.00,125.000,"sly","M","3","S",10,22.60,46.20,111.40,-1.00,-1.00,-1.00,125.00,"Holiday Disguise","Noble Freud","Tiznow's Smile",118,116,118,1.25,2.50,1.00,0,"","B",2,7,0.00,5,2.60,5,3.00,0,0.00,6,7.10,5,10.50,"","",0,65,118,0,"Bumped st, weakened","",24.00,8,"","L","","B","","","Davis D","Clement Christophe","",25,63,"","","","H",0.00,"",0,0,0,0,0.00,"Y","",,,,,,22.64,46.26,111.48,-1.00,-1.00,-1.00,125.19
"OP",05/02/2020,1,"Timely Tradition","D",,03/26/2017,"Aqu",3,"D","","I",6.00,"AOC","OC 75k/N1X -N",75.00,55.860,"my","M","3","S",5,23.00,47.60,100.80,-1.00,-1.00,-1.00,114.60,"Timely Tradition","Overnegotiate","Karen Kan",119,121,121,1.75,1.75,3.25,0,"","A",1,5,0.00,4,2.70,4,1.60,0,0.00,2,0.50,1,1.75,"","",0,71,119,0,"Ins,ask early,3w 3/8","",5.60,3,"","L","","B","","","Davis D","Clement Christophe","",30,74,"","","","H",75.00,"",0,0,0,0,0.00,"","",,,,,,23.05,47.62,100.89,-1.00,-1.00,-1.00,114.73
"OP",05/02/2020,1,"Timely Tradition","D",,12/07/2016,"Aqu",1,"D","","I",6.00,"MCL","Md 40000",40.00,41.000,"my","M","2","S",8,23.20,47.80,100.40,-1.00,-1.00,-1.00,113.40,"Timely Tradition","Salori's Bank","Carolina Courage",120,120,120,13.50,1.25,0.25,0,"","E",5,6,0.00,4,2.10,1,1.00,0,0.00,1,7.50,1,13.50,"","",0,65,120,0,"Lunged st, went clear","",5.90,5,"","L","","B","","","Davis D","Clement Christophe","",23,78,"","","","H",40.00,"",0,0,0,0,0.00,"Y","",,,,,,23.28,47.95,100.50,-1.00,-1.00,-1.00,113.44
"OP",05/02/2020,1,"Timely Tradition","D",,11/11/2016,"Aqu",9,"T","","",8.50,"MSW","Md Sp Wt 55k",0.00,55.000,"fm","M","2","S",12,23.40,49.20,114.40,139.40,-1.00,-1.00,145.60,"Fifty Five","Silly Numbers","Super Mama",120,120,120,0.25,0.05,0.05,0,"","C",3,10,8.50,10,8.50,10,6.20,0,0.00,10,9.00,9,11.35,"","",0,38,120,0,"Saved ground to 5/16","",20.30,8,"","","","","","","Davis D","Clement Christophe","",8,75,"","","","H",0.00,"",0,0,0,0,0.00,"","",,,,,,23.45,49.26,114.47,139.43,-1.00,-1.00,145.64
"OP",05/02/2020,1,"Full of Grace","D",,03/06/2020,"OP",4,"D","","",6.00,"CLM","Clm 40000B",40.00,44.000,"fst","M","31","",8,22.40,46.40,58.40,-1.00,-1.00,-1.00,110.40,"Full of Grace","First Alternate","War Ballad",123,123,123,0.05,4.25,4.00,0,"","A",1,8,0.00,3,2.00,2,0.50,0,0.00,1,0.50,1,0.05,"","",0,74,123,0,"Off slow,rail,gamely","",0.90,1,"","L","/","B","F","","Talamo J","Robertson McLean","",14,89,"","","","H",40.00,"",0,0,0,0,0.00,"","",,,,,,22.53,46.54,58.56,-1.00,-1.00,-1.00,110.59
"OP",05/02/2020,1,"Full of Grace","D",,02/16/2020,"OP",8,"D","","",6.00,"AOC","OC 50k/N$Y",50.00,88.000,"fst","M","41","",7,22.20,45.80,58.00,-1.00,-1.00,-1.00,110.20,"Wholehearted","Emboldened","Heavens Whisper",118,118,118,1.25,1.50,3.25,0,"","F",6,3,0.00,4,1.70,4,0.70,0,0.00,5,2.70,4,6.00,"","",0,69,118,0,"Forward 3w,little left","",21.70,6,"","L","/","B","F","","Mojica O","Robertson McLean","",16,84,"","","","H",50.00,"",0,0,0,0,0.00,"","",,,,,,22.20,45.82,58.17,-1.00,-1.00,-1.00,110.26
"OP",05/02/2020,1,"Full of Grace","D",,11/29/2019,"Haw",8,"D","","",6.00,"AOC","OC 32k/C -N",32.50,29.500,"fst","M","31","",6,22.40,46.00,58.20,-1.00,-1.00,-1.00,111.20,"Meeka","Ragatagtag","Full of Grace",121,122,119,1.00,3.00,0.50,0,"","A",1,2,0.00,1,0.10,2,0.10,0,0.00,2,2.00,3,4.00,"Y","",6,51,119,0,"Vie,came in1/8,kept on","",6.30,4,"","L","/","B","","","Roman C","Robertson Hugh H","",14,80,"","","","H",32.50,"",0,0,0,0,0.00,"","2019",168,37,30,19,0.22,22.54,46.10,58.27,-1.00,-1.00,-1.00,111.20
"OP",05/02/2020,1,"Full of Grace","D",,10/26/2019,"Kee",2,"D","","",6.00,"CLM","Clm 30000B",30.00,27.440,"sly","M","31","",5,22.40,46.20,58.40,-1.00,-1.00,-1.00,111.40,"Highland Lass","Full of Grace","Miss Ximena",121,119,119,0.50,0.10,6.00,0,"","B",2,1,0.00,2,2.00,2,0.50,0,0.00,2,0.50,2,0.50,"","",0,68,119,0,"Inched ahead,caught","",1.60,1,"","L","","B","F","","Santana R Jr","Robertson McLean","",15,84,"","","","H",30.00,"",0,0,0,0,0.00,"Y","2019",396,83,69,64,0.21,22.51,46.35,58.50,-1.00,-1.00,-1.00,111.55
"OP",05/02/2020,1,"Full of Grace","D",,10/06/2019,"Kee",2,"D","","",6.00,"CLM","Clm 50000B",50.00,34.000,"fst","M","31","",9,22.80,46.80,59.00,-1.00,-1.00,-1.00,111.40,"What a Fox","Quick Quick Quick","Giro Kate",121,120,118,6.00,0.75,1.00,0,"","C",3,7,0.00,5,1.80,4,1.20,0,0.00,5,3.50,6,9.75,"","",0,54,118,0,"3path turn, faded late","",7.00,4,"","L","","","","","Cohen D","Robertson McLean","",14,75,"","","","H",50.00,"",0,0,0,0,0.00,"","",,,,,,22.80,46.93,59.15,-1.00,-1.00,-1.00,111.52
"OP",05/02/2020,1,"Full of Grace","D",,08/03/2019,"Cby",6,"D","","",6.00,"AOC","OC 25k/N2X -N",25.00,32.000,"fst","M","31","",6,22.00,44.80,57.00,-1.00,-1.00,-1.00,110.40,"Spring Steen","Dicey","Full of Grace",120,120,117,4.00,1.25,4.25,0,"","C",3,4,0.00,4,3.50,5,4.50,0,0.00,3,6.50,3,5.25,"","",0,72,117,0,"Inside trip,outkicked","",5.30,4,"","L","T","","","","Butler D P","Robertson McLean","",18,86,"","","","H",25.00,"",0,0,0,0,0.00,"","",,,,,,22.03,44.95,57.19,-1.00,-1.00,-1.00,110.41
"OP",05/02/2020,1,"Full of Grace","D",,06/27/2019,"Cby",9,"D","","",6.00,"AOC","OC 15k/N1X -N",15.00,29.100,"gd","M","31","",4,22.20,46.00,58.60,-1.00,-1.00,-1.00,111.40,"Full of Grace","Council Rules","Salty Martini",117,123,120,2.00,0.75,10.00,0,"","B",2,2,0.00,1,2.00,1,0.50,0,0.00,1,1.00,1,2.00,"","",0,72,117,0,"Off rail,repelled foes","",2.70,3,"","L","T","","","","Butler D P","Robertson McLean","",20,86,"","","","H",15.00,"",0,0,0,0,0.00,"","",,,,,,22.32,46.17,58.63,-1.00,-1.00,-1.00,111.48
"OP",05/02/2020,1,"Full of Grace","D",,06/07/2019,"Cby",7,"D","","",5.50,"AOC","OC 15k/N1X -N",15.00,30.000,"fst","M","31","",8,22.00,46.00,58.60,-1.00,-1.00,-1.00,105.00,"Council Rules","Maid Easy","Wrap It Up",120,120,120,2.25,1.25,0.25,0,"","C",3,2,0.00,6,6.10,5,7.00,0,0.00,4,3.60,4,3.75,"","",0,58,117,0,"Shifted out, mild bid","",2.60,1,"","L","T","","","","Loveberry J","Robertson McLean","",17,85,"","","","H",15.00,"",0,0,0,0,0.00,"","",,,,,,22.12,46.08,58.66,-1.00,-1.00,-1.00,105.12
"OP",05/02/2020,1,"Full of Grace","D",,04/06/2019,"OP",7,"D","","",6.00,"AOC","OC 75k/N1X",75.00,91.000,"sly","M","3","",7,22.20,46.40,59.00,-1.00,-1.00,-1.00,111.80,"Headland","Ultimate Mo","Savvy Ally",122,117,117,5.75,0.25,2.00,0,"","E",5,4,0.00,6,2.20,7,5.30,0,0.00,4,6.60,4,8.00,"","",0,61,117,0,"Improved position 6-w","",26.60,7,"","L","/","","","","Loveberry J","Robertson McLean","",15,74,"","","","H",75.00,"",0,0,0,0,0.00,"Y","",,,,,,22.26,46.44,59.16,-1.00,-1.00,-1.00,111.99
"OP",05/02/2020,1,"Full of Grace","D",,03/21/2019,"OP",6,"D","","",6.00,"CLM","Clm 40000",40.00,48.000,"fst","M","3","",10,22.60,46.80,59.40,-1.00,-1.00,-1.00,112.00,"Full of Grace","War Ballad","Miz Nightcap",119,112,119,0.25,1.00,0.75,0,"","J",10,2,0.00,2,1.50,3,1.60,0,0.00,2,1.00,1,0.25,"","",0,58,119,0,"3p,bid late,lasted,drv","",7.70,5,"","L","/","","F","","Loveberry J","Robertson McLean","",13,81,"","","","H",35.00,"",0,0,0,0,0.00,"","",,,,,,22.63,46.83,59.53,-1.00,-1.00,-1.00,112.16
