"RCTrack","RCDate","RCRace","Starters","TrackName","RaceState","Division","RaceBred","StateBred","RaceSex","RaceAge","Class","Purse","HiClaim","LoClaim","Distance","Inner","Surface","RaceType","GradedRace","GradedRaceDesc","SimTrack","SimRace","TrackRecord","DayOfWeek","PostTime","LongClass","TrkAbbrev","DistUnit","TimeUnit","Conditions"
"OP",05/02/2020,1,12,"Oaklawn Park","AR","","","","M","41","STR",32.000,40.000,0.000,6.000,"","D","",0,"","",0,107.80,"Saturday","12:00","Alw 40000s","Oaklawn Park","","H","STARTER ALLOWANCE. Purse $32,000  FOR FILLIES AND MARES FOUR YEARS OLD  AND UPWARD WHICH HAVE STARTED FOR A CLAIMING PRICE OF $40,000 OR LESS IN ONE OF THEIR LAST THREE STARTS. Weight, 124 lbs. Non-winners Of A Race Since February 2, 2020 Allowed 3 lbs. Non-winners Of A Race Since December 2, 2019 Allowed 6 lbs."
"OP",05/02/2020,2,14,"Oaklawn Park","AR","","","","F","3","MSW",60.000,0.000,0.000,6.000,"","D","",0,"","",0,107.80,"Saturday","12:32","Md Sp Wt 60k","Oaklawn Park","","H","MAIDEN SPECIAL WEIGHT. Purse $60,000  FOR MAIDENS, FILLIES THREE YEARS OLD. Weight, 122 lbs."
"OP",05/02/2020,3,14,"Oaklawn Park","AR","","","S","O","31","ALW",61.000,0.000,0.000,6.000,"","D","",0,"","",0,107.80,"Saturday","1:04","Alw 61000N$Y","Oaklawn Park","","H","ALLOWANCE. Purse $61,000  FOR ARKANSAS BRED (WHICH QUALIFY UNDER RULES GOVERNING ARKANSAS-BREDS) THREE YEAR OLDS AND UPWARD WHICH HAVE NEVER WON $15,000 OTHER THAN MAIDEN, CLAIMING, OR STARTER OR WHICH HAVE NEVER WON TWO RACES. Three Year Olds, 118 lbs.; Older, 124 lbs. Non-winners Of A Race Since March 1, 2020 Allowed 2 lbs."
"OP",05/02/2020,4,14,"Oaklawn Park","AR","","","","O","31","MSW",60.000,0.000,0.000,6.000,"","D","",0,"","",0,107.80,"Saturday","1:36","Md Sp Wt 60k","Oaklawn Park","","H","MAIDEN SPECIAL WEIGHT. Purse $60,000  FOR MAIDENS, THREE YEARS OLD  AND UPWARD. Three Year Olds, 118 lbs.; Older, 124 lbs. (Preference To Horses That Have Not Started For A Claiming Price)."
"OP",05/02/2020,5,13,"Oaklawn Park","AR","","","","O","41","AOC",62.000,75.000,75.000,8.500,"","D","",0,"","",0,140.20,"Saturday","2:10","OC 75k/C","Oaklawn Park","","H","ALLOWANCE OPTIONAL CLAIMING. Purse $62,000  FOR FOUR YEAR OLDS AND UPWARD WHICH HAVE NEVER WON $15,000 THREE TIMES OTHER THAN MAIDEN, CLAIMING, STARTER, OR STATE BRED OR WHICH HAVE NOT WON $49,000 OTHER THAN MAIDEN, CLAIMING, STARTER, OR STATE BRED SINCE NOVEMBER 2, 2019 OR CLAIMING PRICE $75,000.Weight, 124 lbs. Non-winners Of A Race Other Than Maiden Or Claiming Since March 2, 2020 Allowed 3 lbs. Such A Race Since February 2, 2020 Allowed 6 lbs. Claiming Price $75,000 (Allowance Condition Preferred)."
"OP",05/02/2020,6,14,"Oaklawn Park","AR","","","","O","3","MSW",60.000,0.000,0.000,9.000,"","D","",0,"","",0,146.60,"Saturday","2:44","Md Sp Wt 60k","Oaklawn Park","","H","MAIDEN SPECIAL WEIGHT. Purse $60,000  FOR MAIDENS, THREE YEARS OLD. Weight, 122 lbs."
"OP",05/02/2020,7,14,"Oaklawn Park","AR","","","","F","3","AOC",61.000,100.000,100.000,8.500,"","D","",0,"","",0,140.20,"Saturday","3:16","OC 100k/C","Oaklawn Park","","H","ALLOWANCE OPTIONAL CLAIMING. Purse $61,000  FOR FILLIES THREE YEARS OLD  WHICH HAVE NEVER WON A RACE OTHER THAN MAIDEN, CLAIMING, STARTER, OR STATE BRED AT A MILE OR OVER OR WHICH HAVE NEVER WON TWO RACES OR CLAIMING PRICE $100,000. Weight, 122 lbs. Non-winners Of A Race Since March 2, 2020 Allowed 3 lbs. A Race Since December 2, 2019 Allowed 6 lbs. Claiming Price $100,000 (Allowance Condition Preferred)."
"OP",05/02/2020,8,14,"Oaklawn Park","AR","","","","O","31","ALW",61.000,0.000,0.000,8.500,"","D","",0,"","",0,140.20,"Saturday","3:47","Alw 61000N$Y","Oaklawn Park","","H","ALLOWANCE. Purse $61,000  FOR THREE YEAR OLDS AND UPWARD WHICH HAVE NEVER WON $15,000 OTHER THAN MAIDEN, CLAIMING, STARTER,  OR  STATE BRED ALLOWANCE OR WHICH HAVE NEVER WON TWO RACES. Three Year Olds, 118 lbs.; Older, 124 lbs. Non-winners Of A Race Since March 1, 2020 Allowed 2 lbs."
"OP",05/02/2020,9,14,"Oaklawn Park","AR","","","","O","41","AOC",62.000,40.000,40.000,8.500,"","D","",0,"","",0,140.20,"Saturday","4:19","OC 40k/N$Y","Oaklawn Park","","H","ALLOWANCE OPTIONAL CLAIMING. Purse $62,000  FOR FOUR YEAR OLDS AND UPWARD WHICH HAVE NEVER WON $15,000 TWICE OTHER THAN MAIDEN, CLAIMING, STARTER,  OR  STATE BRED ALLOWANCE OR WHICH HAVE NEVER WON THREE RACES OR CLAIMING PRICE $40,000. Weight, 124 lbs. Non-winners Of A Race Since March 1, 2020 Allowed 3 lbs. A Race Since January 1, 2020 Allowed 6 lbs. Claiming Price $40,000."
"OP",05/02/2020,10,14,"Oaklawn Park","AR","","","","O","3","AOC",61.000,80.000,80.000,8.500,"","D","",0,"","",0,140.20,"Saturday","4:54","OC 80k/N$Y","Oaklawn Park","","H","ALLOWANCE OPTIONAL CLAIMING. Purse $61,000  FOR THREE YEAR OLDS WHICH HAVE NEVER WON $15,000 OTHER THAN MAIDEN, CLAIMING, STARTER, OR STATE BRED OR WHICH HAVE NEVER WON TWO RACES OR CLAIMING PRICE $80,000. Weight, 122 lbs. Non-winners Of A Race Since March 1, 2020 Allowed 3 lbs. Claiming Price $80,000."
"OP",05/02/2020,11,11,"Oaklawn Park","AR","","","","O","3","GStk",500.000,0.000,0.000,9.000,"","D","",1,"ArkDerbyG1","",0,146.60,"Saturday","5:29","ArkDerby-G1","Oaklawn Park","","H","ARKANSAS DERBY. Purse $500,000  THREE YEAR OLDS.  By subscription of $500 which shall accompany the nomination, original nominators paying $7,500 to pass the entry box and $7,500 additional to start.  Supplementary nominations may be made by the closing time of entries at a fee of $15,500 which qualifies to start with $500,000 Guaranteed of which 60% to the owner of the winner.  20% to second, 10% to third, 5% to fourth, 3% to fifth and 2% to be divided equally between remaining starters.  WEIGHTS: Colts and Geldings 122 lbs.; Fillies 117 lbs.  Non-winners of a Sweepstakes allowed 4 lbs.  In Allowance Stakes starting preference will be given to horses that have accumulated the highest earnings.  Starters to be named through the entry box by the usual time of closing.  The Owner of the winner to receive a trophy.  Early Bird closing Thursday, February 6, 2020 at $750 f"
"OP",05/02/2020,12,14,"Oaklawn Park","AR","","","","O","41","GStk",600.000,0.000,0.000,9.000,"","D","",2,"OaklawnHG2","",0,146.60,"Saturday","6:04","OaklawnH-G2","Oaklawn Park","","H","OAKLAWN H.. Purse $600,000  FOUR YEAR OLDS AND UPWARD.  By subscription of $100 each which shall accompany the nomination, $5,000 to pass the entry box and $5,000 additional to start.  Supplementary nominations may be made by Thursday, April 23, 2020 at $500. $600,000 Guaranteed ofwhich 60% to the Owner of the winner, 20% to second, 10% to third, 5% to fourth, 3% to fifth and 2% to be divided equally between remaining starters.  Weights to be announced Friday, April 24, 2020.  In Handicap Stakes starting preference will be given tohigh weights.  Starters to be named through the entry box by the usual time of closing.  The Oaklawn Handicap has been chosen as part of the  Win Today, See You In May Series. The winner of the Oaklawn Handicap will receive a guaranteed spot in the starting gate for the Pimlico Special at Pimlico Race Course on Friday May 15, 2020. In additi"
