"RCDate","RCTrack","Jockey","Starts","Wins","Places","Shows","WinPercent","MoneyPercent","AvgWinPayoff","SprintWins","SprintStarts","RouteWins","RouteStarts","TurfWins","TurfStarts","MainWins","MainStarts","MdnAndClmWins","MdnAndClmStarts","OtherWins","OtherStarts","ThirtyDaysWins","ThirtyDaysStarts","TenDaysWins","TenDaysStarts"
05/02/2020,"GP","Saez L",153.00,30.00,29.00,23.00,19.61,53.59,7.52,12.00,68.00,18.00,85.00,15.00,73.00,15.00,80.00,21.00,114.00,9.00,39.00,30.00,153.00,10.00,49.00
05/02/2020,"GP","Gaffalione T",113.00,26.00,21.00,15.00,23.01,54.87,9.35,9.00,57.00,17.00,56.00,14.00,54.00,12.00,59.00,17.00,87.00,9.00,26.00,26.00,113.00,3.00,16.00
05/02/2020,"GP","Zayas E J",138.00,18.00,18.00,19.00,13.04,39.86,12.36,10.00,60.00,8.00,78.00,5.00,66.00,13.00,72.00,14.00,102.00,4.00,36.00,18.00,138.00,6.00,48.00
05/02/2020,"GP","Vasquez M A",132.00,18.00,13.00,21.00,13.64,39.39,14.72,9.00,62.00,9.00,70.00,4.00,60.00,14.00,72.00,13.00,106.00,5.00,26.00,18.00,132.00,6.00,42.00
05/02/2020,"GP","Jaramillo E",129.00,13.00,18.00,14.00,10.08,34.88,15.54,7.00,68.00,6.00,61.00,7.00,57.00,6.00,72.00,12.00,101.00,1.00,28.00,13.00,129.00,4.00,38.00
05/02/2020,"GP","Davis D",101.00,10.00,13.00,9.00,9.90,31.68,19.78,5.00,38.00,5.00,63.00,5.00,53.00,5.00,48.00,8.00,77.00,2.00,24.00,10.00,101.00,3.00,34.00
05/02/2020,"GP","Ortiz I Jr",26.00,9.00,5.00,3.00,34.62,65.38,5.62,4.00,14.00,5.00,12.00,2.00,5.00,7.00,21.00,7.00,19.00,2.00,7.00,9.00,26.00,9.00,26.00
05/02/2020,"GP","Torres C A*",58.00,8.00,8.00,8.00,13.79,41.38,10.20,5.00,24.00,3.00,34.00,1.00,22.00,7.00,36.00,7.00,48.00,1.00,10.00,8.00,58.00,6.00,33.00
05/02/2020,"GP","Landeros C",54.00,8.00,2.00,7.00,14.81,31.48,20.13,2.00,18.00,6.00,36.00,4.00,27.00,4.00,27.00,5.00,37.00,3.00,17.00,8.00,54.00,4.00,24.00
05/02/2020,"GP","Berrios Hector I",45.00,7.00,3.00,4.00,15.56,31.11,17.40,2.00,21.00,5.00,24.00,4.00,25.00,3.00,20.00,6.00,40.00,1.00,5.00,7.00,45.00,1.00,13.00
05/02/2020,"GP","Lebron V",70.00,6.00,7.00,5.00,8.57,25.71,12.30,5.00,31.00,1.00,39.00,1.00,37.00,5.00,33.00,5.00,60.00,1.00,10.00,6.00,70.00,0.00,18.00
05/02/2020,"GP","Fuentes M*",59.00,5.00,12.00,3.00,8.47,33.90,24.84,5.00,35.00,0.00,24.00,0.00,13.00,5.00,46.00,5.00,55.00,0.00,4.00,5.00,59.00,1.00,16.00
05/02/2020,"GP","Reyes L",85.00,4.00,5.00,11.00,4.71,23.53,16.35,2.00,35.00,2.00,50.00,1.00,43.00,3.00,42.00,4.00,70.00,0.00,15.00,4.00,85.00,2.00,30.00
05/02/2020,"GP","Rodriguez A A",62.00,4.00,4.00,10.00,6.45,29.03,30.15,3.00,32.00,1.00,30.00,2.00,30.00,2.00,32.00,4.00,56.00,0.00,6.00,4.00,62.00,1.00,11.00
05/02/2020,"GP","Maragh R",32.00,3.00,1.00,5.00,9.38,28.13,17.33,1.00,9.00,2.00,23.00,2.00,22.00,1.00,10.00,3.00,26.00,0.00,6.00,3.00,32.00,0.00,8.00
05/02/2020,"GP","Meneses M",84.00,2.00,5.00,7.00,2.38,16.67,50.90,0.00,30.00,2.00,54.00,1.00,49.00,1.00,35.00,2.00,68.00,0.00,16.00,2.00,84.00,0.00,23.00
05/02/2020,"GP","Reyes L R",35.00,2.00,2.00,0.00,5.71,11.43,80.60,1.00,18.00,1.00,17.00,1.00,20.00,1.00,15.00,2.00,34.00,0.00,1.00,2.00,35.00,1.00,9.00
05/02/2020,"GP","Bravo J",32.00,2.00,3.00,5.00,6.25,31.25,22.30,1.00,8.00,1.00,24.00,1.00,20.00,1.00,12.00,2.00,21.00,0.00,11.00,2.00,32.00,1.00,9.00
05/02/2020,"GP","Olsson F",28.00,2.00,3.00,1.00,7.14,21.43,50.30,0.00,13.00,2.00,15.00,0.00,12.00,2.00,16.00,1.00,26.00,1.00,2.00,2.00,28.00,1.00,11.00
05/02/2020,"GP","Juarez N",19.00,2.00,1.00,0.00,10.53,15.79,13.50,0.00,8.00,2.00,11.00,1.00,6.00,1.00,13.00,2.00,13.00,0.00,6.00,2.00,19.00,2.00,15.00
05/02/2020,"GP","Lopez P",15.00,2.00,2.00,2.00,13.33,40.00,13.10,1.00,7.00,1.00,8.00,2.00,9.00,0.00,6.00,2.00,13.00,0.00,2.00,2.00,15.00,0.00,0.00
05/02/2020,"GP","Gonzalez S",38.00,1.00,3.00,4.00,2.63,21.05,11.60,0.00,17.00,1.00,21.00,1.00,19.00,0.00,19.00,1.00,34.00,0.00,4.00,1.00,38.00,1.00,13.00
05/02/2020,"GP","Martinez G A*",23.00,0.00,1.00,1.00,.00,8.70,.00,0.00,11.00,0.00,12.00,0.00,9.00,0.00,14.00,0.00,22.00,0.00,1.00,0.00,23.00,0.00,4.00
