"RCTrack","RCDate","RCRace","Horse","FD","Track","Date","Surface","Distance","TrkCond","WorkType","WorkTime","Bullet","Comment","Rank","RankIn","Race","DistUnit","TimeUnit"
"GP",05/02/2020,1,"Wind Ridge","D","Pay",04/24/2020,"D",5.00,"fst","B",102.00,"","",2,4,0,"F","F"
"GP",05/02/2020,1,"Wind Ridge","D","Pay",04/17/2020,"D",5.00,"fst","B",102.40,"","",3,5,0,"F","F"
"GP",05/02/2020,1,"Wind Ridge","D","Pay",03/25/2020,"D",5.00,"fst","B",103.00,"","",1,2,0,"F","F"
"GP",05/02/2020,1,"Wind Ridge","D","Pay",03/09/2020,"D",5.00,"fst","B",103.40,"","",5,5,0,"F","F"
"GP",05/02/2020,1,"Wind Ridge","D","Pay",02/29/2020,"D",5.00,"fst","B",104.80,"","",8,9,0,"F","F"
"GP",05/02/2020,1,"Wind Ridge","D","Pay",02/22/2020,"T",5.00,"fm","B",103.60,"","",8,9,0,"F","F"
"GP",05/02/2020,1,"Coach Temple","D","GP",04/26/2020,"D",5.00,"fst","BG",101.80,"","",19,35,0,"F","F"
"GP",05/02/2020,1,"Coach Temple","D","GP",04/12/2020,"D",4.00,"fst","B",47.40,"","",3,56,0,"F","F"
"GP",05/02/2020,1,"Coach Temple","D","GP",04/05/2020,"D",4.00,"fst","B",48.60,"","",19,65,0,"F","F"
"GP",05/02/2020,1,"Coach Temple","D","GP",03/29/2020,"D",4.00,"fst","BG",49.20,"","",32,62,0,"F","F"
"GP",05/02/2020,1,"Coach Temple","D","GP",03/22/2020,"D",4.00,"fst","BG",52.60,"","",66,67,0,"F","F"
"GP",05/02/2020,1,"Coach Temple","D","GP",03/15/2020,"D",4.00,"fst","B",50.20,"","",72,98,0,"F","F"
"GP",05/02/2020,1,"Coach Temple","D","GP",03/09/2020,"D",4.00,"fst","B",49.80,"","",14,30,0,"F","F"
"GP",05/02/2020,1,"Coach Temple","D","GP",03/01/2020,"D",4.00,"fst","B",47.80,"","",13,98,0,"F","F"
"GP",05/02/2020,1,"Coach Temple","D","GP",02/23/2020,"D",5.00,"fst","B",100.60,"","",8,39,0,"F","F"
"GP",05/02/2020,1,"Coach Temple","D","GP",02/17/2020,"D",5.00,"fst","B",100.20,"","",5,37,0,"F","F"
"GP",05/02/2020,1,"Coach Temple","D","GP",02/02/2020,"D",5.00,"fst","B",101.80,"","",24,49,0,"F","F"
"GP",05/02/2020,1,"Coach Temple","D","GP",01/26/2020,"D",4.00,"fst","B",49.80,"","",68,119,0,"F","F"
"GP",05/02/2020,1,"Constitutional Pal","D","PmM",04/19/2020,"B",5.00,"fm","B",103.60,"","",2,5,0,"F","F"
"GP",05/02/2020,1,"Constitutional Pal","D","PmM",03/29/2020,"B",4.00,"fm","B",48.20,"","",4,16,0,"F","F"
"GP",05/02/2020,1,"Constitutional Pal","D","PmM",03/20/2020,"D",4.00,"fst","B",49.80,"","",9,26,0,"F","F"
"GP",05/02/2020,1,"Constitutional Pal","D","PmM",03/11/2020,"D",4.00,"fst","B",48.80,"","",2,32,0,"F","F"
"GP",05/02/2020,1,"Constitutional Pal","D","PmM",03/04/2020,"D",3.00,"fst","B",36.80,"","",2,6,0,"F","F"
"GP",05/02/2020,1,"Constitutional Pal","D","PmM",02/26/2020,"D",3.00,"fst","B",38.20,"","",6,7,0,"F","F"
"GP",05/02/2020,1,"Elusive Ruler","D","Lmb",04/28/2020,"D",4.00,"fst","B",50.00,"","",6,9,0,"F","F"
"GP",05/02/2020,1,"Elusive Ruler","D","Lmb",04/21/2020,"D",5.00,"fst","B",102.00,"","",1,3,0,"F","F"
"GP",05/02/2020,1,"Elusive Ruler","D","Lmb",04/14/2020,"D",4.00,"fst","B",51.20,"","",3,4,0,"F","F"
