"RCTrack","RCDate","RCRace","AeMto","Weight","Horse","FD","TripleCrown","Sex","YBorn","MBorn","State","Breeder","Color","Sire","SireSire","Dam","DamSire","Owner","Sale","SaleYear","SalePrice","LastRaced","Bute","Lasix","Blinker","ClaimPrice","Apprentice","Jockey","Trainer","PostPosition","CYEarnings","CYStarts","CYWins","CYPlaces","CYShows","PYEarnings","PYStarts","PYWins","PYPlaces","PYShows","Earnings","Starts","Wins","Places","Shows","WEarnings","WStarts","WWins","WPlaces","WShows","TEarnings","TStarts","TWins","TPlaces","TShows","DEarnings","DStarts","DWins","DPlaces","DShows","TrkEarnings","TrkStarts","TrkWins","TrkPlaces","TrkShows","DistEarnings","DistStarts","DistWins","DistPlaces","DistShows","Entry","JockMeetStarts","JockMeetEarnings","JockMeetWins","JockMeetPlaces","JockMeetShows","JockMeetWinPct","JockMeetMoneyPct","JockYTDStarts","JockYTDEarnings","JockYTDWins","JockYTDPlaces","JockYTDShows","JockYTDWinPct","JockYTDMoneyPct","TrainerMeetStarts","TrainerMeetEarnings","TrainerMeetWins","TrainerMeetPlaces","TrainerMeetShows","TrainerMeetWinPct","TrainerMeetMoneyPct","TrainerYTDStarts","TrainerYTDEarnings","TrainerYTDWins","TrainerYTDPlaces","TrainerYTDShows","TrainerYTDWinPct","TrainerYTDMoneyPct","QtrStarts","QtrEarnings","QtrWins","QtrPlaces","QtrShows","EnteredTrack","EnteredDate","EnteredRace","StatsPriorYear","StudFee","Scratch","JTTrackPeriod","JTTrackStarts","JTTrackEarnings","JTTrackWinPct","JTAllStarts","JTAllWinPct","JTAllRoi"
"RP",05/02/2020,1,"",124,"Three Six Ocean Dr","DQ","N","c",2017,3,"Okla","J E Smicklas Llc","B.","Tres Seis","Sixarun","Boundless Ocean","Ocean Runaway","Longino Garcia","",0,0.000,03/26/2020,"","L","",15.00,0,"Ramirez II A","Garcia Longino",1,0.770,2,0,0,0,4.086,7,0,1,0,4.856,9,0,1,0,2.980,1,0,1,0,0.000,0,0,0,0,4.856,9,0,1,0,1.290,5,0,0,0,0.000,0,0,0,0,"",0,0.000,0,0,0,0.00,0.00,0,0.000,0,0,0,0.00,0.00,0,0.000,0,0,0,0.00,0.00,0,0.000,0,0,0,0.00,0.00,0,0.000,0,0,0,"",,0,10/26/2019,0.000,"N","2019-20",8,0.00,0.00,27,0.00,0.00
"RP",05/02/2020,1,"",124,"Called to Freedom","DQ","N","f",2017,3,"Okla","Patricia Peery","B.","Freighttrain B","Pyc Paint Your Wagon","Divine Calling","Strawfly Special","Patricia Peery","",0,0.000,03/28/2020,"","L","",15.00,0,"Hernandez-Gallardo J","Peery Durk L",2,0.765,2,0,0,0,0.090,1,0,0,0,0.855,3,0,0,0,0.340,1,0,0,0,0.000,0,0,0,0,0.855,3,0,0,0,0.765,2,0,0,0,0.000,0,0,0,0,"",0,0.000,0,0,0,0.00,0.00,0,0.000,0,0,0,0.00,0.00,0,0.000,0,0,0,0.00,0.00,3,0.000,0,0,0,0.00,0.00,0,0.000,0,0,0,"",,0,10/04/2019,0.000,"N","2019-20",8,3.90,0.13,8,0.13,3.90
"RP",05/02/2020,1,"",124,"Wickedly Corona","DQ","N","g",2017,3,"Okla","J E Smicklas Llc","Sor.","Five Bar Cartel","Corona Cartel","Wickedly Sweet","Mr. Greeley","Monica Estrada","",0,0.000,03/28/2020,"","L","",15.00,0,"Torres D A","Barraza-Rodriguez Mari",3,1.642,2,0,0,0,2.296,3,0,0,1,3.938,5,0,0,1,2.620,2,0,0,1,0.000,0,0,0,0,3.938,5,0,0,1,2.526,3,0,0,0,0.000,0,0,0,0,"",0,0.000,0,0,0,0.00,0.00,0,0.000,0,0,0,0.00,0.00,0,0.000,0,0,0,0.00,0.00,0,0.000,0,0,0,0.00,0.00,0,0.000,0,0,0,"",,0,10/26/2019,0.000,"N","2019-20",1,0.00,0.00,9,0.11,2.76
"RP",05/02/2020,1,"",124,"Spike My Punch","DQ","N","g",2017,2,"Okla","Trenda Kay Cisper","B.","Euroears","Langfuhr","Iba Twiggy Ohs","Iba Bad Boy","Trenda K. Cisper","",0,0.000,03/27/2020,"","L","",15.00,0,"Esqueda C R","Strickland Donnie L",4,0.597,1,0,0,0,0.000,0,0,0,0,0.597,1,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0,0.597,1,0,0,0,0.597,1,0,0,0,0.000,0,0,0,0,"",0,0.000,0,0,0,0.00,0.00,0,0.000,0,0,0,0.00,0.00,0,0.000,0,0,0,0.00,0.00,0,0.000,0,0,0,0.00,0.00,0,0.000,0,0,0,"",,0,,1.500,"N","2019-20",12,0.00,0.00,12,0.00,0.00
"RP",05/02/2020,1,"",124,"Bv Shameless","DQ","N","f",2017,1,"Okla","Bella Vista Farms Llc","Br.","Tres Seis","Sixarun","Bv Valentine Wagon","Pyc Paint Your Wagon","Bella Vista Farms LLC","",0,0.000,04/09/2020,"","L","",15.00,0,"Baca B J","Willis Eddie L",5,4.520,1,0,1,0,7.783,5,0,1,1,12.303,6,0,2,1,6.073,3,0,1,0,0.000,0,0,0,0,12.303,6,0,2,1,11.720,3,0,2,1,0.000,0,0,0,0,"",0,0.000,0,0,0,0.00,0.00,0,0.000,0,0,0,0.00,0.00,0,0.000,0,0,0,0.00,0.00,0,0.000,0,0,0,0.00,0.00,0,0.000,0,0,0,"",,0,10/27/2019,0.000,"N","2019-20",36,0.69,0.08,36,0.08,0.69
"RP",05/02/2020,1,"",124,"Aprils Inseperable","DQ","N","f",2017,3,"Okla","Ronald and Tommie Richardson","B.","Inseperable","Separatist","April Two Eight","The Corona","Ronald and Tommie Richardson","",0,0.000,03/29/2020,"","L","",15.00,0,"Samaniego A R","Villafranco Luis",6,0.680,2,0,0,0,0.689,1,0,0,0,1.369,3,0,0,0,0.340,1,0,0,0,0.000,0,0,0,0,1.369,3,0,0,0,1.369,3,0,0,0,0.000,0,0,0,0,"",0,0.000,0,0,0,0.00,0.00,0,0.000,0,0,0,0.00,0.00,0,0.000,0,0,0,0.00,0.00,0,0.000,0,0,0,0.00,0.00,0,0.000,0,0,0,"",,0,05/04/2019,0.000,"N","2019-20",0,0.00,0.00,3,0.00,0.00
"RP",05/02/2020,1,"",124,"Jessies Molly D","DQ","N","f",2017,3,"Okla","Cynthia L or Charles Warren Sr","Sor.","Dominyun","Mr Jess Perry","Ok Blue Jessie","Jess Louisiana Blue","Juan Carlos Duron","",0,0.000,03/29/2020,"","L","",15.00,0,"Gutierrez G","Barraza-Rodriguez Mari",7,3.271,2,0,0,1,0.180,2,0,0,0,3.451,4,0,0,1,0.966,1,0,0,0,0.000,0,0,0,0,3.451,4,0,0,1,3.271,2,0,0,1,0.000,0,0,0,0,"",0,0.000,0,0,0,0.00,0.00,0,0.000,0,0,0,0.00,0.00,0,0.000,0,0,0,0.00,0.00,0,0.000,0,0,0,0.00,0.00,0,0.000,0,0,0,"",,0,11/08/2019,0.000,"N","2019-20",46,1.01,0.09,71,0.06,0.66
"RP",05/02/2020,1,"",126,"Ellens Hero","DQ","N","f",2016,2,"Okla","Ellen Kennedy Racing Llc","Blk.","Valiant Hero","First Down Dash","Pure Oklahoma","Takin On the Cash","Ellen Kennedy Racing LLC","",0,0.000,03/14/2020,"","L","",15.00,0,"Silva A","Villafranco Luis",8,0.340,1,0,0,0,8.775,9,0,1,2,20.558,20,0,2,6,5.368,3,0,2,0,0.000,0,0,0,0,20.558,20,0,2,6,8.317,8,0,0,3,0.000,0,0,0,0,"",0,0.000,0,0,0,0.00,0.00,0,0.000,0,0,0,0.00,0.00,0,0.000,0,0,0,0.00,0.00,0,0.000,0,0,0,0.00,0.00,0,0.000,0,0,0,"",,0,11/08/2019,0.000,"N","2019-20",56,1.21,0.11,89,0.10,1.20
"RP",05/02/2020,1,"",124,"Lota Paydirt","DQ","N","g",2017,1,"Okla","Jeff Jones and Steve Holt","Sor.","Lota Pyc","Pyc Paint Your Wagon","Shanondoah","Good Reason Sa","Jeff Jones and Steve Holt","",0,0.000,04/10/2020,"","L","",15.00,0,"Raudales R","Valdivia Guillermo",9,8.081,2,0,1,1,0.000,0,0,0,0,8.081,2,0,1,1,0.000,0,0,0,0,0.000,0,0,0,0,8.081,2,0,1,1,8.081,2,0,1,1,0.000,0,0,0,0,"",0,0.000,0,0,0,0.00,0.00,0,0.000,0,0,0,0.00,0.00,0,0.000,0,0,0,0.00,0.00,0,0.000,0,0,0,0.00,0.00,0,0.000,0,0,0,"",,0,,0.000,"N","2019-20",107,2.98,0.21,142,0.22,2.95
"RP",05/02/2020,1,"",124,"Capture de Stars","DQ","N","g",2017,4,"Okla","Gene Cox","Br.","Capo de Capi","Corona Cartel","Doyles Dashing Star","Heza Fast Dash","Gene Cox","",0,0.000,03/12/2020,"","L","",15.00,0,"Nieto P H","Mason Bradley W",10,0.726,1,0,0,0,5.964,3,0,0,2,6.690,4,0,0,2,0.000,0,0,0,0,0.000,0,0,0,0,6.690,4,0,0,2,6.690,4,0,0,2,0.000,0,0,0,0,"",0,0.000,0,0,0,0.00,0.00,8,0.000,0,2,0,0.00,0.25,0,0.000,0,0,0,0.00,0.00,0,0.000,0,0,0,0.00,0.00,0,0.000,0,0,0,"",,0,05/23/2019,0.000,"N","2019-20",2,4.60,0.50,2,0.50,4.60
