"RCDate","RCTrack","DateHeading","Ordinal","JTCode","Trainer","Starts","Wins","Places","Shows","AvgWinPayoff"
05/02/2020,"RP","From March 6 to May 1 2020 inclusive",1.00,"T","MASON BRADLEY W",21.00,4.00,1.00,2.00,16.65
05/02/2020,"RP","",2.00,"J","Vallejo R S",0.00,0.00,0.00,0.00,0.00
05/02/2020,"RP","",3.00,"J","Nieto P H",2.00,1.00,0.00,0.00,9.20
05/02/2020,"RP","",4.00,"T","RIOS ZACKERY N",0.00,0.00,0.00,0.00,0.00
05/02/2020,"RP","",5.00,"J","Wainscott C",0.00,0.00,0.00,0.00,0.00
05/02/2020,"RP","",6.00,"T","PEERY DURK L",24.00,0.00,3.00,1.00,0.00
05/02/2020,"RP","",7.00,"J","Hernandez-Gallardo J",5.00,0.00,0.00,0.00,0.00
05/02/2020,"RP","",8.00,"T","BROOKS REX DEAN",82.00,11.00,22.00,5.00,10.51
05/02/2020,"RP","",9.00,"J","Pulido J",55.00,10.00,15.00,4.00,11.04
05/02/2020,"RP","",10.00,"J","Hernandez-Gallardo J",1.00,0.00,0.00,0.00,0.00
05/02/2020,"RP","",11.00,"T","VILLAFRANCO LUIS",75.00,6.00,5.00,2.00,11.27
05/02/2020,"RP","",12.00,"J","Silva A",55.00,6.00,5.00,2.00,11.27
05/02/2020,"RP","",13.00,"J","Samaniego A R",0.00,0.00,0.00,0.00,0.00
05/02/2020,"RP","",14.00,"T","VARGAS RAYMOND H",6.00,1.00,0.00,0.00,10.40
05/02/2020,"RP","",15.00,"J","Goff B L Jr",6.00,1.00,0.00,0.00,10.40
05/02/2020,"RP","",16.00,"T","MANCILLAS JULIANA",13.00,0.00,1.00,0.00,0.00
05/02/2020,"RP","",17.00,"J","Ziegler Z",1.00,0.00,0.00,0.00,0.00
05/02/2020,"RP","",18.00,"J","Wainscott C",2.00,0.00,0.00,0.00,0.00
05/02/2020,"RP","",19.00,"T","BAEZA HARVEY",29.00,0.00,2.00,7.00,0.00
05/02/2020,"RP","",20.00,"J","Nieto P H",17.00,0.00,1.00,5.00,0.00
05/02/2020,"RP","",21.00,"T","GOMEZ JUAN J",16.00,0.00,0.00,1.00,0.00
05/02/2020,"RP","",22.00,"J","Alvidrez A",3.00,0.00,0.00,0.00,0.00
05/02/2020,"RP","",23.00,"J","Goff B L Jr",1.00,0.00,0.00,1.00,0.00
05/02/2020,"RP","",24.00,"T","ROBBINS MIKE",29.00,5.00,4.00,0.00,7.04
05/02/2020,"RP","",25.00,"J","Baca B J",16.00,3.00,1.00,0.00,7.93
05/02/2020,"RP","",26.00,"T","CARRIZALES MARCOS",30.00,8.00,3.00,3.00,6.80
05/02/2020,"RP","",27.00,"J","Alvarez J A",18.00,2.00,2.00,1.00,7.60
05/02/2020,"RP","",28.00,"T","ARROSSA MONTY",22.00,4.00,9.00,5.00,21.35
05/02/2020,"RP","",29.00,"J","Flores J A",12.00,3.00,3.00,4.00,18.93
05/02/2020,"RP","",30.00,"T","TRETO ROBERTO",9.00,1.00,2.00,0.00,6.40
05/02/2020,"RP","",31.00,"J","Delgado M",2.00,0.00,1.00,0.00,0.00
05/02/2020,"RP","",32.00,"T","JOHNSON TAMMY K",31.00,3.00,5.00,4.00,7.70
05/02/2020,"RP","",33.00,"J","Vega J",4.00,1.00,1.00,1.00,10.60
05/02/2020,"RP","",34.00,"T","OLMSTEAD JASON",70.00,7.00,9.00,10.00,5.51
05/02/2020,"RP","",35.00,"J","Packer B R",66.00,7.00,9.00,10.00,5.51
05/02/2020,"RP","",36.00,"T","CHARETTE-HILL STACY",79.00,3.00,8.00,13.00,13.13
05/02/2020,"RP","",37.00,"J","Torres J",72.00,2.00,7.00,13.00,14.20
05/02/2020,"RP","",38.00,"T","PONCE JOSUE",63.00,14.00,9.00,5.00,10.74
05/02/2020,"RP","",39.00,"J","Flores J A",30.00,8.00,6.00,2.00,8.93
05/02/2020,"RP","",40.00,"J","Vallejo R S",0.00,0.00,0.00,0.00,0.00
05/02/2020,"RP","",41.00,"T","WALKER GARY K",21.00,2.00,1.00,1.00,8.20
05/02/2020,"RP","",42.00,"J","Hernandez-Gallardo J",7.00,0.00,0.00,0.00,0.00
05/02/2020,"RP","",43.00,"T","ESPIRITU LUCIO",18.00,0.00,2.00,5.00,0.00
05/02/2020,"RP","",44.00,"J","Delgado M",9.00,0.00,1.00,3.00,0.00
05/02/2020,"RP","",45.00,"T","RODRIGUEZ MANUEL R",21.00,6.00,2.00,3.00,9.47
05/02/2020,"RP","",46.00,"J","Flores J A",13.00,6.00,0.00,2.00,9.47
05/02/2020,"RP","",47.00,"T","FOUTCH JOHN",19.00,2.00,1.00,2.00,17.10
05/02/2020,"RP","",48.00,"J","Garcia G",7.00,1.00,0.00,1.00,4.60
05/02/2020,"RP","",49.00,"T","PASCOE JASON",26.00,2.00,1.00,8.00,55.30
05/02/2020,"RP","",50.00,"J","Baca B J",4.00,0.00,0.00,2.00,0.00
05/02/2020,"RP","",51.00,"J","Birzer B",11.00,1.00,0.00,1.00,97.80
05/02/2020,"RP","",52.00,"T","CHAVIRA LUZ",36.00,2.00,5.00,2.00,5.30
05/02/2020,"RP","",53.00,"J","Gutierrez G",3.00,0.00,1.00,0.00,0.00
05/02/2020,"RP","",54.00,"J","Torres D A",30.00,2.00,4.00,2.00,5.30
