"RCDate","RCTrack","Trainer","Starts","Wins","Places","Shows","WinPercent","MoneyPercent","AvgWinPayoff","SprintWins","SprintStarts","RouteWins","RouteStarts","TurfWins","TurfStarts","MainWins","MainStarts","MdnAndClmWins","MdnAndClmStarts","OtherWins","OtherStarts","ThirtyDaysWins","ThirtyDaysStarts","TenDaysWins","TenDaysStarts"
05/02/2020,"TAM","Bennett Gerald S",208.00,49.00,42.00,33.00,23.56,59.62,7.03,32.00,127.00,17.00,81.00,5.00,48.00,44.00,160.00,45.00,184.00,4.00,24.00,9.00,39.00,5.00,14.00
05/02/2020,"TAM","O'Connell Kathleen",142.00,25.00,11.00,20.00,17.61,39.44,8.10,10.00,46.00,15.00,96.00,7.00,60.00,18.00,82.00,21.00,127.00,4.00,15.00,1.00,21.00,0.00,3.00
05/02/2020,"TAM","Sweezey J Kent",130.00,18.00,14.00,15.00,13.85,36.15,18.60,7.00,33.00,11.00,97.00,11.00,82.00,7.00,48.00,15.00,96.00,3.00,34.00,5.00,29.00,0.00,6.00
05/02/2020,"TAM","Arriagada Juan",95.00,17.00,19.00,16.00,17.89,54.74,7.64,13.00,57.00,4.00,38.00,5.00,28.00,12.00,67.00,14.00,80.00,3.00,15.00,4.00,15.00,1.00,2.00
05/02/2020,"TAM","Dini Mike",91.00,17.00,21.00,10.00,18.68,52.75,12.07,5.00,30.00,12.00,61.00,8.00,52.00,9.00,39.00,13.00,70.00,4.00,21.00,2.00,16.00,0.00,5.00
05/02/2020,"TAM","Bowersock Maria",135.00,13.00,17.00,17.00,9.63,34.81,9.74,11.00,85.00,2.00,50.00,1.00,37.00,12.00,98.00,10.00,119.00,3.00,16.00,1.00,31.00,1.00,10.00
05/02/2020,"TAM","Ryan Derek S",70.00,12.00,9.00,15.00,17.14,51.43,12.37,5.00,18.00,7.00,52.00,5.00,43.00,7.00,27.00,10.00,59.00,2.00,11.00,1.00,12.00,0.00,5.00
05/02/2020,"TAM","Granitz Anthony J",65.00,12.00,8.00,9.00,18.46,44.62,11.60,3.00,19.00,9.00,46.00,7.00,44.00,5.00,21.00,11.00,54.00,1.00,11.00,5.00,15.00,1.00,3.00
05/02/2020,"TAM","Hamm Timothy",86.00,10.00,13.00,11.00,11.63,39.53,19.62,5.00,47.00,5.00,39.00,3.00,30.00,7.00,56.00,10.00,70.00,0.00,16.00,3.00,22.00,1.00,10.00
05/02/2020,"TAM","Danner Kelsey",73.00,10.00,13.00,13.00,13.70,49.32,9.10,5.00,29.00,5.00,44.00,5.00,32.00,5.00,41.00,9.00,62.00,1.00,11.00,2.00,10.00,0.00,2.00
