"RCTrack","RCDate","RCRace","ProgNum","PostPosition","Horse","Jockey","MLOdds"
"TAM",05/02/2020,1.00,"1","01","Dad's Yankees","Martinez W","5-1"
"TAM",05/02/2020,1.00,"2","02","Expediter","Allen R D Jr","8-1"
"TAM",05/02/2020,1.00,"3","03","Perfetto","Santos A","6-1"
"TAM",05/02/2020,1.00,"4","04","Malio's","Centeno D E","3-1"
"TAM",05/02/2020,1.00,"5","05","Lem Me Tel Ya","Feliciano R","8-1"
"TAM",05/02/2020,1.00,"6","06","Doc Kane","Mena R","12-1"
"TAM",05/02/2020,1.00,"7","07","Ox Trot","Wales G","5-1"
"TAM",05/02/2020,1.00,"8","08","Mulled Wine","Spieth S","30-1"
"TAM",05/02/2020,1.00,"9","09","Elusive Ro","Gallardo A A","7-2"
"TAM",05/02/2020,2.00,"1","01","Publicist","Gallardo A A","5-2"
"TAM",05/02/2020,2.00,"2","02","Thorceress","Garcia W A","20-1"
"TAM",05/02/2020,2.00,"3","03","Lolanita","Centeno D E","6-1"
"TAM",05/02/2020,2.00,"4","04","Nikki Bella","Santos A","7-2"
"TAM",05/02/2020,2.00,"5","05","Dreaming Diamonds","Martinez W","3-1"
"TAM",05/02/2020,2.00,"6","06","Cultural Mandate","Hernandez O K","10-1"
"TAM",05/02/2020,2.00,"7","07","I'llmakeyousmile","Mena R","5-1"
"TAM",05/02/2020,2.00,"8","08","Checotah","Garcia G","12-1"
"TAM",05/02/2020,3.00,"1","01","Lilys From Paris","Herrera J R","8-1"
"TAM",05/02/2020,3.00,"2","02","Enough Kisses","Hernandez H","20-1"
"TAM",05/02/2020,3.00,"3","03","Nerissa","Villa-Gomez H","7-2"
"TAM",05/02/2020,3.00,"4","04","All American Jewel","Mena R","4-1"
"TAM",05/02/2020,3.00,"5","05","Get Back Home","Suarez A","10-1"
"TAM",05/02/2020,3.00,"6","06","Calypso Key","Flores D R","4-1"
"TAM",05/02/2020,3.00,"7","07","Action Absolute Ds","Wales G","20-1"
"TAM",05/02/2020,3.00,"8","08","Worlds Apart","Gallardo A A","3-1"
"TAM",05/02/2020,3.00,"9","09","Paddy Kaye's Wild","Lopez C C","20-1"
"TAM",05/02/2020,3.00,"10","10","Tiznoise","Centeno D E","20-1"
"TAM",05/02/2020,3.00,"11","11","Dakota Beach","Rivera J L Jr","10-1"
"TAM",05/02/2020,3.00,"12","12","Nagini","Suarez A","5-2"
"TAM",05/02/2020,3.00,"13","13","Heavenly Joy","Gallardo A A","8-1"
"TAM",05/02/2020,3.00,"14","14","Flatout Screaming","Hernandez O K","30-1"
"TAM",05/02/2020,4.00,"1","01","Overpraise","Martinez W","7-2"
"TAM",05/02/2020,4.00,"2","02","Shift the Blame","Hernandez O K","15-1"
"TAM",05/02/2020,4.00,"3","03","One More Drink","Centeno D E","2-1"
