"RCTrack","RCDate","RCRace","ProgNum","PostPosition","Horse","Jockey","MLOdds"
"RP",05/02/2020,1.00,"1","01","Three Six Ocean Dr","Ramirez II A","10-1"
"RP",05/02/2020,1.00,"2","02","Called to Freedom","Hernandez-Gallardo J","20-1"
"RP",05/02/2020,1.00,"3","03","Wickedly Corona","Torres D A","8-1"
"RP",05/02/2020,1.00,"4","04","Spike My Punch","Esqueda C R","20-1"
"RP",05/02/2020,1.00,"5","05","Bv Shameless","Baca B J","5-1"
"RP",05/02/2020,1.00,"6","06","Aprils Inseperable","Samaniego A R","15-1"
"RP",05/02/2020,1.00,"7","07","Jessies Molly D","Gutierrez G","12-1"
"RP",05/02/2020,1.00,"8","08","Ellens Hero","Silva A","4-1"
"RP",05/02/2020,1.00,"9","09","Lota Paydirt","Raudales R","5-2"
"RP",05/02/2020,1.00,"10","10","Capture de Stars","Nieto P H","6-1"
"RP",05/02/2020,2.00,"1","01","Git Her Dun Goldie","Gutierrez G","20-1"
"RP",05/02/2020,2.00,"2","02","Dangerous Dan McGrew","Delgado M","20-1"
"RP",05/02/2020,2.00,"3","03","Capo de Quick","Klaiber J","5-2"
"RP",05/02/2020,2.00,"4","04","Livewires Apple","Smith C R","6-1"
"RP",05/02/2020,2.00,"5","05","Steele Runner","Brown D E","12-1"
"RP",05/02/2020,2.00,"6","06","Imatreasuredpyc","Ramirez II A","15-1"
"RP",05/02/2020,2.00,"7","07","Rilynn June","Raudales R","5-1"
"RP",05/02/2020,2.00,"8","08","Black Barrel","Brooks J D","8-1"
"RP",05/02/2020,2.00,"9","09","Bv Snow Chrome","Baca B J","4-1"
"RP",05/02/2020,2.00,"10","10","Cuz Shez Pure Country","Torres D A","10-1"
"RP",05/02/2020,3.00,"1","01","Merrilees Valentine","Wainscott C","12-1"
"RP",05/02/2020,3.00,"2","02","Steel Furrst","Silva A","15-1"
"RP",05/02/2020,3.00,"3","03","Shez Dashn by Trains","Hernandez-Gallardo J","10-1"
"RP",05/02/2020,3.00,"4","04","Jess My Lips","Ziegler Z","20-1"
"RP",05/02/2020,3.00,"5","05","Overserved","Dominguez J","4-1"
"RP",05/02/2020,3.00,"6","06","Hez Got a Caboose","Smith C R","20-1"
"RP",05/02/2020,3.00,"7","07","Sm Countryquikprince","Pulido J","6-1"
"RP",05/02/2020,3.00,"8","08","Apex Eagle","Raudales R","3-1"
"RP",05/02/2020,3.00,"9","09","Inseperable Hd","Klaiber J","5-1"
"RP",05/02/2020,3.00,"10","10","Frisco Candy Man","Birzer B","8-1"
"RP",05/02/2020,4.00,"1","01","Tres of Phoebe","Smith C R","5-1"
"RP",05/02/2020,4.00,"2","02","Simply Flying Angel","Samaniego A R","15-1"
"RP",05/02/2020,4.00,"3","03","Desirable Attitude","Torres D A","15-1"
"RP",05/02/2020,4.00,"4","04","Jj Flyinginthewind","Flores J A","3-1"
