"RCDate","RCTrack","DateHeading","Ordinal","JTCode","Trainer","Starts","Wins","Places","Shows","AvgWinPayoff"
05/02/2020,"GP","From April 2 to May 1 2020 inclusive",1.00,"T","HOUGH STANLEY M",11.00,4.00,1.00,2.00,8.35
05/02/2020,"GP","",2.00,"J","Saez L",5.00,2.00,1.00,1.00,8.50
05/02/2020,"GP","",3.00,"J","Vasquez M A",1.00,1.00,0.00,0.00,8.80
05/02/2020,"GP","",4.00,"T","MOTT WILLIAM I",19.00,0.00,1.00,2.00,0.00
05/02/2020,"GP","",5.00,"J","Meneses M",6.00,0.00,0.00,0.00,0.00
05/02/2020,"GP","",6.00,"J","Zayas E J",3.00,0.00,0.00,1.00,0.00
05/02/2020,"GP","",7.00,"T","NICKS RALPH E",16.00,0.00,2.00,1.00,0.00
05/02/2020,"GP","",8.00,"J","Jaramillo E",5.00,0.00,1.00,1.00,0.00
05/02/2020,"GP","",9.00,"T","MILLER HERBERT",11.00,2.00,0.00,4.00,13.50
05/02/2020,"GP","",10.00,"J","Torres C A*",1.00,0.00,0.00,0.00,0.00
05/02/2020,"GP","",11.00,"T","RAMIREZ LUIS M",4.00,1.00,0.00,0.00,36.00
05/02/2020,"GP","",12.00,"J","Fuentes M*",2.00,1.00,0.00,0.00,36.00
05/02/2020,"GP","",13.00,"T","GALLEGOS JOSE A",5.00,0.00,0.00,0.00,0.00
05/02/2020,"GP","",14.00,"J","Zayas E J",0.00,0.00,0.00,0.00,0.00
05/02/2020,"GP","",15.00,"T","ALVARADO JUAN",26.00,7.00,1.00,1.00,19.66
05/02/2020,"GP","",16.00,"J","Jaramillo E",11.00,5.00,1.00,0.00,17.04
05/02/2020,"GP","",17.00,"J","Vasquez M A",0.00,0.00,0.00,0.00,0.00
05/02/2020,"GP","",18.00,"T","DEVAUX CHERIE",3.00,0.00,0.00,0.00,0.00
05/02/2020,"GP","",19.00,"J","Zayas E J",1.00,0.00,0.00,0.00,0.00
05/02/2020,"GP","",20.00,"T","MAKER MICHAEL J",37.00,6.00,9.00,5.00,6.03
05/02/2020,"GP","",21.00,"J","Jaramillo E",1.00,0.00,0.00,0.00,0.00
05/02/2020,"GP","",22.00,"J","Saez L",15.00,4.00,4.00,3.00,6.10
05/02/2020,"GP","",23.00,"J","Gaffalione T",4.00,1.00,0.00,0.00,8.00
05/02/2020,"GP","",24.00,"T","DELGADO ALEXIS",8.00,1.00,0.00,0.00,13.40
05/02/2020,"GP","",25.00,"J","Reyes L",7.00,1.00,0.00,0.00,13.40
05/02/2020,"GP","",26.00,"T","SCHETTINO DOMINICK A",7.00,1.00,1.00,2.00,14.00
05/02/2020,"GP","",27.00,"J","Gaffalione T",2.00,0.00,0.00,2.00,0.00
05/02/2020,"GP","",28.00,"T","WILLIAMS MATTHEW J",3.00,0.00,0.00,0.00,0.00
05/02/2020,"GP","",29.00,"J","Maragh R",0.00,0.00,0.00,0.00,0.00
05/02/2020,"GP","",30.00,"T","ABREU FERNANDO",8.00,2.00,1.00,2.00,37.30
05/02/2020,"GP","",31.00,"J","Ortiz I Jr",0.00,0.00,0.00,0.00,0.00
05/02/2020,"GP","",32.00,"T","CORREAS IGNACIO IV",0.00,0.00,0.00,0.00,0.00
05/02/2020,"GP","",33.00,"J","Jaramillo E",0.00,0.00,0.00,0.00,0.00
05/02/2020,"GP","",34.00,"J","Landeros C",0.00,0.00,0.00,0.00,0.00
05/02/2020,"GP","",35.00,"T","TOMLINSON MICHAEL A",14.00,4.00,2.00,0.00,32.30
05/02/2020,"GP","",36.00,"J","Lebron V",1.00,0.00,1.00,0.00,0.00
05/02/2020,"GP","",37.00,"T","PRECIADO GUADALUPE",7.00,1.00,0.00,2.00,39.00
05/02/2020,"GP","",38.00,"J","Lopez P",0.00,0.00,0.00,0.00,0.00
05/02/2020,"GP","",39.00,"J","Ortiz I Jr",1.00,0.00,0.00,1.00,0.00
05/02/2020,"GP","",40.00,"T","SERVIS JOHN C",4.00,0.00,0.00,0.00,0.00
05/02/2020,"GP","",41.00,"J","Torres C A*",2.00,0.00,0.00,0.00,0.00
05/02/2020,"GP","",42.00,"T","BROWNLEE DAVID R",9.00,1.00,0.00,0.00,9.80
05/02/2020,"GP","",43.00,"J","Zayas E J",1.00,1.00,0.00,0.00,9.80
05/02/2020,"GP","",44.00,"T","CLEMENT CHRISTOPHE",21.00,0.00,4.00,3.00,0.00
05/02/2020,"GP","",45.00,"J","Zayas E J",1.00,0.00,0.00,0.00,0.00
05/02/2020,"GP","",46.00,"J","Davis D",0.00,0.00,0.00,0.00,0.00
05/02/2020,"GP","",47.00,"J","Ortiz I Jr",1.00,0.00,1.00,0.00,0.00
05/02/2020,"GP","",48.00,"T","VINSON JOHN J",7.00,1.00,1.00,1.00,4.40
05/02/2020,"GP","",49.00,"J","Juarez N",1.00,0.00,1.00,0.00,0.00
05/02/2020,"GP","",50.00,"T","ARNOLD GEORGE R II",17.00,1.00,0.00,2.00,5.40
05/02/2020,"GP","",51.00,"J","Landeros C",2.00,0.00,0.00,1.00,0.00
05/02/2020,"GP","",52.00,"T","RITVO KATHY",11.00,1.00,3.00,1.00,15.60
05/02/2020,"GP","",53.00,"J","Torres C A*",1.00,0.00,1.00,0.00,0.00
05/02/2020,"GP","",54.00,"T","SANCHEZ AMADOR M",23.00,3.00,1.00,3.00,27.07
05/02/2020,"GP","",55.00,"J","Berrios Hector I",14.00,3.00,0.00,3.00,27.07
05/02/2020,"GP","",56.00,"T","GRACIDA RUBEN",2.00,0.00,0.00,0.00,0.00
05/02/2020,"GP","",57.00,"J","Berrios Hector I",0.00,0.00,0.00,0.00,0.00
05/02/2020,"GP","",58.00,"T","CIBELLI JANE",19.00,2.00,3.00,3.00,6.00
05/02/2020,"GP","",59.00,"J","Lopez P",2.00,0.00,0.00,1.00,0.00
05/02/2020,"GP","",60.00,"T","TAGG BARCLAY",5.00,0.00,2.00,0.00,0.00
05/02/2020,"GP","",61.00,"J","Saez L",1.00,0.00,0.00,0.00,0.00
05/02/2020,"GP","",62.00,"T","STEPHENS JOHN",2.00,0.00,0.00,0.00,0.00
05/02/2020,"GP","",63.00,"J","Juarez N",2.00,0.00,0.00,0.00,0.00
05/02/2020,"GP","",64.00,"T","SERPE PHILIP M",5.00,1.00,1.00,0.00,82.00
05/02/2020,"GP","",65.00,"J","Rodriguez A A",1.00,0.00,0.00,0.00,0.00
05/02/2020,"GP","",66.00,"T","BRISSET RODOLPHE",9.00,2.00,0.00,1.00,10.90
05/02/2020,"GP","",67.00,"J","Ortiz I Jr",0.00,0.00,0.00,0.00,0.00
05/02/2020,"GP","",68.00,"J","Saez L",3.00,1.00,0.00,0.00,4.40
05/02/2020,"GP","",69.00,"T","DAVID CARLOS A",10.00,2.00,0.00,3.00,37.40
05/02/2020,"GP","",70.00,"J","Ortiz I Jr",0.00,0.00,0.00,0.00,0.00
05/02/2020,"GP","",71.00,"T","BREEN KELLY J",14.00,1.00,2.00,0.00,9.80
05/02/2020,"GP","",72.00,"J","Davis D",11.00,1.00,2.00,0.00,9.80
05/02/2020,"GP","",73.00,"J","Bravo J",1.00,0.00,0.00,0.00,0.00
