"RCTrack","RCDate","RCRace","AeMto","Weight","Horse","FD","TripleCrown","Sex","YBorn","MBorn","State","Breeder","Color","Sire","SireSire","Dam","DamSire","Owner","Sale","SaleYear","SalePrice","LastRaced","Bute","Lasix","Blinker","ClaimPrice","Apprentice","Jockey","Trainer","PostPosition","CYEarnings","CYStarts","CYWins","CYPlaces","CYShows","PYEarnings","PYStarts","PYWins","PYPlaces","PYShows","Earnings","Starts","Wins","Places","Shows","WEarnings","WStarts","WWins","WPlaces","WShows","TEarnings","TStarts","TWins","TPlaces","TShows","DEarnings","DStarts","DWins","DPlaces","DShows","TrkEarnings","TrkStarts","TrkWins","TrkPlaces","TrkShows","DistEarnings","DistStarts","DistWins","DistPlaces","DistShows","Entry","JockMeetStarts","JockMeetEarnings","JockMeetWins","JockMeetPlaces","JockMeetShows","JockMeetWinPct","JockMeetMoneyPct","JockYTDStarts","JockYTDEarnings","JockYTDWins","JockYTDPlaces","JockYTDShows","JockYTDWinPct","JockYTDMoneyPct","TrainerMeetStarts","TrainerMeetEarnings","TrainerMeetWins","TrainerMeetPlaces","TrainerMeetShows","TrainerMeetWinPct","TrainerMeetMoneyPct","TrainerYTDStarts","TrainerYTDEarnings","TrainerYTDWins","TrainerYTDPlaces","TrainerYTDShows","TrainerYTDWinPct","TrainerYTDMoneyPct","QtrStarts","QtrEarnings","QtrWins","QtrPlaces","QtrShows","EnteredTrack","EnteredDate","EnteredRace","StatsPriorYear","StudFee","Scratch","JTTrackPeriod","JTTrackStarts","JTTrackEarnings","JTTrackWinPct","JTAllStarts","JTAllWinPct","JTAllRoi"
"GP",05/02/2020,1,"M",120,"Wind Ridge","D","N","c",2017,3,"Md","R. S. Evans","B.","Tonalist","Tapit","Lonesome Town","Broken Vow","Robert S. Evans","",0,0.000,04/03/2020,"","L","",0.00,0,"Zayas E J","Clement Christophe",1,0.580,2,0,0,0,0.000,0,0,0,0,0.580,2,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0,0.580,2,0,0,0,0.380,1,0,0,0,0.200,1,0,0,0,"",138,0.000,18,18,19,0.13,0.40,432,0.000,49,61,53,0.11,0.38,21,0.000,0,4,3,0.00,0.33,97,0.000,19,18,10,0.20,0.48,0,0.000,0,0,0,"",,0,,15.000,"N","2019-20",1,0.00,0.00,1,0.00,0.00
"GP",05/02/2020,1,"",120,"Coach Temple","D","N","c",2017,3,"Ky","Edward A. Seltzer","B.","Curlin","Smart Strike","Wyomia","Vindication","Edward A. Seltzer","",0,0.000,,"","","",0.00,0,"Lebron V","Joseph Saffie A Jr",2,0.000,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0,"",70,0.000,6,7,5,0.09,0.26,226,0.000,25,18,24,0.11,0.30,40,0.000,7,8,4,0.18,0.48,173,0.000,42,33,20,0.24,0.55,0,0.000,0,0,0,"",,0,,175.000,"N","2019-20",16,3.11,0.38,16,0.38,3.11
"GP",05/02/2020,1,"",120,"Constitutional Pal","D","N","c",2017,4,"Ky","Marbat, LLC","B.","Constitution","Tapit","Palazzo Babe","Rahy","Goodwood Racing IX","KEESEP",18,25.000,09/18/2019,"","L","",0.00,0,"Lopez P","Cibelli Jane",3,2.980,2,0,0,0,0.000,0,0,0,0,2.980,2,0,0,0,0.000,0,0,0,0,2.480,1,0,0,0,0.500,1,0,0,0,0.000,0,0,0,0,2.480,1,0,0,0,"",15,0.000,2,2,2,0.13,0.40,430,0.000,79,49,77,0.18,0.48,19,0.000,2,3,3,0.11,0.42,81,0.000,19,12,11,0.23,0.52,0,0.000,0,0,0,"",,0,,40.000,"N","2019-20",55,3.38,0.31,69,0.30,3.23
"GP",05/02/2020,1,"",120,"Elusive Ruler","D","Y","g",2017,2,"Ky","Marylou Whitney Stables LLC","B.","Empire Maker","Unbridled","Elusive Bird","Elusive Quality","The Estate of Marylou Whitney","",0,0.000,02/15/2020,"","L","",0.00,0,"Landeros C","Wilkes Ian R",4,4.730,2,0,0,1,11.100,2,0,0,1,15.830,4,0,0,2,9.930,2,0,0,1,0.000,0,0,0,0,15.830,4,0,0,2,0.000,0,0,0,0,0.000,0,0,0,0,"",54,0.000,8,2,7,0.15,0.31,156,0.000,9,13,19,0.06,0.26,26,0.000,4,1,4,0.15,0.35,137,0.000,15,17,17,0.11,0.36,0,0.000,0,0,0,"BC",05/02/20,7,12/28/2019,0.000,"N","2019-20",104,1.99,0.12,251,0.12,1.75
"GP",05/02/2020,1,"",120,"Turn of Events","D","N","c",2017,3,"Ky","Bryant H. Prentice, III","B.","Hard Spun","Danzig","Srikinglybeautiful","Smart Strike","Three Diamonds Farm","OBSOPN",19,50.000,03/27/2020,"","L","",0.00,0,"Saez L","Maker Michael J",5,9.240,4,0,0,1,0.400,1,0,0,0,9.640,5,0,0,1,1.720,1,0,0,0,7.920,4,0,0,1,1.720,1,0,0,0,7.920,4,0,0,1,4.700,2,0,0,1,"",153,0.000,30,29,23,0.20,0.54,575,0.000,113,99,80,0.20,0.51,37,0.000,6,9,5,0.16,0.54,378,0.000,74,60,45,0.20,0.47,0,0.000,0,0,0,"",,0,12/11/2019,40.000,"N","2019-20",32,2.34,0.34,73,0.25,1.92
"GP",05/02/2020,1,"",120,"Win d'Oro","D","N","c",2017,4,"Ky","Dell Ridge Farm, LLC","Gr/ro","Medaglia d'Oro","El Prado*Ire","Tamboz","Tapit","John C. Oxley","KEESEP",18,650.000,02/15/2020,"","L","",0.00,0,"Gaffalione T","Casse Mark",6,0.860,2,0,0,0,1.370,2,0,0,0,2.230,4,0,0,0,0.430,1,0,0,0,1.800,3,0,0,0,0.430,1,0,0,0,0.430,1,0,0,0,1.800,3,0,0,0,"",113,0.000,26,21,15,0.23,0.55,486,0.000,85,82,65,0.17,0.48,45,0.000,5,6,4,0.11,0.33,262,0.000,37,37,34,0.14,0.41,0,0.000,0,0,0,"",,0,09/08/2019,200.000,"N","2019-20",74,1.50,0.15,155,0.15,1.42
"GP",05/02/2020,1,"",120,"East Lex","D","N","c",2017,2,"Ky","Helen Alexander & Hugo Lascelles","Ch.","City Zip","Carson City","Aguadilla","Stormy Atlantic","Bloom Racing Stable LLC and Hugh Lynch","OBSAPR",19,225.000,02/15/2020,"","L","",0.00,0,"Jaramillo E","Maker Michael J",7,5.500,1,0,0,1,0.000,1,0,0,0,5.500,2,0,0,1,0.000,1,0,0,0,5.500,1,0,0,1,0.000,1,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0,"",129,0.000,13,18,14,0.10,0.35,397,0.000,50,49,45,0.13,0.36,37,0.000,6,9,5,0.16,0.54,378,0.000,74,60,45,0.20,0.47,0,0.000,0,0,0,"",,0,12/27/2019,50.000,"N","2019-20",11,0.00,0.00,12,0.00,0.00
"GP",05/02/2020,1,"",120,"Lascari","F","N","c",2017,4,"GB","Bearstone Stud","Dk. b or br","Pivotal*GB","Polar Falcon","Alexander Ballet*GB","Mind Games*GB","Crystal Racing Enterprises, Stephen Scre","",0,0.000,04/02/2020,"","L","",0.00,0,"Zayas E J","De La Cerda Armando",8,0.380,1,0,0,0,0.000,0,0,0,0,0.380,1,0,0,0,0.000,0,0,0,0,0.380,1,0,0,0,0.000,0,0,0,0,0.380,1,0,0,0,0.000,0,0,0,0,"",138,0.000,18,18,19,0.13,0.40,432,0.000,49,61,53,0.11,0.38,14,0.000,1,1,2,0.07,0.29,51,0.000,7,5,5,0.14,0.33,0,0.000,0,0,0,"",,0,,0.000,"N","2019-20",11,0.22,0.09,11,0.09,0.22
"GP",05/02/2020,1,"",120,"Mighty Tough","D","N","c",2017,2,"Ky","G. Watts Humphrey Jr.","Ch.","Hard Spun","Danzig","Katerbug","Pulpit","Sea Gull Capital","OBSAPR",19,430.000,03/27/2020,"","L","",0.00,0,"Rodriguez A A","Hills Timothy A",9,0.430,1,0,0,0,0.000,0,0,0,0,0.430,1,0,0,0,0.000,0,0,0,0,0.430,1,0,0,0,0.000,0,0,0,0,0.430,1,0,0,0,0.000,0,0,0,0,"",62,0.000,4,4,10,0.06,0.29,97,0.000,6,7,14,0.06,0.28,12,0.000,0,1,1,0.00,0.17,35,0.000,1,6,2,0.03,0.26,0,0.000,0,0,0,"",,0,,40.000,"N","2019-20",22,3.23,0.14,22,0.14,3.23
"GP",05/02/2020,1,"",120,"Hero d'Oro","D","Y","c",2017,4,"Ky","G. Watts Humphrey Jr., Susan Keller, Vicki Oliver & G. Wat","Dk. b or br","Medaglia d'Oro","El Prado*Ire","After Thought","Fusaichi Pegasus","HRH Prince Sultan Bin Mishal Al Saud","FTFMAR",19,1200.000,02/29/2020,"","L","",0.00,0,"Ortiz I Jr","Brown Chad C",10,0.430,1,0,0,0,0.000,0,0,0,0,0.430,1,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0,0.430,1,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0,"",26,0.000,9,5,3,0.35,0.65,395,0.000,97,72,62,0.25,0.58,14,0.000,4,2,2,0.29,0.57,119,0.000,28,26,15,0.24,0.58,0,0.000,0,0,0,"BC",05/02/20,9,,200.000,"N","2019-20",53,2.00,0.26,230,0.26,1.74
"GP",05/02/2020,1,"",115,"Maine","D","N","c",2017,5,"Ky","Calumet Farm","Ch.","American Pharoah","Pioneerof the Nile","Parris Hill","A.P. Indy","D. J. Stable, LLC","OBSAPR",19,475.000,03/22/2020,"","L","",0.00,5,"Torres C A","Servis John C",11,2.580,2,0,0,0,0.000,0,0,0,0,2.580,2,0,0,0,0.000,0,0,0,0,2.580,2,0,0,0,0.000,0,0,0,0,2.580,2,0,0,0,0.430,1,0,0,0,"",58,0.000,8,8,8,0.14,0.41,366,0.000,41,48,53,0.11,0.39,4,0.000,0,0,0,0.00,0.00,67,0.000,13,6,10,0.19,0.43,0,0.000,0,0,0,"",,0,,0.000,"N","2019-20",9,1.62,0.22,9,0.22,1.62
"GP",05/02/2020,1,"",120,"Irked","D","N","c",2017,1,"Ky","Claiborne Farm & Adele B. Dilschneider","B.","War Front","Danzig","Vexed","Arch","Claiborne Farm and Adele B. Dilschneider","",0,0.000,04/10/2020,"","L","",0.00,0,"Meneses M","Mott William I",12,0.380,1,0,0,0,0.900,1,0,0,0,1.280,2,0,0,0,0.000,0,0,0,0,0.380,1,0,0,0,0.900,1,0,0,0,0.380,1,0,0,0,0.000,0,0,0,0,"",84,0.000,2,5,7,0.02,0.17,304,0.000,22,23,21,0.07,0.22,19,0.000,0,1,2,0.00,0.16,134,0.000,18,18,19,0.13,0.41,0,0.000,0,0,0,"",,0,07/13/2019,250.000,"N","2019-20",6,0.00,0.00,6,0.00,0.00
"GP",05/02/2020,2,"",123,"London Werewolf","D","N","g",2015,4,"Ky","Dan Bearden","B.","San Pablo","Jump Start","Howl At the Moon","Dynaformer","Michael S. Morrison","",0,0.000,04/12/2020,"","L","",8.00,0,"Lebron V","Morrison Michael S",1,14.280,5,1,1,1,24.545,12,1,3,2,39.518,20,2,4,3,3.335,3,0,0,1,1.570,5,0,0,0,37.948,15,2,4,3,26.655,12,1,3,3,12.393,4,1,1,0,"",70,0.000,6,7,5,0.09,0.26,226,0.000,25,18,24,0.11,0.30,1,0.000,0,0,0,0.00,0.00,8,0.000,1,2,1,0.13,0.50,0,0.000,0,0,0,"",,0,12/21/2019,6.500,"N","2019-20",12,1.57,0.08,15,0.13,1.79
"GP",05/02/2020,2,"",123,"King's Castle","D","N","g",2016,3,"Ky","Millennium Farms","Gr/ro","Mizzen Mast","Cozzene","My Place","Elusive Quality","Lucky J Stables, LLC","KEENOV",16,18.000,09/06/2019,"","L","",8.00,0,"Zayas E J","Sano Antonio",2,21.414,11,2,1,1,0.200,2,0,0,0,21.614,13,2,1,1,0.200,1,0,0,0,3.394,6,0,0,1,18.220,7,2,1,0,0.000,0,0,0,0,9.150,4,1,0,0,"",138,0.000,18,18,19,0.13,0.40,432,0.000,49,61,53,0.11,0.38,44,0.000,6,5,7,0.14,0.41,183,0.000,16,25,30,0.09,0.39,0,0.000,0,0,0,"",,0,12/15/2018,7.500,"N","2019-20",150,1.09,0.13,173,0.12,1.08
"GP",05/02/2020,2,"",116,"Baba Tobi","D","N","h",2014,2,"Fla","Pat Bosley & Field Commission Partnership","Dk. b or br","Field Commission","Service Stripe","Ok Let's Rock","Rock Slide","Irosofun Stable Inc.","",0,0.000,11/14/2019,"","L","",8.00,7,"Martinez G A","Rodriguez Hector F",3,8.380,11,0,2,1,36.350,8,1,0,1,96.670,27,2,4,3,17.170,4,0,3,0,0.000,1,0,0,0,96.670,26,2,4,3,82.440,17,2,1,2,45.030,16,1,2,0,"",23,0.000,0,1,1,0.00,0.09,131,0.000,3,14,13,0.02,0.23,7,0.000,0,0,0,0.00,0.00,21,0.000,1,0,1,0.05,0.10,0,0.000,0,0,0,"",,0,12/29/2018,2.500,"N","2019-20",13,1.15,0.08,14,0.14,4.03
"GP",05/02/2020,2,"",123,"Fives Wild","D","N","g",2016,5,"Ky","C. Kidder & N. Cole","Dk. b or br","Shanghai Bobby","Harlan's Holiday","Splendorella","Deputy Minister","Rancho Alegre and Anthony Coppola","KEEJAN",17,55.000,03/26/2020,"","L","",8.00,0,"Berrios Hector I","Gracida Ruben",4,1.540,4,0,0,0,21.410,8,1,1,1,33.105,15,2,1,1,0.000,0,0,0,0,21.330,9,1,1,1,11.775,6,1,0,0,1.620,3,0,0,0,0.405,1,0,0,0,"",45,0.000,7,3,4,0.16,0.31,123,0.000,21,15,13,0.17,0.40,2,0.000,0,0,0,0.00,0.00,21,0.000,4,0,2,0.19,0.29,0,0.000,0,0,0,"",,0,10/02/2019,18.000,"N","2019-20",0,0.00,0.00,0,0.00,0.00
"GP",05/02/2020,2,"",123,"Sighted","D","N","g",2015,2,"Fla","Alfredo Lichoa","B.","Gone Astray","Dixie Union","Fired Gold","Touch Gold","Rose Family Stable and Fred Labo","",0,0.000,04/12/2020,"","L","",8.00,0,"Olsson F","Rose Barry R",5,5.140,6,0,0,2,3.450,6,0,0,1,64.090,16,2,0,4,7.520,2,0,0,1,0.750,1,0,0,0,63.340,15,2,0,4,61.340,12,2,0,3,29.970,10,1,0,2,"",28,0.000,2,3,1,0.07,0.21,92,0.000,5,10,9,0.05,0.26,4,0.000,0,0,0,0.00,0.00,16,0.000,1,1,2,0.06,0.25,0,0.000,0,0,0,"",,0,11/22/2019,4.500,"N","2019-20",14,1.43,0.07,14,0.07,1.43
