Date,Horse Name,Horse Weight,Horse Age,Days Off,Number of Wins,Power Rating,Average Class Rating,Average Speed,Current Odds,Won Actual,Won SVM,Won XGBoost,Won Naive-Bayes
2020-06-04,stay home,118,6,13,9,89.1,96,83,10.0,0,0,0,1
2020-06-05,sevier,118,6,13,7,83.8,103,84,2.0,0,0,0,1
2020-06-05,fascilitator,118,5,18,5,87.9,100,85,2.5,0,0,0,1
2020-06-06,lady by choice,118,5,125,8,87.8,91,87,0.5,0,0,0,1
2020-06-06,laddie boy,118,9,13,9,84.7,96,83,4.5,0,0,0,1
2020-06-06,altito,118,6,13,8,75.0,99,85,4.5,0,0,0,1
2020-06-06,candy carlos,118,6,41,8,83.5,98,88,8.0,0,0,0,1
2020-06-06,america's surprise,118,3,299,0,76.3,88,83,2.0,0,0,1,1
2020-06-06,honest mischief,120,4,188,3,89.0,100,99,4.5,0,0,0,1
2020-06-06,bobby's wicked one,122,5,48,6,96.4,110,93,4.5,0,0,0,1
2020-06-06,tohui,123,4,314,1,83.8,88,89,10.0,0,0,0,1
2020-06-07,long on luck,118,6,476,3,74.0,104,92,2.0,0,0,1,1
2020-06-07,all about ashley,118,8,16,8,79.6,97,80,5.0,0,0,0,1
2020-06-07,fashionable lady,118,3,352,1,74.3,83,92,7.0,0,0,0,1
2020-06-07,flowers for lisa,122,7,175,12,83.6,108,88,9.0,0,0,0,1
2020-06-07,my sixth sense,122,4,48,4,94.7,97,91,6.0,0,0,0,1
2020-06-07,alfons walde (ire),125,4,343,0,70.6,92,87,2.0,0,0,0,1
2020-06-11,p r radio star,118,5,24,8,85.6,98,86,3.5,0,0,1,1
2020-06-11,hoonani road,118,5,74,6,89.3,98,95,4.0,0,0,0,1
2020-06-11,touching rainbows,118,7,54,7,93.5,106,92,2.0,0,0,0,1
2020-06-11,pat daddy,120,8,28,10,92.5,100,93,4.5,0,0,0,1
2020-06-12,bulletin,121,4,13,3,86.1,107,92,1.8,0,0,0,1
2020-06-12,copper town,121,6,474,0,74.3,111,93,1.8,0,0,0,1
2020-06-13,degrom,118,6,42,9,92.3,102,95,4.0,0,0,0,1
2020-06-13,popular kid,118,6,41,9,97.4,104,93,8.0,0,0,0,1
2020-06-13,he's no lemon,120,4,265,3,85.6,96,92,9.0,0,0,0,1
2020-06-14,hero for hire,118,7,414,4,79.6,81,79,3.0,0,0,0,1
2020-06-14,master ryan,124,4,310,0,80.1,93,85,8.0,0,0,0,1
2020-06-18,vanbrugh,122,5,271,0,72.6,101,94,3.5,0,0,0,1
2020-06-18,dontblamerocket,122,6,88,7,107.3,108,100,1.2,0,0,0,1
2020-06-19,dark arden,120,6,18,7,78.7,91,81,9.0,0,0,0,1
2020-06-19,morticia,121,6,21,10,106.3,108,103,1.0,0,0,0,1
2020-06-19,voting control,122,5,413,2,77.0,100,99,0.8,0,0,0,1
2020-06-20,hackberry,124,4,230,1,93.8,101,97,3.0,0,0,0,1
2020-06-20,aquaphobia,120,7,41,8,109.5,108,100,9.0,0,0,0,1
2020-06-21,above board,118,7,275,8,81.0,96,82,2.5,0,0,0,1
2020-06-21,lady cleopatra,120,6,21,9,71.9,84,66,2.5,0,0,1,1
2020-06-21,pete's play call,121,7,27,10,96.8,104,95,1.4,0,0,0,1
2020-06-21,k j's nobility,121,6,22,8,89.5,100,93,8.0,0,0,0,1
2020-06-21,joy epifora (arg),122,4,195,1,93.5,99,97,5.0,0,0,0,1
2020-06-21,civil servant,118,3,203,0,92.2,92,81,5.0,0,0,0,1
2020-06-25,zabava,118,4,18,4,90.7,95,84,1.6,0,0,0,1
2020-06-25,foxtail,118,6,265,1,88.6,102,93,2.5,0,0,0,1
2020-06-25,zapper van winkle,124,4,353,0,67.0,90,83,2.0,0,0,0,1
2020-06-25,mucho,121,4,34,3,104.3,102,96,2.0,0,0,0,1
2020-06-25,arthur's hope,121,6,128,12,101.7,103,91,15.0,0,0,0,1
2020-06-25,line judge,121,6,230,8,86.0,109,100,8.0,0,0,0,1
2020-06-25,he hate me,121,5,53,4,93.7,109,100,4.0,0,0,0,1
2020-06-26,top brass,118,7,34,7,84.6,102,90,3.5,0,0,0,1
2020-06-26,jungle warfare,122,5,27,4,97.8,101,95,3.5,0,0,0,1
2020-06-26,mr. misunderstood,122,6,33,12,102.2,110,97,2.5,0,0,0,1
2020-06-27,red again,118,6,57,8,87.1,94,82,13.0,0,0,0,1
2020-06-27,degrom,118,6,13,9,84.4,103,94,10.0,0,0,0,1
2020-06-27,clint maroon (gb),118,4,36,3,96.2,105,94,4.0,0,0,0,1
2020-06-27,crazy sexy munny,124,4,29,6,87.8,84,81,7.0,0,0,0,1
2020-06-27,ghoul (brz),121,5,28,6,94.1,103,86,1.8,0,0,0,1
2020-06-27,corruze,121,4,296,2,90.0,103,99,5.0,0,0,0,1
2020-06-27,go google yourself,120,5,69,7,96.6,103,94,10.0,0,0,0,1
2020-06-27,by my standards,122,4,55,5,108.6,102,98,1.8,0,0,0,1
2020-06-27,owendale,120,4,34,6,101.5,106,99,4.5,0,0,0,1
