Date,Horse Name,Horse Weight,Horse Age,Days Off,Number of Wins,Power Rating,Average Class Rating,Average Speed,Current Odds,Won Actual,Won SVM,Won XGBoost,Won Naive-Bayes
2020-06-04,silver ride,118,8,39,7,100.2,104,96,1.2,1,0,0,1
2020-06-04,guarana,121,4,256,1,88.0,102,108,0.2,1,0,1,1
2020-06-06,gentle ruler,122,5,69,5,99.9,103,96,0.8,1,0,0,1
2020-06-06,pinson,118,7,36,8,81.1,101,82,9.0,1,0,0,1
2020-06-07,petrov,118,6,12,5,86.1,106,88,3.5,1,0,0,1
2020-06-12,fast boat,121,5,117,6,107.5,105,98,2.5,1,0,0,1
2020-06-12,set piece (gb),122,4,204,0,90.1,104,98,1.8,1,0,0,1
2020-06-13,croatian,118,5,18,4,90.9,97,91,7.0,1,0,0,1
2020-06-14,heavens whisper,118,5,16,6,87.7,96,88,1.6,1,0,0,1
2020-06-14,catch a bid,122,4,239,2,94.0,96,98,1.6,1,0,0,1
2020-06-19,irritator,118,6,33,5,91.7,96,89,1.2,1,0,0,1
2020-06-19,laddie boy,118,9,12,9,82.4,96,75,1.8,1,0,1,1
2020-06-20,factor this,122,5,90,7,111.9,108,102,1.0,1,0,0,1
2020-06-25,absolutely aiden,121,4,26,5,97.8,99,89,3.5,1,0,0,1
2020-06-26,hold me black,118,6,39,5,88.1,101,88,4.0,1,0,0,1
2020-06-27,frost or frippery,123,7,36,12,92.0,95,92,0.5,1,0,0,1
2020-06-27,midnight bisou,124,5,118,11,107.2,112,111,0.5,1,0,0,1
2020-06-27,tom's d'etat,124,7,76,10,111.2,115,109,1.2,1,0,0,1
