Date,Horse Name,Horse Weight,Horse Age,Days Off,Number of Wins,Power Rating,Average Class Rating,Average Speed,Current Odds,Won Actual,Won SVM,Won XGBoost,Won Naive-Bayes
2020-06-04,french rose,118,3,18,2,74.0,84,70,4.0,0,0,0,0
2020-06-04,foreign exchange,120,3,32,2,76.4,83,66,2.0,0,0,0,0
2020-06-04,trafficiskillingme,118,3,92,0,70.2,72,66,21.0,0,0,0,0
2020-06-04,skyvalue,120,3,46,1,85.9,73,77,1.5,0,0,0,0
2020-06-04,urbanite,118,3,41,1,78.8,90,74,1.8,0,0,0,0
2020-06-04,urban light (ire),124,4,25,0,77.8,99,85,3.0,0,0,0,0
2020-06-04,delp,118,3,46,0,76.5,85,76,7.0,0,0,0,0
2020-06-04,heza handful,124,4,91,1,71.0,86,58,35.0,0,0,0,0
2020-06-04,majors vindication,124,4,46,0,75.6,90,74,12.0,0,0,0,0
2020-06-04,holy muchacho,118,3,12,1,74.8,90,71,12.0,0,0,0,0
2020-06-04,tiz mcnamara,124,5,34,1,81.9,93,82,5.0,0,0,0,0
2020-06-04,wicked valentine,118,3,76,0,48.0,70,52,60.0,0,0,0,0
2020-06-04,countless fun,118,3,53,0,74.2,81,57,4.5,0,0,0,0
2020-06-04,candy bizzness,118,3,83,0,38.3,85,18,14.0,0,0,0,0
2020-06-04,shesonspeeddial,118,3,81,0,56.4,77,52,25.0,0,0,0,0
2020-06-04,freshman class,125,4,35,0,75.1,82,69,1.8,0,0,0,0
2020-06-04,kowboy karma,118,5,76,4,83.6,106,90,3.5,0,0,0,0
2020-06-04,stay home,118,6,13,9,89.1,96,83,10.0,0,0,0,1
2020-06-04,el asesino,118,5,55,3,81.7,99,85,5.0,0,0,0,0
2020-06-04,spikes shirl,118,7,13,3,72.1,101,79,4.5,0,0,0,0
2020-06-04,sharp art,118,8,13,8,78.2,103,78,11.0,0,0,0,0
2020-06-04,saturday tryst,118,7,17,4,78.6,96,76,35.0,0,0,0,0
2020-06-04,lady's weekend,118,4,104,3,77.8,88,72,24.0,0,0,0,0
2020-06-04,super terrific,123,6,54,1,68.4,86,72,8.0,0,0,0,0
2020-06-04,baquero flies,118,3,18,1,55.7,77,55,40.0,0,0,0,0
2020-06-04,rustic rick,123,4,257,0,57.3,85,65,16.0,0,0,0,0
2020-06-04,hitthegroundrunnin,123,5,80,1,63.7,77,57,60.0,0,0,0,0
2020-06-04,piantagrane,123,5,66,0,60.0,81,71,40.0,0,0,0,0
2020-06-04,sammys dream,123,4,41,0,61.3,90,51,35.0,0,0,0,0
2020-06-04,true to dixie,123,5,123,1,72.2,83,69,17.0,0,0,0,0
2020-06-04,lanse mitan,118,3,39,1,68.9,77,62,4.5,0,0,0,0
2020-06-04,tom's last general,123,4,18,0,61.8,89,75,20.0,0,0,0,0
2020-06-04,scabbard,118,3,53,0,67.6,97,87,4.5,0,0,0,0
2020-06-04,botswana taps,124,4,146,1,95.1,86,91,10.0,0,0,0,0
2020-06-04,nepal up,124,4,104,1,77.0,92,74,70.0,0,0,0,0
2020-06-04,moon over miami,118,3,67,0,110.0,94,84,5.0,0,0,0,0
2020-06-04,dack janiel's,118,3,45,0,84.3,90,74,13.0,0,0,0,0
2020-06-04,lake nakuru,124,4,173,1,78.6,95,85,18.0,0,0,0,0
2020-06-04,labeq,124,5,236,1,78.9,92,75,3.0,0,0,0,0
2020-06-04,mantra,124,4,18,2,95.6,96,91,11.0,0,0,0,0
2020-06-04,sea of hope,124,4,18,1,72.0,95,80,3.5,0,0,0,0
2020-06-04,abounding joy,121,5,135,3,87.3,98,83,11.0,0,0,0,0
2020-06-04,peruvian appeal,121,4,95,4,95.2,94,89,18.0,0,0,0,0
2020-06-04,sunny dale,121,4,39,3,97.5,92,87,9.0,0,0,0,0
2020-06-04,headland,121,4,46,6,95.7,95,94,22.0,0,0,0,0
2020-06-04,please flatter me,121,4,305,4,80.4,95,87,13.0,0,0,0,0
2020-06-04,lady suebee,121,5,39,2,85.6,103,91,13.0,0,0,0,0
2020-06-04,bohemian bourbon,121,4,88,1,73.4,99,88,30.0,0,0,0,0
2020-06-04,captain billy roy,118,3,42,0,50.0,84,43,40.0,0,0,0,0
2020-06-04,shaw,118,3,74,0,65.6,84,68,9.0,0,0,0,0
2020-06-04,dyess,118,3,68,0,70.2,83,63,15.0,0,0,0,0
2020-06-04,dreamonmebaby,118,3,47,0,73.1,93,73,2.5,0,0,0,0
2020-06-04,greenback,118,3,82,0,63.6,83,69,14.0,0,0,0,0
2020-06-04,first citizen,118,3,47,0,74.2,86,69,13.0,0,0,0,0
2020-06-04,buy it,118,3,74,0,48.4,82,39,30.0,0,0,0,0
2020-06-04,benelux,118,3,95,0,54.5,89,57,50.0,0,0,0,0
2020-06-04,bourbon wisdom,118,3,17,0,85.3,92,73,2.0,0,0,1,0
