Date,Horse Name,Horse Weight,Horse Age,Days Off,Number of Wins,Power Rating,Average Class Rating,Average Speed,Current Odds,Won Actual,Won SVM,Won XGBoost,Won Naive-Bayes
2020-06-04,heart river,118,3,17,1,62.8,72,63,13.0,0,1,0,0
2020-06-04,bionic rosie,118,3,77,0,38.7,62,35,16.0,0,1,0,0
2020-06-04,easy tiger,118,3,55,0,56.8,81,52,2.0,0,1,0,0
2020-06-05,mi chachis intenta,118,3,18,1,66.4,73,60,2.0,0,1,0,0
2020-06-05,red jersey,123,4,18,1,39.6,77,52,4.0,0,1,0,0
2020-06-05,lucky as a seven,119,2,34,0,70.6,69,68,3.0,0,1,0,0
2020-06-05,teenage kicks,118,3,33,0,65.7,78,66,1.6,0,1,1,0
2020-06-06,bossy moment,120,2,8,0,61.4,83,48,1.8,0,1,1,0
2020-06-07,champagne bling,118,5,15,3,61.1,79,64,12.0,0,1,0,0
2020-06-11,little empire,119,2,16,0,45.9,74,33,24.0,0,1,0,0
2020-06-11,yamato,118,3,104,0,38.7,59,32,15.0,0,1,0,0
2020-06-11,taino house,118,3,19,0,59.0,78,59,8.0,0,1,0,0
2020-06-11,siete leguas,118,3,66,0,51.4,76,42,12.0,0,1,0,0
2020-06-11,archrival,118,3,19,0,63.2,74,64,4.0,0,1,0,0
2020-06-12,champagne affair,118,3,18,0,67.8,78,66,2.5,0,1,0,0
2020-06-12,rozafa,118,3,21,0,57.9,71,55,13.0,0,1,0,0
2020-06-13,mr. pickles,120,2,18,0,63.7,74,59,1.5,0,1,0,0
2020-06-14,free,118,3,13,0,66.1,80,57,1.8,0,1,0,0
2020-06-14,lady o'prado,118,3,20,0,54.2,81,50,7.0,0,1,0,0
2020-06-14,forty nine model,118,3,22,2,71.6,72,66,6.0,0,1,0,0
2020-06-14,golden rule haven,118,3,16,0,67.8,71,50,10.0,0,1,0,0
2020-06-14,magic mo,118,3,14,0,42.2,76,46,17.0,0,1,0,0
2020-06-14,big biz,118,3,22,0,57.5,81,49,18.0,0,1,0,0
2020-06-14,ihadadream,118,3,120,0,42.4,63,39,6.0,0,1,0,0
2020-06-18,lavalier,118,3,27,0,56.4,75,53,18.0,0,1,0,0
2020-06-18,ebony bay,118,3,74,0,44.1,79,51,7.0,0,1,0,0
2020-06-18,illusionista,118,3,69,0,56.5,70,47,10.0,0,1,0,0
2020-06-18,anglico,118,3,45,0,50.8,78,41,17.0,0,1,0,0
2020-06-18,it's all cash,118,3,24,0,47.0,75,52,8.0,0,1,0,0
2020-06-18,queenofcatniphill,118,3,31,1,60.6,82,58,4.0,0,1,0,0
2020-06-18,abounding,118,3,31,0,38.2,63,46,50.0,0,1,0,0
2020-06-18,mi bella,118,3,20,1,62.6,78,52,5.0,0,1,0,0
2020-06-19,heart river,118,3,14,1,72.4,73,66,4.0,0,1,0,0
2020-06-19,whoville,120,3,18,1,57.5,71,54,21.0,0,1,0,0
2020-06-21,call papa,120,2,26,0,68.2,74,62,3.0,0,1,0,0
2020-06-21,smooth music,110,2,22,0,70.5,87,57,10.0,0,1,0,0
2020-06-21,money well spent,118,3,34,0,58.5,79,60,1.0,0,1,0,0
2020-06-21,lanse mitan,118,3,16,1,74.1,77,64,2.0,0,1,0,0
2020-06-21,critic,118,3,20,1,55.4,80,57,18.0,0,1,0,0
2020-06-21,to the front,118,3,22,1,69.4,74,66,3.5,0,1,0,0
2020-06-25,panterita,111,3,24,0,67.6,78,66,23.0,0,1,0,0
2020-06-25,orb's soul,118,3,19,1,68.1,70,61,6.0,0,1,0,0
2020-06-25,west bank baby,118,3,33,1,58.5,74,59,10.0,0,1,0,0
2020-06-25,bucky,118,3,11,0,53.4,84,55,11.0,0,1,0,0
2020-06-26,miss sky cat,112,2,19,0,61.4,72,59,30.0,0,1,0,0
2020-06-26,tiz a bit lucky,109,2,28,0,70.5,83,60,17.0,0,1,0,0
2020-06-26,zippy ki yay,118,3,25,0,61.4,67,58,16.0,0,1,0,0
