Date,Horse Name,Horse Weight,Horse Age,Days Off,Number of Wins,Power Rating,Average Class Rating,Average Speed,Current Odds,Won Actual,Won SVM,Won XGBoost,Won Naive-Bayes
2020-06-04,dehydration,118,3,55,1,71.4,74,63,3.5,1,0,0,0
2020-06-04,lord dragon,124,4,33,1,77.1,95,84,5.0,1,0,0,0
2020-06-04,flashy biz,125,4,34,0,58.5,78,67,3.0,1,0,0,0
2020-06-04,silver ride,118,8,39,7,100.2,104,96,1.2,1,0,0,1
2020-06-04,botero,123,5,41,1,82.3,96,81,0.5,1,0,0,0
2020-06-04,counter offer,124,4,25,1,94.2,97,90,6.0,1,0,0,0
2020-06-04,higher authority,124,4,118,0,73.5,91,76,11.0,1,0,0,0
2020-06-05,knight's cross,124,4,18,2,83.1,87,77,14.0,1,0,0,0
2020-06-05,cafe mischief,123,4,76,1,50.9,75,53,35.0,1,0,0,0
2020-06-05,nomo ron,120,5,57,2,88.2,95,80,2.5,1,0,0,0
2020-06-05,new eagle,118,3,41,0,67.8,85,65,5.0,1,0,0,0
2020-06-05,orb's soul,118,3,18,0,59.6,70,60,3.5,1,1,0,0
2020-06-05,shedaresthedevil,118,3,34,1,87.1,92,83,1.4,1,0,0,0
2020-06-05,seranitsa,124,4,46,1,85.4,91,76,7.0,1,0,0,0
2020-06-05,wild union,118,3,33,0,84.4,83,76,2.0,1,0,0,0
2020-06-06,unfading beauty,118,6,77,3,70.1,86,70,6.0,1,0,0,0
2020-06-06,gentle ruler,122,5,69,5,99.9,103,96,0.8,1,0,0,1
2020-06-06,island song,124,4,40,0,67.2,88,77,3.0,1,0,0,0
2020-06-06,queen's mason,124,4,40,0,69.1,91,76,4.5,1,0,0,0
2020-06-06,pinson,118,7,36,8,81.1,101,82,9.0,1,0,0,1
2020-06-06,tipsy gal,118,3,40,0,84.7,84,81,4.5,1,0,0,0
2020-06-06,high crime,123,4,13,0,85.5,97,91,1.8,1,0,0,0
2020-06-06,four graces,119,3,20,2,92.7,88,86,2.0,1,0,0,0
2020-06-06,queen medb (ire),125,4,286,0,67.8,87,79,2.5,1,0,0,0
2020-06-07,have no fear,118,4,111,3,75.1,79,69,0.6,1,0,0,0
2020-06-07,high risk strategy,118,5,16,5,69.0,91,73,8.0,1,0,0,0
2020-06-07,petrov,118,6,12,5,86.1,106,88,3.5,1,0,0,1
2020-06-07,quiet company,125,4,29,0,96.7,83,69,1.4,1,0,0,0
2020-06-07,river echo (gb),118,7,35,5,88.7,100,89,3.5,1,0,0,0
2020-06-07,nifty,121,4,57,2,105.8,98,95,2.5,1,0,0,0
2020-06-07,alkhaatam,124,5,16,2,93.8,105,91,21.0,1,0,0,0
2020-06-07,front man,118,3,50,0,57.5,88,60,15.0,1,0,0,0
2020-06-11,swither's shortcut,123,5,16,2,79.4,91,80,2.0,1,0,0,0
2020-06-11,sweet carolina,124,4,29,0,64.7,77,72,2.0,1,0,0,0
2020-06-11,white wolf,124,4,18,0,66.2,82,63,6.0,1,0,0,0
2020-06-11,hard belle,118,4,17,3,86.1,101,88,16.0,1,0,0,0
2020-06-11,vintage print,118,3,109,1,94.7,89,71,2.5,1,0,0,0
2020-06-11,youngest of five,123,4,62,0,95.1,98,93,1.8,1,0,0,0
2020-06-11,velvet crush,118,3,38,0,77.4,83,74,17.0,1,0,0,0
2020-06-11,tizahra,125,4,73,0,88.3,83,71,2.0,1,0,0,0
2020-06-12,drop dead gorgeous,124,4,21,0,70.4,78,68,0.5,1,0,0,0
2020-06-12,fast boat,121,5,117,6,107.5,105,98,2.5,1,0,0,1
2020-06-12,ronamo,125,4,47,0,82.0,84,79,1.2,1,0,0,0
2020-06-12,set piece (gb),122,4,204,0,90.1,104,98,1.8,1,0,0,1
2020-06-12,heros reward,118,3,13,2,78.7,90,79,3.5,1,0,0,0
