Date,Horse Name,Horse Weight,Horse Age,Days Off,Number of Wins,Power Rating,Average Class Rating,Average Speed,Current Odds,Won Actual,Won SVM,Won XGBoost,Won Naive-Bayes
2020-06-04,bourbon wisdom,118,3,17,0,85.3,92,73,2.0,0,0,1,0
2020-06-05,something natural,118,3,54,2,79.2,87,77,1.4,0,0,1,0
2020-06-05,teenage kicks,118,3,33,0,65.7,78,66,1.6,0,1,1,0
2020-06-05,can'tbetemall,118,3,281,0,90.3,90,66,4.0,0,0,1,0
2020-06-06,bossy moment,120,2,8,0,61.4,83,48,1.8,0,1,1,0
2020-06-06,america's surprise,118,3,299,0,76.3,88,83,2.0,0,0,1,1
2020-06-06,edgeway,119,3,40,2,104.7,97,101,1.6,0,0,1,0
2020-06-07,long on luck,118,6,476,3,74.0,104,92,2.0,0,0,1,1
2020-06-07,ruler of the nile,118,5,16,1,94.1,103,96,0.6,0,0,1,0
2020-06-11,p r radio star,118,5,24,8,85.6,98,86,3.5,0,0,1,1
2020-06-11,aurelia garland,118,3,25,0,73.6,87,87,0.8,0,0,1,0
2020-06-13,french rose,118,3,8,2,76.7,84,70,1.4,0,0,1,0
2020-06-13,finnick the fierce,118,3,41,1,104.0,92,85,1.5,0,0,1,0
2020-06-13,arklow,124,6,139,6,102.2,116,110,1.2,0,0,1,0
2020-06-14,toledo,118,3,27,1,91.3,92,91,1.4,0,0,1,0
2020-06-18,mad maddy,119,2,27,0,84.2,83,81,0.5,0,0,1,0
2020-06-21,the rock says,124,4,233,1,87.8,100,98,0.5,0,0,1,0
2020-06-21,lady cleopatra,120,6,21,9,71.9,84,66,2.5,0,0,1,1
2020-06-21,hollis,121,5,26,3,98.0,105,96,1.4,0,0,1,0
2020-06-25,rockin ready,122,5,118,1,84.3,96,87,2.5,0,0,1,0
