Date,Horse Name,Horse Weight,Horse Age,Days Off,Number of Wins,Power Rating,Average Class Rating,Average Speed,Current Odds,Won Actual,Won SVM,Won XGBoost,Won Naive-Bayes
2020-06-04,guarana,121,4,256,1,88.0,102,108,0.2,1,0,1,1
2020-06-06,volatile,120,4,42,3,115.0,99,105,0.5,1,0,1,0
2020-06-07,lead guitar,123,4,232,1,84.2,86,89,0.8,1,0,1,0
2020-06-12,admire,124,4,26,1,87.0,101,84,0.8,1,0,1,0
2020-06-13,art collector,118,3,26,0,81.2,91,91,1.4,1,0,1,0
2020-06-14,bonnet,125,4,16,2,71.0,84,72,1.5,1,0,1,0
2020-06-18,i'm busy,123,4,48,2,77.8,94,82,1.8,1,0,1,0
2020-06-19,laddie boy,118,9,12,9,82.4,96,75,1.8,1,0,1,1
2020-06-20,union maiden,118,3,25,0,66.4,82,76,1.2,1,0,1,0
2020-06-21,lady kate,122,4,35,0,81.6,94,85,1.8,1,0,1,0
2020-06-27,paris lights,120,3,26,1,110.4,85,92,0.6,1,0,1,0
2020-06-27,cazadero,120,2,28,1,104.2,87,99,0.4,1,0,1,0
