"RCDate","RCTrack","Trainer","Starts","Wins","Places","Shows","WinPercent","MoneyPercent","AvgWinPayoff","SprintWins","SprintStarts","RouteWins","RouteStarts","TurfWins","TurfStarts","MainWins","MainStarts","MdnAndClmWins","MdnAndClmStarts","OtherWins","OtherStarts","ThirtyDaysWins","ThirtyDaysStarts","TenDaysWins","TenDaysStarts"
05/02/2020,"GP","Pletcher Todd A",54.00,9.00,10.00,8.00,16.67,50.00,10.42,1.00,11.00,8.00,43.00,3.00,26.00,6.00,28.00,3.00,29.00,6.00,25.00,9.00,54.00,4.00,13.00
05/02/2020,"GP","Joseph Saffie A Jr",40.00,7.00,8.00,4.00,17.50,47.50,6.03,1.00,17.00,6.00,23.00,5.00,19.00,2.00,21.00,5.00,30.00,2.00,10.00,7.00,40.00,2.00,11.00
05/02/2020,"GP","Alvarado Juan",26.00,7.00,1.00,1.00,26.92,34.62,19.66,2.00,12.00,5.00,14.00,1.00,9.00,6.00,17.00,7.00,26.00,0.00,0.00,7.00,26.00,3.00,11.00
05/02/2020,"GP","Sano Antonio",44.00,6.00,5.00,7.00,13.64,40.91,39.47,2.00,19.00,4.00,25.00,4.00,19.00,2.00,25.00,5.00,39.00,1.00,5.00,6.00,44.00,2.00,20.00
05/02/2020,"GP","Maker Michael J",37.00,6.00,9.00,5.00,16.22,54.05,6.03,2.00,9.00,4.00,28.00,4.00,27.00,2.00,10.00,4.00,27.00,2.00,10.00,6.00,37.00,2.00,13.00
05/02/2020,"GP","Casse Mark",45.00,5.00,6.00,4.00,11.11,33.33,7.44,1.00,22.00,4.00,23.00,4.00,31.00,1.00,14.00,2.00,27.00,3.00,18.00,5.00,45.00,1.00,15.00
05/02/2020,"GP","McPeek Kenneth G",25.00,5.00,1.00,3.00,20.00,36.00,10.04,2.00,8.00,3.00,17.00,1.00,12.00,4.00,13.00,5.00,22.00,0.00,3.00,5.00,25.00,2.00,6.00
05/02/2020,"GP","Wilkes Ian R",26.00,4.00,1.00,4.00,15.38,34.62,27.00,1.00,9.00,3.00,17.00,3.00,14.00,1.00,12.00,2.00,18.00,2.00,8.00,4.00,26.00,1.00,5.00
05/02/2020,"GP","Hess R B Jr",16.00,4.00,3.00,1.00,25.00,50.00,8.60,2.00,8.00,2.00,8.00,2.00,8.00,2.00,8.00,3.00,12.00,1.00,4.00,4.00,16.00,0.00,6.00
05/02/2020,"GP","Tomlinson Michael A",14.00,4.00,2.00,0.00,28.57,42.86,32.30,3.00,8.00,1.00,6.00,2.00,7.00,2.00,7.00,4.00,12.00,0.00,2.00,4.00,14.00,1.00,4.00
05/02/2020,"GP","Brown Chad C",14.00,4.00,2.00,2.00,28.57,57.14,10.00,3.00,4.00,1.00,10.00,0.00,5.00,4.00,9.00,4.00,12.00,0.00,2.00,4.00,14.00,1.00,2.00
05/02/2020,"GP","Hough Stanley M",11.00,4.00,1.00,2.00,36.36,63.64,8.35,3.00,6.00,1.00,5.00,0.00,1.00,4.00,10.00,2.00,7.00,2.00,4.00,4.00,11.00,2.00,4.00
05/02/2020,"GP","Sanchez Amador M",23.00,3.00,1.00,3.00,13.04,30.43,27.07,2.00,13.00,1.00,10.00,2.00,13.00,1.00,10.00,3.00,20.00,0.00,3.00,3.00,23.00,0.00,3.00
05/02/2020,"GP","Barboza Victor Jr",23.00,3.00,3.00,3.00,13.04,39.13,6.47,2.00,16.00,1.00,7.00,0.00,2.00,3.00,21.00,3.00,22.00,0.00,1.00,3.00,23.00,2.00,12.00
05/02/2020,"GP","Pompay Terri",18.00,3.00,2.00,1.00,16.67,33.33,9.27,2.00,7.00,1.00,11.00,1.00,6.00,2.00,12.00,2.00,10.00,1.00,8.00,3.00,18.00,2.00,7.00
05/02/2020,"GP","Walder Peter R",12.00,3.00,2.00,1.00,25.00,50.00,14.93,1.00,6.00,2.00,6.00,0.00,2.00,3.00,10.00,2.00,10.00,1.00,2.00,3.00,12.00,0.00,4.00
05/02/2020,"GP","Mejia Jaime",9.00,3.00,0.00,0.00,33.33,33.33,21.20,3.00,7.00,0.00,2.00,0.00,2.00,3.00,7.00,3.00,8.00,0.00,1.00,3.00,9.00,3.00,9.00
05/02/2020,"GP","Fawkes David",21.00,2.00,3.00,3.00,9.52,38.10,20.30,1.00,10.00,1.00,11.00,1.00,9.00,1.00,12.00,2.00,19.00,0.00,2.00,2.00,21.00,1.00,5.00
05/02/2020,"GP","Cibelli Jane",19.00,2.00,3.00,3.00,10.53,42.11,6.00,1.00,6.00,1.00,13.00,2.00,15.00,0.00,4.00,2.00,13.00,0.00,6.00,2.00,19.00,1.00,5.00
05/02/2020,"GP","Romans Dale",17.00,2.00,2.00,0.00,11.76,23.53,16.30,1.00,5.00,1.00,12.00,0.00,7.00,2.00,10.00,2.00,11.00,0.00,6.00,2.00,17.00,2.00,7.00
05/02/2020,"GP","Miller Herbert",11.00,2.00,0.00,4.00,18.18,54.55,13.50,1.00,5.00,1.00,6.00,1.00,5.00,1.00,6.00,1.00,9.00,1.00,2.00,2.00,11.00,1.00,4.00
05/02/2020,"GP","David Carlos A",10.00,2.00,0.00,3.00,20.00,50.00,37.40,0.00,2.00,2.00,8.00,2.00,7.00,0.00,3.00,1.00,6.00,1.00,4.00,2.00,10.00,1.00,4.00
05/02/2020,"GP","Sancal Murat",9.00,2.00,1.00,1.00,22.22,44.44,13.20,2.00,5.00,0.00,4.00,1.00,4.00,1.00,5.00,2.00,8.00,0.00,1.00,2.00,9.00,1.00,2.00
05/02/2020,"GP","Brisset Rodolphe",9.00,2.00,0.00,1.00,22.22,33.33,10.90,1.00,3.00,1.00,6.00,1.00,5.00,1.00,4.00,2.00,7.00,0.00,2.00,2.00,9.00,1.00,5.00
05/02/2020,"GP","Abreu Fernando",8.00,2.00,1.00,2.00,25.00,62.50,37.30,2.00,6.00,0.00,2.00,2.00,6.00,0.00,2.00,2.00,7.00,0.00,1.00,2.00,8.00,1.00,1.00
05/02/2020,"GP","Weaver George",8.00,2.00,3.00,2.00,25.00,87.50,17.40,1.00,4.00,1.00,4.00,1.00,6.00,1.00,2.00,1.00,5.00,1.00,3.00,2.00,8.00,0.00,2.00
05/02/2020,"GP","Gargan Danny",7.00,2.00,3.00,0.00,28.57,71.43,4.90,0.00,0.00,2.00,7.00,2.00,6.00,0.00,1.00,1.00,4.00,1.00,3.00,2.00,7.00,1.00,1.00
05/02/2020,"GP","Gonzalez Oscar M",18.00,1.00,3.00,2.00,5.56,33.33,12.80,0.00,6.00,1.00,12.00,0.00,9.00,1.00,9.00,1.00,17.00,0.00,1.00,1.00,18.00,1.00,9.00
05/02/2020,"GP","Arnold George R II",17.00,1.00,0.00,2.00,5.88,17.65,5.40,0.00,3.00,1.00,14.00,1.00,9.00,0.00,8.00,1.00,14.00,0.00,3.00,1.00,17.00,0.00,3.00
05/02/2020,"GP","Crichton Rohan",17.00,1.00,1.00,3.00,5.88,29.41,4.80,0.00,11.00,1.00,6.00,1.00,7.00,0.00,10.00,1.00,14.00,0.00,3.00,1.00,17.00,0.00,4.00
05/02/2020,"GP","Dobles Elizabeth L",15.00,1.00,1.00,3.00,6.67,33.33,16.80,1.00,6.00,0.00,9.00,0.00,8.00,1.00,7.00,1.00,14.00,0.00,1.00,1.00,15.00,0.00,3.00
05/02/2020,"GP","De La Cerda Armando",14.00,1.00,1.00,2.00,7.14,28.57,11.60,1.00,4.00,0.00,10.00,1.00,9.00,0.00,5.00,1.00,10.00,0.00,4.00,1.00,14.00,1.00,5.00
05/02/2020,"GP","Breen Kelly J",14.00,1.00,2.00,0.00,7.14,21.43,9.80,0.00,5.00,1.00,9.00,1.00,6.00,0.00,8.00,1.00,11.00,0.00,3.00,1.00,14.00,0.00,4.00
05/02/2020,"GP","Delgado Gustavo",14.00,1.00,2.00,1.00,7.14,28.57,10.80,1.00,6.00,0.00,8.00,0.00,3.00,1.00,11.00,0.00,11.00,1.00,3.00,1.00,14.00,0.00,3.00
05/02/2020,"GP","Ritvo Kathy",11.00,1.00,3.00,1.00,9.09,45.45,15.60,0.00,5.00,1.00,6.00,1.00,7.00,0.00,4.00,1.00,5.00,0.00,6.00,1.00,11.00,1.00,4.00
05/02/2020,"GP","Hennig Mark",10.00,1.00,2.00,1.00,10.00,40.00,12.20,1.00,2.00,0.00,8.00,0.00,5.00,1.00,5.00,0.00,7.00,1.00,3.00,1.00,10.00,0.00,2.00
05/02/2020,"GP","Ward Wesley A",10.00,1.00,5.00,2.00,10.00,80.00,4.00,1.00,6.00,0.00,4.00,0.00,6.00,1.00,4.00,1.00,9.00,0.00,1.00,1.00,10.00,1.00,2.00
05/02/2020,"GP","Brownlee David R",9.00,1.00,0.00,0.00,11.11,11.11,9.80,1.00,1.00,0.00,8.00,0.00,5.00,1.00,4.00,1.00,9.00,0.00,0.00,1.00,9.00,0.00,2.00
05/02/2020,"GP","Delgado Alexis",8.00,1.00,0.00,0.00,12.50,12.50,13.40,0.00,4.00,1.00,4.00,1.00,2.00,0.00,6.00,1.00,8.00,0.00,0.00,1.00,8.00,0.00,1.00
05/02/2020,"GP","Duco Luis",8.00,1.00,1.00,1.00,12.50,37.50,12.60,0.00,5.00,1.00,3.00,0.00,1.00,1.00,7.00,1.00,8.00,0.00,0.00,1.00,8.00,0.00,2.00
