"RCDate","RCTrack","Jockey","Starts","Wins","Places","Shows","WinPercent","MoneyPercent","AvgWinPayoff","SprintWins","SprintStarts","RouteWins","RouteStarts","TurfWins","TurfStarts","MainWins","MainStarts","MdnAndClmWins","MdnAndClmStarts","OtherWins","OtherStarts","ThirtyDaysWins","ThirtyDaysStarts","TenDaysWins","TenDaysStarts"
05/02/2020,"LA","Orduna-Rojas F",104.00,27.00,27.00,14.00,25.96,65.38,10.31,27.00,104.00,0.00,0.00,0.00,0.00,27.00,104.00,27.00,104.00,0.00,0.00,5.00,28.00,2.00,11.00
05/02/2020,"LA","Guce R",89.00,20.00,17.00,15.00,22.47,58.43,6.02,20.00,89.00,0.00,0.00,0.00,0.00,20.00,89.00,20.00,88.00,0.00,1.00,6.00,27.00,3.00,11.00
05/02/2020,"LA","Sanchez J E",82.00,20.00,18.00,15.00,24.39,64.63,6.52,20.00,82.00,0.00,0.00,0.00,0.00,20.00,82.00,20.00,82.00,0.00,0.00,4.00,19.00,2.00,7.00
05/02/2020,"LA","Payeras E",107.00,16.00,20.00,25.00,14.95,57.01,6.03,16.00,107.00,0.00,0.00,0.00,0.00,16.00,107.00,16.00,107.00,0.00,0.00,4.00,21.00,2.00,10.00
05/02/2020,"LA","Hernandez E",64.00,10.00,4.00,10.00,15.63,37.50,8.34,10.00,64.00,0.00,0.00,0.00,0.00,10.00,64.00,10.00,64.00,0.00,0.00,3.00,18.00,1.00,9.00
05/02/2020,"LA","RojasFernandez E",54.00,10.00,9.00,2.00,18.52,38.89,13.44,10.00,54.00,0.00,0.00,0.00,0.00,10.00,54.00,10.00,53.00,0.00,1.00,2.00,17.00,1.00,8.00
05/02/2020,"LA","Flores V J*",19.00,5.00,3.00,2.00,26.32,52.63,9.20,5.00,19.00,0.00,0.00,0.00,0.00,5.00,19.00,5.00,19.00,0.00,0.00,3.00,14.00,0.00,7.00
05/02/2020,"LA","Bednar V",46.00,3.00,6.00,14.00,6.52,50.00,4.07,3.00,46.00,0.00,0.00,0.00,0.00,3.00,46.00,3.00,46.00,0.00,0.00,1.00,13.00,0.00,5.00
05/02/2020,"LA","Garcia E",40.00,3.00,2.00,6.00,7.50,27.50,11.60,3.00,40.00,0.00,0.00,0.00,0.00,3.00,40.00,3.00,39.00,0.00,1.00,0.00,6.00,0.00,2.00
05/02/2020,"LA","Lopez H R*",27.00,3.00,3.00,2.00,11.11,29.63,5.87,3.00,27.00,0.00,0.00,0.00,0.00,3.00,27.00,3.00,27.00,0.00,0.00,2.00,13.00,0.00,5.00
05/02/2020,"LA","Allen J A",18.00,1.00,1.00,5.00,5.56,38.89,6.00,1.00,18.00,0.00,0.00,0.00,0.00,1.00,18.00,1.00,18.00,0.00,0.00,0.00,1.00,0.00,0.00
05/02/2020,"LA","Huerta C M",0.00,0.00,0.00,0.00,.00,.00,.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
05/02/2020,"LA","Rangel J",0.00,0.00,0.00,0.00,.00,.00,.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
05/02/2020,"LA","Nicasio E",0.00,0.00,0.00,0.00,.00,.00,.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
05/02/2020,"LA","Viramontes A",0.00,0.00,0.00,0.00,.00,.00,.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
05/02/2020,"LA","Suarez G",0.00,0.00,0.00,0.00,.00,.00,.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
05/02/2020,"LA","Mendez S",0.00,0.00,0.00,0.00,.00,.00,.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
05/02/2020,"LA","Cervantes A R",0.00,0.00,0.00,0.00,.00,.00,.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
05/02/2020,"LA","Lozano R",0.00,0.00,0.00,0.00,.00,.00,.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
05/02/2020,"LA","Gasca E",0.00,0.00,0.00,0.00,.00,.00,.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
05/02/2020,"LA","Andrade O Jr",0.00,0.00,0.00,0.00,.00,.00,.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
05/02/2020,"LA","Jasso M A",0.00,0.00,0.00,0.00,.00,.00,.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
05/02/2020,"LA","Peinado O M",0.00,0.00,0.00,0.00,.00,.00,.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
05/02/2020,"LA","Mendez C",0.00,0.00,0.00,0.00,.00,.00,.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
