"RCTrack", "RCDate", "RCRace", "Horse", "Comment"
"LA",05/02/2020,1,"Dave's Gift","He ran well  to finish second when cutting back to five furlongs at Golden Gate Fields. He doesn t have a ton of early speed but could be one of the main closers here.   -Jose Contreras"
"LA",05/02/2020,1,"Groucho","He was bumped from both sides soon after the start and steadied back sharply. He then saved ground and showed some interest late to improve his position   -Jose Contreras"
"LA",05/02/2020,1,"Sharpshootingeorge","He broke out to bump at the start and showed no response late when racing towards the back of the pack against tougher. He is getting a weight break with an apprentice rider jumping aboard.   -Jose Contreras"
"LA",05/02/2020,1,"Love and Hold","He opened up a clear lead and looked like a winner until he got caught in the final strides. He has broken on top in two consecutive starts.   -Jose Contreras"
"LA",05/02/2020,1,"Here I Go Indy","He broke slow and stumbled at the start when breaking from the inside post a week ago. That was his first start in nine months.   -Jose Contreras"
"LA",05/02/2020,1,"Cupid's Victory","He broke on top and was chasing the pace through a 22.79 opening quarter and then lacked room late in the stretch when flattening out.   -Jose Contreras"
"LA",05/02/2020,1,"Delightful Fun","Will not race   -Jose Contreras"
"LA",05/02/2020,1,"Ridge Route","He didn t show any response when sprinting on the synthetic at Golden Gate Fields. The return to dirt and the drop in class could lead to a better result here.   -Jose Contreras"
"LA",05/02/2020,1,"Runaway Indy","He broke clean, was close to the pace going into the first turn and then dropped back to third before finishing a clear second as the betting favorite when going a mile on the synthetic.   -Jose Contreras"
"LA",05/02/2020,1,"Bryan Habana","Will not race   -Jose Contreras"
"LA",05/02/2020,2,"Arrivederci Amore","She broke well and showed early speed to settle in fifth early on. She then kept trying in between horses and held third behind Quite a Starlet who came back to win last week.   -Jose Contreras"
"LA",05/02/2020,2,"Grey Memo to David","Will not race.   -Jose Contreras"
"LA",05/02/2020,2,"Sweet Sassafrassy","She showed speed from post number two and dueled through a 22.53 opening quarter before tiring around the turn. Her gate speed makes her a major contender here.   -Jose Contreras"
"LA",05/02/2020,2,"Monchichi","She broke slowly and showed no response when racing over a good track last time out. She worked three furlongs in 35.20 on April 22 and is adding the blinkers on today.   -Jose Contreras"
"LA",05/02/2020,2,"Tenga's Jewel","She broke a bit sluggish from post number two and then made up some ground to move up to fourth around the turn before giving way late. In the same race as Arrivederci Amore.   -Jose Contreras"
