"RCTrack","RCDate","RCRace","Horse","FD","Foreign","Date","Track","Race","Surface","TimeformCode","Inner","Distance","Class","LongClass","ClaimPrice","Purse","TrkCond","RaceSex","RaceAge","StateBred","Starters","FirstFraction","SecondFraction","ThirdFraction","FourthFraction","FifthFraction","SixthFraction","FinalTime","FirstHorse","SecondHorse","ThirdHorse","FirstWeight","SecondWeight","ThirdWeight","FirstLenAdj","SecondLenAdj","ThirdLenAdj","GradedRace","GradedRaceDesc","ForeignCourse","PostPosition","FirstCall","FirstCallLenAdj","SecondCall","SecondCallLenAdj","ThirdCall","ThirdCallLenAdj","FourthCall","FourthCallLenAdj","StrCall","StrCallLenAdj","FinalCall","FinalCallLenAdj","DQ","DH","DQPlace","Beyer","Weight","Apprentice","Comment","LongComment","Odds","OddsPosition","Claimed","Lasix","Bute","Blinker","Bandage","AltEquipment","Jockey","Trainer","Entries","TrackVariant","SpeedRating","Breed","Owner","DistUnit","TimeUnit","LoPrice","TrainYear","TrainStarts","TrainWins","TrainPlaces","TrainShows","TrainWinPct","SealedTrack","PrevTrainYear","PrevTrainStarts","PrevTrainWins","PrevTrainPlaces","PrevTrainShows","PrevTrainWinPct","FirstFracHdths","SecondFracHdths","ThirdFracHdths","FourthFracHdths","FifthFracHdths","SixthFracHdths","FinalTimeHdths"
"LA",05/02/2020,1,"Ridge Route","D",,03/27/2020,"GG",4,"X","","",5.00,"MCL","Md 8000",8.00,11.640,"fst","-","3","",7,21.40,45.40,-1.00,-1.00,-1.00,-1.00,58.80,"Zinzan","Kind of Gallant","Neah Bay",120,122,121,4.00,0.75,2.00,0,"","E",5,6,0.00,7,10.50,7,17.50,0,0.00,5,18.00,5,12.75,"","",0,10,121,0,"Svd grnd to no avail","",9.10,4,"","L","","","","","Monroy F","Josephson J B","",10,75,"","","","H",8.00,"",0,0,0,0,0.00,"","",,,,,,21.48,45.49,-1.00,-1.00,-1.00,-1.00,58.86
"LA",05/02/2020,1,"Ridge Route","D",,02/17/2020,"GG",2,"X","","",8.00,"MCL","Md 8000",8.00,10.890,"fst","-","3","",6,24.80,50.40,115.60,128.60,-1.00,-1.00,141.20,"Spider Rico","Matson","Code Gray",121,120,120,0.25,2.50,0.75,0,"","A",1,1,1.00,1,0.50,1,0.10,0,0.00,3,1.60,6,6.75,"","",0,41,120,0,"Pace rail,cght,wknd","",7.20,5,"","L","","","","","Hernandez J J","Yakteen Tim","",21,66,"","","","H",8.00,"",0,0,0,0,0.00,"","2019",102,18,9,13,0.18,24.81,50.58,115.79,128.67,-1.00,-1.00,141.25
"LA",05/02/2020,1,"Ridge Route","D",,01/31/2020,"SA",7,"D","","",8.50,"MCL","Md 30000",30.00,25.000,"fst","-","3","",9,24.00,48.40,113.80,139.00,-1.00,-1.00,145.60,"Itsthattime","Handsome Michael","Royal Suspect",122,112,122,1.50,0.75,7.25,0,"","A",1,9,6.30,9,8.30,9,8.70,0,0.00,8,14.20,7,22.25,"","",0,30,122,0,"Saved ground,no threat","",40.10,7,"","L","","B","","","Fuentes R","Yakteen Tim","",21,53,"","","","H",30.00,"",0,0,0,0,0.00,"","",,,,,,24.03,48.56,113.92,139.18,-1.00,-1.00,145.68
"LA",05/02/2020,1,"Ridge Route","D",,12/28/2019,"SA",11,"D","","",6.00,"MCL","Md 50000",50.00,33.755,"fst","-","2","S",10,22.20,46.40,59.40,-1.00,-1.00,-1.00,112.60,"Include the Tax","Papa Tony","Sierra Melody",122,122,122,1.50,0.10,0.50,0,"","F",6,8,0.00,9,9.30,10,9.30,0,0.00,10,9.30,9,10.20,"","",0,30,122,0,"3wd into str,no rally","",36.80,7,"","L","","B","","","Talamo J","Yakteen Tim","",16,65,"","","","H",50.00,"",0,0,0,0,0.00,"","",,,,,,22.34,46.46,59.58,-1.00,-1.00,-1.00,112.74
"LA",05/02/2020,1,"Ridge Route","D",,12/07/2019,"LRC",9,"D","","",5.50,"MCL","Md 50000",50.00,22.755,"gd","-","2","S",10,21.80,45.60,58.00,-1.00,-1.00,-1.00,105.00,"Baltimore Beecho","Papa Tony","Beyond Precher",118,122,118,2.00,2.00,0.50,0,"","D",4,7,0.00,9,9.80,8,7.50,0,0.00,7,9.10,7,7.50,"","",0,32,122,0,"Broke in bit,no bid","",15.30,6,"","L","","B","","","Talamo J","Yakteen Tim","",10,77,"","","","H",40.00,"",0,0,0,0,0.00,"Y","",,,,,,21.96,45.73,58.12,-1.00,-1.00,-1.00,105.04
"LA",05/02/2020,1,"Love and Hold","D",,04/17/2020,"LA",1,"D","","",4.50,"MCL","Md 3500",3.50,7.500,"fst","-","31","",9,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,53.20,"Go Sammy Go","Love and Hold","Impeachment Ace",116,123,123,0.10,2.00,0.10,0,"","I",9,1,0.00,1,1.00,0,0.00,0,0.00,1,1.50,2,0.10,"","",0,33,123,0,"Lgd in early,clr,naild","",4.20,2,"","L","","B","F","","Guce R","Heredia Oscar","",13,83,"","","","H",3.50,"",0,0,0,0,0.00,"","",,,,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,53.30
"LA",05/02/2020,1,"Love and Hold","D",,04/03/2020,"LA",1,"D","","",4.50,"MCL","Md 3500",3.50,6.000,"fst","-","31","",6,22.80,46.40,-1.00,-1.00,-1.00,-1.00,52.60,"Lost the Minister","Bob Again","Love and Hold",120,123,123,0.10,2.75,4.00,0,"","B",2,1,0.00,1,1.00,0,0.00,0,0.00,3,0.60,3,2.85,"","",0,33,123,0,"Set pace,duel trn,wknd","",6.50,5,"","L","","B","F","","Aragon C M","Heredia Oscar","",13,83,"","","","H",3.50,"",0,0,0,0,0.00,"","",,,,,,22.89,46.55,-1.00,-1.00,-1.00,-1.00,52.78
"LA",05/02/2020,1,"Love and Hold","D",,03/14/2020,"LA",1,"D","","",4.50,"MCL","Md 3500",3.50,6.500,"fst","-","31","",8,22.00,45.80,-1.00,-1.00,-1.00,-1.00,52.20,"Mountain View","Love and Hold","Bob Again",120,123,123,2.00,0.50,4.00,0,"","D",4,3,0.00,2,4.00,0,0.00,0,0.00,2,1.00,2,2.00,"","",0,40,123,0,"Bpd twice,mild bid ins","",4.20,3,"","L","","B","F","","Aragon C M","Heredia Oscar","",14,86,"","","","H",3.50,"",0,0,0,0,0.00,"","",,,,,,22.12,45.98,-1.00,-1.00,-1.00,-1.00,52.33
"LA",05/02/2020,1,"Love and Hold","D",,02/28/2020,"LA",1,"D","","",4.50,"MCL","Md 3500",3.50,6.000,"fst","-","31","",5,22.40,46.40,-1.00,-1.00,-1.00,-1.00,53.00,"Son of a Queen","Love and Hold","Impeachment Ace",123,123,123,0.05,2.50,0.75,0,"","D",4,1,0.00,2,2.50,0,0.00,0,0.00,1,0.50,2,0.05,"","",0,38,123,0,"Drifted in str, caught","",8.40,4,"","L","","B","F","","Aragon C M","Heredia Oscar","",14,84,"","","","H",3.50,"",0,0,0,0,0.00,"","",,,,,,22.54,46.56,-1.00,-1.00,-1.00,-1.00,53.05
"LA",05/02/2020,1,"Love and Hold","D",,02/14/2020,"LA",1,"D","","",4.50,"MCL","Md 3500",3.50,6.500,"fst","-","31","",6,22.80,46.60,-1.00,-1.00,-1.00,-1.00,53.00,"Startling","Son of a Queen","Bob Again",122,124,123,1.75,0.75,3.00,0,"","F",6,1,0.00,2,0.10,0,0.00,0,0.00,4,5.00,5,9.00,"","",0,15,123,0,"Bpd rpeatdly,drftd out","",4.20,4,"","L","","B","F","","Aragon C M","Heredia Oscar","",13,75,"","","","H",3.50,"",0,0,0,0,0.00,"","",,,,,,22.92,46.66,-1.00,-1.00,-1.00,-1.00,53.10
