"RCTrack","RCDate","RCRace","ProgNum","PostPosition","Horse","Jockey","MLOdds"
"LA",05/02/2020,1.00,"1","01","Ridge Route","Sanchez J E","6-1"
"LA",05/02/2020,1.00,"2","02","Love and Hold","Guce R","7-2"
"LA",05/02/2020,1.00,"3","03","Here I Go Indy","Hernandez E","20-1"
"LA",05/02/2020,1.00,"4","04","Dave's Gift","Lopez H R","4-1"
"LA",05/02/2020,1.00,"5","05","Sharpshootingeorge","Flores V J","15-1"
"LA",05/02/2020,1.00,"6","06","Runaway Indy","Bednar V","5-2"
"LA",05/02/2020,1.00,"7","07","Cupid's Victory","Garcia E","4-1"
"LA",05/02/2020,1.00,"8","08","Groucho","Allen J A","8-1"
"LA",05/02/2020,2.00,"1","01","Via Alpina","Orduna-Rojas F","5-1"
"LA",05/02/2020,2.00,"2","02","Monchichi","Sanchez J E","6-1"
"LA",05/02/2020,2.00,"3","03","Sweet Sassafrassy","Bednar V","1-1"
"LA",05/02/2020,2.00,"4","04","Tenga's Jewel","Guce R","5-1"
"LA",05/02/2020,2.00,"5","05","Arrivederci Amore","Flores V J","9-2"
"LA",05/02/2020,2.00,"6","06","Mira Loma Madam","RojasFernandez E","8-1"
"LA",05/02/2020,3.00,"1","01","Stormin Trick","RojasFernandez E","10-1"
"LA",05/02/2020,3.00,"2","02","Gutsy Streak","Sanchez J E","6-1"
"LA",05/02/2020,3.00,"3","03","It's Just Bob","Allen J A","7-2"
"LA",05/02/2020,3.00,"4","04","Leedslimit","Orduna-Rojas F","3-1"
"LA",05/02/2020,3.00,"5","05","Johann's Command","Payeras E","4-1"
"LA",05/02/2020,3.00,"6","06","Uncle Goyle","Bednar V","4-1"
"LA",05/02/2020,3.00,"7","07","Fancy Terrace","Guce R","6-1"
"LA",05/02/2020,4.00,"1","01","Tim's Buddy","Payeras E","6-1"
"LA",05/02/2020,4.00,"2","02","Seven Scents","Sanchez J E","4-1"
"LA",05/02/2020,4.00,"3","03","Saddle Bar","Orduna-Rojas F","15-1"
"LA",05/02/2020,4.00,"4","04","Little No Way","Hernandez E","12-1"
"LA",05/02/2020,4.00,"5","05","Santaluz Dreamin","Flores V J","8-1"
"LA",05/02/2020,4.00,"6","06","Appreciated","RojasFernandez E","2-1"
"LA",05/02/2020,4.00,"7","07","Rebel War","Guce R","3-1"
"LA",05/02/2020,4.00,"8","08","Winsinfashion","Bednar V","10-1"
"LA",05/02/2020,5.00,"1","01","Val Sierrita","Suarez G","12-1"
"LA",05/02/2020,5.00,"2","02","Vf First Prize Mama","Gasca E","4-1"
"LA",05/02/2020,5.00,"3","03","Perry the Legacy","Jasso M A","7-2"
"LA",05/02/2020,5.00,"4","04","Apollitical Royal","Viramontes A","9-2"
"LA",05/02/2020,5.00,"5","05","Valentin Jqm","Cervantes A R","8-5"
"LA",05/02/2020,5.00,"6","06","Bc Corona Dude","Lozano R","9-2"
"LA",05/02/2020,6.00,"1","01","Df Fabulous Feiend","Suarez G","6-1"
"LA",05/02/2020,6.00,"2","02","Terrific Temper","Nicasio E","5-1"
"LA",05/02/2020,6.00,"3","03","Sassies Blues Girl","Andrade O Jr","5-2"
"LA",05/02/2020,6.00,"4","04","In Deep Thought","Bednar V","8-1"
"LA",05/02/2020,6.00,"5","05","Pour Corona","Gasca E","8-1"
"LA",05/02/2020,6.00,"6","06","Ms Racy Eagle","Peinado O M","2-1"
"LA",05/02/2020,6.00,"7","07","Jess Fortunate","Rangel J","8-1"
"LA",05/02/2020,7.00,"1","01","Check My Cartel","Huerta C M","4-1"
"LA",05/02/2020,7.00,"2","02","Favoriteladymelania","Nicasio E","3-1"
"LA",05/02/2020,7.00,"3","03","Walk Around","Lozano R","6-1"
"LA",05/02/2020,7.00,"4","04","Cm Singing the Blues","Cervantes A R","4-1"
"LA",05/02/2020,7.00,"5","05","Kick It Papa Joe","Jasso M A","9-2"
"LA",05/02/2020,7.00,"6","06","Mia Cartel","Andrade O Jr","5-2"
"LA",05/02/2020,8.00,"1","01","Single Brad","Bednar V","7-5"
"LA",05/02/2020,8.00,"2","02","Bac to Life","Cervantes A R","8-1"
"LA",05/02/2020,8.00,"3","03","Coronas Big Flash","Huerta C M","3-1"
"LA",05/02/2020,8.00,"4","04","Jess Paint Me","Nicasio E","4-1"
"LA",05/02/2020,8.00,"5","05","Delighted","Gasca E","15-1"
"LA",05/02/2020,8.00,"6","06","Leggolas","Rangel J","10-1"
"LA",05/02/2020,8.00,"7","07","The Good Saint Pat","Mendez C","8-1"
"LA",05/02/2020,9.00,"1","01","Chocolatito","Bednar V","3-1"
"LA",05/02/2020,9.00,"2","02","Tac Me Up","Nicasio E","9-2"
"LA",05/02/2020,9.00,"3","03","Rite Quick","Andrade O Jr","7-2"
"LA",05/02/2020,9.00,"4","04","Cartel Rocks","Mendez S","15-1"
"LA",05/02/2020,9.00,"5","05","Chicks Fayvorite","Lozano R","15-1"
"LA",05/02/2020,9.00,"6","06","Alamode","Mendez C","5-2"
"LA",05/02/2020,9.00,"7","07","My Favorite Cartel","Rangel J","4-1"
