"RCDate","RCTrack","Jockey","Starts","Wins","Places","Shows","WinPercent","MoneyPercent","AvgWinPayoff","SprintWins","SprintStarts","RouteWins","RouteStarts","TurfWins","TurfStarts","MainWins","MainStarts","MdnAndClmWins","MdnAndClmStarts","OtherWins","OtherStarts","ThirtyDaysWins","ThirtyDaysStarts","TenDaysWins","TenDaysStarts"
05/02/2020,"OP","Santana R Jr",298.00,58.00,49.00,30.00,19.46,45.97,8.47,37.00,169.00,21.00,129.00,0.00,0.00,58.00,298.00,31.00,168.00,27.00,130.00,22.00,107.00,10.00,51.00
05/02/2020,"OP","Talamo J",311.00,53.00,40.00,37.00,17.04,41.80,9.47,27.00,180.00,26.00,131.00,0.00,0.00,53.00,311.00,23.00,181.00,30.00,130.00,17.00,122.00,9.00,45.00
05/02/2020,"OP","Garcia M",274.00,53.00,32.00,24.00,19.34,39.78,11.18,29.00,152.00,24.00,122.00,0.00,0.00,53.00,274.00,35.00,161.00,18.00,113.00,20.00,101.00,8.00,35.00
05/02/2020,"OP","Cohen D",299.00,44.00,39.00,36.00,14.72,39.80,8.10,29.00,175.00,15.00,124.00,0.00,0.00,44.00,299.00,29.00,166.00,15.00,133.00,10.00,114.00,3.00,36.00
05/02/2020,"OP","Mojica O",256.00,36.00,35.00,28.00,14.06,38.67,11.68,23.00,151.00,13.00,105.00,0.00,0.00,36.00,256.00,21.00,166.00,15.00,90.00,9.00,85.00,1.00,29.00
05/02/2020,"OP","De La Cruz W",271.00,32.00,30.00,33.00,11.81,35.06,16.19,17.00,167.00,15.00,104.00,0.00,0.00,32.00,271.00,22.00,192.00,10.00,79.00,10.00,90.00,2.00,29.00
05/02/2020,"OP","Baze T C",278.00,29.00,37.00,43.00,10.43,39.21,11.41,14.00,159.00,15.00,119.00,0.00,0.00,29.00,278.00,20.00,167.00,9.00,111.00,10.00,108.00,1.00,37.00
05/02/2020,"OP","De La Cruz F",259.00,22.00,28.00,24.00,8.49,28.57,18.42,17.00,165.00,5.00,94.00,0.00,0.00,22.00,259.00,14.00,193.00,8.00,66.00,5.00,80.00,2.00,26.00
05/02/2020,"OP","Elliott S",246.00,20.00,33.00,20.00,8.13,29.67,24.50,14.00,147.00,6.00,99.00,0.00,0.00,20.00,246.00,16.00,164.00,4.00,82.00,9.00,86.00,4.00,33.00
05/02/2020,"OP","Vazquez R A",222.00,18.00,29.00,21.00,8.11,30.63,17.89,11.00,138.00,7.00,84.00,0.00,0.00,18.00,222.00,13.00,149.00,5.00,73.00,4.00,79.00,1.00,25.00
05/02/2020,"OP","Quinonez L S",143.00,14.00,9.00,16.00,9.79,27.27,27.04,11.00,92.00,3.00,51.00,0.00,0.00,14.00,143.00,10.00,103.00,4.00,40.00,3.00,52.00,2.00,22.00
05/02/2020,"OP","Cannon D",138.00,14.00,9.00,14.00,10.14,26.81,20.90,9.00,73.00,5.00,65.00,0.00,0.00,14.00,138.00,7.00,84.00,7.00,54.00,8.00,35.00,3.00,15.00
05/02/2020,"OP","Rocco J S Jr",119.00,12.00,7.00,11.00,10.08,25.21,14.67,5.00,62.00,7.00,57.00,0.00,0.00,12.00,119.00,9.00,80.00,3.00,39.00,3.00,42.00,1.00,18.00
05/02/2020,"OP","Thompson T J",111.00,12.00,8.00,13.00,10.81,29.73,11.10,7.00,73.00,5.00,38.00,0.00,0.00,12.00,111.00,8.00,78.00,4.00,33.00,3.00,42.00,1.00,17.00
05/02/2020,"OP","Rosario J",37.00,12.00,10.00,6.00,32.43,75.68,6.58,6.00,15.00,6.00,22.00,0.00,0.00,12.00,37.00,4.00,16.00,8.00,21.00,10.00,32.00,4.00,13.00
05/02/2020,"OP","Harr K*",145.00,10.00,17.00,18.00,6.90,31.03,14.62,7.00,99.00,3.00,46.00,0.00,0.00,10.00,145.00,8.00,109.00,2.00,36.00,2.00,51.00,0.00,19.00
05/02/2020,"OP","Bridgmohan J V",104.00,9.00,9.00,9.00,8.65,25.96,35.29,5.00,57.00,4.00,47.00,0.00,0.00,9.00,104.00,7.00,82.00,2.00,22.00,3.00,43.00,1.00,13.00
05/02/2020,"OP","Eramia R E",193.00,8.00,16.00,15.00,4.15,20.21,9.00,5.00,117.00,3.00,76.00,0.00,0.00,8.00,193.00,6.00,142.00,2.00,51.00,1.00,62.00,1.00,23.00
05/02/2020,"OP","Felix J E",152.00,7.00,12.00,15.00,4.61,22.37,17.31,6.00,101.00,1.00,51.00,0.00,0.00,7.00,152.00,7.00,117.00,0.00,35.00,3.00,41.00,1.00,15.00
05/02/2020,"OP","Borel C H",62.00,7.00,3.00,5.00,11.29,24.19,10.71,4.00,37.00,3.00,25.00,0.00,0.00,7.00,62.00,4.00,45.00,3.00,17.00,1.00,23.00,1.00,9.00
05/02/2020,"OP","Birzer A E",174.00,6.00,9.00,15.00,3.45,17.24,10.23,5.00,130.00,1.00,44.00,0.00,0.00,6.00,174.00,5.00,130.00,1.00,44.00,1.00,46.00,0.00,17.00
05/02/2020,"OP","Roberts C*",86.00,6.00,6.00,5.00,6.98,19.77,22.97,4.00,55.00,2.00,31.00,0.00,0.00,6.00,86.00,5.00,72.00,1.00,14.00,3.00,55.00,2.00,20.00
05/02/2020,"OP","Geroux F",22.00,5.00,3.00,1.00,22.73,40.91,5.48,2.00,9.00,3.00,13.00,0.00,0.00,5.00,22.00,3.00,7.00,2.00,15.00,1.00,11.00,0.00,2.00
05/02/2020,"OP","Canchari A L",142.00,4.00,10.00,15.00,2.82,20.42,10.00,3.00,93.00,1.00,49.00,0.00,0.00,4.00,142.00,3.00,98.00,1.00,44.00,0.00,57.00,0.00,29.00
05/02/2020,"OP","Roman K",69.00,2.00,4.00,2.00,2.90,11.59,11.80,2.00,52.00,0.00,17.00,0.00,0.00,2.00,69.00,2.00,65.00,0.00,4.00,0.00,16.00,0.00,5.00
05/02/2020,"OP","Mena M",14.00,2.00,0.00,1.00,14.29,21.43,27.30,1.00,5.00,1.00,9.00,0.00,0.00,2.00,14.00,2.00,7.00,0.00,7.00,1.00,11.00,0.00,4.00
05/02/2020,"OP","Hernandez B J Jr",13.00,2.00,1.00,1.00,15.38,30.77,20.20,0.00,2.00,2.00,11.00,0.00,0.00,2.00,13.00,0.00,4.00,2.00,9.00,1.00,10.00,1.00,1.00
05/02/2020,"OP","Wales T",50.00,1.00,1.00,4.00,2.00,12.00,7.80,0.00,33.00,1.00,17.00,0.00,0.00,1.00,50.00,1.00,45.00,0.00,5.00,0.00,12.00,0.00,5.00
05/02/2020,"OP","Bedford K E",19.00,1.00,0.00,0.00,5.26,5.26,16.00,1.00,15.00,0.00,4.00,0.00,0.00,1.00,19.00,1.00,17.00,0.00,2.00,1.00,10.00,0.00,4.00
05/02/2020,"OP","Lanerie C J",14.00,1.00,1.00,6.00,7.14,57.14,6.60,0.00,6.00,1.00,8.00,0.00,0.00,1.00,14.00,1.00,8.00,0.00,6.00,1.00,11.00,0.00,1.00
05/02/2020,"OP","Prat F",2.00,1.00,1.00,0.00,50.00,100.00,6.00,1.00,1.00,0.00,1.00,0.00,0.00,1.00,2.00,0.00,0.00,1.00,2.00,1.00,2.00,1.00,2.00
05/02/2020,"OP","Saez G",2.00,1.00,0.00,0.00,50.00,50.00,95.60,0.00,0.00,1.00,2.00,0.00,0.00,1.00,2.00,0.00,0.00,1.00,2.00,1.00,2.00,0.00,0.00
05/02/2020,"OP","Court J K",27.00,0.00,0.00,2.00,.00,7.41,.00,0.00,15.00,0.00,12.00,0.00,0.00,0.00,27.00,0.00,13.00,0.00,14.00,0.00,1.00,0.00,1.00
05/02/2020,"OP","Johnson J M",17.00,0.00,1.00,0.00,.00,5.88,.00,0.00,5.00,0.00,12.00,0.00,0.00,0.00,17.00,0.00,17.00,0.00,0.00,0.00,6.00,0.00,3.00
05/02/2020,"OP","Castellano J J",9.00,0.00,0.00,4.00,.00,44.44,.00,0.00,2.00,0.00,7.00,0.00,0.00,0.00,9.00,0.00,2.00,0.00,7.00,0.00,4.00,0.00,4.00
05/02/2020,"OP","Velazquez J R",4.00,0.00,0.00,2.00,.00,50.00,.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,4.00,0.00,2.00,0.00,2.00
05/02/2020,"OP","Carmouche K",3.00,0.00,0.00,0.00,.00,.00,.00,0.00,1.00,0.00,2.00,0.00,0.00,0.00,3.00,0.00,2.00,0.00,1.00,0.00,3.00,0.00,3.00
05/02/2020,"OP","Leparoux J R",1.00,0.00,0.00,1.00,.00,100.00,.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
05/02/2020,"OP","Hernandez J J",0.00,0.00,0.00,0.00,.00,.00,.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
05/02/2020,"OP","Camacho S",0.00,0.00,0.00,0.00,.00,.00,.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
