"RCTrack","RCDate","RCRace","Horse","FD","BestFastDirt","BestTurf","BestWet","BestDistance","BestLifetime","BestCurrentYear","BestPriorYear","BestTrackSurface","MudTurfMud","MudTurfTurf","MudTurfDistance"
"OP",05/02/2020,1,"Timely Tradition","D",86,70,77,86,86,86,75,0,"413","325","382"
"OP",05/02/2020,1,"Full of Grace","D",74,0,72,74,74,74,72,74,"318","191","369"
"OP",05/02/2020,1,"Miss Imperial","D",84,0,75,84,84,75,84,75,"414","283","391"
"OP",05/02/2020,1,"Hawt Mess","D",71,0,76,76,76,76,69,76,"361","274","359"
"OP",05/02/2020,1,"War Ballad","D",68,35,68,68,68,64,68,64,"346","347","364"
"OP",05/02/2020,1,"Lady C","D",68,0,72,34,72,72,67,68,"285","169","281"
"OP",05/02/2020,1,"First Alternate","D",80,61,77,74,80,74,80,80,"388","235","371"
"OP",05/02/2020,1,"Lexington Grace","F",0,84,0,0,84,79,84,0,"305*","343","291"
"OP",05/02/2020,1,"A. P. Princess","D",80,55,56,80,80,80,77,77,"396","251","368"
"OP",05/02/2020,1,"True Castle","D",81,63,78,81,81,81,64,81,"366","232","358"
"OP",05/02/2020,1,"Jaccat","D",79,74,57,75,79,79,75,57,"376","293","380"
"OP",05/02/2020,1,"She's a Dime","D",78,34,78,78,78,78,46,78,"403","306","356"
"OP",05/02/2020,2,"She's the Boss","D",0,50,0,0,50,50,0,0,"353","312","346"
"OP",05/02/2020,2,"Golden Eyed Queen","D",0,0,0,0,0,0,0,0,"317","275*","380"
"OP",05/02/2020,2,"Brittle and Yoo","D",0,0,0,0,0,0,0,0,"404","268","378"
"OP",05/02/2020,2,"Portofina","D",0,0,0,0,0,0,0,0,"403","295","375"
"OP",05/02/2020,2,"Extra Effort","D",0,0,0,0,0,0,0,0,"370","200","346"
"OP",05/02/2020,2,"Scolding","D",0,0,0,0,0,0,0,0,"371","280","356"
"OP",05/02/2020,2,"Undecidedcertainty","D",0,0,0,0,0,0,0,0,"280*","224*","280*"
"OP",05/02/2020,2,"Take Charge Glenda","D",0,0,0,0,0,0,0,0,"405","347","364"
"OP",05/02/2020,2,"Spurwink Lane","D",0,0,0,0,0,0,0,0,"386","254","343"
"OP",05/02/2020,2,"Bonus Baby","D",0,0,0,0,0,0,0,0,"413","268","370"
"OP",05/02/2020,2,"Clay's Quartz","D",0,0,0,0,0,0,0,0,"375","208","352"
"OP",05/02/2020,2,"Hurricane Tizway","D",0,0,0,0,0,0,0,0,"326","320","339"
"OP",05/02/2020,2,"Gurl You Fine","D",69,0,61,69,69,69,59,62,"389","235","367"
"OP",05/02/2020,2,"Shallow","D",36,0,0,36,36,36,10,36,"362","187","357"
"OP",05/02/2020,3,"Bank Man","D",61,0,53,61,61,61,27,61,"280*","224*","280*"
"OP",05/02/2020,3,"Captain Don","D",74,0,54,74,74,74,56,74,"392","216","381"
"OP",05/02/2020,3,"Bebop Shoes","D",79,65,71,79,79,72,79,79,"336","221*","208"
"OP",05/02/2020,3,"Tempt Fate","D",75,0,0,75,75,69,75,69,"311","252*","280"
"OP",05/02/2020,3,"Reef's Destiny","D",75,0,69,75,75,65,75,69,"324","245*","286"
"OP",05/02/2020,3,"Destinedtobeastar","D",62,27,57,62,62,62,62,62,"325","262*","282"
"OP",05/02/2020,3,"Wasabi Moon","D",64,53,59,64,64,59,64,59,"340","211","345"
"OP",05/02/2020,3,"Bogey","D",80,46,77,77,80,44,77,77,"358","234","354"
"OP",05/02/2020,3,"Cowboy Cactus Jack","D",56,0,60,60,60,55,60,60,"359","285","348"
"OP",05/02/2020,3,"Call Me Derby","D",60,0,58,60,60,60,53,60,"425","281","378"
"OP",05/02/2020,3,"Jack Be Quick","D",72,67,69,62,72,66,69,68,"301","228","317"
"OP",05/02/2020,3,"My Golden Diablo","D",61,0,45,61,61,61,45,61,"390","319","374"
"OP",05/02/2020,3,"Sir Brahms","D",68,83,64,64,83,68,83,68,"355","295","344"
"OP",05/02/2020,3,"Macho Rocco","D",50,0,50,50,50,50,0,50,"406","288*","281"
"OP",05/02/2020,4,"Brother Jukebox","D",0,0,11,11,11,11,0,11,"410*","258*","325*"
"OP",05/02/2020,4,"Bold Proposition","D",66,59,0,66,66,66,0,0,"424","324","373"
