"RCTrack","RCDate","RCRace","Horse","FD","Track","Date","Surface","Distance","TrkCond","WorkType","WorkTime","Bullet","Comment","Rank","RankIn","Race","DistUnit","TimeUnit"
"OP",05/02/2020,1,"Timely Tradition","D","Bel",04/25/2020,"E",4.00,"gd","B",49.80,"","",35,78,0,"F","F"
"OP",05/02/2020,1,"Timely Tradition","D","Bel",04/16/2020,"E",4.00,"fst","B",48.80,"","",11,54,0,"F","F"
"OP",05/02/2020,1,"Timely Tradition","D","Bel",03/06/2020,"E",4.00,"fst","B",49.40,"","",20,63,0,"F","F"
"OP",05/02/2020,1,"Timely Tradition","D","Bel",02/23/2020,"E",4.00,"fst","B",51.00,"","",112,130,0,"F","F"
"OP",05/02/2020,1,"Timely Tradition","D","Bel",02/14/2020,"E",4.00,"gd","B",51.20,"","",34,45,0,"F","F"
"OP",05/02/2020,1,"Full of Grace","D","OP",04/24/2020,"D",4.00,"fst","B",48.20,"","",17,84,0,"F","F"
"OP",05/02/2020,1,"Full of Grace","D","OP",04/17/2020,"D",4.00,"fst","B",48.00,"","",13,71,0,"F","F"
"OP",05/02/2020,1,"Full of Grace","D","OP",04/09/2020,"D",4.00,"fst","B",47.80,"","",8,34,0,"F","F"
"OP",05/02/2020,1,"Full of Grace","D","OP",04/02/2020,"D",4.00,"fst","B",47.00,"Y","",1,52,0,"F","F"
"OP",05/02/2020,1,"Full of Grace","D","OP",03/26/2020,"D",4.00,"fst","B",47.20,"Y","",1,65,0,"F","F"
"OP",05/02/2020,1,"Full of Grace","D","OP",02/29/2020,"D",4.00,"fst","B",48.00,"","",20,122,0,"F","F"
"OP",05/02/2020,1,"Miss Imperial","D","OP",04/26/2020,"D",3.00,"fst","B",37.40,"","",8,12,0,"F","F"
"OP",05/02/2020,1,"Miss Imperial","D","FG",03/28/2020,"D",4.00,"fst","B",48.40,"","",10,87,0,"F","F"
"OP",05/02/2020,1,"Miss Imperial","D","FG",03/19/2020,"D",4.00,"fst","B",49.40,"","",17,36,0,"F","F"
"OP",05/02/2020,1,"Miss Imperial","D","FG",02/22/2020,"D",4.00,"fst","B",50.00,"","",77,129,0,"F","F"
"OP",05/02/2020,1,"Hawt Mess","D","OP",03/01/2020,"D",4.00,"fst","B",49.60,"","",73,149,0,"F","F"
"OP",05/02/2020,1,"War Ballad","D","OP",04/21/2020,"D",5.00,"fst","B",101.60,"","",16,27,0,"F","F"
"OP",05/02/2020,1,"War Ballad","D","OP",03/21/2020,"D",4.00,"fst","B",50.60,"","",116,164,0,"F","F"
"OP",05/02/2020,1,"War Ballad","D","OP",02/23/2020,"D",5.00,"fst","B",102.40,"","",57,85,0,"F","F"
"OP",05/02/2020,1,"War Ballad","D","OP",02/02/2020,"D",3.00,"fst","B",35.80,"","",3,34,0,"F","F"
"OP",05/02/2020,1,"Lady C","D","FG",04/18/2020,"D",4.00,"gd","B",48.60,"","",20,112,0,"F","F"
"OP",05/02/2020,1,"Lady C","D","FG",04/11/2020,"D",4.00,"fst","B",49.80,"","",48,91,0,"F","F"
"OP",05/02/2020,1,"Lady C","D","OP",02/29/2020,"D",4.00,"fst","B",48.60,"","",37,122,0,"F","F"
"OP",05/02/2020,1,"Lady C","D","FG",02/20/2020,"D",5.00,"gd","B",100.80,"Y","",1,6,0,"F","F"
"OP",05/02/2020,1,"Lady C","D","FG",02/08/2020,"D",4.00,"fst","B",48.60,"","",31,148,0,"F","F"
"OP",05/02/2020,1,"First Alternate","D","OP",04/09/2020,"D",4.00,"fst","B",46.20,"Y","",1,34,0,"F","F"
"OP",05/02/2020,1,"First Alternate","D","OP",03/17/2020,"D",4.00,"my","B",54.00,"","",14,15,0,"F","F"
"OP",05/02/2020,1,"First Alternate","D","OP",03/01/2020,"D",3.00,"fst","B",37.60,"","",6,15,0,"F","F"
"OP",05/02/2020,1,"First Alternate","D","OP",02/16/2020,"D",5.00,"fst","B",102.00,"","",40,89,0,"F","F"
"OP",05/02/2020,1,"First Alternate","D","OP",02/03/2020,"D",4.00,"fst","B",47.60,"Y","",1,55,0,"F","F"
"OP",05/02/2020,1,"Lexington Grace","F","OP",04/26/2020,"D",4.00,"fst","B",48.40,"","",11,50,0,"F","F"
"OP",05/02/2020,1,"Lexington Grace","F","OP",04/18/2020,"D",4.00,"fst","B",49.60,"","",71,105,0,"F","F"
"OP",05/02/2020,1,"Lexington Grace","F","OP",04/11/2020,"D",6.00,"fst","B",115.00,"","",3,5,0,"F","F"
"OP",05/02/2020,1,"Lexington Grace","F","OP",04/05/2020,"D",4.00,"sly","B",49.40,"","",24,54,0,"F","F"
"OP",05/02/2020,1,"Lexington Grace","F","OP",03/08/2020,"D",4.00,"fst","B",48.60,"","",23,145,0,"F","F"
"OP",05/02/2020,1,"Lexington Grace","F","OP",02/09/2020,"D",4.00,"fst","B",49.00,"","",24,142,0,"F","F"
"OP",05/02/2020,1,"A. P. Princess","D","OP",04/19/2020,"D",4.00,"fst","B",52.00,"","",50,53,0,"F","F"
"OP",05/02/2020,1,"A. P. Princess","D","TP",03/21/2020,"X",3.00,"fst","B",36.60,"","",5,22,0,"F","F"
"OP",05/02/2020,1,"True Castle","D","OP",03/18/2020,"D",4.00,"sly","B",49.20,"","",5,26,0,"F","F"
"OP",05/02/2020,1,"True Castle","D","OP",02/20/2020,"D",4.00,"sly","B",49.40,"","",10,23,0,"F","F"
"OP",05/02/2020,1,"Jaccat","D","OP",04/15/2020,"D",3.00,"fst","B",38.40,"","",9,9,0,"F","F"
"OP",05/02/2020,1,"Jaccat","D","SA",04/05/2020,"D",4.00,"fst","H",51.40,"","",62,69,0,"F","F"
"OP",05/02/2020,1,"Jaccat","D","SA",03/30/2020,"D",4.00,"fst","H",49.40,"","",34,63,0,"F","F"
"OP",05/02/2020,1,"Jaccat","D","SA",03/16/2020,"D",4.00,"fst","H",49.20,"","",53,219,0,"F","F"
"OP",05/02/2020,1,"Jaccat","D","SA",03/08/2020,"D",4.00,"fst","H",50.80,"","",57,70,0,"F","F"
"OP",05/02/2020,1,"Jaccat","D","SA",02/15/2020,"D",4.00,"fst","H",51.40,"","",66,70,0,"F","F"
"OP",05/02/2020,1,"She's a Dime","D","OP",03/17/2020,"D",4.00,"my","B",50.00,"","",3,15,0,"F","F"
"OP",05/02/2020,1,"She's a Dime","D","OP",03/08/2020,"D",4.00,"fst","B",49.60,"","",56,145,0,"F","F"
"OP",05/02/2020,1,"She's a Dime","D","OP",02/29/2020,"D",4.00,"fst","B",49.80,"","",78,122,0,"F","F"
"OP",05/02/2020,1,"She's a Dime","D","OP",02/08/2020,"D",4.00,"fst","B",49.60,"","",53,80,0,"F","F"
"OP",05/02/2020,2,"She's the Boss","D","OP",04/25/2020,"D",5.00,"gd","B",102.80,"","",11,12,0,"F","F"
"OP",05/02/2020,2,"She's the Boss","D","OP",04/18/2020,"D",5.00,"fst","HG",100.20,"","",11,33,0,"F","F"
"OP",05/02/2020,2,"She's the Boss","D","OP",04/11/2020,"D",5.00,"fst","B",103.40,"","",36,41,0,"F","F"
"OP",05/02/2020,2,"She's the Boss","D","OP",04/02/2020,"D",4.00,"fst","B",49.20,"","",31,52,0,"F","F"
"OP",05/02/2020,2,"She's the Boss","D","SA",03/22/2020,"E",5.00,"fst","H",101.60,"","",7,24,0,"F","F"
"OP",05/02/2020,2,"She's the Boss","D","SA",03/16/2020,"D",4.00,"fst","H",48.40,"","",9,219,0,"F","F"
"OP",05/02/2020,2,"Golden Eyed Queen","D","OP",04/29/2020,"D",3.00,"gd","HG",37.60,"Y","",1,4,0,"F","F"
"OP",05/02/2020,2,"Golden Eyed Queen","D","OP",04/26/2020,"D",4.00,"fst","B",49.80,"","",31,50,0,"F","F"
"OP",05/02/2020,2,"Golden Eyed Queen","D","OP",04/18/2020,"D",5.00,"fst","B",101.40,"","",23,33,0,"F","F"
"OP",05/02/2020,2,"Golden Eyed Queen","D","OP",04/04/2020,"D",5.00,"sly","B",102.80,"","",16,33,0,"F","F"
"OP",05/02/2020,2,"Golden Eyed Queen","D","OP",03/29/2020,"D",4.00,"gd","B",54.00,"","",55,55,0,"F","F"
