"RCTrack","RCDate","RCRace","Horse","Trainer","Category","Starts","WinPct","ROI"
"RP",05/02/2020,1,"Aprils Inseperable","Villafranco Luis","Dirt",3,0.00,0.00
"RP",05/02/2020,1,"Aprils Inseperable","Villafranco Luis","Sprint",3,0.00,0.00
"RP",05/02/2020,1,"Aprils Inseperable","Villafranco Luis","MdnClm",3,0.00,0.00
"RP",05/02/2020,1,"Bv Shameless","Willis Eddie L","Dirt",3,0.00,0.00
"RP",05/02/2020,1,"Bv Shameless","Willis Eddie L","Sprint",3,0.00,0.00
"RP",05/02/2020,1,"Called to Freedom","Peery Durk L","31-60Days",3,0.00,0.00
"RP",05/02/2020,1,"Called to Freedom","Peery Durk L","Dirt",5,0.20,1.36
"RP",05/02/2020,1,"Called to Freedom","Peery Durk L","Sprint",2,0.00,0.00
"RP",05/02/2020,1,"Ellens Hero","Villafranco Luis","Dirt",3,0.00,0.00
"RP",05/02/2020,1,"Ellens Hero","Villafranco Luis","Sprint",3,0.00,0.00
"RP",05/02/2020,1,"Ellens Hero","Villafranco Luis","MdnClm",3,0.00,0.00
"RP",05/02/2020,1,"Jessies Molly D","Barraza-Rodriguez Mari","Dirt",1,0.00,0.00
"RP",05/02/2020,1,"Jessies Molly D","Barraza-Rodriguez Mari","Sprint",1,0.00,0.00
"RP",05/02/2020,1,"Jessies Molly D","Barraza-Rodriguez Mari","MdnClm",1,0.00,0.00
"RP",05/02/2020,1,"Spike My Punch","Strickland Donnie L","31-60Days",2,0.50,3.10
"RP",05/02/2020,1,"Spike My Punch","Strickland Donnie L","Dirt",2,0.50,3.10
"RP",05/02/2020,1,"Spike My Punch","Strickland Donnie L","Sprint",2,0.50,3.10
"RP",05/02/2020,1,"Wickedly Corona","Barraza-Rodriguez Mari","Dirt",1,0.00,0.00
"RP",05/02/2020,1,"Wickedly Corona","Barraza-Rodriguez Mari","Sprint",1,0.00,0.00
"RP",05/02/2020,1,"Wickedly Corona","Barraza-Rodriguez Mari","MdnClm",1,0.00,0.00
"RP",05/02/2020,2,"Black Barrel","Willis Eddie D","Dirt",5,0.20,0.60
"RP",05/02/2020,2,"Black Barrel","Willis Eddie D","Sprint",5,0.20,0.60
"RP",05/02/2020,2,"Black Barrel","Willis Eddie D","MdnClm",1,0.00,0.00
"RP",05/02/2020,2,"Capo de Quick","Willis Eddie D","Dirt",5,0.20,0.60
"RP",05/02/2020,2,"Capo de Quick","Willis Eddie D","Sprint",5,0.20,0.60
"RP",05/02/2020,2,"Capo de Quick","Willis Eddie D","MdnClm",1,0.00,0.00
"RP",05/02/2020,2,"Dangerous Dan McGrew","Espiritu Lucio","1stW/Trn",14,0.07,2.11
"RP",05/02/2020,2,"Dangerous Dan McGrew","Espiritu Lucio","31-60Days",21,0.00,0.00
"RP",05/02/2020,2,"Dangerous Dan McGrew","Espiritu Lucio","Dirt",161,0.09,2.31
"RP",05/02/2020,2,"Dangerous Dan McGrew","Espiritu Lucio","Sprint",118,0.08,1.72
"RP",05/02/2020,2,"Dangerous Dan McGrew","Espiritu Lucio","MdnClm",43,0.00,0.00
"RP",05/02/2020,3,"Inseperable Hd","Willis Eddie L","Dirt",3,0.00,0.00
"RP",05/02/2020,3,"Inseperable Hd","Willis Eddie L","Sprint",3,0.00,0.00
"RP",05/02/2020,3,"Inseperable Hd","Willis Eddie L","Claim",3,0.00,0.00
"RP",05/02/2020,3,"Steel Furrst","Villafranco Luis","Dirt",3,0.00,0.00
"RP",05/02/2020,3,"Steel Furrst","Villafranco Luis","Sprint",3,0.00,0.00
"RP",05/02/2020,4,"Birdies Babe","Baeza Harvey","1stStart",1,0.00,0.00
"RP",05/02/2020,4,"Birdies Babe","Baeza Harvey","Dirt",18,0.17,4.57
"RP",05/02/2020,4,"Birdies Babe","Baeza Harvey","Sprint",8,0.25,7.67
