"RCTrack","RCDate","RCRace","Horse","FD","Track","Date","Surface","Distance","TrkCond","WorkType","WorkTime","Bullet","Comment","Rank","RankIn","Race","DistUnit","TimeUnit"
"RP",05/02/2020,1,"Three Six Ocean Dr","DQ","Sil",02/09/2020,"D",2.20,"fst","B",13.80,"","",5,5,0,"Y","H"
"RP",05/02/2020,1,"Called to Freedom","DQ","RP",02/19/2020,"D",2.50,"fst","BG",13.98,"","",39,86,0,"Y","H"
"RP",05/02/2020,1,"Wickedly Corona","DQ","RP",02/19/2020,"D",2.20,"fst","H",13.22,"","",30,31,0,"Y","H"
"RP",05/02/2020,1,"Spike My Punch","DQ","RP",03/18/2020,"D",2.50,"my","HG",13.93,"","",9,35,0,"Y","H"
"RP",05/02/2020,1,"Spike My Punch","DQ","RP",03/11/2020,"D",2.50,"fst","HG",14.50,"","Not Approved",53,61,0,"Y","H"
"RP",05/02/2020,1,"Bv Shameless","DQ","RP",03/25/2020,"D",2.50,"fst","HG",13.62,"","",9,109,0,"Y","H"
"RP",05/02/2020,1,"Bv Shameless","DQ","RP",02/16/2020,"D",2.20,"fst","BG",13.04,"","",115,127,0,"Y","H"
"RP",05/02/2020,1,"Aprils Inseperable","DQ","RP",02/16/2020,"D",2.20,"fst","HG",12.53,"","",93,127,0,"Y","H"
"RP",05/02/2020,1,"Jessies Molly D","DQ","RP",02/15/2020,"D",2.50,"fst","HG",14.25,"","",59,128,0,"Y","H"
"RP",05/02/2020,1,"Ellens Hero","DQ","RP",02/16/2020,"D",2.20,"fst","H",11.60,"","",24,127,0,"Y","H"
"RP",05/02/2020,1,"Lota Paydirt","DQ","RP",03/05/2020,"D",2.50,"fst","HG",14.26,"","",62,78,0,"Y","H"
"RP",05/02/2020,1,"Lota Paydirt","DQ","RP",02/19/2020,"D",2.50,"fst","HG",13.70,"","",16,86,0,"Y","H"
"RP",05/02/2020,1,"Capture de Stars","DQ","RP",02/08/2020,"D",2.20,"fst","HG",11.47,"","",2,55,0,"Y","H"
"RP",05/02/2020,2,"Git Her Dun Goldie","DP","RP",02/28/2020,"D",2.50,"fst","HG",14.33,"","",61,100,0,"Y","H"
"RP",05/02/2020,2,"Git Her Dun Goldie","DP","RP",02/22/2020,"D",2.20,"fst","H",13.02,"","",120,144,0,"Y","H"
"RP",05/02/2020,2,"Dangerous Dan McGrew","DP","RP",02/19/2020,"D",2.50,"fst","HG",14.59,"","TRAINING-06",4,5,6,"Y","H"
"RP",05/02/2020,2,"Dangerous Dan McGrew","DP","RP",02/07/2020,"D",2.20,"fst","HG",13.38,"","",38,39,0,"Y","H"
"RP",05/02/2020,2,"Capo de Quick","DP","RP",02/22/2020,"D",2.20,"fst","HG",11.56,"","",5,144,0,"Y","H"
"RP",05/02/2020,2,"Capo de Quick","DP","RP",02/14/2020,"D",2.50,"fst","HG",14.40,"","TRAINING-06",4,6,6,"Y","H"
"RP",05/02/2020,2,"Livewires Apple","DP","RP",02/28/2020,"D",2.50,"fst","HG",14.33,"","",61,100,0,"Y","H"
"RP",05/02/2020,2,"Livewires Apple","DP","RP",02/12/2020,"D",2.50,"sly","HG",13.94,"","TRAINING-06",4,8,6,"Y","H"
"RP",05/02/2020,2,"Steele Runner","DP","RP",04/23/2020,"D",2.20,"gd","HG",12.46,"","",37,45,0,"Y","H"
"RP",05/02/2020,2,"Steele Runner","DP","RP",04/08/2020,"D",2.50,"fst","HG",13.94,"","",35,61,0,"Y","H"
"RP",05/02/2020,2,"Steele Runner","DP","RP",03/29/2020,"D",2.20,"fst","H",13.26,"","",31,34,0,"Y","H"
"RP",05/02/2020,2,"Imatreasuredpyc","DP","RP",03/15/2020,"D",2.20,"fst","HG",11.63,"","",10,42,0,"Y","H"
"RP",05/02/2020,2,"Imatreasuredpyc","DP","RP",02/28/2020,"D",2.20,"fst","HG",12.52,"","",23,33,0,"Y","H"
"RP",05/02/2020,2,"Imatreasuredpyc","DP","RP",02/14/2020,"D",2.50,"fst","HG",14.81,"","TRAINING-09",6,6,9,"Y","H"
"RP",05/02/2020,2,"Rilynn June","DP","RP",03/05/2020,"D",2.50,"fst","HG",14.11,"","",55,78,0,"Y","H"
"RP",05/02/2020,2,"Rilynn June","DP","RP",02/28/2020,"D",2.50,"fst","HG",14.60,"","",81,100,0,"Y","H"
"RP",05/02/2020,2,"Black Barrel","DP","RP",03/01/2020,"D",2.20,"fst","H",12.21,"","",20,46,0,"Y","H"
"RP",05/02/2020,2,"Black Barrel","DP","RP",02/28/2020,"D",2.50,"fst","HG",14.70,"","",95,100,0,"Y","H"
"RP",05/02/2020,2,"Bv Snow Chrome","DP","RP",02/19/2020,"D",2.50,"fst","HG",13.97,"","",36,86,0,"Y","H"
"RP",05/02/2020,2,"Bv Snow Chrome","DP","RP",02/08/2020,"D",2.20,"fst","HG",13.05,"","",41,55,0,"Y","H"
"RP",05/02/2020,2,"Cuz Shez Pure Country","DP","RP",02/14/2020,"D",2.50,"fst","HG",14.42,"","TRAINING-06",6,6,6,"Y","H"
