"RCDate","RCTrack","Jockey","Starts","Wins","Places","Shows","WinPercent","MoneyPercent","AvgWinPayoff","SprintWins","SprintStarts","RouteWins","RouteStarts","TurfWins","TurfStarts","MainWins","MainStarts","MdnAndClmWins","MdnAndClmStarts","OtherWins","OtherStarts","ThirtyDaysWins","ThirtyDaysStarts","TenDaysWins","TenDaysStarts"
05/02/2020,"TAM","Gallardo A A",449.00,106.00,71.00,61.00,23.61,53.01,6.81,49.00,187.00,57.00,262.00,43.00,200.00,63.00,249.00,86.00,374.00,20.00,75.00,21.00,76.00,11.00,31.00
05/02/2020,"TAM","Centeno D E",348.00,78.00,64.00,57.00,22.41,57.18,7.72,25.00,130.00,53.00,218.00,29.00,157.00,49.00,191.00,59.00,273.00,19.00,75.00,18.00,62.00,5.00,28.00
05/02/2020,"TAM","Suarez A",418.00,50.00,51.00,60.00,11.96,38.52,13.36,15.00,171.00,35.00,247.00,20.00,175.00,30.00,243.00,46.00,342.00,4.00,76.00,11.00,82.00,3.00,35.00
05/02/2020,"TAM","Mena R",226.00,28.00,26.00,25.00,12.39,34.96,14.33,16.00,123.00,12.00,103.00,7.00,69.00,21.00,157.00,28.00,213.00,0.00,13.00,9.00,57.00,2.00,22.00
05/02/2020,"TAM","Spieth S",215.00,25.00,22.00,26.00,11.63,33.95,15.27,13.00,99.00,12.00,116.00,8.00,75.00,17.00,140.00,21.00,188.00,4.00,27.00,4.00,54.00,2.00,21.00
05/02/2020,"TAM","Allen R D Jr",269.00,21.00,27.00,34.00,7.81,30.48,9.53,17.00,151.00,4.00,118.00,1.00,75.00,20.00,194.00,18.00,238.00,3.00,31.00,4.00,68.00,3.00,27.00
05/02/2020,"TAM","Hernandez H",233.00,20.00,22.00,21.00,8.58,27.04,10.65,6.00,100.00,14.00,133.00,7.00,91.00,13.00,142.00,18.00,210.00,2.00,23.00,3.00,62.00,1.00,15.00
05/02/2020,"TAM","Garcia W A",203.00,19.00,18.00,28.00,9.36,32.02,23.16,11.00,91.00,8.00,112.00,5.00,88.00,14.00,115.00,18.00,179.00,1.00,24.00,3.00,59.00,1.00,22.00
05/02/2020,"TAM","Santos A",162.00,18.00,23.00,16.00,11.11,35.19,18.48,13.00,93.00,5.00,69.00,4.00,43.00,14.00,119.00,18.00,156.00,0.00,6.00,10.00,53.00,5.00,26.00
05/02/2020,"TAM","Wales G",149.00,16.00,15.00,22.00,10.74,35.57,16.94,11.00,71.00,5.00,78.00,4.00,48.00,12.00,101.00,16.00,140.00,0.00,9.00,4.00,43.00,0.00,14.00
05/02/2020,"TAM","Martinez W",143.00,15.00,20.00,11.00,10.49,32.17,14.85,7.00,71.00,8.00,72.00,3.00,51.00,12.00,92.00,15.00,130.00,0.00,13.00,3.00,21.00,2.00,6.00
05/02/2020,"TAM","Mejia T B",212.00,12.00,27.00,30.00,5.66,32.55,14.20,6.00,104.00,6.00,108.00,4.00,85.00,8.00,127.00,11.00,190.00,1.00,22.00,3.00,57.00,1.00,16.00
05/02/2020,"TAM","Villa-Gomez H",99.00,12.00,14.00,23.00,12.12,49.49,20.77,2.00,24.00,10.00,75.00,8.00,46.00,4.00,53.00,12.00,90.00,0.00,9.00,3.00,15.00,1.00,6.00
05/02/2020,"TAM","Mendez K",111.00,11.00,6.00,8.00,9.91,22.52,25.85,8.00,63.00,3.00,48.00,5.00,31.00,6.00,80.00,10.00,106.00,1.00,5.00,2.00,20.00,0.00,8.00
05/02/2020,"TAM","Allen M",101.00,8.00,9.00,9.00,7.92,25.74,16.75,8.00,65.00,0.00,36.00,0.00,19.00,8.00,82.00,6.00,96.00,2.00,5.00,0.00,16.00,0.00,2.00
05/02/2020,"TAM","Alencar W",120.00,7.00,8.00,8.00,5.83,19.17,13.89,5.00,63.00,2.00,57.00,1.00,39.00,6.00,81.00,6.00,111.00,1.00,9.00,3.00,31.00,1.00,11.00
05/02/2020,"TAM","Lopez C C",75.00,6.00,6.00,8.00,8.00,26.67,21.23,4.00,40.00,2.00,35.00,0.00,26.00,6.00,49.00,6.00,74.00,0.00,1.00,2.00,23.00,1.00,8.00
05/02/2020,"TAM","Hernandez O K",87.00,4.00,6.00,9.00,4.60,21.84,11.00,2.00,50.00,2.00,37.00,1.00,28.00,3.00,59.00,4.00,86.00,0.00,1.00,0.00,16.00,0.00,6.00
05/02/2020,"TAM","Leon J A",75.00,4.00,1.00,5.00,5.33,13.33,37.25,2.00,44.00,2.00,31.00,1.00,22.00,3.00,53.00,4.00,75.00,0.00,0.00,2.00,11.00,0.00,0.00
05/02/2020,"TAM","Feliciano R",66.00,4.00,4.00,11.00,6.06,28.79,11.40,3.00,39.00,1.00,27.00,0.00,15.00,4.00,51.00,4.00,64.00,0.00,2.00,1.00,16.00,0.00,5.00
05/02/2020,"TAM","Cotto P L Jr",78.00,3.00,8.00,8.00,3.85,24.36,13.27,3.00,51.00,0.00,27.00,0.00,18.00,3.00,60.00,3.00,74.00,0.00,4.00,1.00,16.00,0.00,3.00
05/02/2020,"TAM","Almeida M",44.00,3.00,5.00,3.00,6.82,25.00,66.80,3.00,24.00,0.00,20.00,0.00,12.00,3.00,32.00,3.00,42.00,0.00,2.00,2.00,15.00,1.00,11.00
05/02/2020,"TAM","Coa K J",42.00,3.00,5.00,2.00,7.14,23.81,24.67,1.00,22.00,2.00,20.00,2.00,15.00,1.00,27.00,2.00,40.00,1.00,2.00,0.00,14.00,0.00,9.00
05/02/2020,"TAM","Rivera J L Jr",65.00,2.00,3.00,3.00,3.08,12.31,13.30,2.00,34.00,0.00,31.00,0.00,25.00,2.00,40.00,2.00,63.00,0.00,2.00,1.00,16.00,1.00,6.00
05/02/2020,"TAM","Lopez J E",38.00,1.00,8.00,6.00,2.63,39.47,3.20,1.00,20.00,0.00,18.00,0.00,14.00,1.00,24.00,1.00,36.00,0.00,2.00,0.00,23.00,0.00,9.00
05/02/2020,"TAM","Marin A A",32.00,1.00,1.00,3.00,3.13,15.63,77.80,1.00,17.00,0.00,15.00,0.00,14.00,1.00,18.00,1.00,30.00,0.00,2.00,1.00,15.00,0.00,4.00
05/02/2020,"TAM","Herrera J R",14.00,1.00,4.00,0.00,7.14,35.71,12.00,0.00,1.00,1.00,13.00,1.00,9.00,0.00,5.00,1.00,13.00,0.00,1.00,1.00,9.00,0.00,4.00
05/02/2020,"TAM","Urdaneta J J",13.00,1.00,2.00,1.00,7.69,30.77,78.20,0.00,10.00,1.00,3.00,0.00,1.00,1.00,12.00,1.00,13.00,0.00,0.00,1.00,8.00,1.00,4.00
05/02/2020,"TAM","Garcia G",11.00,0.00,1.00,0.00,.00,9.09,.00,0.00,7.00,0.00,4.00,0.00,6.00,0.00,5.00,0.00,11.00,0.00,0.00,0.00,5.00,0.00,0.00
05/02/2020,"TAM","Flores D R",4.00,0.00,1.00,0.00,.00,25.00,.00,0.00,0.00,0.00,4.00,0.00,3.00,0.00,1.00,0.00,4.00,0.00,0.00,0.00,2.00,0.00,1.00
