"RCTrack","RCDate","RCRace","Horse","FD","Foreign","Date","Track","Race","Surface","TimeformCode","Inner","Distance","Class","LongClass","ClaimPrice","Purse","TrkCond","RaceSex","RaceAge","StateBred","Starters","FirstFraction","SecondFraction","ThirdFraction","FourthFraction","FifthFraction","SixthFraction","FinalTime","FirstHorse","SecondHorse","ThirdHorse","FirstWeight","SecondWeight","ThirdWeight","FirstLenAdj","SecondLenAdj","ThirdLenAdj","GradedRace","GradedRaceDesc","ForeignCourse","PostPosition","FirstCall","FirstCallLenAdj","SecondCall","SecondCallLenAdj","ThirdCall","ThirdCallLenAdj","FourthCall","FourthCallLenAdj","StrCall","StrCallLenAdj","FinalCall","FinalCallLenAdj","DQ","DH","DQPlace","Beyer","Weight","Apprentice","Comment","LongComment","Odds","OddsPosition","Claimed","Lasix","Bute","Blinker","Bandage","AltEquipment","Jockey","Trainer","Entries","TrackVariant","SpeedRating","Breed","Owner","DistUnit","TimeUnit","LoPrice","TrainYear","TrainStarts","TrainWins","TrainPlaces","TrainShows","TrainWinPct","SealedTrack","PrevTrainYear","PrevTrainStarts","PrevTrainWins","PrevTrainPlaces","PrevTrainShows","PrevTrainWinPct","FirstFracHdths","SecondFracHdths","ThirdFracHdths","FourthFracHdths","FifthFracHdths","SixthFracHdths","FinalTimeHdths"
"TAM",05/02/2020,1,"Dad's Yankees","D",,04/18/2020,"Tam",3,"D","","",6.00,"CLM","Clm 6250",6.25,11.500,"sly","-","41","",10,22.20,45.20,58.00,-1.00,-1.00,-1.00,111.20,"Northern","Dad's Yankees","Perfetto",122,120,118,2.00,0.75,0.05,0,"","F",6,3,0.00,1,1.50,1,1.00,0,0.00,1,0.10,2,2.00,"","",0,64,120,0,"Sprinted clr, faltered","",11.00,6,"","L","/","B","F","","Martinez W","Hernandez Sandino R Jr","",11,86,"","","","H",6.25,"",0,0,0,0,0.00,"Y","",,,,,,22.38,45.35,58.05,-1.00,-1.00,-1.00,111.39
"TAM",05/02/2020,1,"Dad's Yankees","D",,04/03/2020,"Tam",3,"D","","",6.00,"CLM","Clm 6250",6.25,10.350,"fst","-","41","",9,22.40,45.60,58.20,-1.00,-1.00,-1.00,111.20,"Northern","Mr. Kisses","Dad's Yankees",120,118,122,0.10,3.25,1.25,0,"","F",6,1,0.00,1,2.00,2,0.10,0,0.00,3,2.50,3,3.35,"","",0,64,122,0,"Pace inside, weakened,","",2.70,1,"","L","/","B","F","","Martinez W","Hernandez Sandino R Jr","",12,85,"","","","H",6.25,"",0,0,0,0,0.00,"","",,,,,,22.45,45.66,58.30,-1.00,-1.00,-1.00,111.20
"TAM",05/02/2020,1,"Dad's Yankees","D",,03/14/2020,"Tam",1,"D","","",6.00,"CLM","Clm 6250",6.25,11.620,"fst","-","41","",7,22.20,45.60,58.40,-1.00,-1.00,-1.00,111.40,"Dad's Yankees","Perp","Game Day Drama",118,118,118,2.00,1.50,0.75,0,"","E",5,1,0.00,1,3.50,1,2.00,0,0.00,1,3.50,1,2.00,"","",0,63,118,0,"Quickly clear, driving","",3.40,2,"","L","/","B","F","","Martinez W","Hernandez Sandino R Jr","",11,87,"","","","H",6.25,"",0,0,0,0,0.00,"","",,,,,,22.36,45.71,58.40,-1.00,-1.00,-1.00,111.48
"TAM",05/02/2020,1,"Dad's Yankees","D",,02/12/2020,"Tam",7,"T","","",5.00,"AOC","OC 16k/N1X",16.00,20.250,"fm","-","41","",10,21.20,44.00,-1.00,-1.00,-1.00,-1.00,55.80,"Long Blade","Midnight Blue Note","I'm Cardinal",119,119,119,0.50,4.00,1.00,0,"","B",2,3,0.00,1,0.50,2,0.50,0,0.00,3,2.10,7,6.30,"","",0,65,119,0,"Brk thru gt,brief pace","",12.00,6,"","L","/","B","","","Ferrer J C","Hernandez Sandino R Jr","",4,90,"","","","H",16.00,"",0,0,0,0,0.00,"","",,,,,,21.24,44.09,-1.00,-1.00,-1.00,-1.00,55.95
"TAM",05/02/2020,1,"Dad's Yankees","D",,01/18/2020,"Tam",8,"T","","",8.00,"CLM","Clm 16000",16.00,16.000,"fm","-","41","",10,23.40,47.00,111.40,124.00,-1.00,-1.00,136.20,"Blue Pigeon","Wicked Boy","No Cents Left",119,119,119,0.05,2.50,1.00,0,"","G",7,1,0.50,1,0.50,1,0.50,0,0.00,10,5.10,10,15.30,"","",0,49,119,0,"Dueled rail, gave way,","",4.50,3,"","L","/","B","","","Centeno D E","Hernandez Sandino R Jr","",10,74,"","","","H",16.00,"",0,0,0,0,0.00,"","",,,,,,23.51,47.09,111.45,124.09,-1.00,-1.00,136.28
"TAM",05/02/2020,1,"Dad's Yankees","D",,11/20/2019,"GPW",4,"T","","",5.00,"CLM","Clm 16000B",16.00,20.800,"fm","-","31","",8,21.60,45.20,-1.00,-1.00,-1.00,-1.00,57.40,"Fully Loaded","Youshouldbesolucky","Dad's Yankees",120,120,120,1.75,0.10,0.05,0,"","G",7,1,0.00,2,0.50,2,0.10,0,0.00,2,2.00,3,1.85,"","",0,75,120,0,"Vied 2wd tn,stayed on","",3.50,2,"","L","/","B","","","Sanchez J","Fuentes Mauricio","",9,91,"","","","H",16.00,"",0,0,0,0,0.00,"","2019",22,3,1,1,0.14,21.74,45.29,-1.00,-1.00,-1.00,-1.00,57.52
"TAM",05/02/2020,1,"Dad's Yankees","D",,11/07/2019,"GPW",8,"T","","",5.00,"CLM","Clm 10000B",10.00,16.400,"fm","-","31","",6,21.80,45.00,-1.00,-1.00,-1.00,-1.00,57.20,"Dad's Yankees","Mister Storm","Marcelino",122,122,120,2.00,1.25,3.00,0,"","E",5,1,0.00,1,2.00,1,2.50,0,0.00,1,3.00,1,2.00,"","",0,80,122,0,"Speed,ins,held firm","",6.40,4,"","L","/","B","","","Sanchez J","Fuentes Mauricio","",6,94,"","","","H",10.00,"",0,0,0,0,0.00,"","",,,,,,21.97,45.08,-1.00,-1.00,-1.00,-1.00,57.21
"TAM",05/02/2020,1,"Dad's Yankees","D",,10/20/2019,"GPW",5,"T","","",5.00,"CLM","Clm 10000N2L",10.00,16.600,"fm","-","31","",12,22.40,46.40,-1.00,-1.00,-1.00,-1.00,58.20,"Dad's Yankees","Money Come","Frankie Apps",121,114,122,3.25,1.25,1.25,0,"","K",11,1,0.00,1,2.50,1,3.00,0,0.00,1,2.00,1,3.25,"","",0,78,121,0,"Speed,inside,clear","",13.00,7,"","L","/","B","","","Sanchez J","Fuentes Mauricio","",12,89,"","","","H",10.00,"",0,0,0,0,0.00,"","",,,,,,22.55,46.41,-1.00,-1.00,-1.00,-1.00,58.32
"TAM",05/02/2020,1,"Dad's Yankees","D",,09/26/2019,"GP",1,"T","","",5.00,"MCL","Md 12500",12.50,18.320,"fm","-","31","",10,21.20,44.60,-1.00,-1.00,-1.00,-1.00,56.60,"Dad's Yankees","My Man Mike","Judge Hudson",121,114,123,1.50,1.00,0.25,0,"","A",1,1,0.00,1,3.50,1,4.00,0,0.00,1,2.50,1,1.50,"","",0,56,121,0,"Speed,insde,kept clear","",1.30,1,"","L","/","B","","","Sanchez J","Fuentes Mauricio","",10,85,"","","","H",12.50,"",0,0,0,0,0.00,"","",,,,,,21.29,44.73,-1.00,-1.00,-1.00,-1.00,56.79
"TAM",05/02/2020,1,"Dad's Yankees","D",,09/14/2019,"GP",1,"T","","",5.00,"MCL","Md 12500",12.50,18.120,"fm","-","31","",9,22.00,44.80,-1.00,-1.00,-1.00,-1.00,57.20,"Dream of God","Slick Star","Reorganize",119,119,119,0.75,0.25,0.05,0,"","I",9,8,0.00,6,1.90,4,1.60,0,0.00,3,1.60,5,1.80,"","",0,49,120,0,"5-6wd str, needed more","",8.00,4,"","L","/","B","","","Sanchez J","Fuentes Mauricio","",11,80,"","","","H",12.50,"",0,0,0,0,0.00,"","",,,,,,22.04,44.97,-1.00,-1.00,-1.00,-1.00,57.25
