"RCTrack","RCDate","RCRace","Horse","Trainer","Category","Starts","WinPct","ROI"
"TAM",05/02/2020,1,"Dad's Yankees","Hernandez Sandino R Jr","Dirt",14,0.14,1.59
"TAM",05/02/2020,1,"Dad's Yankees","Hernandez Sandino R Jr","Sprint",14,0.14,1.59
"TAM",05/02/2020,1,"Dad's Yankees","Hernandez Sandino R Jr","Claim",14,0.14,1.59
"TAM",05/02/2020,1,"Doc Kane","Arriagada Juan","Dirt",183,0.17,1.61
"TAM",05/02/2020,1,"Doc Kane","Arriagada Juan","Sprint",163,0.19,1.85
"TAM",05/02/2020,1,"Doc Kane","Arriagada Juan","Claim",169,0.18,1.79
"TAM",05/02/2020,1,"Elusive Ro","Rodriguez Angel M","Dirt",103,0.18,2.07
"TAM",05/02/2020,1,"Elusive Ro","Rodriguez Angel M","Sprint",109,0.17,1.59
"TAM",05/02/2020,1,"Elusive Ro","Rodriguez Angel M","Claim",53,0.15,1.96
"TAM",05/02/2020,1,"Expediter","Ferraro M Anthony","2OffOver180",18,0.17,1.13
"TAM",05/02/2020,1,"Expediter","Ferraro M Anthony","WonLastStart",61,0.16,1.94
"TAM",05/02/2020,1,"Expediter","Ferraro M Anthony","Dirt",381,0.16,1.94
"TAM",05/02/2020,1,"Expediter","Ferraro M Anthony","Sprint",216,0.19,2.00
"TAM",05/02/2020,1,"Expediter","Ferraro M Anthony","Claim",285,0.17,1.74
"TAM",05/02/2020,1,"Lem Me Tel Ya","Rini Anthony","Dirt",113,0.23,2.02
"TAM",05/02/2020,1,"Lem Me Tel Ya","Rini Anthony","Sprint",71,0.18,1.56
"TAM",05/02/2020,1,"Lem Me Tel Ya","Rini Anthony","Claim",85,0.22,2.17
"TAM",05/02/2020,1,"Malio's","Bennett Gerald S","Route/Sprint",64,0.17,1.04
"TAM",05/02/2020,1,"Malio's","Bennett Gerald S","Dirt",427,0.24,1.77
"TAM",05/02/2020,1,"Malio's","Bennett Gerald S","Sprint",378,0.23,1.58
"TAM",05/02/2020,1,"Malio's","Bennett Gerald S","Claim",353,0.24,1.83
"TAM",05/02/2020,1,"Mulled Wine","Gonzalez Aldana","Dirt",140,0.10,1.22
"TAM",05/02/2020,1,"Mulled Wine","Gonzalez Aldana","Sprint",94,0.10,1.13
"TAM",05/02/2020,1,"Mulled Wine","Gonzalez Aldana","Claim",113,0.11,1.62
"TAM",05/02/2020,1,"Ox Trot","Wright Michael W","Route/Sprint",14,0.07,4.19
"TAM",05/02/2020,1,"Ox Trot","Wright Michael W","Dirt",77,0.17,1.60
"TAM",05/02/2020,1,"Ox Trot","Wright Michael W","Sprint",63,0.14,2.43
"TAM",05/02/2020,1,"Ox Trot","Wright Michael W","Claim",67,0.19,2.75
"TAM",05/02/2020,1,"Perfetto","Bennett Gerald S","Dirt",427,0.24,1.77
"TAM",05/02/2020,1,"Perfetto","Bennett Gerald S","Sprint",378,0.23,1.58
"TAM",05/02/2020,1,"Perfetto","Bennett Gerald S","Claim",353,0.24,1.83
"TAM",05/02/2020,2,"Checotah","Potts Ron G Jr","Turf/Dirt",29,0.38,1.60
"TAM",05/02/2020,2,"Checotah","Potts Ron G Jr","Dirt",210,0.19,1.36
"TAM",05/02/2020,2,"Checotah","Potts Ron G Jr","Sprint",119,0.13,1.12
"TAM",05/02/2020,2,"Checotah","Potts Ron G Jr","Claim",184,0.20,1.75
"TAM",05/02/2020,2,"Cultural Mandate","Ochoa Gerard","Dirt",138,0.10,1.92
"TAM",05/02/2020,2,"Cultural Mandate","Ochoa Gerard","Sprint",125,0.10,1.39
"TAM",05/02/2020,2,"Cultural Mandate","Ochoa Gerard","Claim",75,0.11,1.98
"TAM",05/02/2020,2,"Dreaming Diamonds","Carrasco Victor Jr","Dirt",133,0.20,1.36
"TAM",05/02/2020,2,"Dreaming Diamonds","Carrasco Victor Jr","Sprint",93,0.19,1.34
"TAM",05/02/2020,2,"Dreaming Diamonds","Carrasco Victor Jr","Claim",110,0.23,2.20
"TAM",05/02/2020,2,"I'llmakeyousmile","Raines Lindsey M","WonLastStart",5,0.00,0.00
"TAM",05/02/2020,2,"I'llmakeyousmile","Raines Lindsey M","Dirt",56,0.13,1.15
"TAM",05/02/2020,2,"I'llmakeyousmile","Raines Lindsey M","Sprint",41,0.15,2.01
"TAM",05/02/2020,2,"I'llmakeyousmile","Raines Lindsey M","Claim",51,0.12,3.05
"TAM",05/02/2020,2,"Lolanita","Carvajal Luis Jr","WonLastStart",21,0.14,0.39
"TAM",05/02/2020,2,"Lolanita","Carvajal Luis Jr","Dirt",122,0.17,2.26
"TAM",05/02/2020,2,"Lolanita","Carvajal Luis Jr","Sprint",98,0.21,2.80
"TAM",05/02/2020,2,"Lolanita","Carvajal Luis Jr","Claim",91,0.12,1.98
"TAM",05/02/2020,2,"Nikki Bella","Bennett Gerald S","Dirt",427,0.24,1.77
"TAM",05/02/2020,2,"Nikki Bella","Bennett Gerald S","Sprint",378,0.23,1.58
"TAM",05/02/2020,2,"Nikki Bella","Bennett Gerald S","Claim",353,0.24,1.83
"TAM",05/02/2020,2,"Publicist","Johnson Gary L","Turf/Dirt",19,0.26,1.69
"TAM",05/02/2020,2,"Publicist","Johnson Gary L","Route/Sprint",71,0.18,1.36
"TAM",05/02/2020,2,"Publicist","Johnson Gary L","Dirt",674,0.16,1.15
"TAM",05/02/2020,2,"Publicist","Johnson Gary L","Sprint",480,0.16,1.05
"TAM",05/02/2020,2,"Publicist","Johnson Gary L","Claim",465,0.16,1.08
