tvgtrackcode_x,racedate,race,R_Starters,R_TrackName,bettinginterestnumber_x,B_Horse,B_Jockey,B_MLOdds,H_JockMeetWinPct,H_JockMeetMoneyPct,H_JockYTDWinPct,H_TrainerYTDWinPct,H_TrainerYTDMoneyPct,S_BestFastDirt,S_BestTurf,T_Trainer_1,T_WinPct_1,T_WinPct_2,T_WinPct_3,T_WinPct_4,T_WinPct_5,HR_Beyer_1,HR_Beyer_2,HR_Beyer_3,HR_Beyer_4,HR_Beyer_5,tvgtrackcode_y,bettinginterestnumber_y,horsename,morninglineodds,currentodds,winpayout
CD,2020-05-25,2,7.0,Churchill Downs,1,Turtle Trax,Leparoux J R,6-1,0.07,0.28,0.11,0.11,0.34,74,0,Wilkes Ian R,0.1,0.24,0.14,0.13,0.15,68.0,74.0,65.0,74.0,67.0,cd,4,frank's rockette,6/5,2/5,2.8
CD,2020-05-25,2,7.0,Churchill Downs,2,Lady Glamour,Burke J,8-1,0.0,0.0,0.07,0.13,0.63,73,0,Demeritte Larry,0.25,0.15,0.19,0.14,0.14,11.0,59.0,70.0,72.0,0.0,cd,4,frank's rockette,6/5,2/5,2.8
CD,2020-05-25,2,7.0,Churchill Downs,3,Rising Seas,Lanerie C J,10-1,0.1,0.31,0.14,0.13,0.42,69,0,Colebrook Ben,0.13,0.13,0.13,0.16,,61.0,46.0,71.0,69.0,54.0,cd,4,frank's rockette,6/5,2/5,2.8
CD,2020-05-25,2,7.0,Churchill Downs,4,Frank's Rockette,Garcia M,6-5,0.15,0.25,0.19,0.14,0.41,98,0,Mott William I,0.16,0.2,0.16,0.2,,83.0,98.0,82.0,69.0,69.0,cd,4,frank's rockette,6/5,2/5,2.8
CD,2020-05-25,2,7.0,Churchill Downs,6,Project Whiskey,Gaffalione T,15-1,0.13,0.37,0.18,0.04,0.28,70,0,Reid Robert E Jr,0.06,0.15,0.16,0.12,,55.0,70.0,49.0,47.0,53.0,cd,4,frank's rockette,6/5,2/5,2.8
CD,2020-05-25,3,8.0,Churchill Downs,1,Malpais,Garcia M,8-1,0.15,0.25,0.19,0.16,0.43,96,38,Sharp Joe,0.2,0.15,0.16,0.19,0.18,70.0,38.0,63.0,77.0,87.0,cd,3,c z rocket,3,2,6.6
CD,2020-05-25,3,8.0,Churchill Downs,2,Do Share,Leparoux J R,7-2,0.07,0.28,0.11,0.09,0.43,105,89,Casse Norm W,0.23,0.09,0.24,0.2,0.22,77.0,88.0,93.0,94.0,94.0,cd,3,c z rocket,3,2,6.6
CD,2020-05-25,3,8.0,Churchill Downs,3,C Z Rocket,Lopez P,3-1,0.0,0.43,0.18,0.2,0.46,104,0,Miller Peter,0.3,0.22,0.22,0.22,,72.0,73.0,82.0,61.0,104.0,cd,3,c z rocket,3,2,6.6
CD,2020-05-25,3,8.0,Churchill Downs,4,Petrov,Talamo J,8-1,0.03,0.26,0.15,0.2,0.45,99,0,Moquett Ronald E,0.15,0.15,0.14,,,76.0,64.0,68.0,71.0,71.0,cd,3,c z rocket,3,2,6.6
CD,2020-05-25,3,8.0,Churchill Downs,5,Colonel Klink,Graham J,10-1,0.16,0.37,0.17,0.0,0.0,82,0,Rainwater Bradlee,0.2,0.22,0.21,0.24,0.14,998.0,82.0,78.0,81.0,66.0,cd,3,c z rocket,3,2,6.6
CD,2020-05-25,3,8.0,Churchill Downs,6,Bye Bye Birdstone,Bejarano R,10-1,0.2,0.2,0.11,0.2,0.41,88,79,Foley Gregory D,0.13,0.05,0.06,0.16,0.16,79.0,72.0,88.0,68.0,65.0,cd,3,c z rocket,3,2,6.6
CD,2020-05-25,3,8.0,Churchill Downs,7,Hollis,Lanerie C J,4-1,0.1,0.31,0.14,0.0,0.23,86,72,Kobiskie Dane,0.13,0.13,0.19,0.13,,86.0,80.0,72.0,72.0,78.0,cd,3,c z rocket,3,2,6.6
CD,2020-05-25,3,8.0,Churchill Downs,8,Nero,Santana R Jr,9-2,0.16,0.44,0.19,0.18,0.47,95,0,Asmussen Steven M,0.2,0.2,0.2,,,71.0,82.0,88.0,87.0,91.0,cd,3,c z rocket,3,2,6.6
CD,2020-05-25,4,15.0,Churchill Downs,1,Direct Approach,Rocco J S Jr,12-1,0.0,0.0,0.1,0.12,0.26,60,73,Tomlinson Michael A,0.13,0.12,0.14,0.07,0.17,64.0,70.0,73.0,72.0,49.0,cd,7,road game,7/2,3,8.2
CD,2020-05-25,4,15.0,Churchill Downs,2,New Year's Luck,Court J K,30-1,0.09,0.18,0.02,0.03,0.13,69,59,Fires William H,0.1,0.07,0.09,0.06,,43.0,55.0,45.0,59.0,59.0,cd,7,road game,7/2,3,8.2
CD,2020-05-25,4,15.0,Churchill Downs,4,Waverunner,Carroll D,15-1,0.0,0.33,0.12,0.2,0.45,64,41,Moquett Ronald E,0.11,0.15,0.14,0.14,,64.0,63.0,60.0,41.0,37.0,cd,7,road game,7/2,3,8.2
CD,2020-05-25,4,15.0,Churchill Downs,5,My Interest,Lopez P,8-1,0.0,0.43,0.18,0.1,0.4,72,63,Sancal Murat,0.17,0.12,0.12,0.13,,46.0,63.0,72.0,60.0,61.0,cd,7,road game,7/2,3,8.2
CD,2020-05-25,4,15.0,Churchill Downs,6,Glorious Weekend,Radosevich J,8-1,0.0,0.0,0.0,0.13,0.63,63,62,Demeritte Larry,0.1,0.15,0.07,0.14,,58.0,38.0,998.0,63.0,55.0,cd,7,road game,7/2,3,8.2
CD,2020-05-25,4,15.0,Churchill Downs,7,Road Game,Lanerie C J,7-2,0.1,0.31,0.14,0.14,0.43,73,72,Hartman Chris A,0.09,0.13,0.15,0.16,0.16,73.0,55.0,69.0,61.0,50.0,cd,7,road game,7/2,3,8.2
CD,2020-05-25,4,15.0,Churchill Downs,8,Smart and Broke,Bejarano R,20-1,0.2,0.2,0.11,0.0,0.0,71,54,Green Troy,0.0,0.04,0.03,0.0,,71.0,38.0,23.0,48.0,48.0,cd,7,road game,7/2,3,8.2
CD,2020-05-25,4,15.0,Churchill Downs,9,She Love Me,Landeros C,8-1,0.1,0.1,0.07,0.18,0.44,68,0,Hough Stanley M,0.22,0.24,0.17,0.13,,61.0,60.0,60.0,59.0,68.0,cd,7,road game,7/2,3,8.2
CD,2020-05-25,4,15.0,Churchill Downs,10,Wings Up,Mena M,30-1,0.06,0.19,0.1,0.07,0.25,72,63,Morse Randy L,0.06,0.07,0.06,0.06,,59.0,53.0,32.0,52.0,47.0,cd,7,road game,7/2,3,8.2
CD,2020-05-25,4,15.0,Churchill Downs,11,Tidal Effect,Corrales G,10-1,0.29,0.71,0.24,0.22,0.59,78,72,Morey William E,0.17,0.23,0.24,0.2,,50.0,53.0,54.0,52.0,60.0,cd,7,road game,7/2,3,8.2
CD,2020-05-25,4,15.0,Churchill Downs,12,Eskendereyas Dream,Talamo J,4-1,0.03,0.26,0.15,0.21,0.55,75,62,Amoss Thomas,0.2,0.23,0.18,0.22,,75.0,62.0,47.0,54.0,62.0,cd,7,road game,7/2,3,8.2
CD,2020-05-25,4,15.0,Churchill Downs,13,Run This Town,De Leon A,15-1,0.0,0.0,0.11,0.07,0.27,68,35,West Ethan W,0.08,0.15,0.14,0.13,,47.0,41.0,42.0,68.0,44.0,cd,7,road game,7/2,3,8.2
CD,2020-05-25,4,15.0,Churchill Downs,14,Baquero Flies,Court J K,15-1,0.09,0.18,0.02,0.09,0.33,54,0,Lukas D Wayne,0.09,0.09,0.07,0.17,,30.0,50.0,48.0,51.0,54.0,cd,7,road game,7/2,3,8.2
CD,2020-05-25,4,15.0,Churchill Downs,15,He's the Souperwon,Bejarano R,15-1,0.2,0.2,0.11,0.2,0.41,66,61,Foley Gregory D,0.12,0.2,0.16,0.14,0.16,37.0,61.0,56.0,53.0,61.0,cd,7,road game,7/2,3,8.2
CD,2020-05-25,5,9.0,Churchill Downs,1,Conquest Lemonraid,Hernandez B J Jr,10-1,0.07,0.41,0.19,0.18,0.48,95,90,Kenneally Eddie,0.3,0.19,0.1,0.17,0.17,80.0,77.0,79.0,78.0,78.0,cd,2,croatian,12,15,33.0
CD,2020-05-25,5,9.0,Churchill Downs,2,Croatian,Mena M,12-1,0.06,0.19,0.1,0.08,0.27,91,57,Hawley Wesley,0.09,0.1,0.04,0.06,,77.0,73.0,79.0,75.0,88.0,cd,2,croatian,12,15,33.0
CD,2020-05-25,5,9.0,Churchill Downs,3,Kurilov,Geroux F,3-1,0.23,0.32,0.19,0.25,0.57,94,102,Cox Brad H,0.27,0.25,0.26,0.28,,82.0,84.0,84.0,83.0,76.0,cd,2,croatian,12,15,33.0
CD,2020-05-25,5,9.0,Churchill Downs,4,Gigging,Santana R Jr,7-2,0.16,0.44,0.19,0.14,0.43,86,62,Hartman Chris A,0.13,0.15,0.16,0.16,,86.0,79.0,78.0,71.0,79.0,cd,2,croatian,12,15,33.0
CD,2020-05-25,5,9.0,Churchill Downs,5,Colonelsdarktemper,Court J K,12-1,0.09,0.18,0.02,0.03,0.13,95,88,Fires William H,0.07,0.09,0.06,,,80.0,75.0,74.0,75.0,91.0,cd,2,croatian,12,15,33.0
CD,2020-05-25,5,9.0,Churchill Downs,6,Street to Indy,Cohen D,5-2,0.27,0.27,0.15,0.23,0.51,93,75,Diodoro Robertino,0.26,0.25,0.25,0.25,,91.0,0.0,87.0,93.0,41.0,cd,2,croatian,12,15,33.0
CD,2020-05-25,5,9.0,Churchill Downs,7,Shortlist,Gaffalione T,4-1,0.13,0.37,0.18,0.17,0.52,86,83,Sadler John W,0.23,0.21,0.24,,,86.0,69.0,72.0,82.0,75.0,cd,2,croatian,12,15,33.0
CD,2020-05-25,5,9.0,Churchill Downs,8,Exemplar,Lanerie C J,15-1,0.1,0.31,0.14,0.02,0.14,89,79,Vance David R,0.11,0.12,0.13,,,77.0,77.0,66.0,78.0,76.0,cd,2,croatian,12,15,33.0
CD,2020-05-25,5,9.0,Churchill Downs,9,Chief Oakie Dokie,Leparoux J R,20-1,0.07,0.28,0.11,0.0,0.0,92,85,Coontz Arthur A,0.0,0.09,0.0,0.0,,75.0,56.0,71.0,83.0,92.0,cd,2,croatian,12,15,33.0
CD,2020-05-25,6,10.0,Churchill Downs,1,Coldwater,Lanerie C J,2-1,0.1,0.31,0.14,0.1,0.3,71,78,Correas Ignacio IV,0.04,0.16,0.05,0.12,0.09,71.0,63.0,78.0,67.0,63.0,cd,4,evil lyn,8/5,4/5,3.8
CD,2020-05-25,6,10.0,Churchill Downs,2,Be With Us,Beschizza A,20-1,0.0,0.33,0.14,0.15,0.35,54,0,McEntee Paul,0.18,0.0,0.0,0.12,0.0,54.0,46.0,38.0,31.0,31.0,cd,4,evil lyn,8/5,4/5,3.8
CD,2020-05-25,6,10.0,Churchill Downs,3,Resurrection Road,Leon S,15-1,0.0,0.17,0.1,0.11,0.39,68,61,Reed Eric R,0.12,0.06,0.24,0.05,0.17,41.0,64.0,62.0,50.0,45.0,cd,4,evil lyn,8/5,4/5,3.8
CD,2020-05-25,6,10.0,Churchill Downs,4,Evil Lyn,Bridgmohan S X,8-5,0.0,0.2,0.21,0.25,0.57,63,75,Cox Brad H,0.3,0.27,0.24,0.26,0.28,63.0,74.0,75.0,30.0,65.0,cd,4,evil lyn,8/5,4/5,3.8
CD,2020-05-25,6,10.0,Churchill Downs,5,Drinkatthecreek,Bejarano R,20-1,0.2,0.2,0.11,0.13,0.29,70,62,Lauer Michael E,0.08,0.11,0.08,0.08,0.09,46.0,43.0,17.0,62.0,67.0,cd,4,evil lyn,8/5,4/5,3.8
CD,2020-05-25,6,10.0,Churchill Downs,6,Spinning Top,Morales E,20-1,0.2,0.4,0.1,0.0,0.0,33,69,Green Troy,0.0,0.0,0.0,0.03,0.0,25.0,60.0,42.0,69.0,44.0,cd,4,evil lyn,8/5,4/5,3.8
CD,2020-05-25,6,10.0,Churchill Downs,7,Cirrusly,Geroux F,7-2,0.23,0.32,0.19,0.2,0.41,62,71,Foley Gregory D,0.17,0.14,0.14,0.16,,71.0,71.0,60.0,65.0,15.0,cd,4,evil lyn,8/5,4/5,3.8
CD,2020-05-25,6,10.0,Churchill Downs,8,Tuxedo Lemon,Parker D L,15-1,0.0,0.0,0.23,0.18,0.45,59,0,Hubley Mark,0.0,0.0,0.14,0.07,0.18,54.0,61.0,52.0,54.0,59.0,cd,4,evil lyn,8/5,4/5,3.8
CD,2020-05-25,6,10.0,Churchill Downs,9,Twelve Monarchs,Ramos J D,20-1,0.0,0.18,0.13,0.43,0.57,57,62,Salas Felipe,0.0,0.0,1.0,0.0,0.11,51.0,52.0,57.0,44.0,44.0,cd,4,evil lyn,8/5,4/5,3.8
CD,2020-05-25,7,15.0,Churchill Downs,1,Quality too Spare,Spanabel S,50-1,0.0,0.0,0.0,0.0,0.18,56,48,Spanabel Kelly R,0.0,0.0,0.0,0.0,,29.0,45.0,44.0,50.0,45.0,cd,11,ocean breeze,6,9/5,5.6
CD,2020-05-25,7,15.0,Churchill Downs,6,Claudette Nonstop,Jimenez A,12-1,0.11,0.22,0.22,0.13,0.5,65,31,Lyster Stephen S,0.2,0.21,0.15,0.04,,65.0,48.0,30.0,31.0,31.0,cd,11,ocean breeze,6,9/5,5.6
CD,2020-05-25,8,8.0,Churchill Downs,2,Relentless Dancer,Geroux F,5-1,0.23,0.32,0.19,0.2,0.48,88,65,Maker Michael J,0.19,0.17,0.16,0.22,0.19,79.0,88.0,70.0,82.0,82.0,cd,3,echo town,9/5,4/5,3.8
CD,2020-05-25,8,8.0,Churchill Downs,5,Digital,Hernandez B J Jr,6-1,0.07,0.41,0.19,0.24,0.47,92,0,Calhoun William Bret,0.2,0.25,0.24,0.23,0.21,65.0,83.0,92.0,78.0,72.0,cd,3,echo town,9/5,4/5,3.8
CD,2020-05-25,8,8.0,Churchill Downs,6,Johnny Ritt,Castellano J J,20-1,0.0,0.38,0.13,0.04,0.28,74,0,Reid Robert E Jr,0.06,0.15,0.16,0.12,,74.0,79.0,59.0,30.0,46.0,cd,3,echo town,9/5,4/5,3.8
CD,2020-05-25,8,8.0,Churchill Downs,7,Little Menace,Baze T C,10-1,0.17,0.42,0.1,0.18,0.47,84,0,Asmussen Steven M,0.2,0.2,0.17,,,84.0,84.0,84.0,81.0,73.0,cd,3,echo town,9/5,4/5,3.8
CD,2020-05-25,9,20.0,Churchill Downs,1,Hierarchy,Graham J,10-1,0.16,0.37,0.17,0.16,0.43,0,90,Sharp Joe,0.08,0.15,0.12,0.17,,79.0,85.0,85.0,84.0,85.0,cd,12,ramsey solution,6,7/2,9.6
