"RCTrack","RCDate","RCRace","Horse","FD","Foreign","Date","Track","Race","Surface","TimeformCode","Inner","Distance","Class","LongClass","ClaimPrice","Purse","TrkCond","RaceSex","RaceAge","StateBred","Starters","FirstFraction","SecondFraction","ThirdFraction","FourthFraction","FifthFraction","SixthFraction","FinalTime","FirstHorse","SecondHorse","ThirdHorse","FirstWeight","SecondWeight","ThirdWeight","FirstLenAdj","SecondLenAdj","ThirdLenAdj","GradedRace","GradedRaceDesc","ForeignCourse","PostPosition","FirstCall","FirstCallLenAdj","SecondCall","SecondCallLenAdj","ThirdCall","ThirdCallLenAdj","FourthCall","FourthCallLenAdj","StrCall","StrCallLenAdj","FinalCall","FinalCallLenAdj","DQ","DH","DQPlace","Beyer","Weight","Apprentice","Comment","LongComment","Odds","OddsPosition","Claimed","Lasix","Bute","Blinker","Bandage","AltEquipment","Jockey","Trainer","Entries","TrackVariant","SpeedRating","Breed","Owner","DistUnit","TimeUnit","LoPrice","TrainYear","TrainStarts","TrainWins","TrainPlaces","TrainShows","TrainWinPct","SealedTrack","PrevTrainYear","PrevTrainStarts","PrevTrainWins","PrevTrainPlaces","PrevTrainShows","PrevTrainWinPct","FirstFracHdths","SecondFracHdths","ThirdFracHdths","FourthFracHdths","FifthFracHdths","SixthFracHdths","FinalTimeHdths"
"GP",05/02/2020,1,"Wind Ridge","D",,04/03/2020,"GP",6,"D","","",8.50,"MSW","Md Sp Wt 38k",0.00,38.000,"fst","-","31","",8,23.80,47.20,111.40,136.60,-1.00,-1.00,143.20,"Candy Machine","Or'effice","Ellis Island",118,118,118,0.75,7.75,3.25,0,"","H",8,6,3.50,5,3.10,5,5.50,0,0.00,5,11.50,5,18.50,"","",0,65,118,0,"Veer in st,3w turn,wkn","",38.50,7,"","L","/","B","","","Zayas E J","Clement Christophe","",8,74,"","","","H",0.00,"",0,0,0,0,0.00,"","",,,,,,23.90,47.35,111.44,136.73,-1.00,-1.00,143.31
"GP",05/02/2020,1,"Wind Ridge","D",,02/08/2020,"Tam",4,"D","","",8.18,"MSW","Md Sp Wt 20k",0.00,20.000,"fst","-","3","",8,23.60,47.40,111.60,137.20,-1.00,-1.00,139.40,"Texas Swing","Don Bourbon","Giocare",120,120,120,1.25,0.75,7.50,0,"","D",4,8,4.80,8,4.50,8,7.60,0,0.00,5,12.00,5,15.75,"","",0,60,120,0,"Saved ground, improved","",14.80,6,"","L","/","B","","","Gaffalione T","Clement Christophe","",4,81,"","","","H",0.00,"",0,0,0,0,0.00,"","",,,,,,23.66,47.50,111.77,137.29,-1.00,-1.00,139.57
"GP",05/02/2020,1,"Constitutional Pal","D",,09/18/2019,"Bel",8,"T","","",8.00,"MSW","Md Sp Wt 62k",0.00,62.000,"fm","-","2","R",9,22.00,45.40,109.80,-1.00,-1.00,-1.00,134.40,"Get Smokin","Fame to Famous","Danzing Dunhill",119,119,119,1.00,2.50,7.75,0,"","E",5,3,6.50,5,4.20,5,3.50,0,0.00,5,8.10,5,11.75,"","",0,51,119,0,"Chased 2-3w, weakened","",13.00,5,"","L","","B","","","Decarlo C P","Cibelli Jane","",17,72,"","","","H",0.00,"",0,0,0,0,0.00,"","",,,,,,22.03,45.56,109.99,-1.00,-1.00,-1.00,134.48
"GP",05/02/2020,1,"Constitutional Pal","D",,08/24/2019,"Mth",4,"D","","",6.00,"MSW","Md Sp Wt 46k",0.00,46.625,"fst","-","2","",7,22.60,46.00,58.60,-1.00,-1.00,-1.00,111.80,"As Seen On Tv","Perjury Trap","Contraflow",119,119,119,0.10,4.75,1.25,0,"","A",1,7,0.00,5,2.20,5,5.10,0,0.00,5,8.10,5,12.85,"","",0,47,119,0,"Bumped start, inside","",7.30,5,"","L","","B","","","Decarlo C P","Cibelli Jane","",20,69,"","","","H",0.00,"",0,0,0,0,0.00,"","",,,,,,22.71,46.00,58.73,-1.00,-1.00,-1.00,111.94
"GP",05/02/2020,1,"Elusive Ruler","D",,02/15/2020,"GP",7,"O","","",9.00,"MSW","Md Sp Wt 43k",0.00,43.000,"sly","-","3","",10,48.20,113.20,138.60,138.60,-1.00,-1.00,152.00,"Tapage","Or'effice","Oxide",122,122,122,0.50,0.25,8.00,0,"","I",9,5,4.00,6,3.60,6,6.60,0,0.00,6,11.20,6,17.50,"","",0,45,122,0,"4-3wd, done after 6f","",3.70,1,"","L","/","B","","","Landeros C","Wilkes Ian R","",18,56,"","","","H",0.00,"",0,0,0,0,0.00,"Y","",,,,,,48.28,113.24,138.66,138.66,-1.00,-1.00,152.17
"GP",05/02/2020,1,"Elusive Ruler","D",,01/25/2020,"GP",2,"D","","",8.50,"MSW","Md Sp Wt 43k",0.00,43.000,"fst","-","3","",10,23.40,48.00,112.80,138.00,-1.00,-1.00,145.00,"Candy Tycoon","Gimme Some Mo","Elusive Ruler",120,120,120,4.00,4.75,0.75,0,"","G",7,9,6.30,9,9.20,9,7.10,0,0.00,6,10.60,3,8.75,"","",0,69,120,0,"4wd,mvd in,up for show","",5.80,4,"","L","/","","","","Landeros C","Wilkes Ian R","",11,75,"","","","H",0.00,"",0,0,0,0,0.00,"","",,,,,,23.59,48.03,112.81,138.19,-1.00,-1.00,145.09
"GP",05/02/2020,1,"Elusive Ruler","D",,12/28/2019,"GP",8,"D","","",8.00,"MSW","Md Sp Wt 40k",0.00,40.000,"fst","-","2","",11,23.00,46.00,110.80,123.80,-1.00,-1.00,137.40,"Mayberry Deputy","Tons of Gold","My First Grammy",120,120,120,2.50,0.50,1.75,0,"","C",3,7,4.80,9,5.30,7,6.60,0,0.00,6,4.60,4,4.75,"","",0,66,120,0,"Moved out, mild rally","",4.50,2,"","L","/","","","","Landeros C","Wilkes Ian R","",15,75,"","","","H",0.00,"",0,0,0,0,0.00,"","",,,,,,23.17,46.07,110.83,123.90,-1.00,-1.00,137.51
"GP",05/02/2020,1,"Elusive Ruler","D",,11/30/2019,"CD",8,"D","","",6.00,"MSW","Md Sp Wt 97k",0.00,97.739,"sly","-","2","",12,21.80,46.20,58.60,-1.00,-1.00,-1.00,111.40,"Mailman Money","Digital","Elusive Ruler",118,118,118,0.75,3.00,0.25,0,"","I",9,11,0.00,11,12.20,11,9.30,0,0.00,7,7.00,3,3.75,"","",0,66,118,0,"Bmpd st,rally for show","",6.50,3,"","L","","","","","Landeros C","Wilkes Ian R","",17,78,"","","","H",0.00,"",0,0,0,0,0.00,"Y","",,,,,,21.82,46.25,58.70,-1.00,-1.00,-1.00,111.50
"GP",05/02/2020,1,"Turn of Events","D",,03/27/2020,"GP",1,"T","","",8.50,"MSW","Md Sp Wt 43k",0.00,43.000,"fm","-","3","",12,22.40,46.20,110.00,134.60,-1.00,-1.00,141.00,"Rhythm Section","Alonzo Mosely","Malibu Edge",122,122,122,0.05,2.75,0.50,0,"","I",9,6,6.50,6,3.60,4,2.00,0,0.00,4,1.50,4,3.30,"","",0,74,122,0,"4w turns,flattened out","",8.80,4,"","L","/","B","","","Gaffalione T","Maker Michael J","",9,89,"","","","H",0.00,"",0,0,0,0,0.00,"","",,,,,,22.52,46.30,110.00,134.78,-1.00,-1.00,141.04
"GP",05/02/2020,1,"Turn of Events","D",,02/29/2020,"GP",4,"T","","",8.50,"STK","PalmBch-G3",0.00,150.000,"fm","-","3","",11,24.60,48.00,112.80,135.80,-1.00,-1.00,141.80,"Vitalogy","Tiesto","South Bend",118,118,122,1.00,0.50,0.25,3,"","H",8,2,2.00,3,3.00,5,2.10,0,0.00,6,6.60,6,6.25,"","",0,75,118,0,"Ins,steadied near 1/4p","",25.40,9,"","L","/","","","","Lopez P","Maker Michael J","",7,82,"","","","H",0.00,"",0,0,0,0,0.00,"","",,,,,,24.63,48.15,112.85,135.94,-1.00,-1.00,141.86
