"RCTrack","RCDate","RCRace","Horse","FD","BestFastDirt","BestTurf","BestWet","BestDistance","BestLifetime","BestCurrentYear","BestPriorYear","BestTrackSurface","MudTurfMud","MudTurfTurf","MudTurfDistance"
"GP",05/02/2020,1,"Wind Ridge","D",65,0,0,60,65,65,0,65,"397","313","362"
"GP",05/02/2020,1,"Coach Temple","D",0,0,0,0,0,0,0,0,"431","281","365"
"GP",05/02/2020,1,"Constitutional Pal","D",47,51,0,51,51,51,0,0,"371","336","353"
"GP",05/02/2020,1,"Elusive Ruler","D",69,0,66,0,69,69,66,0,"398","316","372"
"GP",05/02/2020,1,"Turn of Events","D",0,77,57,77,77,77,55,77,"402","342","368"
"GP",05/02/2020,1,"Win d'Oro","D",0,69,32,69,69,69,54,69,"413","327","377"
"GP",05/02/2020,1,"East Lex","D",0,72,32,0,72,72,32,0,"402","349","375"
"GP",05/02/2020,1,"Lascari","F",0,69,0,0,69,69,0,69,"280*","373","280"
"GP",05/02/2020,1,"Mighty Tough","D",0,66,0,0,66,66,0,66,"403","325","362"
"GP",05/02/2020,1,"Hero d'Oro","D",47,0,0,0,47,47,0,0,"393","302","361"
"GP",05/02/2020,1,"Maine","D",0,51,0,33,51,51,0,51,"367*","351","406"
"GP",05/02/2020,1,"Irked","D",42,46,0,0,46,46,42,46,"367","370","382"
"GP",05/02/2020,2,"London Werewolf","D",69,58,43,69,69,69,62,69,"283","234","255"
"GP",05/02/2020,2,"King's Castle","D",64,61,28,64,64,64,38,0,"343","320","330"
"GP",05/02/2020,2,"Baba Tobi","D",82,15,72,82,82,65,82,82,"357","206","334"
"GP",05/02/2020,2,"Fives Wild","D",65,73,0,14,73,65,73,65,"402","269","358"
"GP",05/02/2020,2,"Sighted","D",80,50,81,69,81,63,62,81,"325","233","336"
"GP",05/02/2020,2,"Nacho Papa","D",60,53,78,78,78,64,78,78,"358","237","322"
"GP",05/02/2020,2,"Luckytobeinamerica","D",69,75,0,69,75,71,75,69,"387","290","375"
"GP",05/02/2020,2,"Gran Causeway","D",74,29,59,74,74,74,64,74,"392","331","343"
"GP",05/02/2020,2,"American Rock Salt","D",55,23,56,55,56,55,56,55,"401","292","383"
"GP",05/02/2020,3,"Ajhar","D",65,0,0,0,65,65,0,65,"410","318","377"
"GP",05/02/2020,3,"Superfecto","D",70,0,0,0,70,70,0,70,"411","320","367"
"GP",05/02/2020,3,"Rag Tag","D",57,68,76,0,76,76,0,76,"372","191","316"
"GP",05/02/2020,3,"Or'effice","D",94,74,69,94,94,94,59,94,"406","325","378"
"GP",05/02/2020,3,"Hard Lighting","D",77,0,0,0,77,77,0,77,"396","315","360"
"GP",05/02/2020,3,"Cornbread Kingdom","D",67,0,65,0,67,67,65,67,"424","334","415"
"GP",05/02/2020,3,"Newsworthy","D",0,0,0,0,0,0,0,0,"411","320","367"
"GP",05/02/2020,4,"Teenage Kicks","D",53,0,0,53,53,52,53,53,"423","347","413"
"GP",05/02/2020,4,"Little Miss Macho","D",0,0,31,0,31,31,0,31,"395","279","349"
"GP",05/02/2020,4,"Invaluable","D",0,0,0,0,0,0,0,0,"375","256","369"
"GP",05/02/2020,4,"Kay's Dream","D",0,0,0,0,0,0,0,0,"363","240","366"
"GP",05/02/2020,4,"Chez Paree","D",42,0,0,0,42,42,0,0,"354","268*","251"
"GP",05/02/2020,4,"Our Little Devil","D",48,0,0,48,48,31,48,31,"360","283","322"
"GP",05/02/2020,4,"Private Message","D",57,0,62,57,62,62,0,0,"423","311","407"
"GP",05/02/2020,4,"Espiritu de Luna","D",45,0,0,34,45,45,0,31,"390","297","369"
"GP",05/02/2020,4,"She So Naughty","D",0,0,0,0,0,0,0,0,"384","280","372"
"GP",05/02/2020,5,"Dr Harlan","D",78,48,71,74,78,74,78,78,"376","298","369"
"GP",05/02/2020,5,"Followhisfootsteps","D",78,70,0,78,78,78,76,78,"393","226","368"
"GP",05/02/2020,5,"Zalza","D",86,0,0,73,86,69,86,86,"359","206","344"
"GP",05/02/2020,5,"Finnegan","F",80,73,0,80,80,76,80,0,"424","350","404"
"GP",05/02/2020,5,"Valdocco","D",79,0,79,79,79,75,70,79,"386","270","343"
"GP",05/02/2020,5,"Jamaican","D",77,52,0,74,77,60,77,77,"303","280","340"
"GP",05/02/2020,5,"Silent Tiger","D",77,71,76,77,77,70,71,77,"353","283","376"
"GP",05/02/2020,5,"Phish Fan","D",92,54,92,92,92,86,83,92,"391","279","362"
"GP",05/02/2020,5,"Charge Card","D",84,0,66,84,84,66,75,84,"398","279","385"
"GP",05/02/2020,5,"Pachanga Party","D",85,37,74,85,85,58,72,84,"354","297","294"
"GP",05/02/2020,5,"Black Pepper","D",77,71,66,76,77,66,77,76,"391","310","393"
"GP",05/02/2020,6,"Smitten for Smitty","D",64,0,0,47,64,64,0,64,"335","175","297"
"GP",05/02/2020,6,"Sweetheart Deal","D",76,0,56,56,76,76,0,76,"367","310","396"
"GP",05/02/2020,6,"Loriloupies","D",66,0,0,0,66,66,34,66,"321","193","294"
"GP",05/02/2020,6,"Glory Dia","D",62,55,0,0,62,59,62,62,"322","296","357"
"GP",05/02/2020,6,"Customerexperience","D",74,0,48,74,74,74,0,0,"367","294","368"
"GP",05/02/2020,6,"Freezer Burn","D",64,58,0,64,64,64,61,64,"388","332","423"
"GP",05/02/2020,6,"One Hot Drama","D",64,31,40,62,64,64,60,64,"358","301","399"
"GP",05/02/2020,6,"Fast Fionnuala","D",68,0,0,68,68,68,0,0,"371","306","371"
"GP",05/02/2020,7,"Handsome Lil Devil","D",41,64,0,64,64,64,49,64,"374","236","274"
"GP",05/02/2020,7,"Poppy's Boys","D",36,66,0,66,66,66,52,66,"330","334","324"
"GP",05/02/2020,7,"Positive Phil","D",65,80,0,75,80,80,75,80,"387","312","364"
"GP",05/02/2020,7,"Conquistador","D",83,69,69,0,83,72,69,0,"428","299","356"
"GP",05/02/2020,7,"My G P S","D",16,62,44,62,62,62,50,62,"362","250","302"
"GP",05/02/2020,7,"Lookin At Roses","D",54,81,0,73,81,75,81,75,"368","306","333"
"GP",05/02/2020,7,"Ole Mole","D",40,69,21,69,69,63,69,69,"390","322","352"
"GP",05/02/2020,7,"Smell of Roses","D",40,74,0,70,74,74,69,74,"347","361","352"
"GP",05/02/2020,7,"January Won","D",74,0,0,0,74,44,74,0,"357","330","387"
"GP",05/02/2020,7,"Bebeau","D",71,81,70,74,81,74,81,74,"419","252","358"
"GP",05/02/2020,7,"Vita Dolce","D",65,76,0,70,76,54,76,76,"437","319","393"
"GP",05/02/2020,7,"Notsosubtle","D",70,82,65,82,82,72,82,82,"309","194","262"
"GP",05/02/2020,7,"Juan Boly","D",37,56,14,56,56,56,42,56,"381","207","386"
