"RCTrack", "RCDate", "RCRace", "Horse", "Comment"
"GP",05/02/2020,3,"Hard Lighting","Landed on the edges behind the future stakes winner Dr Post when debuting over seven furlongs, and has since worked thrice here on the main track; the average win distance of Hard Spun's offspring is a route-worthy 7.6 furlongs; Ky-bred is the first foalfrom a sprinter who banked $99K; jockey-trainer combo is 1 for 7 at the meet, and Delgado has solid stats with maiden second-time starters.   -Ron Gierkink"
"GP",05/02/2020,3,"Rag Tag","Hasn't shown much since commencing his career with a pair of seconds, but you can probably draw a line trough his last dull performance on the lawn because Union Rags is a dirt sire; Pletcher has a high win percentage going turf/dirt, and it wouldn't besurprising to see this Calumet Farm runner get back on the competitive track.   -Ron Gierkink"
"GP",05/02/2020,3,"Newsworthy","Three-time leading sire Tapit has produced 13% debut winners, and the average win distance of his progeny is 7.6 furlongs; mare won the G1 Test over seven furlongs, and was G1-placed going long; homebred is a full-brother to an unraced 4yo and a half-brother to Habub, a 5yo who earned $14K overseas; Hall-of-Famer Mott hit with 5% of his first-timers in dirt routes over the past five years ($1.21 ROI).   -Ron Gierkink"
"GP",05/02/2020,3,"Superfecto","Didn't much the smoothest of trips at first asking when up the track behind the promising Dr Post, who came back to take the $75K Unbridled Stakes in a gritty performance; Nicks has decent numbers with maiden second-timers, and is 0 for 4 at the meet when using Jaramillo (two those runners placed); son of the hot second-year sire Constitution is out of a router who produced the sprinter Spokane Eagle ($249K).   -Ron Gierkink"
"GP",05/02/2020,3,"Or'effice","Was not promoted from second in a controversial no-call regarding possible interference at the quarter pole in his latest, when he earned a fat 94 Beyer going 1 1/16 miles; Saez returns after a one-race absence, and was aboard for his narrow loss two back going nine furlongs in the slop; obvious favorite could join the Triple Crown trail with a strong winning performance.   -Ron Gierkink"
"GP",05/02/2020,3,"Ajhar","Checked in fifth in each of his February excursions--the winner of his debut subsequently ran second in a fast N1X, but his last race has yet to yield a next-out winner; son of Tapit is the second foal from a G2-winning dirt router and might welcome thestretchout from a one-turn mile to a two-turn 1 1/16 miles; Pletcher inherits the training duties from McLaughlin, who recently became the agent for Luis Saez.   -Ron Gierkink"
"GP",05/02/2020,3,"Cornbread Kingdom","Comes off a surprisingly poor showing in a fast-paced maiden special, which came on the heels of a distant fourth in another one-turn mile; son of Uncle Mo has yet to run to his good works, and is hard to recommend at this juncture.   -Ron Gierkink"
"GP",05/02/2020,9,"Onyx","Came into the Sanibel Island with a 3-for-3 record on turf, but she was exposed as a class below those fillies when never able to mount a challenge, eventually fading to last; in retrospect, she was beating inferior fields on grass here last summer and it's possible that she just hasn't matured during the time away; hard to endorse based on the return.   -David Aragona"
"GP",05/02/2020,9,"Bajan Girl","Gave the top trio a bit of a scare coming to the top of the stretch of the Gulfstream Park Oaks, as she threatened to break into the trifecta at odds of 105-1; ultimately flattened out in the last furlong, but nevertheless showed that she belongs againststakes fillies, at least on dirt; now she switches back to grass, and she had shown some promise on this surface; overcame a wide trip to be 4th in Feb. and then bulled her way through traffic to break her maiden two back; if Paco Lopez can save some ground from this wide draw, there's no reason she can't work herself into the mix once again; don't underestimate.   -David Aragona"
"GP",05/02/2020,9,"Astoria Kitten","NY-bred was bet down to even-money in her debut at Saratoga, but she wasn't quite ready for the spotlight that day; it was a different story next time out at Belmont as she delivered on that prior hype, drawing away authoritatively in the lane; Gargan picked a tougher open company assignment for her first test against winners at Aqueduct and she was in contention until midstretch before getting swallowed up late; now she returns from a break, and Gargan is 9-for-46 (20%, $2.27 ROI) off layoffs of 120 to240 days over the past 5 years; you know what the plan will be with speed rider Jaramillo on board; don't be shocked if she leads them a long way.   -David Aragona"
"GP",05/02/2020,9,"Stunning Sky","Showed some promise when she broke through on turf in that January optional claimer, but she wasn't able to sustain that positive momentum when she made her stakes debut in the Herecomesthebride; she fared much better in the Sanibel Island last time, asshe overcame a significant stretch deficit to get up for fourth; that wasn't exactly a race that favored horses coming from well off the pace, so she deserves full credit for the performance; there's a chance that she'll get more pace to close into thistime, and the extra sixteenth should help this sizable filly; picking up Gaffalione doesn't hurt either; exotics player.   -David Aragona"
"GP",05/02/2020,9,"Micheline","Deep closer arguably ran the best race of all in the Sweetest Chant two back when she made a wild rush from last to get up for second; one would have expected her to move forward off such a performance, but she didn't display any of that closing energy next time when a dull 7th in the Florida Oaks; though, she was hindered by a wide draw and Paco Lopez made the questionable decision to rush her up into a forward position early; she's probably better when she can take back and make one late rush, and that's what Bravo figures to do here; she's mildly interesting if she can repeat her prior effort; possible for a slice.   -David Aragona"
"GP",05/02/2020,9,"Pleasant Orb","MTO has done little wrong so far in her career, but she also hasn't run particularly fast; had to work hard to break out of the maiden ranks last time as the 7-5 favorite and will need to improve on that performance if she's to make her first start against winner a successful one; could be at a post position disadvantage if many of those entered for turf stay in.   -David Aragona"
"GP",05/02/2020,9,"Ginger Kitty","AE would be a potential pace factor if she drew into the race, a she had shown speed in her first few turf runs before a change in tactics backfired in the Herecomesthebride; yet the chief concern is her overall ability, as she was soundly defeated by Stunning Sky two back and that one has apparently improved since then; would be an outsider even if she got in.   -David Aragona"
"GP",05/02/2020,9,"Dream Marie","MTO picked up a valuable G2 placing when third in the Davona Dale two back, but she couldn't repeat the feat when never a serious factor in the Gulfstream Park Oaks last time; though, it is worth pointing out that the race featured a slow pace and was dominated by front-runners; clearly has ability, but if this race were rained off the turf, she'd be stuck with an unenviable outside post and a few to her inside have pretty strong dirt form.   -David Aragona"
"GP",05/02/2020,9,"Seducer","She was bet down to favoritism in the Sanibel Island last time despite having just one prior start under her belt at Aqueduct; while she was visually impressive in that initial run, keep in mind that she was racing over an intensely rail-biased course inNovember, which no doubt exaggerated her winning performance; while she was disappointing in her return, the change in tactics likely worked against her, as she never seemed totally comfortable racing in traffic; Irad Ortiz will need to use every bit ofskill to work out the right trip from this wide slot, and you'll take the worst of it from a price standpoint with him named to ride; mixed feelings.   -David Aragona"
"GP",05/02/2020,9,"Diamonds Are A","Stayed on mildly to split the field in the Wait a While last time, but now she hasn't been seen for 5 months; this is a pretty tough spot in which to launch a comeback, especially considering that she's not exactly on par with these fillies based on her2-year-old Beyers; leaning elsewhere.   -David Aragona"
