"RCTrack","RCDate","RCRace","Horse","Trainer","Category","Starts","WinPct","ROI"
"GP",05/02/2020,1,"Coach Temple","Joseph Saffie A Jr","1stStart",29,0.14,1.50
"GP",05/02/2020,1,"Coach Temple","Joseph Saffie A Jr","1stTurf",30,0.17,1.71
"GP",05/02/2020,1,"Coach Temple","Joseph Saffie A Jr","Turf",223,0.22,1.91
"GP",05/02/2020,1,"Coach Temple","Joseph Saffie A Jr","Routes",243,0.25,2.07
"GP",05/02/2020,1,"Coach Temple","Joseph Saffie A Jr","MdnSpWt",47,0.17,1.58
"GP",05/02/2020,1,"Constitutional Pal","Cibelli Jane","+180Days",19,0.16,0.79
"GP",05/02/2020,1,"Constitutional Pal","Cibelli Jane","Turf",223,0.17,1.81
"GP",05/02/2020,1,"Constitutional Pal","Cibelli Jane","Routes",160,0.19,2.21
"GP",05/02/2020,1,"Constitutional Pal","Cibelli Jane","MdnSpWt",28,0.07,0.31
"GP",05/02/2020,1,"East Lex","Maker Michael J","61-180Days",163,0.17,1.48
"GP",05/02/2020,1,"East Lex","Maker Michael J","Turf",934,0.16,1.38
"GP",05/02/2020,1,"East Lex","Maker Michael J","Routes",1025,0.17,1.45
"GP",05/02/2020,1,"East Lex","Maker Michael J","MdnSpWt",229,0.13,1.15
"GP",05/02/2020,1,"Elusive Ruler","Wilkes Ian R","61-180Days",77,0.09,1.34
"GP",05/02/2020,1,"Elusive Ruler","Wilkes Ian R","1stTurf",67,0.06,1.63
"GP",05/02/2020,1,"Elusive Ruler","Wilkes Ian R","Dirt/Turf",83,0.11,2.01
"GP",05/02/2020,1,"Elusive Ruler","Wilkes Ian R","Turf",252,0.13,1.80
"GP",05/02/2020,1,"Elusive Ruler","Wilkes Ian R","Routes",348,0.14,1.82
"GP",05/02/2020,1,"Elusive Ruler","Wilkes Ian R","MdnSpWt",252,0.10,1.78
"GP",05/02/2020,1,"Hero d'Oro","Brown Chad C","61-180Days",186,0.26,1.64
"GP",05/02/2020,1,"Hero d'Oro","Brown Chad C","Mdn2ndStart",98,0.35,2.00
"GP",05/02/2020,1,"Hero d'Oro","Brown Chad C","1stTurf",126,0.26,2.13
"GP",05/02/2020,1,"Hero d'Oro","Brown Chad C","Dirt/Turf",47,0.26,2.50
"GP",05/02/2020,1,"Hero d'Oro","Brown Chad C","Turf",591,0.27,1.77
"GP",05/02/2020,1,"Hero d'Oro","Brown Chad C","Routes",710,0.27,1.65
"GP",05/02/2020,1,"Irked","Mott William I","2OffOver180",27,0.30,2.31
"GP",05/02/2020,1,"Irked","Mott William I","Sprint/Route",58,0.16,1.56
"GP",05/02/2020,1,"Irked","Mott William I","Turf",346,0.13,1.30
"GP",05/02/2020,1,"Irked","Mott William I","Routes",461,0.17,1.86
"GP",05/02/2020,1,"Irked","Mott William I","MdnSpWt",250,0.14,1.60
"GP",05/02/2020,1,"Lascari","De La Cerda Armando","Mdn2ndStart",14,0.00,0.00
"GP",05/02/2020,1,"Lascari","De La Cerda Armando","Turf",146,0.18,2.86
"GP",05/02/2020,1,"Lascari","De La Cerda Armando","Routes",138,0.12,1.56
"GP",05/02/2020,1,"Lascari","De La Cerda Armando","MdnSpWt",15,0.27,10.41
"GP",05/02/2020,1,"Maine","Servis John C","2Off45-180",67,0.24,1.67
"GP",05/02/2020,1,"Maine","Servis John C","Sprint/Route",58,0.12,0.89
"GP",05/02/2020,1,"Maine","Servis John C","31-60Days",147,0.23,1.92
"GP",05/02/2020,1,"Maine","Servis John C","Turf",94,0.05,0.95
"GP",05/02/2020,1,"Maine","Servis John C","Routes",237,0.14,1.35
"GP",05/02/2020,1,"Maine","Servis John C","MdnSpWt",99,0.17,1.52
"GP",05/02/2020,1,"Mighty Tough","Hills Timothy A","Mdn2ndStart",13,0.08,0.31
"GP",05/02/2020,1,"Mighty Tough","Hills Timothy A","31-60Days",46,0.09,1.53
"GP",05/02/2020,1,"Mighty Tough","Hills Timothy A","Turf",77,0.06,1.07
"GP",05/02/2020,1,"Mighty Tough","Hills Timothy A","Routes",80,0.10,1.19
"GP",05/02/2020,1,"Mighty Tough","Hills Timothy A","MdnSpWt",52,0.06,1.14
"GP",05/02/2020,1,"Turn of Events","Maker Michael J","31-60Days",479,0.15,1.33
"GP",05/02/2020,1,"Turn of Events","Maker Michael J","Turf",934,0.16,1.38
"GP",05/02/2020,1,"Turn of Events","Maker Michael J","Routes",1025,0.17,1.45
"GP",05/02/2020,1,"Turn of Events","Maker Michael J","MdnSpWt",229,0.13,1.15
"GP",05/02/2020,1,"Win d'Oro","Casse Mark","61-180Days",212,0.13,1.48
"GP",05/02/2020,1,"Win d'Oro","Casse Mark","Dirt/Turf",202,0.12,1.27
"GP",05/02/2020,1,"Win d'Oro","Casse Mark","Turf",755,0.15,1.59
"GP",05/02/2020,1,"Win d'Oro","Casse Mark","Routes",758,0.16,1.62
"GP",05/02/2020,1,"Win d'Oro","Casse Mark","MdnSpWt",506,0.17,1.75
"GP",05/02/2020,1,"Wind Ridge","Clement Christophe","2Off45-180",64,0.19,1.75
"GP",05/02/2020,1,"Wind Ridge","Clement Christophe","Dirt",136,0.18,1.50
"GP",05/02/2020,1,"Wind Ridge","Clement Christophe","Routes",359,0.17,1.61
"GP",05/02/2020,1,"Wind Ridge","Clement Christophe","MdnSpWt",221,0.22,2.07
"GP",05/02/2020,2,"American Rock Salt","Miller Herbert","31-60Days",19,0.05,0.83
"GP",05/02/2020,2,"American Rock Salt","Miller Herbert","Dirt",60,0.05,0.56
"GP",05/02/2020,2,"American Rock Salt","Miller Herbert","Sprint",75,0.07,0.63
"GP",05/02/2020,2,"American Rock Salt","Miller Herbert","Claim",56,0.09,1.34
"GP",05/02/2020,2,"Baba Tobi","Rodriguez Hector F","Dirt",16,0.00,0.00
"GP",05/02/2020,2,"Baba Tobi","Rodriguez Hector F","Sprint",13,0.00,0.00
"GP",05/02/2020,2,"Baba Tobi","Rodriguez Hector F","Claim",14,0.00,0.00
