"RCDate","RCTrack","Trainer","Starts","Wins","Places","Shows","WinPercent","MoneyPercent","AvgWinPayoff","SprintWins","SprintStarts","RouteWins","RouteStarts","TurfWins","TurfStarts","MainWins","MainStarts","MdnAndClmWins","MdnAndClmStarts","OtherWins","OtherStarts","ThirtyDaysWins","ThirtyDaysStarts","TenDaysWins","TenDaysStarts"
05/02/2020,"LA","Morfin Sergio",65.00,14.00,16.00,16.00,21.54,70.77,6.60,14.00,65.00,0.00,0.00,0.00,0.00,14.00,65.00,14.00,64.00,0.00,1.00,1.00,16.00,1.00,7.00
05/02/2020,"LA","Heredia Oscar",63.00,10.00,16.00,10.00,15.87,57.14,6.22,10.00,63.00,0.00,0.00,0.00,0.00,10.00,63.00,10.00,63.00,0.00,0.00,0.00,13.00,0.00,3.00
05/02/2020,"LA","Mendoza Jesus",34.00,9.00,4.00,7.00,26.47,58.82,15.36,9.00,34.00,0.00,0.00,0.00,0.00,9.00,34.00,9.00,34.00,0.00,0.00,1.00,5.00,0.00,3.00
05/02/2020,"LA","Aquino Angela M",54.00,8.00,9.00,8.00,14.81,46.30,7.60,8.00,54.00,0.00,0.00,0.00,0.00,8.00,54.00,8.00,54.00,0.00,0.00,1.00,19.00,0.00,8.00
05/02/2020,"LA","Uranga Jesus J",40.00,7.00,7.00,7.00,17.50,52.50,7.00,7.00,40.00,0.00,0.00,0.00,0.00,7.00,40.00,7.00,40.00,0.00,0.00,3.00,8.00,1.00,3.00
05/02/2020,"LA","Stortz Marcia",46.00,5.00,5.00,3.00,10.87,28.26,11.08,5.00,46.00,0.00,0.00,0.00,0.00,5.00,46.00,5.00,45.00,0.00,1.00,1.00,11.00,1.00,5.00
05/02/2020,"LA","Cunningham Brian T",19.00,5.00,7.00,0.00,26.32,63.16,7.88,5.00,19.00,0.00,0.00,0.00,0.00,5.00,19.00,5.00,19.00,0.00,0.00,2.00,7.00,1.00,4.00
05/02/2020,"LA","Naranjo Salvador",49.00,4.00,6.00,5.00,8.16,30.61,15.15,4.00,49.00,0.00,0.00,0.00,0.00,4.00,49.00,4.00,49.00,0.00,0.00,1.00,12.00,0.00,4.00
05/02/2020,"LA","Vallejo Adriana",19.00,4.00,3.00,4.00,21.05,57.89,6.75,4.00,19.00,0.00,0.00,0.00,0.00,4.00,19.00,4.00,19.00,0.00,0.00,0.00,4.00,0.00,2.00
05/02/2020,"LA","Rivera Sally",37.00,3.00,4.00,7.00,8.11,37.84,22.33,3.00,37.00,0.00,0.00,0.00,0.00,3.00,37.00,3.00,37.00,0.00,0.00,0.00,8.00,0.00,2.00
05/02/2020,"LA","Pineda Milton G",19.00,3.00,4.00,2.00,15.79,47.37,8.53,3.00,19.00,0.00,0.00,0.00,0.00,3.00,19.00,3.00,19.00,0.00,0.00,1.00,5.00,0.00,1.00
05/02/2020,"LA","Zamudio Valentin A",10.00,2.00,2.00,3.00,20.00,70.00,5.50,2.00,10.00,0.00,0.00,0.00,0.00,2.00,10.00,2.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00
05/02/2020,"LA","Nunez Jesus",10.00,2.00,0.00,2.00,20.00,40.00,103.00,2.00,10.00,0.00,0.00,0.00,0.00,2.00,10.00,2.00,10.00,0.00,0.00,1.00,7.00,1.00,5.00
05/02/2020,"LA","Metz Jeff",7.00,1.00,3.00,1.00,14.29,71.43,5.80,1.00,7.00,0.00,0.00,0.00,0.00,1.00,7.00,1.00,7.00,0.00,0.00,1.00,7.00,1.00,6.00
05/02/2020,"LA","DeLeon Rafael",4.00,1.00,1.00,0.00,25.00,50.00,6.00,1.00,4.00,0.00,0.00,0.00,0.00,1.00,4.00,1.00,3.00,0.00,1.00,0.00,0.00,0.00,0.00
05/02/2020,"LA","Brinkerhoff Val",3.00,1.00,2.00,0.00,33.33,100.00,9.60,1.00,3.00,0.00,0.00,0.00,0.00,1.00,3.00,1.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00
05/02/2020,"LA","Rodriguez Yanet",3.00,1.00,0.00,1.00,33.33,66.67,4.00,1.00,3.00,0.00,0.00,0.00,0.00,1.00,3.00,1.00,3.00,0.00,0.00,1.00,1.00,0.00,0.00
05/02/2020,"LA","Farias Jorge",2.00,1.00,0.00,0.00,50.00,50.00,5.40,1.00,2.00,0.00,0.00,0.00,0.00,1.00,2.00,1.00,2.00,0.00,0.00,1.00,1.00,0.00,0.00
05/02/2020,"LA","Lopez Jaime",1.00,1.00,0.00,0.00,100.00,100.00,6.60,1.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00
05/02/2020,"LA","Belvoir Vann",5.00,0.00,0.00,2.00,.00,40.00,.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,5.00,0.00,0.00,0.00,5.00,0.00,2.00
05/02/2020,"LA","Rosales Richard",2.00,0.00,1.00,1.00,.00,100.00,.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,2.00,0.00,0.00,0.00,1.00,0.00,1.00
05/02/2020,"LA","Fales Matthew M",2.00,0.00,0.00,1.00,.00,50.00,.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00
05/02/2020,"LA","Jones Paul C",2.00,0.00,0.00,0.00,.00,.00,.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00
05/02/2020,"LA","Montes Danny S",1.00,0.00,0.00,0.00,.00,.00,.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
05/02/2020,"LA","Cooper John L",0.00,0.00,0.00,0.00,.00,.00,.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
05/02/2020,"LA","Lindsey Luke",0.00,0.00,0.00,0.00,.00,.00,.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
05/02/2020,"LA","Gomez Jaime H",0.00,0.00,0.00,0.00,.00,.00,.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
05/02/2020,"LA","Aleman Juan G",0.00,0.00,0.00,0.00,.00,.00,.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
05/02/2020,"LA","Lewis Craig A",0.00,0.00,0.00,0.00,.00,.00,.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
05/02/2020,"LA","Glenn James W Jr",0.00,0.00,0.00,0.00,.00,.00,.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
05/02/2020,"LA","O'Dell Christopher G",0.00,0.00,0.00,0.00,.00,.00,.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
05/02/2020,"LA","Papaprodromou George",0.00,0.00,0.00,0.00,.00,.00,.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
05/02/2020,"LA","Marquez Alfredo",0.00,0.00,0.00,0.00,.00,.00,.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
05/02/2020,"LA","Dominguez Roberto",0.00,0.00,0.00,0.00,.00,.00,.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
05/02/2020,"LA","Diaz Lindolfo",0.00,0.00,0.00,0.00,.00,.00,.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
05/02/2020,"LA","Ramos Jesus",0.00,0.00,0.00,0.00,.00,.00,.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
05/02/2020,"LA","Josephson J B",0.00,0.00,0.00,0.00,.00,.00,.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
05/02/2020,"LA","Casselman Mike",0.00,0.00,0.00,0.00,.00,.00,.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
05/02/2020,"LA","Flores Jose A",0.00,0.00,0.00,0.00,.00,.00,.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
05/02/2020,"LA","Becerra Rafael",0.00,0.00,0.00,0.00,.00,.00,.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
05/02/2020,"LA","Robbins Mike",0.00,0.00,0.00,0.00,.00,.00,.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
05/02/2020,"LA","Willoughby Scott L",0.00,0.00,0.00,0.00,.00,.00,.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
