"RCTrack","RCDate","RCRace","AeMto","Weight","Horse","FD","TripleCrown","Sex","YBorn","MBorn","State","Breeder","Color","Sire","SireSire","Dam","DamSire","Owner","Sale","SaleYear","SalePrice","LastRaced","Bute","Lasix","Blinker","ClaimPrice","Apprentice","Jockey","Trainer","PostPosition","CYEarnings","CYStarts","CYWins","CYPlaces","CYShows","PYEarnings","PYStarts","PYWins","PYPlaces","PYShows","Earnings","Starts","Wins","Places","Shows","WEarnings","WStarts","WWins","WPlaces","WShows","TEarnings","TStarts","TWins","TPlaces","TShows","DEarnings","DStarts","DWins","DPlaces","DShows","TrkEarnings","TrkStarts","TrkWins","TrkPlaces","TrkShows","DistEarnings","DistStarts","DistWins","DistPlaces","DistShows","Entry","JockMeetStarts","JockMeetEarnings","JockMeetWins","JockMeetPlaces","JockMeetShows","JockMeetWinPct","JockMeetMoneyPct","JockYTDStarts","JockYTDEarnings","JockYTDWins","JockYTDPlaces","JockYTDShows","JockYTDWinPct","JockYTDMoneyPct","TrainerMeetStarts","TrainerMeetEarnings","TrainerMeetWins","TrainerMeetPlaces","TrainerMeetShows","TrainerMeetWinPct","TrainerMeetMoneyPct","TrainerYTDStarts","TrainerYTDEarnings","TrainerYTDWins","TrainerYTDPlaces","TrainerYTDShows","TrainerYTDWinPct","TrainerYTDMoneyPct","QtrStarts","QtrEarnings","QtrWins","QtrPlaces","QtrShows","EnteredTrack","EnteredDate","EnteredRace","StatsPriorYear","StudFee","Scratch","JTTrackPeriod","JTTrackStarts","JTTrackEarnings","JTTrackWinPct","JTAllStarts","JTAllWinPct","JTAllRoi"
"LA",05/02/2020,1,"",120,"Ridge Route","D","N","g",2017,1,"Cal","Cynthia Louise Longtin","Ch.","Informed","Tiznow","Lucky Venture","Grey Memo","Jaime Morfin","",0,0.000,03/27/2020,"","L","B",3.50,0,"Sanchez J E","Morfin Sergio",1,1.400,3,0,0,0,0.702,2,0,0,0,2.102,5,0,0,0,0.351,1,0,0,0,0.000,0,0,0,0,2.102,5,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0,"",82,0.000,20,18,15,0.24,0.65,77,0.000,18,18,14,0.23,0.65,65,0.000,14,16,16,0.22,0.71,60,0.000,14,15,14,0.23,0.72,0,0.000,0,0,0,"",,0,12/28/2019,0.000,"N","2019-20",36,2.03,0.31,41,0.27,1.78
"LA",05/02/2020,1,"",123,"Love and Hold","D","N","g",2016,3,"Cal","Rancho San Roberto Inc & Mark Cosgrove","B.","Fontanella","Emeritus","Lovetobehold","Caros Love","Rancho San Roberto, Inc. and Spasiano, A","",0,0.000,04/17/2020,"","L","",3.50,0,"Guce R","Heredia Oscar",2,5.940,7,0,3,2,8.144,10,0,1,1,14.084,17,0,4,3,0.000,0,0,0,0,0.351,1,0,0,0,13.733,16,0,4,3,9.560,12,0,4,3,9.560,12,0,4,3,"",89,0.000,20,17,15,0.22,0.58,89,0.000,19,16,16,0.21,0.57,63,0.000,10,16,10,0.16,0.57,61,0.000,9,16,10,0.15,0.57,0,0.000,0,0,0,"",,0,12/27/2019,0.000,"N","2019-20",4,0.00,0.00,4,0.00,0.00
"LA",05/02/2020,1,"",123,"Here I Go Indy","D","N","g",2016,3,"Cal","Blue Diamond Horseshoe, LLC","B.","James Street","El Prado*Ire","Here We Be","A.P. Indy","Billy W. Antoine","BAROCT",17,1.000,04/25/2020,"","L","",3.50,0,"Hernandez E","Vallejo Adriana",3,0.400,1,0,0,0,0.702,2,0,0,0,1.102,3,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0,1.502,4,0,0,0,0.400,1,0,0,0,0.400,1,0,0,0,"",64,0.000,10,4,10,0.16,0.38,84,0.000,10,5,12,0.12,0.32,19,0.000,4,3,4,0.21,0.58,16,0.000,3,2,4,0.19,0.56,0,0.000,0,0,0,"",,0,07/26/2019,5.000,"N","2019-20",8,3.43,0.25,8,0.25,3.43
"LA",05/02/2020,1,"",116,"Dave's Gift","D","N","g",2015,2,"Ky","Todd L. Daugherty","B.","Warrior's Reward","Medaglia d'Oro","Sookloozy","Avenue of Flags","Meehan, Leonard and Mendes, Carolyn","",0,0.000,03/08/2020,"","L","",3.50,7,"Lopez H R","Ramos Jesus",4,2.900,3,0,1,0,2.880,4,0,0,1,12.210,14,0,2,3,0.000,0,0,0,0,1.560,1,0,0,1,10.650,13,0,2,2,0.000,0,0,0,0,0.000,0,0,0,0,"",27,0.000,3,3,2,0.11,0.30,31,0.000,3,3,2,0.10,0.26,0,0.000,0,0,0,0.00,0.00,45,0.000,4,7,3,0.09,0.31,0,0.000,0,0,0,"",,0,12/29/2019,5.000,"N","2019-20",0,0.00,0.00,0,0.00,0.00
"LA",05/02/2020,1,"",116,"Sharpshootingeorge","D","N","g",2016,3,"Ky","Edward A. Seltzer, Beverly Anderson & Godolphin","Dk. b or br","Bernardini","A.P. Indy","Simply Spectacular","Bernstein","Christopher Drakos","KEESEP",17,15.000,04/03/2020,"","L","",3.50,7,"Flores V J","Mendoza Jesus",5,0.000,0,0,0,0,6.213,6,0,1,0,6.213,6,0,1,0,0.351,1,0,0,0,0.000,0,0,0,0,6.513,7,0,1,0,0.000,0,0,0,0,0.000,0,0,0,0,"",19,0.000,5,3,2,0.26,0.53,47,0.000,6,6,5,0.13,0.36,34,0.000,9,4,7,0.26,0.59,39,0.000,9,6,6,0.23,0.54,0,0.000,0,0,0,"",,0,12/07/2019,40.000,"N","2019-20",0,0.00,0.00,0,0.00,0.00
"LA",05/02/2020,1,"",120,"Runaway Indy","D","N","g",2017,2,"Cal","Andy Broberg & Gena Broberg","Dk. b or br","Sundarban","A.P. Indy","Astuzia","Royal Academy","Andy or Gena Broberg","",0,0.000,03/29/2020,"","L","",3.50,0,"Bednar V","Josephson J B",6,4.440,4,0,1,1,0.000,0,0,0,0,4.440,4,0,1,1,0.000,0,0,0,0,0.000,0,0,0,0,4.440,4,0,1,1,0.000,0,0,0,0,0.000,0,0,0,0,"",46,0.000,3,6,14,0.07,0.50,48,0.000,3,6,13,0.06,0.46,0,0.000,0,0,0,0.00,0.00,20,0.000,1,3,3,0.05,0.35,0,0.000,0,0,0,"",,0,,0.000,"N","2019-20",0,0.00,0.00,0,0.00,0.00
"LA",05/02/2020,1,"",123,"Cupid's Victory","D","N","g",2016,5,"Cal","Carolyn Mendes","Dk. b or br","Brave Victory","Lion Heart","Lucky Valentina","Lucky Pulpit","Carolyn Mendes","",0,0.000,03/19/2020,"","L","",3.50,0,"Garcia E","Ramos Jesus",7,2.550,5,0,0,0,0.300,1,0,0,0,2.850,6,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0,2.850,6,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0,"",40,0.000,3,2,6,0.08,0.28,36,0.000,3,1,6,0.08,0.28,0,0.000,0,0,0,0.00,0.00,45,0.000,4,7,3,0.09,0.31,0,0.000,0,0,0,"",,0,12/07/2019,0.000,"N","2019-20",0,0.00,0.00,0,0.00,0.00
"LA",05/02/2020,1,"",123,"Groucho","D","N","g",2016,2,"Cal","Crystal Valley Racing","Ch.","Sundarban","A.P. Indy","Foxy Babe","Momentum","Crystal Valley Racing","",0,0.000,04/17/2020,"","L","",3.50,0,"Allen J A","Aquino Angela M",8,2.262,5,0,1,1,3.078,6,0,0,2,5.340,11,0,1,3,0.000,0,0,0,0,0.000,0,0,0,0,5.640,12,0,1,3,2.250,3,0,0,2,2.250,3,0,0,2,"",18,0.000,1,1,5,0.06,0.39,16,0.000,1,1,3,0.06,0.31,54,0.000,8,9,8,0.15,0.46,52,0.000,7,9,8,0.13,0.46,0,0.000,0,0,0,"",,0,12/20/2019,0.000,"N","2019-20",8,6.58,0.25,8,0.25,6.58
"LA",05/02/2020,2,"",120,"Via Alpina","D","N","f",2017,2,"Cal","Donald Valpredo","Dk. b or br","Artie Schiller","El Prado*Ire","Princess Pegasus","Fusaichi Pegasus","Highlander Racing Stable, LLC","BARSEL",18,52.000,04/18/2020,"","L","",3.50,0,"Orduna-Rojas F","Metz Jeff",1,1.000,2,0,0,0,3.780,2,0,0,0,4.780,4,0,0,0,0.000,0,0,0,0,3.500,2,0,0,0,1.580,3,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0,"",104,0.000,27,27,14,0.26,0.65,97,0.000,24,25,14,0.25,0.65,7,0.000,1,3,1,0.14,0.71,86,0.000,12,16,14,0.14,0.49,0,0.000,0,0,0,"",,0,12/12/2019,25.740,"N","2019-20",2,2.90,0.50,2,0.50,2.90
"LA",05/02/2020,2,"",123,"Monchichi","D","N","f",2016,3,"Cal","La Quinta Farm","Dk. b or br","Stormy Jack","Bertrando","My Reality","Cutlass Reality","La Quinta Farms","",0,0.000,12/08/2019,"","l","B",3.50,0,"Sanchez J E","Morfin Sergio",2,0.351,1,0,0,0,0.000,0,0,0,0,0.351,1,0,0,0,0.351,1,0,0,0,0.000,0,0,0,0,0.351,1,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0,"",82,0.000,20,18,15,0.24,0.65,77,0.000,18,18,14,0.23,0.65,65,0.000,14,16,16,0.22,0.71,60,0.000,14,15,14,0.23,0.72,0,0.000,0,0,0,"",,0,,1.500,"N","2019-20",36,2.03,0.31,41,0.27,1.78
"LA",05/02/2020,2,"",123,"Sweet Sassafrassy","D","N","f",2016,5,"Cal","Charles Dante & & Cedair Dante","Ch.","Coil","Point Given","Humming Beethoven","Mr. Greeley","Humberto Rodriguez","",0,0.000,02/28/2020,"","L","",3.50,0,"Bednar V","Fales Matthew M",3,3.400,2,0,0,1,0.000,0,0,0,0,3.400,2,0,0,1,0.000,0,0,0,0,0.000,0,0,0,0,3.400,2,0,0,1,0.000,0,0,0,0,0.000,0,0,0,0,"",46,0.000,3,6,14,0.07,0.50,48,0.000,3,6,13,0.06,0.46,2,0.000,0,0,1,0.00,0.50,6,0.000,0,1,2,0.00,0.50,0,0.000,0,0,0,"",,0,,2.500,"N","2019-20",2,0.00,0.00,2,0.00,0.00
