"RCTrack","RCDate","RCRace","Horse","FD","BestFastDirt","BestTurf","BestWet","BestDistance","BestLifetime","BestCurrentYear","BestPriorYear","BestTrackSurface","MudTurfMud","MudTurfTurf","MudTurfDistance"
"LA",05/02/2020,1,"Ridge Route","D",41,0,32,0,41,41,32,0,"357","236","312"
"LA",05/02/2020,1,"Love and Hold","D",47,0,0,40,47,40,47,40,"270*","250*","236*"
"LA",05/02/2020,1,"Here I Go Indy","D",38,0,0,13,38,13,38,13,"371*","306","332"
"LA",05/02/2020,1,"Dave's Gift","D",56,58,0,0,58,49,56,0,"373","308","377"
"LA",05/02/2020,1,"Sharpshootingeorge","D",51,0,30,0,51,0,51,0,"407","274","359"
"LA",05/02/2020,1,"Runaway Indy","D",55,0,0,0,55,55,0,0,"332","307","235"
"LA",05/02/2020,1,"Cupid's Victory","D",43,0,0,0,43,43,36,0,"372*","245*","302"
"LA",05/02/2020,1,"Groucho","D",34,0,0,34,34,33,34,34,"296","256","227"
"LA",05/02/2020,2,"Via Alpina","D",51,37,0,0,51,26,51,0,"316","304","324"
"LA",05/02/2020,2,"Monchichi","D",0,0,0,0,0,0,0,0,"360","175","348"
"LA",05/02/2020,2,"Sweet Sassafrassy","D",25,0,0,0,25,25,0,0,"333","283","413"
"LA",05/02/2020,2,"Tenga's Jewel","D",15,0,0,15,15,15,0,15,"390*","310*","374"
"LA",05/02/2020,2,"Arrivederci Amore","D",22,17,0,22,22,22,0,22,"317","306","326"
"LA",05/02/2020,2,"Mira Loma Madam","D",13,0,0,13,13,13,0,13,"337*","251*","324*"
"LA",05/02/2020,3,"Stormin Trick","D",80,66,60,69,80,56,0,69,"344","262","317"
"LA",05/02/2020,3,"Gutsy Streak","D",69,0,63,69,69,65,66,69,"310","246","318"
"LA",05/02/2020,3,"It's Just Bob","D",78,84,69,78,84,69,72,78,"336","295","389"
"LA",05/02/2020,3,"Leedslimit","D",68,0,0,68,68,68,38,68,"312","242","329"
"LA",05/02/2020,3,"Johann's Command","D",73,29,57,64,73,60,64,64,"360*","329","346"
"LA",05/02/2020,3,"Uncle Goyle","D",76,0,74,0,76,66,76,0,"368","251","332"
"LA",05/02/2020,3,"Fancy Terrace","D",67,0,60,67,67,67,65,67,"347","336","336"
"LA",05/02/2020,4,"Tim's Buddy","D",63,0,0,0,63,63,61,0,"329*","307","*"
"LA",05/02/2020,4,"Seven Scents","D",83,83,0,0,83,83,82,0,"340","339","*"
"LA",05/02/2020,4,"Saddle Bar","D",72,0,68,0,72,68,72,0,"377","260","*"
"LA",05/02/2020,4,"Little No Way","D",81,83,0,0,83,81,81,0,"411","333","*"
"LA",05/02/2020,4,"Santaluz Dreamin","D",68,0,0,0,68,68,0,68,"340*","200","*"
"LA",05/02/2020,4,"Appreciated","D",62,82,0,0,82,80,82,0,"338","281","*"
"LA",05/02/2020,4,"Rebel War","D",77,76,52,0,77,76,77,0,"342","270","*"
"LA",05/02/2020,4,"Winsinfashion","D",63,44,0,0,63,46,63,0,"325","206","*"
"LA",05/02/2020,5,"Val Sierrita","DQ",0,0,0,0,0,0,0,0,"-","-","-"
"LA",05/02/2020,5,"Vf First Prize Mama","DQ",0,0,0,0,0,0,0,0,"-","-","-"
"LA",05/02/2020,5,"Perry the Legacy","DQ",0,0,0,0,0,0,0,0,"-","-","-"
"LA",05/02/2020,5,"Apollitical Royal","DQ",0,0,0,0,0,0,0,0,"-","-","-"
"LA",05/02/2020,5,"Valentin Jqm","DQ",0,0,0,0,0,0,0,0,"-","-","-"
"LA",05/02/2020,5,"Bc Corona Dude","DQ",0,0,0,0,0,0,0,0,"-","-","-"
"LA",05/02/2020,6,"Df Fabulous Feiend","DQ",0,0,0,0,0,0,0,0,"-","-","-"
"LA",05/02/2020,6,"Terrific Temper","DQ",0,0,0,0,0,0,0,0,"-","-","-"
"LA",05/02/2020,6,"Sassies Blues Girl","DQ",0,0,0,0,0,0,0,0,"-","-","-"
"LA",05/02/2020,6,"In Deep Thought","DQ",0,0,0,0,0,0,0,0,"-","-","-"
"LA",05/02/2020,6,"Pour Corona","DQ",0,0,0,0,0,0,0,0,"-","-","-"
"LA",05/02/2020,6,"Ms Racy Eagle","DQ",0,0,0,0,0,0,0,0,"-","-","-"
"LA",05/02/2020,6,"Jess Fortunate","DQ",0,0,0,0,0,0,0,0,"-","-","-"
"LA",05/02/2020,7,"Check My Cartel","DQ",0,0,0,0,0,0,0,0,"-","-","-"
"LA",05/02/2020,7,"Favoriteladymelania","DQ",0,0,0,0,0,0,0,0,"-","-","-"
"LA",05/02/2020,7,"Walk Around","DQ",0,0,0,0,0,0,0,0,"-","-","-"
"LA",05/02/2020,7,"Cm Singing the Blues","DQ",0,0,0,0,0,0,0,0,"-","-","-"
"LA",05/02/2020,7,"Kick It Papa Joe","DQ",0,0,0,0,0,0,0,0,"-","-","-"
"LA",05/02/2020,7,"Mia Cartel","DQ",0,0,0,0,0,0,0,0,"-","-","-"
"LA",05/02/2020,8,"Single Brad","DQ",0,0,0,0,0,0,0,0,"-","-","-"
"LA",05/02/2020,8,"Bac to Life","DQ",0,0,0,0,0,0,0,0,"-","-","-"
"LA",05/02/2020,8,"Coronas Big Flash","DQ",0,0,0,0,0,0,0,0,"-","-","-"
"LA",05/02/2020,8,"Jess Paint Me","DQ",0,0,0,0,0,0,0,0,"-","-","-"
"LA",05/02/2020,8,"Delighted","DQ",0,0,0,0,0,0,0,0,"-","-","-"
"LA",05/02/2020,8,"Leggolas","DQ",0,0,0,0,0,0,0,0,"-","-","-"
"LA",05/02/2020,8,"The Good Saint Pat","DQ",0,0,0,0,0,0,0,0,"-","-","-"
"LA",05/02/2020,9,"Chocolatito","DQ",0,0,0,0,0,0,0,0,"-","-","-"
"LA",05/02/2020,9,"Tac Me Up","DQ",0,0,0,0,0,0,0,0,"-","-","-"
"LA",05/02/2020,9,"Rite Quick","DQ",0,0,0,0,0,0,0,0,"-","-","-"
"LA",05/02/2020,9,"Cartel Rocks","DQ",0,0,0,0,0,0,0,0,"-","-","-"
"LA",05/02/2020,9,"Chicks Fayvorite","DQ",0,0,0,0,0,0,0,0,"-","-","-"
"LA",05/02/2020,9,"Alamode","DQ",0,0,0,0,0,0,0,0,"-","-","-"
"LA",05/02/2020,9,"My Favorite Cartel","DQ",0,0,0,0,0,0,0,0,"-","-","-"
