"RCDate","RCTrack","Trainer","Starts","Wins","Places","Shows","WinPercent","MoneyPercent","AvgWinPayoff","SprintWins","SprintStarts","RouteWins","RouteStarts","TurfWins","TurfStarts","MainWins","MainStarts","MdnAndClmWins","MdnAndClmStarts","OtherWins","OtherStarts","ThirtyDaysWins","ThirtyDaysStarts","TenDaysWins","TenDaysStarts"
05/02/2020,"OP","Diodoro Robertino",232.00,51.00,28.00,34.00,21.98,48.71,9.46,30.00,136.00,21.00,96.00,0.00,0.00,51.00,232.00,29.00,142.00,22.00,90.00,8.00,83.00,2.00,27.00
05/02/2020,"OP","Asmussen Steven M",319.00,46.00,48.00,39.00,14.42,41.69,7.87,31.00,163.00,15.00,156.00,0.00,0.00,46.00,319.00,25.00,163.00,21.00,156.00,14.00,116.00,6.00,39.00
05/02/2020,"OP","Cox Brad H",124.00,26.00,25.00,17.00,20.97,54.84,6.65,11.00,55.00,15.00,69.00,0.00,0.00,26.00,124.00,10.00,66.00,16.00,58.00,6.00,44.00,3.00,16.00
05/02/2020,"OP","Moquett Ronald E",107.00,18.00,10.00,19.00,16.82,43.93,9.56,13.00,70.00,5.00,37.00,0.00,0.00,18.00,107.00,8.00,65.00,10.00,42.00,8.00,38.00,1.00,15.00
05/02/2020,"OP","Sadler John W",65.00,15.00,14.00,7.00,23.08,55.38,13.73,10.00,44.00,5.00,21.00,0.00,0.00,15.00,65.00,13.00,40.00,2.00,25.00,9.00,24.00,4.00,8.00
05/02/2020,"OP","Mason Ingrid",121.00,14.00,18.00,10.00,11.57,34.71,14.77,10.00,79.00,4.00,42.00,0.00,0.00,14.00,121.00,12.00,91.00,2.00,30.00,4.00,37.00,1.00,12.00
05/02/2020,"OP","Amoss Thomas",78.00,14.00,12.00,8.00,17.95,43.59,9.61,7.00,36.00,7.00,42.00,0.00,0.00,14.00,78.00,9.00,50.00,5.00,28.00,8.00,47.00,4.00,16.00
05/02/2020,"OP","Villafranco Federico",124.00,12.00,20.00,11.00,9.68,34.68,13.00,7.00,86.00,5.00,38.00,0.00,0.00,12.00,124.00,10.00,91.00,2.00,33.00,3.00,36.00,2.00,14.00
05/02/2020,"OP","Broberg Karl",92.00,12.00,8.00,12.00,13.04,34.78,9.97,9.00,66.00,3.00,26.00,0.00,0.00,12.00,92.00,8.00,69.00,4.00,23.00,4.00,26.00,2.00,9.00
05/02/2020,"OP","Hollendorfer Jerry",83.00,12.00,13.00,6.00,14.46,37.35,6.08,5.00,36.00,7.00,47.00,0.00,0.00,12.00,83.00,7.00,50.00,5.00,33.00,5.00,23.00,3.00,8.00
05/02/2020,"OP","Martin William N",83.00,10.00,8.00,7.00,12.05,30.12,15.22,5.00,62.00,5.00,21.00,0.00,0.00,10.00,83.00,5.00,63.00,5.00,20.00,2.00,26.00,1.00,13.00
