"RCTrack","RCDate","RCRace","ProgNum","PostPosition","Horse","Jockey","MLOdds"
"OP",05/02/2020,1.00,"1","01","Timely Tradition","Rosario J","3-1"
"OP",05/02/2020,1.00,"2","02","Full of Grace","Talamo J","4-1"
"OP",05/02/2020,1.00,"3","03","Miss Imperial","Thompson T J","9-2"
"OP",05/02/2020,1.00,"4","04","Hawt Mess","De La Cruz F","12-1"
"OP",05/02/2020,1.00,"5","05","War Ballad","Santana R Jr","30-1"
"OP",05/02/2020,1.00,"6","06","Lady C","Bridgmohan J V","20-1"
"OP",05/02/2020,1.00,"7","07","First Alternate","Elliott S","6-1"
"OP",05/02/2020,1.00,"8","08","Lexington Grace","Mena M","20-1"
"OP",05/02/2020,1.00,"9","09","A. P. Princess","Garcia M","10-1"
"OP",05/02/2020,1.00,"10","10","True Castle","De La Cruz W","10-1"
"OP",05/02/2020,1.00,"11","11","Jaccat","Prat F","8-1"
"OP",05/02/2020,1.00,"12","12","She's a Dime","Cohen D","15-1"
"OP",05/02/2020,2.00,"1","01","She's the Boss","Mojica O","5-1"
"OP",05/02/2020,2.00,"2","02","Golden Eyed Queen","Canchari A L","20-1"
"OP",05/02/2020,2.00,"3","03","Brittle and Yoo","Geroux F","4-1"
"OP",05/02/2020,2.00,"4","04","Portofina","Johnson J M","12-1"
"OP",05/02/2020,2.00,"5","05","Extra Effort","Garcia M","8-1"
"OP",05/02/2020,2.00,"6","06","Scolding","Santana R Jr","7-2"
"OP",05/02/2020,2.00,"7","07","Undecidedcertainty","Harr K","30-1"
"OP",05/02/2020,2.00,"8","08","Take Charge Glenda","Talamo J","5-1"
"OP",05/02/2020,2.00,"9","09","Spurwink Lane","Mena M","20-1"
"OP",05/02/2020,2.00,"10","10","Bonus Baby","Cohen D","6-1"
"OP",05/02/2020,2.00,"11","11","Clay's Quartz","Eramia R E","20-1"
"OP",05/02/2020,2.00,"12","12","Hurricane Tizway","Roberts C","15-1"
"OP",05/02/2020,2.00,"13","13","Gurl You Fine","Felix J E","12-1"
"OP",05/02/2020,2.00,"14","14","Shallow","Elliott S","30-1"
"OP",05/02/2020,3.00,"1","01","Bank Man","Quinonez L S","12-1"
"OP",05/02/2020,3.00,"2","02","Captain Don","De La Cruz W","7-2"
"OP",05/02/2020,3.00,"3","03","Bebop Shoes","Court J K","6-1"
"OP",05/02/2020,3.00,"4","04","Tempt Fate","Talamo J","4-1"
"OP",05/02/2020,3.00,"5","05","Reef's Destiny","Harr K","10-1"
"OP",05/02/2020,3.00,"6","06","Destinedtobeastar","Thompson T J","12-1"
"OP",05/02/2020,3.00,"7","07","Wasabi Moon","Felix J E","15-1"
"OP",05/02/2020,3.00,"8","08","Bogey","Canchari A L","30-1"
"OP",05/02/2020,3.00,"9","09","Cowboy Cactus Jack","Bedford K E","20-1"
"OP",05/02/2020,3.00,"10","10","Call Me Derby","Elliott S","8-1"
"OP",05/02/2020,3.00,"11","11","Jack Be Quick","Baze T C","12-1"
"OP",05/02/2020,3.00,"12","12","My Golden Diablo","Castellano J J","9-2"
"OP",05/02/2020,3.00,"13","13","Sir Brahms","Garcia M","9-2"
"OP",05/02/2020,3.00,"14","14","Macho Rocco","Roberts C","10-1"
"OP",05/02/2020,4.00,"1","01","Brother Jukebox","Quinonez L S","30-1"
"OP",05/02/2020,4.00,"2","02","Bold Proposition","Roberts C","12-1"
"OP",05/02/2020,4.00,"3","03","Macho Bob","Wales T","30-1"
"OP",05/02/2020,4.00,"4","04","Toussaint","Birzer A E","20-1"
"OP",05/02/2020,4.00,"5","05","Quality Warrior","Elliott S","15-1"
"OP",05/02/2020,4.00,"6","06","My Northern Star","Mojica O","15-1"
"OP",05/02/2020,4.00,"7","07","Major Attraction","Cohen D","7-2"
"OP",05/02/2020,4.00,"8","08","J Z My Man","Garcia M","5-1"
"OP",05/02/2020,4.00,"9","09","Uncle Addouma","Prat F","4-1"
"OP",05/02/2020,4.00,"10","10","Im Justa Bachelor","Mena M","10-1"
"OP",05/02/2020,4.00,"11","11","Bank","Santana R Jr","3-1"
"OP",05/02/2020,4.00,"12","12","Gonna Get Loud","Felix J E","12-1"
"OP",05/02/2020,4.00,"13","13","Illuminati","Thompson T J","20-1"
"OP",05/02/2020,4.00,"14","14","Gambler Rocket","Borel C H","8-1"
"OP",05/02/2020,5.00,"1","01","Treasure Trove","Bridgmohan J V","15-1"
"OP",05/02/2020,5.00,"2","02","Long Range Toddy","Court J K","12-1"
"OP",05/02/2020,5.00,"3","03","Rated R Superstar","Garcia M","8-1"
"OP",05/02/2020,5.00,"4","04","Chris and Dave","Talamo J","10-1"
"OP",05/02/2020,5.00,"5","05","Lombo","Baze T C","15-1"
"OP",05/02/2020,5.00,"6","06","Mick's Star","Cohen D","15-1"
"OP",05/02/2020,5.00,"7","07","Kershaw","Castellano J J","20-1"
"OP",05/02/2020,5.00,"8","08","Two Thirty Five","Mojica O","8-1"
"OP",05/02/2020,5.00,"9","09","Bankit","Santana R Jr","9-2"
"OP",05/02/2020,5.00,"10","10","Lone Rock","Canchari A L","20-1"
"OP",05/02/2020,5.00,"11","11","Endorsed","Rosario J","7-2"
"OP",05/02/2020,5.00,"12","12","Pirate's Punch","Lanerie C J","3-1"
"OP",05/02/2020,5.00,"13","13","Operation Stevie","Garcia M","15-1"
"OP",05/02/2020,6.00,"1","01","Apple Empire","Mena M","20-1"
"OP",05/02/2020,6.00,"2","02","Second Line David","Garcia M","8-1"
"OP",05/02/2020,6.00,"3","03","Wild Union","Castellano J J","6-1"
"OP",05/02/2020,6.00,"4","04","Friar's Road","Prat F","7-2"
"OP",05/02/2020,6.00,"5","05","Hunt the Front","Rosario J","4-1"
"OP",05/02/2020,6.00,"6","06","What a Country","Johnson J M","10-1"
"OP",05/02/2020,6.00,"7","07","Ring of Fire","Geroux F","10-1"
"OP",05/02/2020,6.00,"8","08","Beaver Hat","Mojica O","15-1"
"OP",05/02/2020,6.00,"9","09","Wild Tonight","Felix J E","30-1"
"OP",05/02/2020,6.00,"10","10","F F Rocket","Velazquez J R","12-1"
"OP",05/02/2020,6.00,"11","11","Absolute Unit","Talamo J","5-1"
"OP",05/02/2020,6.00,"12","12","Tonaltalitarian","Quinonez L S","12-1"
"OP",05/02/2020,6.00,"13","13","Baker's Man","Canchari A L","30-1"
"OP",05/02/2020,6.00,"14","14","Divine Armor","Rosario J","7-2"
"OP",05/02/2020,7.00,"1","01","Mi Bella","De La Cruz W","30-1"
"OP",05/02/2020,7.00,"2","02","Compelling Smile","Prat F","30-1"
"OP",05/02/2020,7.00,"3","03","Black Kat Taps","Hernandez B J Jr","20-1"
"OP",05/02/2020,7.00,"4","04","Orquidias Biz","Rocco J S Jr","15-1"
"OP",05/02/2020,7.00,"5","05","Roadrunner's Honor","Cohen D","20-1"
"OP",05/02/2020,7.00,"6","06","Seahawk Lisa","Baze T C","20-1"
"OP",05/02/2020,7.00,"7","07","Kiss the Girl","Santana R Jr","6-1"
"OP",05/02/2020,7.00,"8","08","Gamine","Garcia M","7-5"
"OP",05/02/2020,7.00,"9","09","Foreign Exchange","Mena M","20-1"
"OP",05/02/2020,7.00,"10","10","Speech","Castellano J J","2-1"
"OP",05/02/2020,7.00,"11","11","Queen Bridget","Talamo J","15-1"
"OP",05/02/2020,7.00,"12","12","Bootytama","Elliott S","15-1"
"OP",05/02/2020,7.00,"13","13","Ain't No Elmers","Talamo J","5-2"
"OP",05/02/2020,7.00,"14","14","Brave Cinderella","Thompson T J","20-1"
"OP",05/02/2020,8.00,"1","01","Benintendi","Geroux F","8-1"
"OP",05/02/2020,8.00,"2","02","Wild Popit","Elliott S","10-1"
"OP",05/02/2020,8.00,"3","03","Times Square","Mena M","20-1"
"OP",05/02/2020,8.00,"4","04","Fortheluvofbourbon","Eramia R E","8-1"
"OP",05/02/2020,8.00,"5","05","Fra Mauro","Santana R Jr","9-2"
"OP",05/02/2020,8.00,"6","06","Caribbean","Cohen D","7-2"
"OP",05/02/2020,8.00,"7","07","Don Vito Corleone","Garcia M","12-1"
"OP",05/02/2020,8.00,"8","08","Dukes Up","De La Cruz W","10-1"
"OP",05/02/2020,8.00,"9","09","Firery Tale","Vazquez R A","20-1"
"OP",05/02/2020,8.00,"10","10","Moretti","Castellano J J","5-2"
"OP",05/02/2020,8.00,"11","11","Defender","Baze T C","20-1"
"OP",05/02/2020,8.00,"12","12","Sandino Ruler","Cannon D","30-1"
"OP",05/02/2020,8.00,"13","13","Courting a Kiss","Lanerie C J","15-1"
"OP",05/02/2020,8.00,"14","14","Tentwelvefourteen","Harr K","30-1"
"OP",05/02/2020,9.00,"1","01","Popular Kid","Rosario J","4-1"
"OP",05/02/2020,9.00,"2","02","Always","Baze T C","8-1"
"OP",05/02/2020,9.00,"3","03","Fearless","Velazquez J R","3-1"
"OP",05/02/2020,9.00,"4","04","Extirpator","Harr K","30-1"
"OP",05/02/2020,9.00,"5","05","Sonny Smack","De La Cruz W","6-1"
"OP",05/02/2020,9.00,"6","06","Proverb","Prat F","8-1"
"OP",05/02/2020,9.00,"7","07","Rotation","Santana R Jr","9-2"
"OP",05/02/2020,9.00,"8","08","Lord Guinness","Talamo J","15-1"
"OP",05/02/2020,9.00,"9","09","Eskenforit","Saez G","20-1"
"OP",05/02/2020,9.00,"10","10","Mo Gotcha","Cohen D","12-1"
