"RCTrack","RCDate","RCRace","Starters","TrackName","RaceState","Division","RaceBred","StateBred","RaceSex","RaceAge","Class","Purse","HiClaim","LoClaim","Distance","Inner","Surface","RaceType","GradedRace","GradedRaceDesc","SimTrack","SimRace","TrackRecord","DayOfWeek","PostTime","LongClass","TrkAbbrev","DistUnit","TimeUnit","Conditions"
"RP",05/02/2020,1,10,"Remington Park","OK","","Q","S","O","35","MCL",16.200,15.000,15.000,3.500,"","D","",0,"","",0,-1.00,"Saturday","6:00","Md 15000","Remington Park","Y","H","MAIDEN CLAIMING. Purse $16,200 (include $6,000 OBP - Oklahoma Bred Program) FOR ACCREDITED OKLAHOMA-BREDS MAIDENS, THREE, FOUR, AND FIVE YEARS OLD. Three Year Olds, 124 lbs.; Older, 126 lbs. Claiming Price $15,000."
"RP",05/02/2020,2,10,"Remington Park","OK","","M","","O","2","MCL",6.900,10.000,10.000,2.500,"","D","",0,"","",0,-1.00,"Saturday","6:27","Md 10000","Remington Park","Y","H","MAIDEN CLAIMING. Purse $6,900 (plus $3,000 OBP - Oklahoma Bred Program) FOR MAIDENS, TWO YEARS OLD. Weight, 124 lbs. Claiming Price $10,000."
"RP",05/02/2020,3,10,"Remington Park","OK","","Q","","O","31","ClmN",8.400,5.000,5.000,4.000,"","D","",0,"","",0,-1.00,"Saturday","6:54","Clm 5000N2L","Remington Park","Y","H","CLAIMING. Purse $8,400 (plus $7,000 OBP - Oklahoma Bred Program) FOR THREE YEAR OLDS AND UPWARD WHICH HAVE NEVER WON TWO RACES. Three Year Olds, 124 lbs.; Older, 126 lbs. Claiming Price $5,000."
"RP",05/02/2020,4,10,"Remington Park","OK","","Q","","O","2","MCL",10.200,15.000,15.000,2.500,"","D","",0,"","",0,-1.00,"Saturday","7:21","Md 15000","Remington Park","Y","H","MAIDEN CLAIMING. Purse $10,200 (plus $6,000 OBP - Oklahoma Bred Program) FOR MAIDENS, TWO YEARS OLD. Weight, 124 lbs. Claiming Price $15,000."
"RP",05/02/2020,5,7,"Remington Park","OK","","M","","O","31","ClmN",7.100,10.000,10.000,5.500,"","D","",0,"","",0,-1.00,"Saturday","7:48","Clm 10000N2L","Remington Park","Y","H","CLAIMING. Purse $7,100 (plus $3,500 OBP - Oklahoma Bred Program) FOR THREE YEAR OLDS AND UPWARD WHICH HAVE NEVER WON TWO RACES. Three Year Olds, 124 lbs.; Older, 126 lbs. Claiming Price $10,000."
"RP",05/02/2020,6,8,"Remington Park","OK","","Q","","O","35","MCL",9.700,10.000,10.000,8.700,"","D","",0,"","",0,-1.00,"Saturday","8:15","Md 10000","Remington Park","Y","H","MAIDEN CLAIMING. Purse $9,700 (plus $6,000 OBP - Oklahoma Bred Program) FOR MAIDENS, THREE, FOUR, AND FIVE YEARS OLD. Three Year Olds, 124 lbs.; Older, 126 lbs. Claiming Price $10,000."
"RP",05/02/2020,7,10,"Remington Park","OK","","Q","","O","2","MDN",12.300,0.000,0.000,3.000,"","D","",0,"","",0,-1.00,"Saturday","8:42","Mdn 12300","Remington Park","Y","H","MAIDEN. Purse $12,300 (plus $6,000 OBP - Oklahoma Bred Program) FOR MAIDENS, TWO YEARS OLD. Weight, 124 lbs."
"RP",05/02/2020,8,8,"Remington Park","OK","","Q","","O","2","AN2L",13.600,0.000,0.000,3.300,"","D","",0,"","",0,-1.00,"Saturday","9:09","Alw 13600N2L","Remington Park","Y","H","ALLOWANCE. Purse $13,600 (plus $8,000 OBP - Oklahoma Bred Program) FOR TWO YEAR OLDS WHICH HAVE NEVER WON TWO RACES. Weight, 124 lbs."
"RP",05/02/2020,9,12,"Remington Park","OK","","Q","","O","31","GStk",68.000,0.000,0.000,4.000,"","D","",1,"","",0,-1.00,"Saturday","9:35","Stk 68000","Remington Park","Y","H","LEO S.. Purse $68,000 (plus $8,000 OBP - Oklahoma Bred Program) FOR THREE YEAR OLDS AND UPWARD.  No nomination fee. $500 to enter, starters to pay an additional $500. Weight: Three Year Olds- -124 lbs. Older - 126 lbs. Horses with the highest accumulate earnings since May 2nd, 2018 according to official statistics provided by Equibase will have preference at time of entry."
"RP",05/02/2020,10,10,"Remington Park","OK","","Q","","O","35","MDN",11.600,0.000,0.000,3.300,"","D","",0,"","",0,-1.00,"Saturday","10:01","Mdn 11600","Remington Park","Y","H","MAIDEN. Purse $11,600 (plus $6,000 OBP - Oklahoma Bred Program) FOR MAIDENS, THREE, FOUR, AND FIVE YEARS OLD. Three Year Olds, 124 lbs.; Older, 126 lbs."
