"RCTrack","RCDate","RCRace","Horse","FD","BestFastDirt","BestTurf","BestWet","BestDistance","BestLifetime","BestCurrentYear","BestPriorYear","BestTrackSurface","MudTurfMud","MudTurfTurf","MudTurfDistance"
"TAM",05/02/2020,1,"Dad's Yankees","D",64,80,64,0,80,65,80,64,"315","243","318"
"TAM",05/02/2020,1,"Expediter","D",76,69,71,0,76,65,72,65,"378","292","363"
"TAM",05/02/2020,1,"Perfetto","D",70,65,63,28,70,70,69,70,"238","262","300"
"TAM",05/02/2020,1,"Malio's","D",71,60,63,56,71,71,63,71,"277","268","347"
"TAM",05/02/2020,1,"Lem Me Tel Ya","D",77,71,72,77,77,72,77,77,"412","271","377"
"TAM",05/02/2020,1,"Doc Kane","D",77,71,78,75,78,72,78,72,"392","314","374"
"TAM",05/02/2020,1,"Ox Trot","D",71,68,0,60,71,71,64,71,"401","292","367"
"TAM",05/02/2020,1,"Mulled Wine","D",64,0,57,64,64,64,57,64,"385","330","349"
"TAM",05/02/2020,1,"Elusive Ro","D",75,68,0,0,75,74,75,0,"370","249","306"
"TAM",05/02/2020,2,"Publicist","D",75,73,75,64,75,66,75,75,"364","281","363"
"TAM",05/02/2020,2,"Thorceress","D",54,54,33,20,54,54,54,54,"364","262","295"
"TAM",05/02/2020,2,"Lolanita","D",60,58,42,60,60,58,60,58,"306","201","324"
"TAM",05/02/2020,2,"Nikki Bella","D",81,0,66,81,81,68,69,68,"394","232","337"
"TAM",05/02/2020,2,"Dreaming Diamonds","D",76,45,61,64,76,76,68,76,"367","211","387"
"TAM",05/02/2020,2,"Cultural Mandate","D",55,30,33,55,55,55,44,55,"352","254","375"
"TAM",05/02/2020,2,"I'llmakeyousmile","D",77,63,0,60,77,60,76,60,"351","321","368"
"TAM",05/02/2020,2,"Checotah","D",73,69,59,65,73,69,73,53,"299","317","335"
"TAM",05/02/2020,3,"Lilys From Paris","D",0,49,0,0,49,49,0,49,"389","301","356"
"TAM",05/02/2020,3,"Enough Kisses","D",30,0,0,0,30,30,0,0,"322","242","281"
"TAM",05/02/2020,3,"Nerissa","D",0,60,16,0,60,51,60,51,"348","312","337"
"TAM",05/02/2020,3,"All American Jewel","D",2,50,0,0,50,50,49,50,"378","277","381"
"TAM",05/02/2020,3,"Get Back Home","D",0,48,1,0,48,48,36,48,"348*","150","183"
"TAM",05/02/2020,3,"Calypso Key","D",0,52,16,0,52,52,14,52,"234","284","302"
"TAM",05/02/2020,3,"Action Absolute Ds","D",33,48,28,0,48,48,46,48,"300","241","282"
"TAM",05/02/2020,3,"Worlds Apart","D",4,71,0,71,71,54,71,51,"400","315","353"
"TAM",05/02/2020,3,"Paddy Kaye's Wild","D",0,0,0,0,0,0,0,0,"295","298","322"
"TAM",05/02/2020,3,"Tiznoise","D",29,30,0,0,30,30,0,30,"398","295","373"
"TAM",05/02/2020,3,"Dakota Beach","D",0,50,0,0,50,50,39,50,"248","264","320"
"TAM",05/02/2020,3,"Nagini","D",28,58,0,0,58,58,0,58,"428","316","403"
"TAM",05/02/2020,3,"Heavenly Joy","D",0,48,0,0,48,48,35,48,"355","322","344"
"TAM",05/02/2020,3,"Flatout Screaming","D",41,35,0,0,41,20,41,0,"394","248","367"
"TAM",05/02/2020,4,"Overpraise","D",33,59,0,0,59,40,59,0,"411","250","354"
"TAM",05/02/2020,4,"Shift the Blame","D",37,0,0,37,37,37,3,37,"396","376","387"
"TAM",05/02/2020,4,"One More Drink","D",68,54,46,65,68,59,68,59,"380","224","341"
"TAM",05/02/2020,4,"Captainontherocks","D",55,42,0,46,55,55,44,46,"356","185","308"
"TAM",05/02/2020,4,"Drama an Victory","D",33,41,0,0,41,41,0,33,"359","268","330"
"TAM",05/02/2020,4,"Diamond Dreamer","D",17,6,0,17,17,17,0,17,"270","232","270"
"TAM",05/02/2020,4,"Silent Mischief","D",43,34,7,43,43,43,34,42,"312","120","234"
"TAM",05/02/2020,4,"Imperial Greatness","D",46,34,43,0,46,46,43,46,"400","259","309"
"TAM",05/02/2020,4,"Ricky Run","D",37,0,0,28,37,37,0,37,"363","307","323"
"TAM",05/02/2020,4,"Swift Kid","D",0,0,14,0,14,14,0,14,"351","315","333"
"TAM",05/02/2020,5,"Finest Jewel","D",0,59,0,54,59,59,47,59,"397","332","357"
"TAM",05/02/2020,5,"Catsoutofthebag","D",40,68,0,68,68,66,68,63,"420","334","374"
"TAM",05/02/2020,5,"Beachtreasuregirl","D",38,65,0,65,65,58,65,65,"236","284","303"
"TAM",05/02/2020,5,"Eye On the Finish","D",49,52,0,39,52,52,42,52,"388","259","327"
"TAM",05/02/2020,5,"Tatterazzi","D",48,70,41,70,70,70,60,70,"370","343","353"
"TAM",05/02/2020,5,"Bizness Beauty","D",50,66,63,66,66,66,66,66,"357","300","326"
"TAM",05/02/2020,5,"Inca Princess","D",47,51,41,51,51,51,47,51,"341","206","262"
"TAM",05/02/2020,5,"Shenu Shenume","D",63,66,36,66,66,66,63,66,"357","321","321"
"TAM",05/02/2020,5,"Lemon Water","D",26,52,0,41,52,52,41,52,"378","326","351"
"TAM",05/02/2020,5,"One Slick Fact","D",42,53,36,53,53,53,53,53,"257","206","254"
"TAM",05/02/2020,5,"Ms. Amethyst","D",64,52,44,64,64,47,64,47,"396","231","369"
"TAM",05/02/2020,5,"Sweepeno","D",26,60,21,60,60,60,60,50,"329","229","278"
"TAM",05/02/2020,5,"Little Bella","D",0,59,0,0,59,59,46,0,"335","304","331"
"TAM",05/02/2020,5,"Broken English","D",0,58,0,52,58,51,58,51,"319","339","351"
"TAM",05/02/2020,6,"Shanghai Mistress","D",60,64,54,0,64,60,64,0,"406","280","370"
"TAM",05/02/2020,6,"The Other Cat","D",21,51,45,45,51,21,43,21,"306","278","306"
"TAM",05/02/2020,6,"Golden Nole","D",53,36,34,53,53,53,46,0,"399","283","381"
"TAM",05/02/2020,6,"Field Letters","D",57,61,49,49,61,61,57,49,"377","221","339"
"TAM",05/02/2020,6,"Concertos Appeal","D",41,58,46,46,58,11,52,46,"437","244","389"
"TAM",05/02/2020,6,"Return the Favor","D",49,61,45,49,61,49,61,49,"363","172","358"
"TAM",05/02/2020,6,"Flan","D",70,58,0,70,70,68,70,68,"415","230","377"
"TAM",05/02/2020,6,"Mardi Gras Girl","D",55,44,20,55,55,55,39,55,"348*","229*","474"
"TAM",05/02/2020,6,"Congrats Golda","D",46,64,43,45,64,37,64,45,"373","246","362"
"TAM",05/02/2020,6,"Tornero","D",47,0,15,47,47,47,15,47,"372","296","390"
"TAM",05/02/2020,7,"English Laughter","D",71,70,69,62,71,71,70,62,"335","339","374"
"TAM",05/02/2020,7,"Rudiger","D",65,76,44,76,76,76,71,76,"321","296","337"
"TAM",05/02/2020,7,"King Tide","D",54,71,35,62,71,43,71,71,"343","183","230"
"TAM",05/02/2020,7,"Fox Rox","D",82,79,81,79,82,79,73,79,"382","288","290"
"TAM",05/02/2020,7,"Hey Big Guy","D",65,82,57,82,82,75,75,75,"344","303","315"
"TAM",05/02/2020,7,"Pure Luck","D",0,81,32,79,81,81,67,81,"279","337","364"
"TAM",05/02/2020,7,"Big Money Machine","D",73,81,66,81,81,74,78,74,"379","299","357"
"TAM",05/02/2020,7,"D'craziness","D",67,91,81,89,91,58,86,89,"280*","224*","280*"
