,tvgtrackcode,racedate,race,R_Starters,R_TrackName,bettinginterestnumber_x,horsename,B_Jockey,B_MLOdds,H_JockMeetWinPct,H_JockMeetMoneyPct,H_JockYTDWinPct,H_TrainerYTDWinPct,H_TrainerYTDMoneyPct,S_BestFastDirt,S_BestTurf,T_Trainer_1,T_WinPct_1,T_WinPct_2,T_WinPct_3,T_WinPct_4,T_WinPct_5,HR_Beyer_1,HR_Beyer_2,HR_Beyer_3,HR_Beyer_4,HR_Beyer_5,bettinginterestnumber_y,morninglineodds,currentodds,winpayout,Winner?
0,cd,5/25/20,1,16,Churchill Downs,4,strikeitortapit,Diaz C A,20-1,0,0,0.05,0.12,0.27,0,0,Short Thomas,0,0.1,0.13,0.11,0.03,,,,,,,,,0,0
1,cd,5/25/20,1,16,Churchill Downs,1,punctuation,Talamo J,1-Jun,0.03,0.26,0.15,0.13,0.29,0,0,Lauer Michael E,0,0.09,0.11,0.12,0.1,,,,,,,,,0,0
2,cd,5/25/20,1,16,Churchill Downs,5,jamin's jet,Ouzts P W,15-1,0,0,0,0.03,0.24,0,0,Haehn Terry R,0,0,0.03,0.03,0,,,,,,,,,0,0
3,cd,5/25/20,1,16,Churchill Downs,6,albizu,Ramos J D,15-1,0,0.18,0.13,0.08,0.28,0,0,Ennis John,0.04,0,0.04,0.07,0.03,,,,,,,,,0,0
4,cd,5/25/20,1,16,Churchill Downs,2,little empire,Gomez A,20-1,0,0,0,0,0.25,0,0,Gorostieta Cirilo,0.11,0.06,0.06,0.07,0.06,,,,,,,,,0,0
5,cd,5/25/20,1,16,Churchill Downs,7,tourrista,McKee J,1-Aug,0.08,0.08,0.11,0.06,0.19,0,0,Chapman James K,0,0.16,0.19,0.19,0.15,,,,,,,,,0,0
6,cd,5/25/20,1,16,Churchill Downs,8,full velocity,Murrill M,1-Mar,0.12,0.12,0.14,0.24,0.47,0,0,Calhoun William Bret,0.14,0.19,0.23,0.21,0.29,,,,,,,,,0,0
7,cd,5/25/20,1,16,Churchill Downs,9,mr. pickles,Mena M,1-May,0.06,0.19,0.1,0.13,0.5,0,0,Lyster Stephen S,0.1,0.13,0.21,0.15,0.38,,,,,,,,,0,0
8,cd,5/25/20,1,16,Churchill Downs,3,the beat,Lanerie C J,1-Apr,0.1,0.31,0.14,0,0.23,0,0,Kobiskie Dane,0.1,0.17,0.13,0.19,0.12,,,,,,3,4,2-Sep,11.6,1
9,cd,5/25/20,1,16,Churchill Downs,10,innis,Cohen D,1-Oct,0.27,0.27,0.15,0.06,0.19,0,0,Chapman James K,0,0.16,0.19,0.19,0.15,,,,,,,,,0,0
10,cd,5/25/20,1,16,Churchill Downs,11,call papa,Jimenez A,15-1,0.11,0.22,0.22,0.18,0.45,0,0,Hubley Mark,0,0,0.19,0.15,0.2,,,,,,,,,0,0
11,cd,5/25/20,1,16,Churchill Downs,12,el piquin,Kellenberger K,1-Dec,0,0.11,0.07,0,0,0,0,Calvo Kelsie,0,0,0,0,0,,,,,,,,,0,0
12,cd,5/25/20,1,16,Churchill Downs,13,ruby round here,Ramos J D,15-1,0,0.18,0.13,0.14,0.43,0,0,Holsapple Hutch,0.25,0.2,0.12,0.3,,,,,,,,,,0,0
13,cd,5/25/20,1,16,Churchill Downs,1A,tap the town,Talamo J,1-Jun,0.03,0.26,0.15,0.13,0.29,0,0,Lauer Michael E,0,0.09,0.11,0.12,0.1,,,,,,,,,0,0
14,cd,5/25/20,1,16,Churchill Downs,3C,highest mandate,Conning C,1-Apr,0,0,0.03,0,0.23,0,0,Kobiskie Dane,0.1,0.17,0.13,0.19,0.12,,,,,,,,,0,0
15,cd,5/25/20,1,16,Churchill Downs,2B,miss magdalena,Gomez A,20-1,0,0,0,0,0.25,0,0,Gorostieta Cirilo,0.11,0.06,0.06,0.07,0.06,,,,,,,,,0,0
16,cd,5/25/20,2,7,Churchill Downs,1,turtle trax,Leparoux J R,1-Jun,0.07,0.28,0.11,0.11,0.34,74,0,Wilkes Ian R,0.1,0.24,0.14,0.13,0.15,68,74,65,74,67,,,,0,0
17,cd,5/25/20,2,7,Churchill Downs,2,lady glamour,Burke J,1-Aug,0,0,0.07,0.13,0.63,73,0,Demeritte Larry,0.25,0.15,0.19,0.14,0.14,11,59,70,72,0,,,,0,0
18,cd,5/25/20,2,7,Churchill Downs,3,rising seas,Lanerie C J,1-Oct,0.1,0.31,0.14,0.13,0.42,69,0,Colebrook Ben,0.13,0.13,0.13,0.16,,61,46,71,69,54,,,,0,0
19,cd,5/25/20,2,7,Churchill Downs,4,frank's rockette,Garcia M,5-Jun,0.15,0.25,0.19,0.14,0.41,98,0,Mott William I,0.16,0.2,0.16,0.2,,83,98,82,69,69,4,5-Jun,5-Feb,2.8,1
20,cd,5/25/20,2,7,Churchill Downs,5,anna's fast,Corrales G,1-Aug,0.29,0.71,0.24,0.25,0.62,70,0,Ward Wesley A,0.2,0.29,0.27,0.25,,43,70,61,0,,,,,0,0
21,cd,5/25/20,2,7,Churchill Downs,6,project whiskey,Gaffalione T,15-1,0.13,0.37,0.18,0.04,0.28,70,0,Reid Robert E Jr,0.06,0.15,0.16,0.12,,55,70,49,47,53,,,,0,0
22,cd,5/25/20,2,7,Churchill Downs,7,specially,Geroux F,1-Feb,0.23,0.32,0.19,0.13,0.42,82,0,Casse Mark,0.13,0.17,0.17,0.18,,74,88,45,82,,,,,0,0
23,cd,5/25/20,3,8,Churchill Downs,1,malpais,Garcia M,1-Aug,0.15,0.25,0.19,0.16,0.43,96,38,Sharp Joe,0.2,0.15,0.16,0.19,0.18,70,38,63,77,87,,,,0,0
24,cd,5/25/20,3,8,Churchill Downs,2,do share,Leparoux J R,2-Jul,0.07,0.28,0.11,0.09,0.43,105,89,Casse Norm W,0.23,0.09,0.24,0.2,0.22,77,88,93,94,94,,,,0,0
25,cd,5/25/20,3,8,Churchill Downs,3,c z rocket,Lopez P,1-Mar,0,0.43,0.18,0.2,0.46,104,0,Miller Peter,0.3,0.22,0.22,0.22,,72,73,82,61,104,3,3,2,6.6,1
26,cd,5/25/20,3,8,Churchill Downs,4,petrov,Talamo J,1-Aug,0.03,0.26,0.15,0.2,0.45,99,0,Moquett Ronald E,0.15,0.15,0.14,,,76,64,68,71,71,,,,0,0
27,cd,5/25/20,3,8,Churchill Downs,5,colonel klink,Graham J,1-Oct,0.16,0.37,0.17,0,0,82,0,Rainwater Bradlee,0.2,0.22,0.21,0.24,0.14,998,82,78,81,66,,,,0,0
28,cd,5/25/20,3,8,Churchill Downs,6,bye bye birdstone,Bejarano R,1-Oct,0.2,0.2,0.11,0.2,0.41,88,79,Foley Gregory D,0.13,0.05,0.06,0.16,0.16,79,72,88,68,65,,,,0,0
29,cd,5/25/20,3,8,Churchill Downs,7,hollis,Lanerie C J,1-Apr,0.1,0.31,0.14,0,0.23,86,72,Kobiskie Dane,0.13,0.13,0.19,0.13,,86,80,72,72,78,,,,0,0
30,cd,5/25/20,3,8,Churchill Downs,8,nero,Santana R Jr,2-Sep,0.16,0.44,0.19,0.18,0.47,95,0,Asmussen Steven M,0.2,0.2,0.2,,,71,82,88,87,91,,,,0,0
31,cd,5/25/20,4,15,Churchill Downs,1,direct approach,Rocco J S Jr,1-Dec,0,0,0.1,0.12,0.26,60,73,Tomlinson Michael A,0.13,0.12,0.14,0.07,0.17,64,70,73,72,49,,,,0,0
32,cd,5/25/20,4,15,Churchill Downs,2,new year's luck,Court J K,30-1,0.09,0.18,0.02,0.03,0.13,69,59,Fires William H,0.1,0.07,0.09,0.06,,43,55,45,59,59,,,,0,0
33,cd,5/25/20,4,15,Churchill Downs,3,metropol,Geroux F,2-Jul,0.23,0.32,0.19,0.25,0.57,75,0,Cox Brad H,0.27,0.25,0.26,0.28,,61,65,71,75,,,,,0,0
34,cd,5/25/20,4,15,Churchill Downs,4,waverunner,Carroll D,15-1,0,0.33,0.12,0.2,0.45,64,41,Moquett Ronald E,0.11,0.15,0.14,0.14,,64,63,60,41,37,,,,0,0
35,cd,5/25/20,4,15,Churchill Downs,5,my interest,Lopez P,1-Aug,0,0.43,0.18,0.1,0.4,72,63,Sancal Murat,0.17,0.12,0.12,0.13,,46,63,72,60,61,,,,0,0
36,cd,5/25/20,4,15,Churchill Downs,6,glorious weekend,Radosevich J,1-Aug,0,0,0,0.13,0.63,63,62,Demeritte Larry,0.1,0.15,0.07,0.14,,58,38,998,63,55,,,,0,0
37,cd,5/25/20,4,15,Churchill Downs,7,road game,Lanerie C J,2-Jul,0.1,0.31,0.14,0.14,0.43,73,72,Hartman Chris A,0.09,0.13,0.15,0.16,0.16,73,55,69,61,50,7,2-Jul,3,8.2,1
38,cd,5/25/20,4,15,Churchill Downs,8,smart and broke,Bejarano R,20-1,0.2,0.2,0.11,0,0,71,54,Green Troy,0,0.04,0.03,0,,71,38,23,48,48,,,,0,0
39,cd,5/25/20,4,15,Churchill Downs,9,she love me,Landeros C,1-Aug,0.1,0.1,0.07,0.18,0.44,68,0,Hough Stanley M,0.22,0.24,0.17,0.13,,61,60,60,59,68,,,,0,0
40,cd,5/25/20,4,15,Churchill Downs,10,wings up,Mena M,30-1,0.06,0.19,0.1,0.07,0.25,72,63,Morse Randy L,0.06,0.07,0.06,0.06,,59,53,32,52,47,,,,0,0
41,cd,5/25/20,4,15,Churchill Downs,11,tidal effect,Corrales G,1-Oct,0.29,0.71,0.24,0.22,0.59,78,72,Morey William E,0.17,0.23,0.24,0.2,,50,53,54,52,60,,,,0,0
