Date,Race,Name,Weight,Age,Days off,Number of Wins,Power Rating,Average Class Rating,Average Speed,Won,Won SVM,Won XGBoost,Won GaussianNB
2020-06-20,1,epic west,118,3,160,0,27.7,92,1,0,0,0,0
2020-06-20,1,spelling bee,118,3,28,0,68.4,78,69,0,0,0,0
2020-06-20,1,ugo,118,3,13,0,66.8,84,64,0,0,0,0
2020-06-20,1,conquistador show,118,3,105,0,65.8,81,65,0,0,0,0
2020-06-20,1,suspect,124,4,20,0,72.8,86,64,0,0,0,0
2020-06-20,1,apple empire,118,3,48,0,41.8,85,50,0,0,0,0
2020-06-20,1,judge johnny,118,3,27,0,65.5,88,67,0,0,0,0
2020-06-20,1,sigesmund,124,4,113,0,68.0,72,59,0,0,0,0
2020-06-20,1,right the wrong,124,4,182,0,59.2,75,58,0,0,0,0
2020-06-20,2,roaring fork,124,5,21,2,91.8,95,81,0,0,0,0
2020-06-20,2,paynt your eggs,124,4,120,2,66.5,84,70,0,0,0,0
2020-06-20,2,napoleon's empire,124,4,56,2,72.1,86,75,0,0,0,0
2020-06-20,2,homefortheweekend,124,4,159,1,75.6,83,69,0,0,0,0
2020-06-20,2,come on venezuela,124,4,29,2,59.6,85,66,0,0,0,0
2020-06-20,2,lagoon macaroon,124,4,28,2,77.7,94,77,0,0,0,0
2020-06-20,3,attorney tim,124,4,153,1,74.8,89,80,0,0,0,0
2020-06-20,3,hackberry,124,4,230,1,93.8,101,97,0,0,0,0
2020-06-20,3,motagally,124,4,34,0,71.5,95,89,0,0,0,0
2020-06-20,3,proquestor,124,5,83,0,99.2,92,80,0,0,0,0
2020-06-20,3,bantu,124,5,12,3,82.3,100,90,0,0,0,0
2020-06-20,3,beau luminarie,124,4,48,0,80.5,95,87,0,0,0,0
2020-06-20,3,buy me candy,118,3,20,1,83.1,88,81,0,0,0,0
2020-06-20,3,strong tide,118,3,20,0,70.6,77,66,0,0,0,0
2020-06-20,3,mantra,124,4,15,2,91.3,97,85,0,0,0,0
2020-06-20,3,king theo,118,3,33,0,85.7,90,77,0,0,0,0
2020-06-20,3,el ahijado,124,4,119,0,74.6,96,73,0,0,0,0
2020-06-20,3,onarock,124,4,83,2,110.0,89,83,0,0,0,0
2020-06-20,3,where's oliver,124,4,34,1,79.9,91,79,0,0,0,0
2020-06-20,3,hellorhighwater,124,4,34,1,80.0,95,83,0,0,0,0
