Date,Race,Name,Weight,Age,Days off,Number of Wins,Power Rating,Average Class Rating,Average Speed,Won,Won SVM,Won XGBoost,Won GaussianNB
2020-06-20,9,factor this,122,5,90,7,111.9,108,102,1,1,1,0
2020-06-26,8,spectacular gem,122,4,131,3,99.9,102,93,1,1,0,0
2020-06-07,7,lead guitar,123,4,232,1,84.2,86,89,1,1,1,0
2020-06-14,5,chaos theory,121,5,119,3,101.4,107,101,1,1,0,0
2020-06-14,8,catch a bid,122,4,239,2,94.0,96,98,1,1,0,0
2020-05-31,8,crystal cliffs (fr),118,3,167,0,104.2,91,97,1,1,1,0
2020-06-14,10,duplicity,118,3,85,0,109.0,95,100,1,1,1,0
2020-06-27,9,midnight bisou,124,5,118,11,107.2,112,111,1,1,1,1
2020-06-27,10,tom's d'etat,124,7,76,10,111.2,115,109,1,1,1,1
2020-06-13,11,admission office,120,5,34,3,106.9,114,105,1,1,0,0
2020-06-18,8,tank commander,123,5,223,1,83.5,99,93,1,1,0,0
2020-05-30,11,secret message,120,5,230,3,84.5,107,99,1,1,0,0
2020-06-12,3,fast boat,121,5,117,6,107.5,105,98,1,1,1,0
2020-06-12,6,set piece (gb),122,4,204,0,90.1,104,98,1,1,0,0
2020-06-04,8,guarana,121,4,256,1,88.0,102,108,1,1,1,0
2020-06-06,3,gentle ruler,122,5,69,5,99.9,103,96,1,1,0,0
2020-06-06,8,volatile,120,4,42,3,115.0,99,105,1,1,1,0
2020-06-06,11,queen medb (ire),125,4,286,0,67.8,87,79,1,1,0,0
2020-05-25,8,echo town,118,3,29,2,112.5,98,104,1,1,1,0
2020-05-29,8,extravagant kid,121,7,96,6,98.7,111,102,1,1,0,0
