Date,Race,Name,Weight,Age,Days off,Number of Wins,Power Rating,Average Class Rating,Average Speed,Won,Won SVM,Won XGBoost,Won GaussianNB
2020-06-20,9,factor this,122,5,90,7,111.9,108,102,1,0,1,0
2020-06-25,3,dutch treat,118,5,39,0,59.1,88,74,1,0,1,0
2020-06-26,8,spectacular gem,122,4,131,3,99.9,102,93,1,0,1,0
2020-06-26,7,intrepid heart,122,4,89,2,82.4,100,93,1,0,1,0
2020-06-11,9,tizahra,125,4,73,0,88.3,83,71,1,0,1,0
2020-06-07,3,petrov,118,6,12,5,86.1,106,88,1,0,1,0
2020-06-07,7,lead guitar,123,4,232,1,84.2,86,89,1,0,1,0
2020-06-14,6,guska mon shoes,118,10,15,11,74.4,96,85,1,0,1,1
2020-06-14,8,catch a bid,122,4,239,2,94.0,96,98,1,0,1,0
2020-05-31,8,crystal cliffs (fr),118,3,167,0,104.2,91,97,1,0,1,0
2020-05-31,9,royal flag,122,4,113,2,102.3,87,94,1,0,1,0
2020-06-14,10,duplicity,118,3,85,0,109.0,95,100,1,0,1,0
2020-06-27,6,paris lights,120,3,26,1,110.4,85,92,1,0,1,0
2020-06-27,8,cazadero,120,2,28,1,104.2,87,99,1,0,1,0
2020-06-27,9,midnight bisou,124,5,118,11,107.2,112,111,1,0,1,1
2020-06-27,10,tom's d'etat,124,7,76,10,111.2,115,109,1,0,1,1
2020-06-27,10,tom's d'etat,124,7,76,10,111.2,115,109,1,0,1,1
2020-06-12,3,fast boat,121,5,117,6,107.5,105,98,1,0,1,0
2020-06-19,2,laddie boy,118,9,12,9,82.4,96,75,1,0,1,0
2020-06-12,9,greyes creek,125,4,76,0,87.6,96,96,1,0,1,0
2020-06-19,7,i'mthekatsmeow,123,4,21,1,67.1,72,65,1,0,1,0
2020-06-19,9,summer in saratoga,124,4,126,1,93.7,89,84,1,0,1,0
2020-06-04,8,guarana,121,4,256,1,88.0,102,108,1,0,1,0
2020-06-06,9,high crime,123,4,13,0,85.5,97,91,1,0,1,0
2020-06-06,10,four graces,119,3,20,2,92.7,88,86,1,0,1,0
2020-06-06,8,volatile,120,4,42,3,115.0,99,105,1,0,1,0
2020-06-06,9,high crime,123,4,13,0,85.5,97,91,1,0,1,0
2020-06-06,10,four graces,119,3,20,2,92.7,88,86,1,0,1,0
2020-05-25,8,echo town,118,3,29,2,112.5,98,104,1,0,1,0
2020-05-25,10,girlolamo'glory,123,4,75,2,75.6,77,66,1,0,1,0
2020-05-29,1,shivermetimbers,118,5,74,3,81.4,109,81,1,0,1,0
