"RCTrack","RCDate","RCRace","Starters","TrackName","RaceState","Division","RaceBred","StateBred","RaceSex","RaceAge","Class","Purse","HiClaim","LoClaim","Distance","Inner","Surface","RaceType","GradedRace","GradedRaceDesc","SimTrack","SimRace","TrackRecord","DayOfWeek","PostTime","LongClass","TrkAbbrev","DistUnit","TimeUnit","Conditions"
"GP",05/02/2020,1,12,"Gulfstream Park","FL","","","","O","3","MSW",45.000,0.000,0.000,8.000,"","T","",0,"","",0,131.41,"Saturday","12:45","Md Sp Wt 45k","Gulfstream Park","","H","MAIDEN SPECIAL WEIGHT. Purse $45,000 (include $7,000 FHBPA-FOA - FHBPA Florida Owners Awards) FOR MAIDENS, THREE YEARS OLD. Weight, 120 lbs. (Preference To Horses That Have Not Started For Less Than $30,000 In Their Last 3 Starts). (If deemed inadvisable to run this race over the turf course, it will be run on the main track at One Mile) (Rail at96 feet)."
"GP",05/02/2020,2,9,"Gulfstream Park","FL","","","","O","31","ClmN",17.000,8.000,8.000,6.000,"","D","",0,"","",0,108.12,"Saturday","1:15","Clm 8000N3L","Gulfstream Park","","H","CLAIMING. Purse $17,000 (include $2,000 FHBPA-FOA - FHBPA Florida Owners Awards) FOR THREE YEAR OLDS AND UPWARD WHICH HAVE NEVER WON THREE RACES. Three Year Olds, 120 lbs.; Older, 125 lbs. Non-winners Of A Race Since April 2 Allowed 2 lbs. Claiming Price $8,000 (Races Where Entered For $6,250 Or Less Not Considered In Allowances)."
"GP",05/02/2020,3,7,"Gulfstream Park","FL","","","","O","3","MSW",45.000,0.000,0.000,8.500,"","D","",0,"","",0,140.97,"Saturday","1:45","Md Sp Wt 45k","Gulfstream Park","","H","MAIDEN SPECIAL WEIGHT. Purse $45,000 (include $7,000 FHBPA-FOA - FHBPA Florida Owners Awards) FOR MAIDENS, THREE YEARS OLD. Weight, 123 lbs."
"GP",05/02/2020,4,9,"Gulfstream Park","FL","","","","M","31","MCL",35.000,50.000,40.000,6.000,"","D","",0,"","",0,108.12,"Saturday","2:15","Md 50000","Gulfstream Park","","H","MAIDEN CLAIMING. Purse $35,000 (include $5,000 FHBPA-FOA - FHBPA Florida Owners Awards) FOR MAIDENS, FILLIES AND MARES THREE YEARS OLD  AND UPWARD. Three Year Olds, 119 lbs.; Older, 126 lbs. Claiming Price $50,000, if for $40,000, allowed 1 lb."
"GP",05/02/2020,5,11,"Gulfstream Park","FL","","","","O","41","CLM",17.000,6.250,6.250,6.000,"","D","",0,"","",0,108.12,"Saturday","2:46","Clm 6250","Gulfstream Park","","H","CLAIMING. Purse $17,000 (include $3,000 FHBPA-FOA - FHBPA Florida Owners Awards) FOR FOUR YEAR OLDS AND UPWARD. Weight, 123 lbs. Non-winners Of A Race Since April 2 Allowed 2 lbs. Claiming Price $6,250 (Races Where Entered For $5,000 Or Less Not Considered In Allowances)."
"GP",05/02/2020,6,8,"Gulfstream Park","FL","","","","F","3","SOC",33.000,50.000,50.000,6.000,"","D","",0,"","",0,108.12,"Saturday","3:17","Soc 50000","Gulfstream Park","","H","STARTER OPTIONAL CLAIMING. Purse $33,000 (include $5,000 FHBPA-FOA - FHBPA Florida Owners Awards) FOR FILLIES THREE YEARS OLD  WHICH HAVE STARTED FOR A CLAIMING PRICE OF $50,000 OR LESS AND WHICH HAVE NEVER WON A RACE OTHER THAN MAIDEN OR CLAIMING OR CLAIMING PRICE $50,000. Weight, 123 lbs. Non-winners Of A Race Since April 2 Allowed 2 lbs. Claiming Price $50,000 (Races Where Entered For $20,000 Or Less Not Considered In Allowances)."
"GP",05/02/2020,7,14,"Gulfstream Park","FL","","","","O","31","ClmN",21.000,20.000,20.000,7.500,"","A","",0,"","",0,126.91,"Saturday","3:48","Clm 20000N2L","Gulfstream Park","","H","CLAIMING. Purse $21,000 (include $3,000 FHBPA-FOA - FHBPA Florida Owners Awards) FOR THREE YEAR OLDS AND UPWARD WHICH HAVE NEVER WON TWO RACES. Three Year Olds, 120 lbs.; Older, 126 lbs. Non-winners Of A Race Since April 2 Allowed 2 lbs. Claiming Price $20,000 (Races Where Entered For $16,000 Or Less Not Considered In Allowances). (If deemed inadvisable to run this race over the turf course, it will be run on the main track at Seven Furlongs) (Rail at 36 feet)."
"GP",05/02/2020,8,9,"Gulfstream Park","FL","","","","O","41","AOC",46.000,25.000,25.000,8.000,"","D","",0,"","",0,133.13,"Saturday","4:21","OC 25k/N1X","Gulfstream Park","","H","ALLOWANCE OPTIONAL CLAIMING. Purse $46,000 (include $7,000 FHBPA-FOA - FHBPA Florida Owners Awards) FOR FOUR YEAR OLDS AND UPWARD WHICH HAVE NEVER WON $10,000 ONCE OTHER THAN MAIDEN, CLAIMING, STARTER OR STATE BRED ALLOWANCE OR WHICH HAVE NEVER WON TWO RACES OR CLAIMING PRICE $25,000. Weight, 123 lbs. Non-winners Of A Race At A Mile Or Over Since April2 Allowed 2 lbs. Claiming Price $25,000 (Races Where Entered For $20,000 Or Less Not Considered In Allowances) (Condition Eligibility)."
"GP",05/02/2020,9,15,"Gulfstream Park","FL","","","","F","3","STK",75.000,0.000,0.000,8.500,"","T","",0,"HoneyRydrB","",0,138.10,"Saturday","4:53","HoneyRydrB75k","Gulfstream Park","","H","HONEY RYDER S.. Purse $75,000  FILLIES, THREE YEARS OLD. Free nomination by Sunday, April 19. $750 to enter. $75,000 Guaranteed. After payment of 1% to all owners of horses finishing sixth through last, 62% of the remaining purse shall be paid to the owner of the winner, 20% to second, 10% to third, 5% to fourth, and 3% to fifth. Weight: 124 lbs. Non-winners of a stakes on turf allowed 2 lbs.; two races other than maiden, claiming, or starter, 4 lbs. Starters to be named by usual time of closing. Supplemental nominations may be made at time of entry. All fees shall be paid prior to the start of the race. This race will be limited to 12 starters. Preference will be given to stakes winners, then by highest career earnings. (If deemed inadvisable to run this race over the turf course, itwill be run on the main track at One Mile and One Sixteenth) (Rail at 96 feet)."
"GP",05/02/2020,10,8,"Gulfstream Park","FL","","","S","O","31","STK",100.000,0.000,0.000,7.000,"","D","",0,"BigDramaB","",0,120.17,"Saturday","5:25","BigDramaB100k","Gulfstream Park","","H","BIG DRAMA S.. Purse $100,000  FLORIDA-BRED THREE YEAR OLDS AND UPWARD. Free nomination by Sunday, April 19. $1,000 to enter. $100,000 Guaranteed. After payment of 1% to all owners of horses finishing sixth through last, 62% of the remaining purse shall be paid to the owner of the winner, 20% to second, 10% to third, 5% to fourth, and 3% to fifth. Weight: Three Year Olds 120 lbs; Older 124. Non-winners of a stakes since November 1 allowed 2 lbs; three races other than maiden, claiming, or starter, 4 lbs. Starters to be named by usual time of closing. Supplemental nominations may be made at time of entry. All fees shall be paid prior to the start of the race. This race will be limited to 14 starters. If more than 12 horses are entered, preference will be given to stakes winners, then by highest career earnings."
