"RCDate","RCTrack","DateHeading","Ordinal","JTCode","Trainer","Starts","Wins","Places","Shows","AvgWinPayoff"
05/02/2020,"LA","From December 27 to May 1 2020 inclusive",1.00,"T","ZAMUDIO VALENTIN A",10.00,2.00,2.00,3.00,5.50
05/02/2020,"LA","",2.00,"J","Lozano R",32.00,10.00,4.00,4.00,9.82
05/02/2020,"LA","",3.00,"T","AQUINO ANGELA M",54.00,8.00,9.00,8.00,7.60
05/02/2020,"LA","",4.00,"J","Allen J A",1.00,0.00,0.00,0.00,0.00
05/02/2020,"LA","",5.00,"T","PAPAPRODROMOU GEORGE",0.00,0.00,0.00,0.00,0.00
05/02/2020,"LA","",6.00,"J","Bednar V",1.00,0.00,0.00,0.00,0.00
05/02/2020,"LA","",7.00,"T","MARQUEZ ALFREDO",0.00,0.00,0.00,0.00,0.00
05/02/2020,"LA","",8.00,"J","Hernandez E",0.00,0.00,0.00,0.00,0.00
05/02/2020,"LA","",9.00,"T","DIAZ LINDOLFO",0.00,0.00,0.00,0.00,0.00
05/02/2020,"LA","",10.00,"J","Huerta C M",0.00,0.00,0.00,0.00,0.00
05/02/2020,"LA","",11.00,"T","BELVOIR VANN",5.00,0.00,0.00,2.00,0.00
05/02/2020,"LA","",12.00,"J","Guce R",22.00,7.00,2.00,6.00,5.09
05/02/2020,"LA","",13.00,"T","GOMEZ JAIME H",0.00,0.00,0.00,0.00,0.00
05/02/2020,"LA","",14.00,"J","Suarez G",0.00,0.00,0.00,0.00,0.00
05/02/2020,"LA","",15.00,"T","LINDSEY LUKE",0.00,0.00,0.00,0.00,0.00
05/02/2020,"LA","",16.00,"J","Cervantes A R",1.00,0.00,0.00,0.00,0.00
05/02/2020,"LA","",17.00,"T","DOMINGUEZ ROBERTO",0.00,0.00,0.00,0.00,0.00
05/02/2020,"LA","",18.00,"J","Viramontes A",2.00,0.00,1.00,0.00,0.00
05/02/2020,"LA","",19.00,"J","Cervantes A R",1.00,0.00,0.00,1.00,0.00
05/02/2020,"LA","",20.00,"T","WILLOUGHBY SCOTT L",0.00,0.00,0.00,0.00,0.00
05/02/2020,"LA","",21.00,"J","Bednar V",53.00,8.00,4.00,7.00,6.10
05/02/2020,"LA","",22.00,"T","ROBBINS MIKE",0.00,0.00,0.00,0.00,0.00
05/02/2020,"LA","",23.00,"J","Peinado O M",14.00,7.00,0.00,1.00,4.71
05/02/2020,"LA","",24.00,"T","CUNNINGHAM BRIAN T",19.00,5.00,7.00,0.00,7.88
05/02/2020,"LA","",25.00,"J","Orduna-Rojas F",24.00,5.00,9.00,1.00,7.84
05/02/2020,"LA","",26.00,"T","RAMOS JESUS",0.00,0.00,0.00,0.00,0.00
05/02/2020,"LA","",27.00,"J","Garcia E",0.00,0.00,0.00,0.00,0.00
05/02/2020,"LA","",28.00,"J","Lopez H R*",0.00,0.00,0.00,0.00,0.00
05/02/2020,"LA","",29.00,"T","JONES PAUL C",2.00,0.00,0.00,0.00,0.00
05/02/2020,"LA","",30.00,"J","Cervantes A R",4.00,1.00,0.00,0.00,7.00
05/02/2020,"LA","",31.00,"J","Rangel J",5.00,1.00,1.00,1.00,10.60
05/02/2020,"LA","",32.00,"T","CASSELMAN MIKE",0.00,0.00,0.00,0.00,0.00
05/02/2020,"LA","",33.00,"J","Andrade O Jr",11.00,1.00,1.00,1.00,6.00
05/02/2020,"LA","",34.00,"T","PINEDA MILTON G",19.00,3.00,4.00,2.00,8.53
05/02/2020,"LA","",35.00,"J","Orduna-Rojas F",16.00,3.00,4.00,2.00,8.53
05/02/2020,"LA","",36.00,"T","FLORES JOSE A",0.00,0.00,0.00,0.00,0.00
05/02/2020,"LA","",37.00,"J","Mendez C",21.00,5.00,5.00,3.00,13.16
05/02/2020,"LA","",38.00,"J","Rangel J",15.00,2.00,2.00,2.00,9.50
05/02/2020,"LA","",39.00,"T","HEREDIA OSCAR",63.00,10.00,16.00,10.00,6.22
05/02/2020,"LA","",40.00,"J","Guce R",5.00,0.00,2.00,1.00,0.00
05/02/2020,"LA","",41.00,"T","RODRIGUEZ YANET",3.00,1.00,0.00,1.00,4.00
05/02/2020,"LA","",42.00,"J","Andrade O Jr",0.00,0.00,0.00,0.00,0.00
05/02/2020,"LA","",43.00,"T","METZ JEFF",7.00,1.00,3.00,1.00,5.80
05/02/2020,"LA","",44.00,"J","Orduna-Rojas F",6.00,1.00,2.00,0.00,5.80
05/02/2020,"LA","",45.00,"T","MONTES DANNY S",1.00,0.00,0.00,0.00,0.00
05/02/2020,"LA","",46.00,"J","Mendez S",8.00,1.00,0.00,2.00,13.40
05/02/2020,"LA","",47.00,"T","O'DELL CHRISTOPHER G",0.00,0.00,0.00,0.00,0.00
05/02/2020,"LA","",48.00,"J","Nicasio E",46.00,9.00,5.00,11.00,8.11
05/02/2020,"LA","",49.00,"J","Jasso M A",6.00,0.00,2.00,0.00,0.00
05/02/2020,"LA","",50.00,"T","FALES MATTHEW M",2.00,0.00,0.00,1.00,0.00
05/02/2020,"LA","",51.00,"J","Bednar V",6.00,1.00,1.00,1.00,3.40
05/02/2020,"LA","",52.00,"J","Lozano R",13.00,5.00,2.00,2.00,11.60
05/02/2020,"LA","",53.00,"T","NUNEZ JESUS",10.00,2.00,0.00,2.00,103.00
05/02/2020,"LA","",54.00,"J","RojasFernandez E",2.00,0.00,1.00,0.00,0.00
05/02/2020,"LA","",55.00,"T","URANGA JESUS J",40.00,7.00,7.00,7.00,7.00
05/02/2020,"LA","",56.00,"J","Guce R",18.00,4.00,2.00,4.00,14.55
05/02/2020,"LA","",57.00,"T","DELEON RAFAEL",4.00,1.00,1.00,0.00,6.00
05/02/2020,"LA","",58.00,"J","Flores V J",4.00,1.00,3.00,0.00,6.00
05/02/2020,"LA","",59.00,"T","FARIAS JORGE",2.00,1.00,0.00,0.00,5.40
05/02/2020,"LA","",60.00,"J","Andrade O Jr",8.00,2.00,3.00,0.00,6.60
05/02/2020,"LA","",61.00,"T","LOPEZ JAIME",1.00,1.00,0.00,0.00,6.60
05/02/2020,"LA","",62.00,"J","Allen J A",0.00,0.00,0.00,0.00,0.00
05/02/2020,"LA","",63.00,"T","LEWIS CRAIG A",0.00,0.00,0.00,0.00,0.00
05/02/2020,"LA","",64.00,"J","Sanchez J E",0.00,0.00,0.00,0.00,0.00
05/02/2020,"LA","",65.00,"T","MENDOZA JESUS",34.00,9.00,4.00,7.00,15.36
05/02/2020,"LA","",66.00,"J","Flores V J*",1.00,0.00,0.00,0.00,0.00
05/02/2020,"LA","",67.00,"J","Gasca E",4.00,1.00,2.00,0.00,5.80
05/02/2020,"LA","",68.00,"J","Suarez G",2.00,0.00,0.00,0.00,0.00
05/02/2020,"LA","",69.00,"T","RIVERA SALLY",37.00,3.00,4.00,7.00,22.33
05/02/2020,"LA","",70.00,"J","Flores V J*",3.00,0.00,0.00,1.00,0.00
05/02/2020,"LA","",71.00,"J","Rangel J",0.00,0.00,0.00,0.00,0.00
05/02/2020,"LA","",72.00,"T","MORFIN SERGIO",65.00,14.00,16.00,16.00,6.60
05/02/2020,"LA","",73.00,"J","Sanchez J E",29.00,8.00,6.00,7.00,6.75
05/02/2020,"LA","",74.00,"T","VALLEJO ADRIANA",19.00,4.00,3.00,4.00,6.75
05/02/2020,"LA","",75.00,"J","Hernandez E",2.00,0.00,0.00,2.00,0.00
05/02/2020,"LA","",76.00,"J","Jasso M A",3.00,0.00,0.00,1.00,0.00
05/02/2020,"LA","",77.00,"T","JOSEPHSON J B",0.00,0.00,0.00,0.00,0.00
05/02/2020,"LA","",78.00,"J","Bednar V",0.00,0.00,0.00,0.00,0.00
05/02/2020,"LA","",79.00,"T","NARANJO SALVADOR",49.00,4.00,6.00,5.00,15.15
05/02/2020,"LA","",80.00,"J","RojasFernandez E",7.00,0.00,1.00,0.00,0.00
05/02/2020,"LA","",81.00,"T","COOPER JOHN L",0.00,0.00,0.00,0.00,0.00
05/02/2020,"LA","",82.00,"J","Mendez C",4.00,0.00,2.00,1.00,0.00
05/02/2020,"LA","",83.00,"T","BECERRA RAFAEL",0.00,0.00,0.00,0.00,0.00
05/02/2020,"LA","",84.00,"J","RojasFernandez E",1.00,1.00,0.00,0.00,12.80
05/02/2020,"LA","",85.00,"T","ALEMAN JUAN G",0.00,0.00,0.00,0.00,0.00
05/02/2020,"LA","",86.00,"J","Huerta C M",20.00,1.00,6.00,2.00,7.40
05/02/2020,"LA","",87.00,"T","ROSALES RICHARD",2.00,0.00,1.00,1.00,0.00
05/02/2020,"LA","",88.00,"J","Payeras E",0.00,0.00,0.00,0.00,0.00
05/02/2020,"LA","",89.00,"T","STORTZ MARCIA",46.00,5.00,5.00,3.00,11.08
05/02/2020,"LA","",90.00,"J","Payeras E",10.00,5.00,0.00,0.00,13.52
05/02/2020,"LA","",91.00,"T","BRINKERHOFF VAL",3.00,1.00,2.00,0.00,9.60
05/02/2020,"LA","",92.00,"J","Guce R",2.00,1.00,1.00,0.00,9.60
05/02/2020,"LA","",93.00,"T","GLENN JAMES W JR",0.00,0.00,0.00,0.00,0.00
05/02/2020,"LA","",94.00,"J","Gasca E",2.00,1.00,0.00,1.00,16.20
