"RCTrack","RCDate","RCRace","Horse","Trainer","Category","Starts","WinPct","ROI"
"LA",05/02/2020,1,"Bryan Habana","Gomez Ruben","+180Days",6,0.00,0.00
"LA",05/02/2020,1,"Bryan Habana","Gomez Ruben","Dirt",115,0.09,2.51
"LA",05/02/2020,1,"Bryan Habana","Gomez Ruben","Sprint",82,0.07,1.10
"LA",05/02/2020,1,"Bryan Habana","Gomez Ruben","MdnClm",73,0.11,2.00
"LA",05/02/2020,1,"Cupid's Victory","Ramos Jesus","31-60Days",13,0.00,0.00
"LA",05/02/2020,1,"Cupid's Victory","Ramos Jesus","Dirt",110,0.09,1.00
"LA",05/02/2020,1,"Cupid's Victory","Ramos Jesus","Sprint",83,0.11,1.08
"LA",05/02/2020,1,"Cupid's Victory","Ramos Jesus","MdnClm",43,0.05,0.38
"LA",05/02/2020,1,"Dave's Gift","Ramos Jesus","31-60Days",13,0.00,0.00
"LA",05/02/2020,1,"Dave's Gift","Ramos Jesus","Dirt",110,0.09,1.00
"LA",05/02/2020,1,"Dave's Gift","Ramos Jesus","Sprint",83,0.11,1.08
"LA",05/02/2020,1,"Dave's Gift","Ramos Jesus","MdnClm",43,0.05,0.38
"LA",05/02/2020,1,"Delightful Fun","Vallejo Adriana","31-60Days",11,0.09,0.24
"LA",05/02/2020,1,"Delightful Fun","Vallejo Adriana","Dirt",69,0.17,2.38
"LA",05/02/2020,1,"Delightful Fun","Vallejo Adriana","Sprint",65,0.18,2.53
"LA",05/02/2020,1,"Delightful Fun","Vallejo Adriana","MdnClm",16,0.25,5.94
"LA",05/02/2020,1,"Groucho","Aquino Angela M","Dirt",228,0.18,1.85
"LA",05/02/2020,1,"Groucho","Aquino Angela M","Sprint",229,0.18,1.84
"LA",05/02/2020,1,"Groucho","Aquino Angela M","MdnClm",34,0.15,1.39
"LA",05/02/2020,1,"Here I Go Indy","Vallejo Adriana","2OffOver180",3,0.33,16.67
"LA",05/02/2020,1,"Here I Go Indy","Vallejo Adriana","1-7Days",1,0.00,0.00
"LA",05/02/2020,1,"Here I Go Indy","Vallejo Adriana","Dirt",69,0.17,2.38
"LA",05/02/2020,1,"Here I Go Indy","Vallejo Adriana","Sprint",65,0.18,2.53
"LA",05/02/2020,1,"Here I Go Indy","Vallejo Adriana","MdnClm",16,0.25,5.94
"LA",05/02/2020,1,"Love and Hold","Heredia Oscar","Dirt",116,0.14,0.85
"LA",05/02/2020,1,"Love and Hold","Heredia Oscar","Sprint",112,0.14,0.88
"LA",05/02/2020,1,"Love and Hold","Heredia Oscar","MdnClm",26,0.08,0.37
"LA",05/02/2020,1,"Ridge Route","Morfin Sergio","1stW/Trn",44,0.14,0.98
"LA",05/02/2020,1,"Ridge Route","Morfin Sergio","BlinkOn",7,0.00,0.00
"LA",05/02/2020,1,"Ridge Route","Morfin Sergio","31-60Days",35,0.20,1.09
"LA",05/02/2020,1,"Ridge Route","Morfin Sergio","Dirt",190,0.19,1.17
"LA",05/02/2020,1,"Ridge Route","Morfin Sergio","Sprint",190,0.19,1.17
"LA",05/02/2020,1,"Ridge Route","Morfin Sergio","MdnClm",17,0.24,1.67
"LA",05/02/2020,1,"Runaway Indy","Josephson J B","Route/Sprint",11,0.00,0.00
"LA",05/02/2020,1,"Runaway Indy","Josephson J B","31-60Days",38,0.08,0.77
"LA",05/02/2020,1,"Runaway Indy","Josephson J B","Dirt",96,0.10,0.91
"LA",05/02/2020,1,"Runaway Indy","Josephson J B","Sprint",71,0.10,0.78
"LA",05/02/2020,1,"Runaway Indy","Josephson J B","MdnClm",39,0.13,1.19
"LA",05/02/2020,1,"Sharpshootingeorge","Mendoza Jesus","2Off45-180",24,0.25,5.48
"LA",05/02/2020,1,"Sharpshootingeorge","Mendoza Jesus","Dirt",177,0.12,1.66
"LA",05/02/2020,1,"Sharpshootingeorge","Mendoza Jesus","Sprint",165,0.13,1.73
"LA",05/02/2020,1,"Sharpshootingeorge","Mendoza Jesus","MdnClm",91,0.08,1.06
