"RCTrack","RCDate","RCRace","Horse","FD","Track","Date","Surface","Distance","TrkCond","WorkType","WorkTime","Bullet","Comment","Rank","RankIn","Race","DistUnit","TimeUnit"
"LA",05/02/2020,1,"Ridge Route","D","GG",03/20/2020,"X",4.00,"fst","H",49.00,"","",7,30,0,"F","F"
"LA",05/02/2020,1,"Ridge Route","D","GG",03/14/2020,"X",4.00,"fst","H",52.80,"","",48,50,0,"F","F"
"LA",05/02/2020,1,"Ridge Route","D","GG",03/06/2020,"X",3.00,"fst","H",39.00,"","",3,4,0,"F","F"
"LA",05/02/2020,1,"Here I Go Indy","D","LA",04/15/2020,"D",3.00,"fst","H",39.20,"","",10,10,0,"F","F"
"LA",05/02/2020,1,"Here I Go Indy","D","LA",04/01/2020,"D",4.00,"fst","H",49.40,"","",1,3,0,"F","F"
"LA",05/02/2020,1,"Here I Go Indy","D","LA",03/21/2020,"D",3.00,"fst","H",36.80,"","",10,15,0,"F","F"
"LA",05/02/2020,1,"Dave's Gift","D","GG",04/22/2020,"X",4.00,"fst","H",49.80,"","",4,34,0,"F","F"
"LA",05/02/2020,1,"Dave's Gift","D","GG",04/10/2020,"X",4.00,"fst","H",50.60,"","",8,19,0,"F","F"
"LA",05/02/2020,1,"Dave's Gift","D","GG",03/28/2020,"X",3.00,"fst","H",38.40,"","",11,16,0,"F","F"
"LA",05/02/2020,1,"Dave's Gift","D","GG",03/21/2020,"X",4.00,"fst","H",50.20,"","",32,58,0,"F","F"
"LA",05/02/2020,1,"Dave's Gift","D","GG",02/29/2020,"X",4.00,"fst","H",49.00,"","",17,78,0,"F","F"
"LA",05/02/2020,1,"Dave's Gift","D","GG",02/08/2020,"X",5.00,"fst","H",103.00,"","",37,57,0,"F","F"
"LA",05/02/2020,1,"Sharpshootingeorge","D","LA",03/25/2020,"D",3.00,"fst","H",35.40,"","",2,6,0,"F","F"
"LA",05/02/2020,1,"Sharpshootingeorge","D","LA",03/19/2020,"D",3.00,"fst","H",37.80,"","",11,15,0,"F","F"
"LA",05/02/2020,1,"Sharpshootingeorge","D","LA",03/08/2020,"D",3.00,"fst","H",36.20,"","",8,31,0,"F","F"
"LA",05/02/2020,1,"Sharpshootingeorge","D","LA",03/01/2020,"D",5.00,"fst","H",100.40,"","",5,16,0,"F","F"
"LA",05/02/2020,1,"Sharpshootingeorge","D","LA",02/14/2020,"D",4.00,"fst","H",49.40,"","",3,5,0,"F","F"
"LA",05/02/2020,1,"Runaway Indy","D","GG",04/24/2020,"X",4.00,"fst","H",52.00,"","",7,7,0,"F","F"
"LA",05/02/2020,1,"Runaway Indy","D","GG",04/19/2020,"X",3.00,"fst","H",38.80,"","",27,37,0,"F","F"
"LA",05/02/2020,1,"Runaway Indy","D","GG",03/22/2020,"X",4.00,"fst","H",54.40,"","",89,90,0,"F","F"
"LA",05/02/2020,1,"Runaway Indy","D","GG",02/28/2020,"X",4.00,"fst","H",51.00,"","",29,38,0,"F","F"
