"RCDate","RCTrack","DateHeading","Ordinal","JTCode","Trainer","Starts","Wins","Places","Shows","AvgWinPayoff"
05/02/2020,"OP","From January 24 to May 1 2020 inclusive",1.00,"T","MAKER MICHAEL J",55.00,7.00,7.00,4.00,10.86
05/02/2020,"OP","",2.00,"J","Carmouche K",1.00,0.00,0.00,0.00,0.00
05/02/2020,"OP","",3.00,"T","BAFFERT BOB",12.00,6.00,1.00,0.00,4.53
05/02/2020,"OP","",4.00,"J","Garcia M",7.00,5.00,0.00,0.00,4.68
05/02/2020,"OP","",5.00,"J","Rosario J",2.00,1.00,0.00,0.00,3.80
05/02/2020,"OP","",6.00,"T","STEWART DALLAS",32.00,3.00,1.00,3.00,8.33
05/02/2020,"OP","",7.00,"J","Leparoux J R",0.00,0.00,0.00,0.00,0.00
05/02/2020,"OP","",8.00,"J","Talamo J",4.00,1.00,0.00,0.00,7.40
05/02/2020,"OP","",9.00,"J","Court J K",2.00,0.00,0.00,0.00,0.00
05/02/2020,"OP","",10.00,"J","Hernandez B J Jr",4.00,0.00,0.00,0.00,0.00
05/02/2020,"OP","",11.00,"T","WRIGHT BLAINE",0.00,0.00,0.00,0.00,0.00
05/02/2020,"OP","",12.00,"J","Hernandez J J",0.00,0.00,0.00,0.00,0.00
05/02/2020,"OP","",13.00,"T","O'DWYER JEREMIAH",2.00,0.00,0.00,1.00,0.00
05/02/2020,"OP","",14.00,"J","Cannon D",2.00,0.00,0.00,1.00,0.00
05/02/2020,"OP","",15.00,"T","EURTON PETER",20.00,3.00,4.00,6.00,7.07
05/02/2020,"OP","",16.00,"J","Talamo J",4.00,1.00,2.00,0.00,7.20
05/02/2020,"OP","",17.00,"J","Rocco J S Jr",2.00,0.00,1.00,1.00,0.00
05/02/2020,"OP","",18.00,"J","Prat F",0.00,0.00,0.00,0.00,0.00
05/02/2020,"OP","",19.00,"T","ASMUSSEN STEVEN M",319.00,46.00,48.00,39.00,7.87
05/02/2020,"OP","",20.00,"J","Baze T C",42.00,3.00,7.00,12.00,13.40
