"RCTrack","RCDate","RCRace","AeMto","Weight","Horse","FD","TripleCrown","Sex","YBorn","MBorn","State","Breeder","Color","Sire","SireSire","Dam","DamSire","Owner","Sale","SaleYear","SalePrice","LastRaced","Bute","Lasix","Blinker","ClaimPrice","Apprentice","Jockey","Trainer","PostPosition","CYEarnings","CYStarts","CYWins","CYPlaces","CYShows","PYEarnings","PYStarts","PYWins","PYPlaces","PYShows","Earnings","Starts","Wins","Places","Shows","WEarnings","WStarts","WWins","WPlaces","WShows","TEarnings","TStarts","TWins","TPlaces","TShows","DEarnings","DStarts","DWins","DPlaces","DShows","TrkEarnings","TrkStarts","TrkWins","TrkPlaces","TrkShows","DistEarnings","DistStarts","DistWins","DistPlaces","DistShows","Entry","JockMeetStarts","JockMeetEarnings","JockMeetWins","JockMeetPlaces","JockMeetShows","JockMeetWinPct","JockMeetMoneyPct","JockYTDStarts","JockYTDEarnings","JockYTDWins","JockYTDPlaces","JockYTDShows","JockYTDWinPct","JockYTDMoneyPct","TrainerMeetStarts","TrainerMeetEarnings","TrainerMeetWins","TrainerMeetPlaces","TrainerMeetShows","TrainerMeetWinPct","TrainerMeetMoneyPct","TrainerYTDStarts","TrainerYTDEarnings","TrainerYTDWins","TrainerYTDPlaces","TrainerYTDShows","TrainerYTDWinPct","TrainerYTDMoneyPct","QtrStarts","QtrEarnings","QtrWins","QtrPlaces","QtrShows","EnteredTrack","EnteredDate","EnteredRace","StatsPriorYear","StudFee","Scratch","JTTrackPeriod","JTTrackStarts","JTTrackEarnings","JTTrackWinPct","JTAllStarts","JTAllWinPct","JTAllRoi"
"OP",05/02/2020,1,"",124,"Timely Tradition","D","N","m",2014,5,"NY","Mr. & Mrs. Bertram R. Firestone","B.","First Defence","Unbridled's Song","True Believer","Smart Strike","Bush Racing Stable","",0,0.000,03/15/2020,"","L","",0.00,0,"Rosario J","Handal Raymond",1,33.132,2,1,0,1,106.732,11,1,4,2,290.237,26,8,5,4,145.916,12,3,3,2,0.683,2,0,0,0,289.554,24,8,5,4,0.000,0,0,0,0,169.578,10,5,3,0,"",37,0.000,12,10,6,0.32,0.76,258,0.000,54,58,40,0.21,0.59,1,0.000,0,0,0,0.00,0.00,39,0.000,6,5,6,0.15,0.44,0,0.000,0,0,0,"",,0,12/15/2019,0.000,"N","2019-20",0,0.00,0.00,24,0.17,2.53
"OP",05/02/2020,1,"",124,"Full of Grace","D","N","f",2016,2,"Ky","Rose Hill Farm Inc. & John Trumbulovic","B.","Strong Mandate","Tiznow","La Glamorosa","Fire Slam","Novogratz Racing Stables Inc","FTKOCT",17,20.000,03/06/2020,"","L","",0.00,0,"Talamo J","Robertson McLean",2,30.800,2,1,0,0,63.060,9,2,1,1,117.010,14,4,2,1,28.150,3,1,1,0,0.000,0,0,0,0,117.010,14,4,2,1,64.570,5,2,0,0,92.690,10,3,1,1,"",311,0.000,53,40,37,0.17,0.42,330,0.000,55,41,38,0.17,0.41,99,0.000,7,18,15,0.07,0.40,99,0.000,7,18,15,0.07,0.40,0,0.000,0,0,0,"",,0,11/29/2019,5.000,"N","2019-20",14,2.36,0.21,14,0.21,2.36
"OP",05/02/2020,1,"",124,"Miss Imperial","D","N","f",2016,3,"Ky","Bob Lewis & Flying H Stables, LLC","Dk. b or br","Maclean's Music","Distorted Humor","Miss Cappy","Skip Trial","Murray Duncan & Estate of Garylle B. Ste","FTKOCT",17,13.000,04/11/2020,"","L","",0.00,0,"Thompson T J","Duncan Murray",3,69.600,4,3,0,0,122.700,8,1,3,3,277.930,15,6,3,3,63.700,2,2,0,0,0.000,0,0,0,0,277.930,15,6,3,3,16.200,1,1,0,0,212.000,10,5,2,1,"",111,0.000,12,8,13,0.11,0.30,111,0.000,12,8,13,0.11,0.30,5,0.000,0,0,0,0.00,0.00,5,0.000,0,0,0,0.00,0.00,0,0.000,0,0,0,"",,0,12/08/2019,20.000,"N","2019-20",7,0.00,0.00,7,0.00,0.00
"OP",05/02/2020,1,"",118,"Hawt Mess","D","N","f",2016,4,"Ky","Estate of Frederic S Papert","B.","Girolamo","A.P. Indy","Dressed to Kill","Formal Gold","Gene Burkholder","",0,0.000,04/11/2020,"","L","",0.00,0,"De La Cruz F","Puhl Kim",4,16.094,5,0,2,0,77.332,10,4,1,1,104.796,18,4,5,2,39.251,5,1,3,0,0.000,0,0,0,0,104.796,18,4,5,2,43.726,9,1,3,0,84.576,15,3,4,2,"",259,0.000,22,28,24,0.08,0.29,259,0.000,22,28,24,0.08,0.29,65,0.000,6,9,3,0.09,0.28,65,0.000,6,9,3,0.09,0.28,0,0.000,0,0,0,"",,0,10/09/2019,0.000,"N","2019-20",49,1.53,0.08,49,0.08,1.53
"OP",05/02/2020,1,"",118,"War Ballad","D","N","f",2016,1,"Ky","Calumet Farm","Dk. b or br","Declaration of War","War Front","Spring Blossom","A.P. Indy","Kurtis Coady & Shawn Coady","",0,0.000,04/03/2020,"","L","",0.00,0,"Santana R Jr","Coady Chelsey",5,8.220,3,0,0,2,43.880,12,0,3,0,96.554,25,2,4,2,11.130,3,0,1,0,4.325,2,0,0,0,92.229,23,2,4,2,26.220,5,0,2,2,43.580,10,1,2,1,"",298,0.000,58,49,30,0.19,0.46,357,0.000,69,57,38,0.19,0.46,20,0.000,1,2,2,0.05,0.25,23,0.000,1,2,3,0.04,0.26,0,0.000,0,0,0,"",,0,12/05/2019,21.000,"N","2019-20",0,0.00,0.00,1,0.00,0.00
"OP",05/02/2020,1,"",121,"Lady C","D","N","f",2016,4,"Ky","Dan Bearden","B.","San Pablo","Jump Start","Pawnee Patti","Sir Richard Lewis","Bayou Bengal Racing Stable","",0,0.000,03/06/2020,"","L","",0.00,0,"Bridgmohan J V","Amoss Thomas",6,22.240,2,1,0,0,26.280,4,1,1,0,48.520,6,2,1,0,20.400,1,1,0,0,0.000,0,0,0,0,48.520,6,2,1,0,1.840,1,0,0,0,0.000,2,0,0,0,"",104,0.000,9,9,9,0.09,0.26,107,0.000,9,9,9,0.08,0.25,78,0.000,14,12,8,0.18,0.44,194,0.000,44,42,26,0.23,0.58,0,0.000,0,0,0,"",,0,11/03/2019,6.500,"N","2019-20",24,3.59,0.25,49,0.22,2.77
"OP",05/02/2020,1,"",118,"First Alternate","D","N","m",2015,3,"Ky","Don Von Hemel & Todd Dunn","B.","Alternation","Distorted Humor","Now U Know","Maria's Mon","Don Von Hemel & Todd Dunn","",0,0.000,04/19/2020,"","L","",0.00,0,"Elliott S","Von Hemel Don",7,18.500,3,0,1,2,19.519,7,0,0,1,191.877,21,2,6,5,37.534,6,0,1,3,19.630,2,1,0,0,172.247,19,1,6,5,143.700,11,1,5,3,12.300,2,0,1,1,"",246,0.000,20,33,20,0.08,0.30,276,0.000,33,41,22,0.12,0.35,22,0.000,3,5,2,0.14,0.45,22,0.000,3,5,2,0.14,0.45,0,0.000,0,0,0,"",,0,10/19/2019,10.000,"N","2019-20",2,0.00,0.00,2,0.00,0.00
"OP",05/02/2020,1,"",118,"Lexington Grace","F","N","m",2015,5,"Ire","Tally-Ho Stud","Dk. b or br","Sir Prancealot*Ire","Tamayuz*GB","Bronze Baby","Silver Charm","WSS Racing LLC","",0,0.000,03/19/2020,"","L","B",0.00,0,"Mena M","Ortiz John A",8,15.372,3,0,1,1,48.026,10,1,0,3,158.434,32,6,3,8,0.000,0,0,0,0,158.434,32,6,3,8,0.000,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0,"",14,0.000,2,0,1,0.14,0.21,187,0.000,21,19,15,0.11,0.29,56,0.000,7,2,10,0.13,0.34,69,0.000,10,3,12,0.14,0.36,0,0.000,0,0,0,"",,0,12/26/2019,0.000,"N","2019-20",0,0.00,0.00,12,0.00,0.00
"OP",05/02/2020,1,"",124,"A. P. Princess","D","N","f",2016,5,"Ky","Hargus & Sandra Sexton & Silver Fern Farm, LLC","Dk. b or br","Flatter","A.P. Indy","Virden","Tactical Cat","Earl Trostrud Jr & Contreras Stable Inc","FTKOCT",17,37.000,04/25/2020,"","L","",0.00,0,"Garcia M","Contreras Cipriano",9,46.158,6,1,1,0,66.613,11,2,2,3,119.641,21,3,4,4,9.558,3,0,1,1,0.600,1,0,0,0,119.041,20,3,4,4,29.708,6,0,2,1,66.595,9,2,2,0,"",275,0.000,53,32,24,0.19,0.40,275,0.000,53,32,24,0.19,0.40,68,0.000,9,13,5,0.13,0.40,113,0.000,22,19,11,0.19,0.46,0,0.000,0,0,0,"",,0,11/24/2019,40.000,"N","2019-20",18,1.94,0.11,18,0.11,1.94
"OP",05/02/2020,1,"",124,"True Castle","D","N","f",2016,4,"Ont-C","Tall Oaks Farm","B.","Yes It's True","Is It True","American Castle","Quiet American","Living The Dream Racing LLP","",0,0.000,04/26/2020,"","L","",0.00,0,"De La Cruz W","Hartman Chris A",10,35.500,5,2,1,1,44.219,7,1,1,2,79.719,12,3,2,3,19.520,2,1,0,1,4.106,2,0,0,0,75.613,10,3,2,3,35.500,5,2,1,1,68.598,8,3,2,2,"",271,0.000,32,30,33,0.12,0.35,271,0.000,32,30,33,0.12,0.35,88,0.000,8,16,13,0.09,0.42,111,0.000,14,21,14,0.13,0.44,0,0.000,0,0,0,"",,0,11/23/2019,0.000,"N","2019-20",20,1.50,0.10,20,0.10,1.50
