"RCTrack","RCDate","RCRace","Horse","Trainer","Category","Starts","WinPct","ROI"
"OP",05/02/2020,1,"A. P. Princess","Contreras Cipriano","1-7Days",3,0.00,0.00
"OP",05/02/2020,1,"A. P. Princess","Contreras Cipriano","Dirt",481,0.22,2.12
"OP",05/02/2020,1,"A. P. Princess","Contreras Cipriano","Sprint",298,0.24,2.37
"OP",05/02/2020,1,"First Alternate","Von Hemel Don","Dirt",75,0.08,0.85
"OP",05/02/2020,1,"First Alternate","Von Hemel Don","Sprint",35,0.03,0.23
"OP",05/02/2020,1,"Full of Grace","Robertson McLean","31-60Days",88,0.24,1.66
"OP",05/02/2020,1,"Full of Grace","Robertson McLean","WonLastStart",95,0.26,1.96
"OP",05/02/2020,1,"Full of Grace","Robertson McLean","Dirt",375,0.17,1.29
"OP",05/02/2020,1,"Full of Grace","Robertson McLean","Sprint",330,0.20,1.43
"OP",05/02/2020,1,"Hawt Mess","Puhl Kim","Dirt",277,0.19,1.69
"OP",05/02/2020,1,"Hawt Mess","Puhl Kim","Sprint",186,0.18,1.55
"OP",05/02/2020,1,"Jaccat","Baltas Richard","2Off45-180",120,0.23,2.33
"OP",05/02/2020,1,"Jaccat","Baltas Richard","Dirt",239,0.19,1.58
"OP",05/02/2020,1,"Jaccat","Baltas Richard","Sprint",177,0.17,1.88
"OP",05/02/2020,1,"Lady C","Amoss Thomas","Route/Sprint",54,0.24,1.64
"OP",05/02/2020,1,"Lady C","Amoss Thomas","31-60Days",282,0.20,1.68
"OP",05/02/2020,1,"Lady C","Amoss Thomas","Dirt",589,0.23,1.64
"OP",05/02/2020,1,"Lady C","Amoss Thomas","Sprint",364,0.26,1.73
"OP",05/02/2020,1,"Lexington Grace","Ortiz John A","Turf/Dirt",48,0.19,1.84
"OP",05/02/2020,1,"Lexington Grace","Ortiz John A","BlinkOn",20,0.25,2.86
"OP",05/02/2020,1,"Lexington Grace","Ortiz John A","Route/Sprint",27,0.15,0.79
"OP",05/02/2020,1,"Lexington Grace","Ortiz John A","31-60Days",94,0.18,1.95
