"RCDate","RCTrack","Trainer","Starts","Wins","Places","Shows","WinPercent","MoneyPercent","AvgWinPayoff","SprintWins","SprintStarts","RouteWins","RouteStarts","TurfWins","TurfStarts","MainWins","MainStarts","MdnAndClmWins","MdnAndClmStarts","OtherWins","OtherStarts","ThirtyDaysWins","ThirtyDaysStarts","TenDaysWins","TenDaysStarts"
05/02/2020,"RP","Huitron Adrian",0.00,0.00,0.00,0.00,.00,.00,.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
05/02/2020,"RP","Dean Jeff",0.00,0.00,0.00,0.00,.00,.00,.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
05/02/2020,"RP","Strickland Donnie L",0.00,0.00,0.00,0.00,.00,.00,.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
05/02/2020,"RP","Clark Kirt",0.00,0.00,0.00,0.00,.00,.00,.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
05/02/2020,"RP","Valdivia Guillermo",0.00,0.00,0.00,0.00,.00,.00,.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
05/02/2020,"RP","Seaton Shane",0.00,0.00,0.00,0.00,.00,.00,.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
05/02/2020,"RP","Castaneda Jonathan",0.00,0.00,0.00,0.00,.00,.00,.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
05/02/2020,"RP","Foutch John",0.00,0.00,0.00,0.00,.00,.00,.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
05/02/2020,"RP","Carrizales Marcos",0.00,0.00,0.00,0.00,.00,.00,.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
05/02/2020,"RP","Mancillas Juliana",0.00,0.00,0.00,0.00,.00,.00,.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
05/02/2020,"RP","Baeza Harvey",0.00,0.00,0.00,0.00,.00,.00,.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
05/02/2020,"RP","Chavira Luz",0.00,0.00,0.00,0.00,.00,.00,.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
05/02/2020,"RP","Olmstead Jason",0.00,0.00,0.00,0.00,.00,.00,.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
05/02/2020,"RP","Wood G Blane",0.00,0.00,0.00,0.00,.00,.00,.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
05/02/2020,"RP","Barraza-Rodriguez Mari",0.00,0.00,0.00,0.00,.00,.00,.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
05/02/2020,"RP","Alexander Leroy C",0.00,0.00,0.00,0.00,.00,.00,.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
05/02/2020,"RP","Goodnight Billy R",0.00,0.00,0.00,0.00,.00,.00,.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
05/02/2020,"RP","Pascoe Jason",0.00,0.00,0.00,0.00,.00,.00,.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
05/02/2020,"RP","Arrossa Monty",0.00,0.00,0.00,0.00,.00,.00,.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
05/02/2020,"RP","Peery Durk L",0.00,0.00,0.00,0.00,.00,.00,.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
05/02/2020,"RP","Ater Richard",0.00,0.00,0.00,0.00,.00,.00,.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
05/02/2020,"RP","Halcomb Denny R",0.00,0.00,0.00,0.00,.00,.00,.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
05/02/2020,"RP","Joiner Michael W",0.00,0.00,0.00,0.00,.00,.00,.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
