"RCTrack","RCDate","RCRace","Horse","FD","Foreign","Date","Track","Race","Surface","TimeformCode","Inner","Distance","Class","LongClass","ClaimPrice","Purse","TrkCond","RaceSex","RaceAge","StateBred","Starters","FirstFraction","SecondFraction","ThirdFraction","FourthFraction","FifthFraction","SixthFraction","FinalTime","FirstHorse","SecondHorse","ThirdHorse","FirstWeight","SecondWeight","ThirdWeight","FirstLenAdj","SecondLenAdj","ThirdLenAdj","GradedRace","GradedRaceDesc","ForeignCourse","PostPosition","FirstCall","FirstCallLenAdj","SecondCall","SecondCallLenAdj","ThirdCall","ThirdCallLenAdj","FourthCall","FourthCallLenAdj","StrCall","StrCallLenAdj","FinalCall","FinalCallLenAdj","DQ","DH","DQPlace","Beyer","Weight","Apprentice","Comment","LongComment","Odds","OddsPosition","Claimed","Lasix","Bute","Blinker","Bandage","AltEquipment","Jockey","Trainer","Entries","TrackVariant","SpeedRating","Breed","Owner","DistUnit","TimeUnit","LoPrice","TrainYear","TrainStarts","TrainWins","TrainPlaces","TrainShows","TrainWinPct","SealedTrack","PrevTrainYear","PrevTrainStarts","PrevTrainWins","PrevTrainPlaces","PrevTrainShows","PrevTrainWinPct","FirstFracHdths","SecondFracHdths","ThirdFracHdths","FourthFracHdths","FifthFracHdths","SixthFracHdths","FinalTimeHdths"
"RP",05/02/2020,1,"Three Six Ocean Dr","DQ",,03/26/2020,"RP",1,"D","","",3.30,"MDN","Mdn 20500",0.00,21.000,"fst","O","31","S",7,-1.00,1.00,-1.00,-1.00,-1.00,-1.00,17.17,"Relentless Wagon","Jesta Wave","Shakia On Ice",124,124,124,0.50,0.25,0.10,0,"","B",2,4,0.00,0,17.57,0,0.00,6,0.30,5,0.70,5,2.35,"","",0,0,127,0,"Lacked late kick","",9.10,5,"","L","","B","F","","Navarrete E A Jr","Garcia Longino","",0,67,"Q","","Y","H",0.00,"",0,0,0,0,0.00,"","",,,,,,-1.00,1.00,-1.00,-1.00,-1.00,-1.00,17.17
"RP",05/02/2020,1,"Three Six Ocean Dr","DQ",,03/06/2020,"RP",1,"D","","",3.00,"MDN","Mdn 17100",0.00,24.050,"fst","O","31","",11,-1.00,2.00,-1.00,-1.00,-1.00,-1.00,15.55,"Soul Kisser","Marengo the Third","Jess B One",125,129,125,0.25,0.10,0.75,0,"","G",7,1,0.00,0,16.06,0,0.00,0,0.00,8,2.70,9,3.20,"","",0,0,124,0,"Threw head st, outrun","",80.10,11,"","L","","B","F","","Cunningham T","Garcia Longino","",0,68,"Q","","Y","H",0.00,"",0,0,0,0,0.00,"","",,,,,,-1.00,2.00,-1.00,-1.00,-1.00,-1.00,15.55
"RP",05/02/2020,1,"Three Six Ocean Dr","DQ",,10/26/2019,"WRD",6,"D","","",4.00,"MDN","Mdn 13700",0.00,14.250,"my","O","2","",10,-1.00,1.00,-1.00,-1.00,-1.00,-1.00,19.87,"Shakem Six Cartel","Three Six Ocean Dr","Htr Greyheart",125,127,127,3.00,0.05,0.25,0,"","H",8,1,0.00,0,20.31,0,0.00,6,2.20,2,2.00,2,3.00,"","",0,0,127,0,"No match","",12.80,5,"","L","","B","F","","Ramirez II A","Garcia Longino","",0,85,"Q","","Y","H",0.00,"",0,0,0,0,0.00,"Y","",,,,,,-1.00,1.00,-1.00,-1.00,-1.00,-1.00,19.87
"RP",05/02/2020,1,"Three Six Ocean Dr","DQ",,09/29/2019,"WRD",4,"D","","",2.50,"MDN","Mdn 13700",0.00,14.250,"fst","O","2","",7,-1.00,1.00,-1.00,-1.00,-1.00,-1.00,13.31,"La Capidel Capo","Aj Winzet","Go for the Interest",126,129,124,0.05,0.10,0.05,0,"","A",1,5,0.00,0,13.50,0,0.00,0,0.00,5,1.70,5,1.45,"","",0,0,126,0,"Lacked late response","",28.80,7,"","L","","B","F","","Ramirez II A","Garcia Longino","",0,86,"Q","","Y","H",0.00,"",0,0,0,0,0.00,"","",,,,,,-1.00,1.00,-1.00,-1.00,-1.00,-1.00,13.31
"RP",05/02/2020,1,"Three Six Ocean Dr","DQ",,07/27/2019,"FMT",12,"D","","",3.50,"MDN","Mdn 12800",0.00,12.800,"fst","O","2","S",8,-1.00,2.00,-1.00,-1.00,-1.00,-1.00,17.92,"Bp Apollitical South","Cartel King","Kissin Kash",124,127,125,0.75,0.75,0.05,0,"","C",3,1,0.00,0,18.39,0,0.00,4,0.30,6,2.70,6,3.05,"","",0,0,126,0,"No menace","",49.20,8,"","L","","B","F","","Ramirez II A","Garcia Longino","",0,73,"Q","","Y","H",0.00,"",0,0,0,0,0.00,"","",,,,,,-1.00,2.00,-1.00,-1.00,-1.00,-1.00,17.92
"RP",05/02/2020,1,"Three Six Ocean Dr","DQ",,07/12/2019,"FMT",10,"D","","",3.50,"FTR","Ftr 5000",0.00,5.000,"fst","O","2","",7,-1.00,-2.00,-1.00,-1.00,-1.00,-1.00,17.50,"Walkin in Fashion","Jess a Lota","Jess Vamoose",126,127,129,1.50,2.50,0.25,0,"","C",3,4,0.00,0,18.26,0,0.00,5,1.20,6,4.70,6,5.05,"","",0,0,128,0,"No factor","",46.30,7,"","L","","B","F","","Ramirez II A","Garcia Longino","",0,77,"Q","","Y","H",0.00,"",0,0,0,0,0.00,"","",,,,,,-1.00,-2.00,-1.00,-1.00,-1.00,-1.00,17.50
"RP",05/02/2020,1,"Three Six Ocean Dr","DQ",,05/25/2019,"RP",6,"D","","",3.30,"MDN","Mdn 18100",0.00,24.600,"fst","O","2","",10,-1.00,2.00,-1.00,-1.00,-1.00,-1.00,16.91,"Passenger Train","Eye Cartel","Leona Coronado",124,124,127,0.10,1.25,0.25,0,"","E",5,2,0.00,0,17.29,0,0.00,6,1.30,6,1.40,6,2.20,"","",0,0,129,0,"Unable to keep up","",49.20,9,"","L","","B","F","","Gutierrez G","Garcia Longino","",0,74,"Q","","Y","H",0.00,"",0,0,0,0,0.00,"","",,,,,,-1.00,2.00,-1.00,-1.00,-1.00,-1.00,16.91
"RP",05/02/2020,1,"Three Six Ocean Dr","DQ",,04/29/2019,"RP",4,"D","","",3.00,"MDN","Mdn 18100",0.00,20.900,"fst","O","2","",10,-1.00,2.00,-1.00,-1.00,-1.00,-1.00,15.58,"Ratification","Wl Shezacrowdpleaser","Cleopatra",126,126,128,1.25,1.00,0.25,0,"","D",4,4,0.00,0,16.03,0,0.00,0,0.00,4,2.10,6,2.85,"","",0,0,129,0,"Mild bid,no rally,bled","",38.90,8,"","L","","B","F","","Meraz R Jr","Garcia Longino","",0,69,"Q","","Y","H",0.00,"",0,0,0,0,0.00,"","",,,,,,-1.00,2.00,-1.00,-1.00,-1.00,-1.00,15.58
"RP",05/02/2020,1,"Three Six Ocean Dr","DQ",,03/28/2019,"RP",6,"D","","",2.50,"MDN","Mdn 18100",0.00,19.850,"fst","O","2","",7,-1.00,2.00,-1.00,-1.00,-1.00,-1.00,13.29,"Tf Ima Corona Cartel","Favorit Shake","Easie",124,127,126,2.00,0.25,0.75,0,"","B",2,6,0.00,0,13.99,0,0.00,0,0.00,6,3.70,6,4.35,"","",0,0,124,0,"Fractious, no factor","",32.60,7,"","L","","B","F","","Nieto P H","Reza Leonardo","",0,59,"Q","","Y","H",0.00,"",0,0,0,0,0.00,"","2018",23,1,2,2,0.04,-1.00,2.00,-1.00,-1.00,-1.00,-1.00,13.29
"RP",05/02/2020,1,"Called to Freedom","DQ",,03/28/2020,"RP",3,"D","","",3.50,"MDN","Mdn 20500",0.00,20.910,"fst","O","31","S",9,-1.00,1.00,-1.00,-1.00,-1.00,-1.00,17.87,"Eye Dynasty","Dubdeuce","Go for the Interest",126,126,124,0.50,0.10,0.05,0,"","A",1,4,0.00,0,18.08,0,0.00,5,0.40,5,0.80,6,1.50,"","",5,0,127,0,"Even throughout","",59.90,8,"","L","","","","","Hernandez-Gallardo J","Peery Durk L","",0,74,"Q","","Y","H",0.00,"",0,0,0,0,0.00,"","",,,,,,-1.00,1.00,-1.00,-1.00,-1.00,-1.00,17.87
