"RCTrack","RCDate","RCRace","AeMto","Weight","Horse","FD","TripleCrown","Sex","YBorn","MBorn","State","Breeder","Color","Sire","SireSire","Dam","DamSire","Owner","Sale","SaleYear","SalePrice","LastRaced","Bute","Lasix","Blinker","ClaimPrice","Apprentice","Jockey","Trainer","PostPosition","CYEarnings","CYStarts","CYWins","CYPlaces","CYShows","PYEarnings","PYStarts","PYWins","PYPlaces","PYShows","Earnings","Starts","Wins","Places","Shows","WEarnings","WStarts","WWins","WPlaces","WShows","TEarnings","TStarts","TWins","TPlaces","TShows","DEarnings","DStarts","DWins","DPlaces","DShows","TrkEarnings","TrkStarts","TrkWins","TrkPlaces","TrkShows","DistEarnings","DistStarts","DistWins","DistPlaces","DistShows","Entry","JockMeetStarts","JockMeetEarnings","JockMeetWins","JockMeetPlaces","JockMeetShows","JockMeetWinPct","JockMeetMoneyPct","JockYTDStarts","JockYTDEarnings","JockYTDWins","JockYTDPlaces","JockYTDShows","JockYTDWinPct","JockYTDMoneyPct","TrainerMeetStarts","TrainerMeetEarnings","TrainerMeetWins","TrainerMeetPlaces","TrainerMeetShows","TrainerMeetWinPct","TrainerMeetMoneyPct","TrainerYTDStarts","TrainerYTDEarnings","TrainerYTDWins","TrainerYTDPlaces","TrainerYTDShows","TrainerYTDWinPct","TrainerYTDMoneyPct","QtrStarts","QtrEarnings","QtrWins","QtrPlaces","QtrShows","EnteredTrack","EnteredDate","EnteredRace","StatsPriorYear","StudFee","Scratch","JTTrackPeriod","JTTrackStarts","JTTrackEarnings","JTTrackWinPct","JTAllStarts","JTAllWinPct","JTAllRoi"
"Tam",05/02/2020,1,"",120,"Dad's Yankees","D","N","g",2016,3,"Ky","Amaty Racing Stables","B.","Warrior's Reward","Medaglia d'Oro","Capitalism At Risk","Bull Market","Amaty Racing Stables","",0,0.000,04/18/2020,"","L","",6.25,0,"Martinez W","Hernandez Sandino R Jr",1,10.595,5,1,1,1,32.450,6,3,0,1,45.545,14,4,1,2,2.300,1,0,1,0,32.760,8,3,0,1,12.785,6,1,1,1,10.235,3,1,1,1,0.000,0,0,0,0,"",143,0.000,15,20,11,0.10,0.32,115,0.000,13,15,8,0.11,0.31,21,0.000,2,2,4,0.10,0.38,21,0.000,2,2,4,0.10,0.38,0,0.000,0,0,0,"",,0,11/20/2019,5.000,"N","2019-20",6,3.70,0.33,6,0.33,3.70
"Tam",05/02/2020,1,"",118,"Expediter","D","N","g",2014,4,"NY","Dennis Petrisak & Deborah Petrisak","B.","Henny Hughes","Hennessy","Always Belong","Belong to Me","Dennis Petrisak","",0,0.000,04/17/2020,"","L","",6.25,0,"Allen R D Jr","Ferraro M Anthony",2,6.000,1,1,0,0,12.426,6,1,1,0,100.132,35,7,4,4,13.695,5,1,0,2,2.696,2,0,0,0,97.436,33,7,4,4,6.000,1,1,0,0,0.000,0,0,0,0,"",269,0.000,21,27,34,0.08,0.30,228,0.000,17,25,30,0.07,0.32,57,0.000,7,2,7,0.12,0.28,55,0.000,7,2,6,0.13,0.27,0,0.000,0,0,0,"",,0,07/24/2019,27.080,"N","2019-20",2,0.00,0.00,5,0.00,0.00
"Tam",05/02/2020,1,"",118,"Perfetto","D","N","g",2015,2,"Fla","SCF, Inc.","Dk. b or br","Pleasant Strike","Smart Strike","Imperial Code","Imperialism","William R. MacKinnon","",0,0.000,04/18/2020,"","L","",6.25,0,"Santos A","Bennett Gerald S",3,17.025,6,2,1,1,19.945,10,2,2,0,70.330,41,7,4,7,2.270,5,0,0,2,17.099,11,2,0,2,53.231,30,5,4,5,28.195,13,3,3,1,0.165,1,0,0,0,"",162,0.000,18,23,16,0.11,0.35,146,0.000,16,21,11,0.11,0.33,208,0.000,49,42,33,0.24,0.60,173,0.000,38,30,27,0.22,0.55,0,0.000,0,0,0,"",,0,12/21/2019,0.000,"N","2019-20",43,2.23,0.26,60,0.18,1.60
"Tam",05/02/2020,1,"",120,"Malio's","D","N","g",2016,3,"Fla","J. R. Cavanaugh","Dk. b or br","Data Link","War Front","Pleasanton","Closing Argument","J.P.G. 2, LLC","",0,0.000,04/11/2020,"","L","",6.25,0,"Centeno D E","Bennett Gerald S",4,17.850,4,2,1,1,25.760,15,1,3,2,71.832,26,4,5,3,12.370,3,1,1,0,4.742,7,0,0,0,67.090,19,4,5,3,43.260,9,4,2,1,17.380,4,0,3,0,"",348,0.000,78,64,57,0.22,0.57,280,0.000,61,50,48,0.22,0.57,208,0.000,49,42,33,0.24,0.60,173,0.000,38,30,27,0.22,0.55,0,0.000,0,0,0,"",,0,12/18/2019,2.500,"N","2019-20",87,1.82,0.32,121,0.30,1.92
"Tam",05/02/2020,1,"",120,"Lem Me Tel Ya","D","N","h",2015,2,"NY","Donald L. Brown Jr.","Dk. b or br","Take Charge Indy","A.P. Indy","Heavenly Humor","Distorted Humor","Anthony F. Rini and Vicki L. Frazer","",0,0.000,04/05/2020,"","L","",6.25,0,"Feliciano R","Rini Anthony",5,12.160,5,1,1,1,35.720,11,2,3,2,117.362,27,4,6,5,13.556,3,0,1,1,35.468,8,0,3,1,81.894,19,4,3,4,23.834,7,3,1,1,9.234,4,1,1,0,"",67,0.000,4,4,11,0.06,0.28,55,0.000,3,4,8,0.05,0.27,33,0.000,4,5,8,0.12,0.52,27,0.000,4,3,8,0.15,0.56,0,0.000,0,0,0,"",,0,12/14/2019,17.500,"N","2019-20",9,0.00,0.00,46,0.30,1.65
"Tam",05/02/2020,1,"",118,"Doc Kane","D","N","g",2014,3,"Ky","Avalon Racing, Inc.","B.","Into Mischief","Harlan's Holiday","True","Yes It's True","Juan Arriagada","",0,0.000,04/18/2020,"","L","",6.25,0,"Mena R","Arriagada Juan",6,15.296,6,2,0,1,31.550,13,2,2,1,119.625,34,6,5,5,52.915,6,3,2,0,0.350,1,0,0,0,119.275,33,6,5,5,14.446,5,2,0,1,18.290,7,1,1,1,"",226,0.000,28,26,25,0.12,0.35,176,0.000,22,24,19,0.13,0.37,95,0.000,17,19,16,0.18,0.55,77,0.000,13,18,14,0.17,0.58,0,0.000,0,0,0,"",,0,10/12/2019,175.000,"N","2019-20",10,2.26,0.30,10,0.30,2.26
"Tam",05/02/2020,1,"",120,"Ox Trot","D","N","g",2015,3,"Ky","Calumet Farm","Dk. b or br","Oxbow","Awesome Again","Noun","War Front","Gina Wright","",0,0.000,04/11/2020,"","L","",6.25,0,"Wales G","Wright Michael W",7,20.622,5,3,0,0,8.013,10,0,3,1,55.133,31,5,4,4,0.000,0,0,0,0,7.106,7,0,1,1,48.027,24,5,3,3,31.935,9,4,1,1,8.375,4,1,0,1,"",149,0.000,16,15,22,0.11,0.36,138,0.000,15,14,22,0.11,0.37,40,0.000,7,5,8,0.18,0.50,36,0.000,6,4,7,0.17,0.47,0,0.000,0,0,0,"",,0,12/27/2019,10.000,"N","2019-20",14,3.24,0.21,14,0.21,3.24
"Tam",05/02/2020,1,"",118,"Mulled Wine","D","N","g",2015,3,"Fla","Courtney L. Meagher","Ch.","Kantharos","Lion Heart","Dixie Says Goodbye","Dixie Brass","Aldana Gonzalez Racing, LLC and Kathy Th","",0,0.000,04/18/2020,"","L","",6.25,0,"Spieth S","Gonzalez Aldana",8,15.228,6,2,0,2,7.040,8,0,2,2,35.318,25,3,3,8,3.235,3,0,1,1,0.000,0,0,0,0,35.318,25,3,3,8,22.368,15,2,2,4,12.740,2,2,0,0,"",215,0.000,25,22,26,0.12,0.34,181,0.000,21,16,26,0.12,0.35,31,0.000,3,2,5,0.10,0.32,24,0.000,3,0,5,0.13,0.33,0,0.000,0,0,0,"",,0,12/13/2019,30.000,"N","2019-20",63,2.20,0.11,141,0.11,1.48
"Tam",05/02/2020,1,"",118,"Elusive Ro","D","N","g",2016,1,"Fla","Red Sunset Farm","Ch.","Uncaptured","Lion Heart","Hopewell House","Graeme Hall","Angel M. Rodriguez","OBSMAR",18,75.000,04/16/2020,"","L","",6.25,0,"Gallardo A A","Rodriguez Angel M",9,12.740,3,1,0,0,61.110,14,2,5,2,78.850,19,3,5,3,0.000,0,0,0,0,24.850,9,0,4,1,54.000,10,3,1,2,0.000,0,0,0,0,0.000,0,0,0,0,"",449,0.000,106,71,61,0.24,0.53,368,0.000,87,52,50,0.24,0.51,3,0.000,0,1,0,0.00,0.33,27,0.000,2,0,1,0.07,0.11,0,0.000,0,0,0,"",,0,11/02/2019,0.000,"N","2019-20",0,0.00,0.00,0,0.00,0.00
"Tam",05/02/2020,2,"",118,"Publicist","D","N","m",2012,2,"Fla","Linda Pastor & Robert Pastor","Ch.","Cowtown Cat","Distorted Humor","Tionesta","Major Impact","Irish Charm Thoroughbreds, LLC","",0,0.000,04/04/2020,"","L","",10.00,0,"Gallardo A A","Johnson Gary L",1,22.445,4,2,1,0,49.640,13,4,1,1,189.010,45,12,4,7,49.320,7,4,0,1,58.130,21,3,1,2,130.880,24,9,3,5,54.635,7,6,1,0,5.685,3,0,1,0,"",449,0.000,106,71,61,0.24,0.53,368,0.000,87,52,50,0.24,0.51,70,0.000,6,4,9,0.09,0.27,150,0.000,14,12,21,0.09,0.31,0,0.000,0,0,0,"",,0,12/11/2019,2.000,"N","2019-20",0,0.00,0.00,0,0.00,0.00
