"RCTrack","RCDate","RCRace","Horse","FD","Track","Date","Surface","Distance","TrkCond","WorkType","WorkTime","Bullet","Comment","Rank","RankIn","Race","DistUnit","TimeUnit"
"TAM",05/02/2020,1,"Dad's Yankees","D","Tam",03/06/2020,"D",3.00,"fst","B",35.60,"Y","",1,4,0,"F","F"
"TAM",05/02/2020,1,"Dad's Yankees","D","Tam",02/04/2020,"D",3.00,"fst","B",36.00,"","",1,2,0,"F","F"
"TAM",05/02/2020,1,"Expediter","D","Tam",04/11/2020,"D",5.00,"fst","B",102.00,"","",7,34,0,"F","F"
"TAM",05/02/2020,1,"Expediter","D","Tam",04/05/2020,"D",5.00,"fst","BG",101.40,"","",2,27,0,"F","F"
"TAM",05/02/2020,1,"Expediter","D","Tam",03/29/2020,"D",4.00,"fst","B",48.60,"","",12,89,0,"F","F"
"TAM",05/02/2020,1,"Expediter","D","Tam",03/22/2020,"D",4.00,"fst","B",48.80,"","",11,70,0,"F","F"
"TAM",05/02/2020,1,"Expediter","D","Tam",03/15/2020,"D",3.00,"fst","B",36.60,"","",5,18,0,"F","F"
"TAM",05/02/2020,1,"Perfetto","D","Tam",04/10/2020,"D",3.00,"fst","B",37.40,"","",2,5,0,"F","F"
"TAM",05/02/2020,1,"Malio's","D","Tam",02/16/2020,"D",4.00,"fst","B",49.20,"","",15,59,0,"F","F"
"TAM",05/02/2020,1,"Doc Kane","D","Tam",03/14/2020,"D",4.00,"fst","B",50.40,"","",45,61,0,"F","F"
"TAM",05/02/2020,1,"Doc Kane","D","Tam",02/29/2020,"D",3.00,"fst","B",37.00,"","",11,17,0,"F","F"
"TAM",05/02/2020,1,"Elusive Ro","D","GP",04/05/2020,"D",4.00,"fst","B",51.00,"","",59,65,0,"F","F"
"TAM",05/02/2020,1,"Elusive Ro","D","GP",03/08/2020,"D",4.00,"fst","B",50.00,"","",35,57,0,"F","F"
"TAM",05/02/2020,1,"Elusive Ro","D","GP",02/29/2020,"D",4.00,"fst","B",48.40,"","",20,73,0,"F","F"
"TAM",05/02/2020,1,"Elusive Ro","D","GP",02/21/2020,"D",3.00,"fst","B",37.60,"","",8,14,0,"F","F"
"TAM",05/02/2020,1,"Elusive Ro","D","GP",02/13/2020,"D",5.00,"fst","B",101.40,"","",2,5,0,"F","F"
"TAM",05/02/2020,1,"Elusive Ro","D","GP",02/03/2020,"D",4.00,"fst","B",48.80,"","",6,17,0,"F","F"
"TAM",05/02/2020,2,"Publicist","D","Tam",02/18/2020,"D",4.00,"fst","B",49.00,"","",2,7,0,"F","F"
"TAM",05/02/2020,2,"Publicist","D","Tam",02/09/2020,"D",4.00,"fst","B",50.00,"","",45,68,0,"F","F"
"TAM",05/02/2020,2,"Thorceress","D","Tam",02/29/2020,"D",4.00,"fst","B",50.60,"","",40,56,0,"F","F"
"TAM",05/02/2020,2,"Nikki Bella","D","Tam",04/03/2020,"D",3.00,"fst","BG",36.20,"","",2,4,0,"F","F"
"TAM",05/02/2020,2,"Nikki Bella","D","Tam",03/14/2020,"D",4.00,"fst","B",48.80,"","",5,61,0,"F","F"
"TAM",05/02/2020,2,"Nikki Bella","D","Tam",03/04/2020,"D",3.00,"fst","BG",36.80,"","",2,11,0,"F","F"
"TAM",05/02/2020,2,"Nikki Bella","D","Tam",02/16/2020,"D",3.00,"fst","B",36.00,"","",2,21,0,"F","F"
"TAM",05/02/2020,2,"Nikki Bella","D","Tam",02/05/2020,"D",4.00,"fst","B",48.80,"","",4,28,0,"F","F"
"TAM",05/02/2020,2,"Dreaming Diamonds","D","Tam",04/11/2020,"D",4.00,"fst","B",49.80,"","",45,110,0,"F","F"
"TAM",05/02/2020,2,"Dreaming Diamonds","D","Tam",02/09/2020,"D",4.00,"fst","B",48.40,"","",5,68,0,"F","F"
"TAM",05/02/2020,2,"Checotah","D","Tam",03/15/2020,"D",4.00,"fst","B",48.20,"","",5,63,0,"F","F"
"TAM",05/02/2020,2,"Checotah","D","Tam",03/08/2020,"D",4.00,"fst","B",48.40,"","",3,75,0,"F","F"
"TAM",05/02/2020,2,"Checotah","D","Tam",03/01/2020,"D",3.00,"fst","B",36.00,"Y","",1,17,0,"F","F"
"TAM",05/02/2020,3,"Lilys From Paris","D","Tam",04/22/2020,"D",4.00,"fst","B",50.80,"","",29,31,0,"F","F"
"TAM",05/02/2020,3,"Lilys From Paris","D","Tam",03/18/2020,"D",4.00,"fst","B",49.80,"","",10,26,0,"F","F"
"TAM",05/02/2020,3,"Lilys From Paris","D","Tam",03/14/2020,"D",4.00,"fst","B",49.00,"","",8,61,0,"F","F"
"TAM",05/02/2020,3,"Lilys From Paris","D","Tam",02/28/2020,"D",5.00,"fst","B",102.20,"","",4,21,0,"F","F"
"TAM",05/02/2020,3,"Lilys From Paris","D","Tam",02/21/2020,"D",5.00,"fst","B",103.60,"","",7,11,0,"F","F"
"TAM",05/02/2020,3,"Lilys From Paris","D","Tam",02/15/2020,"D",4.00,"fst","BG",49.80,"","",21,37,0,"F","F"
"TAM",05/02/2020,3,"Enough Kisses","D","Tam",04/11/2020,"D",5.00,"fst","B",102.00,"","",7,34,0,"F","F"
"TAM",05/02/2020,3,"Enough Kisses","D","Tam",04/05/2020,"D",5.00,"fst","B",102.80,"","",13,27,0,"F","F"
"TAM",05/02/2020,3,"Enough Kisses","D","Tam",03/27/2020,"D",4.00,"fst","BG",49.40,"","",7,24,0,"F","F"
